Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:11,0:00:12,"Hvala, nisam Marija."
0:00:13,0:00:16,Lijep pozdrav svim gledateljima podcasta Mreže Riječi.
0:00:17,0:00:22,"Evo nas u drugoj emisiji, u nizu emisija na krilima duha."
0:00:23,0:00:44,"Nakon što smo u prvoj emisiji progovorili o duhovnosti gospodina našeg Isusa Krista, koji je bio pravi čovjek i imao je svoju duhovnost, a ona je nama ne samo uzorna, nego je na izvoru i naše kršćanske duhovnosti, u ovoj drugoj emisiji ćemo napraviti korak naprijed i progovorit ćemo o duhovnosti njegove i naše nebeske majke Marije."
0:00:46,0:01:10,"Malo je problem u govoru o osobama koje su živjele prije dvije tisuće godina, problem je povijesnih izvora odnosno nepostojanje mnoštva podataka riječi i dijela pojedinih osoba na temelju kojih možemo možda napraviti jedan recimo psihogram ili jedan psihološki profil dotične osobe i otkriti što je u srcu te osobe."
0:01:10,0:01:18,"Naime, svaka osoba izražava se htjela ili ne htjela kroz svoje riječi, kroz svoje stavove, kroz svoje geste, kroz svoje djelovanje."
0:01:18,0:01:23,No kad imamo premalo podataka to onda malo stvara problem u profiliranju te osobe.
0:01:24,0:01:29,Ipak o Blažnoj Djevici Mariji imamo onoliko koliko je dragi Bog htio da imamo.
0:01:29,0:01:39,"Nema previše podataka o Novom zavjetu, ali ima dostatno za nešto otkriti o njezinu duhovnosti, o onome što je nosila u svom srcu."
0:01:40,0:02:05,Kad između onih dvjesto redaka u Novom zavjetu kojim se spominje Blažna Djevica Marija razdvojimo ono što su o njoj zavjetni autori zaključili ili razmišljali od onoga što je ona govorila i razmišljala onda možemo otprilike doći do povijesnog lika Marije djevojice iz Nazareta i ono što je nosila u svom srcu.
0:02:06,0:02:11,"Možda da pojasnim o čemu govorim, samo jedan mali primjer."
0:02:11,0:02:30,"Recimo, sveti Pavao, svojih trinaest poslanica, ako je autor svih trinaest poslanica, samo na jednom mjestu spominje i to neizravno blagu djevojicu Mariju, ali taj spomin je silno važan, to je galačanima četiri četiri kaže Pavao otprilike ovako, kad dođe punina vremena, odasl boga sina svoga, od žene bi rođen."
0:02:30,0:02:33,"To je, sad mi to nazivamo, to je teologija."
0:02:33,0:03:04,"Dakle, sigurno napravljena pod utjecajem Duha Svetoga, dio je objave, ali Paavo praktički kroz taj jedan neizravan spomin Blažene Divice Marije nama koji se onda dalje bavimo teologijom na temelju božanske riječi, puno toga je u toj jednoj riječi, puno toga je dao, mi toga sad isključujemo, zaključujemo o Marijinoj ulozi u Božjem naumu spasenja i kako se praktički u središtu tog nauma nalazi Marija kao žena koju Bog želi kao partnericu u tom, u provođenju svog nauma spasenja."
0:03:05,0:03:09,"Ali to je sad naše teologiziranje, ono ne govori ništa o onome što Marija nosi u sebi."
0:03:09,0:03:24,"Zato se moramo vratiti na one nove zavjete retke koje nam prikazuju Mariju u njezinim riječima, u njezinim gestama, u njezinim stavovima i pokušati nešto otkriti od bogatstva njezina duhovnog života odnosno ljepote njezine duše."
0:03:25,0:03:34,"E sada ako se približimo novozavjetnim recima vidimo da nema puno toga što je Marija izrekla, jako malo."
0:03:35,0:03:41,Imamo nešto recimo kod Marka dva spomena ali Marina ni praktički nijedna riječ.
0:03:42,0:03:44,Kod Mateja u.
0:03:45,0:03:49,"U Evanđelju djetinjstva prva dva poglavlja, Matej piše iz perspektive sv."
0:03:49,0:03:52,"Josip, opet gotovo Marina nijedna riječ."
0:03:52,0:04:05,"Tek nam više podataka donosi sveti Luka, u prva dva poglavlja i Sveti Ivan u drugom poglavlju gdje imamo Marinu riječ i u devetnaest poglavlju gdje imamo Marinu gesto recimo."
