Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:21,"Drage gledatelji, dobrodošli u našu novu epizodu Jednog ti nedostaje, Frante i ja dođemo do 35."
0:00:21,0:00:24,"rijetka Marko evangelija, 10."
0:00:24,0:00:24,poglavlja.
0:00:25,0:00:32,"I imamo nakon u prošloj epizode u kojoj ispominjemo Isusa u smrti, navijašta je muka i patnja itd."
0:00:32,0:00:38,"Ovdje imamo Frante opet ovu scenu gdje mu dolaze učenici i nekako tu priče o hijerarhiji, o časti."
0:00:38,0:00:42,i očasti i moći nakon što Isus navještava da će stradati.
0:00:42,0:01:04,"To je sljedeća strategija koju Marko pokazuje kad se ja bojim vidjeti patnju koja stoji i kad želim to izbjeći, kad bježim u tu volju za neznanjem, kad bježim u samobmanu, jedna od moći je da tražim privilegije, da tražim moć, da tražim neko svoje mjesto i da ostanem zaslijepljen za patnju koja dolazi."
0:01:05,0:01:08,I to je opis Jakova Ivana.
0:01:08,0:01:16,Dakle imali smo najprije Petra koji ništa nije razumio i koji je učitelja htio skrenuti u drugu stranu.
0:01:17,0:01:28,"Sad imamo Jakova Ivana, tu drugu dvojicu iz tog uskog kruga koji ništa ne razumiju i bave se svojim mjestom u kraljevstvu kako ga one zamišljaju."
0:01:30,0:01:42,"Jedna od teza nekog egzegeta je bila da je cijelo Markovo poglavlje napisano kao osveta protiv Petra Jakova Ivana, neka vrsta, sad ću vam jasno kazati tko ste vi."
0:01:43,0:01:50,"Ali u principu je riječ o tome da mi vidimo tko su ti apostoli, kako su oni to nerazumijevali učitelja."
0:01:50,0:01:57,"Ja mislim da ova strategija moći koja se sad pojavljuje jako, jako prisutna i jako važna."
0:01:58,0:02:04,Zato je onako za naš zadatak da vidimo kako je to Marko upisao.
0:02:05,0:02:13,"Jer Marko počinje s tim da oni dolaze Isusu i kažu učitelju, htjeli bismo da nam učiniš što te zaštitimo."
0:02:15,0:02:21,"Ali ja bih se najprije pitao, pa dobro, tako zglede uglavnom naše molitve."
0:02:22,0:02:26,Svi mi dođemo u kapelu i hoćemo da Bog učini to što mi molimo.
0:02:27,0:02:29,To je forma naših molita.
0:02:29,0:02:30,A piše budi volja tvoja.
0:02:30,0:02:36,"E, i govorimo tu formulu budi volja tvoja, ali ti učini to što je volja moja."
0:02:36,0:02:43,"Tako da nekako je u tom važan moment, htjeli bismo."
0:02:44,0:02:53,"Isus neće reći vi krivo želite i nemojte vi dolaziti sa svojom voljom, nego kaže što hoćete da vam učinim."
0:02:54,0:02:55,Što ja čitam ovdje?
0:02:56,0:03:06,"Čitam da nas Isus razumije vrlo dobro, mi smo bića želja, volje, htjenja i to se ne smije gušiti."
0:03:07,0:03:10,Samo je pitanje kamo ćemo kanalizirati svoju volju.
0:03:12,0:03:33,"Drugo što čitam, to je ako uključimo, moramo uključiti tekst koji dolazi nakon toga da će biti susret sa Jerihovskim slijedom Bartimejem, da će biti isto pitanje postavljeno Bartimeju kao što ga postavlja Jakuvo Ivanu, što hoćete da vam učinim, njemu će biti što hoćete da ti učinim."
0:03:34,0:03:40,"Razlika je u odgovoru, kad oni kažu što oni hoće, Isus im neće učiniti."
0:03:42,0:03:44,Kad Bartimej kaže što hoće on će mu to učiniti?
0:03:45,0:04:14,"Dakle očito je da je riječ o jednoj volji koju ova dvojica nisu dobro kanalizirala i mislim da je to jedna važna lekcija zato što se u njihovoj volji da dobiju ono što žele krije jedna moguća samobnana svakoga od nas, da zatvorimo oči za patnju i sve ono što slijedi, što ga čeka u Jeruzalemu i da se vežemo samo uz nešto što ja hoću."
0:04:15,0:04:19,"I možemo izravno odmah vidjeti što je to što je dobro, ono što hoće."
0:04:20,0:04:25,"Oni mu rekoše, daj nam da ti u slavi tvojoj sjednemo jedan s desna, drugi s lijeva."
0:04:26,0:04:26,Što hoće?
0:04:27,0:04:28,Hoće sjediti u slavi.
0:04:30,0:04:39,"Slava je njegova, ali nema veze u slavi bilo koju da sjediš, ti si dobrodošao, ti si u slavi, to je vrlo onako jaka slika."
0:04:39,0:04:44,I ja mislim da je ona prisutna u velikom dijelu naših života.
0:04:46,0:05:01,"Mi hoćemo grijati se na nekom suncu kojeg smo otkrili, mi hoćemo ubrati dio slave koju je netko drugi stekao, mi se hoćemo kititi nekim uspjehom koji je netko drugi dobio."
0:05:03,0:05:25,"Ko hoćeš gledati u sport i nas kao sportsku naciju, mi svi hoćemo sjediti u slavi nogometaša, rukometaša, vatrepolista, da ne preskočim nekoga ili pojedinačnih sportaša, bilo oni koji skijaju, bilo onim što skaču po različitim preprekama ili preponama, mi hoćemo sjediti u slavi."
0:05:25,0:05:27,To je jedna naravna ljudska želja.
0:05:28,0:05:37,"I ova dvojica kažu što hoće, vrlo su iskreni, vrlo su otvoreni, nije im želja ugušena, nije Isus rekao to ne smijete htjeti."
0:05:38,0:05:45,"Kršćanstvo nije nikakva duhovnost u kojoj ja gušim to što bih htio iznutra, u kojem ne smijem reći to što bih htio."
0:05:46,0:05:54,"Kršćanstvo nije privid da ja skrivam neku svoju želju pa da se pravim da je nemam, a da onda i da čekam da se ona ispuni."
0:05:54,0:05:55,To je iskrivljen život.
0:05:56,0:06:01,"Ovdje imamo vrlo jasno, mi znamo što hoćemo i to te molimo, hoćemo biti u tvojoj slavini."
0:06:01,0:06:09,"Jer nemoguće da ljudi to pitaju, mislim zato što je u pogledu prije imamo ovo nevještoje smrti i znaju što ih sve čeka."
0:06:09,0:06:17,"I onda kažu ajde to na nas možda se čeka, ali možda dugoročno ćemo ipak biti u slavi, pa ako nam obećaj slavu možda lakše i podnesemo i u patnju."
0:06:18,0:06:31,"Ja mislim da je stvar još grublja i ja ću je izravno kazati, ti si sad govorio da će ti, što će ti ljudi napraviti, ta ta ta ta ta ta ta i ubiti ćete, to je tvoja stvar, tebi i tako neće biti."
0:06:32,0:06:34,"I za tebe, šta ćemo mi dobiti?"
0:06:35,0:06:39,"I za tebe, šta je to o nama, daj ti nama da mi budemo u tvojoj slavi."
0:06:40,0:06:46,"To je to, ok, dobro, ti ćeš patiti, ali ne moram ja, ja mogu iskoristiti to, mogu dobiti nešto od toga."
