Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:17,"Hvaljen Isus i Marija, dragi gledatelji."
0:00:17,0:00:20,Frante i ja dođemo negdje do sredine 11.
0:00:20,0:00:28,poglavlja Marko Evanđelja i u zadnjoj epizodi smo završili onu priču sa izgonom trgovaca iz hrama.
0:00:29,0:00:39,"Prije tog izgona Isus na izlasku iz Betanije susreće onu smokvu koja iz daleka gledana ima puno plodova jer ima puno lišća., ali kad se približi Isus vidi da nema plodova."
0:00:39,0:00:43,Danas smo rekli da je to slika hrama koji ne donosi duhovni plod.
0:00:44,0:01:04,"Danas imamo nastavak te priče, a to je onaj takozvani Marko Sandvić, kada Isus i njegovi učenici punovo nailazi na tu smokvu i vide da je osušena, odnosno da Isusova riječ što kažu pizza, da ima učinak, jel kad on proklinje ona bude prokleta, iako to jako grubo zvuči, kako to da Isus proklinje?"
0:01:04,0:01:06,"Moramo čak oko toga krenuti, zar Isus proklinje?"
0:01:06,0:01:14,"Mislim, mi smo zadnji put već rekli da je riječ o simbolici i da simboliku treba uzeti ozbiljno."
0:01:14,0:02:06,"Dakle, osušena smokva simbolizira nekoliko stvari, simbolizira hram koji je na oko lijep, uređen ali iznutra ne donose nikakve plodove, simbolizira sliku koju smo preuzeli, nisu se ovo vrijeme njegovi suvremenici ali se događa i nama da je to bol koji je, do kojega je stalo do izvanskoga, do nekog reda i sad nas isus hoće naučiti da mu je, da treba vidjeti koje plodove donosimo, simbolizira vjeru koja je mrtva jer nema plodova, ali ima ukrase, prikazivanje, ima tradiciju, simbolizira na koncu Isusov život koji će kao mlad biti sasječen, bit će ubijen, dakle on će, njegov život će biti osušen."
0:02:06,0:02:16,"Dakle imamo puno simbola vezane uz hram, hram kako je izgledao, sliku našeg Boga i Isusa koji sad postaje novi hram."
0:02:16,0:02:25,"Dakle imamo razliku između toga kakav je hram koji je odbačen, koji treba biti osušen da bismo u Kristu raspetom prepoznali novi hram."
0:02:25,0:02:33,I u ovom današnjem tekstu imamo tri elementa koji govore o tom kako izgleda novi hram.
0:02:33,0:02:49,"Možemo možda čak i onako vrlo široko slobodno kazati da je osušena smokva stari hram koji je završio svoj život, osušen do korijena, a novi hram izgleda u onom što Isus poučava."
0:02:49,0:02:59,"Jer se zapravo dogodilo da je smokva koja je sutra dan, mi smo treći dan od Isusa od zalaska u Jeruzalemu, postaje učiteljica."
0:03:00,0:03:06,Isus na smokvi gradi pouku tog dana i mislim da je to sružen današnjeg teksta.
0:03:08,0:03:10,Petar primjećuje da je smokva usahla.
0:03:11,0:03:15,Imali to ikakvog dubljeg značenja ili je on kao prvi od apostola?
0:03:16,0:03:26,"Petar je čovjek koji se sjeća što je Isus rekao, to će biti njegovo obilježje i kasnije jer će se sjetiti što mu je rekao za večerom kad pro pjeva pjetao."
0:03:27,0:03:38,"Petar je čovjek koji se prisjeti što je Isusova riječ značila kad ju je rekao, premda je tada nije razumio, ali se prisjeti kasnije."
0:03:38,0:03:49,"To je jedna od važnijih obilježja i za Crkvu koja će budući da je Isus puno toga rekao, tek onda kad dođe Duh razumjeti što je to već bilo rečeno."
0:03:49,0:03:50,"Dakle, to je jedno od obilježja."
0:03:50,0:04:03,"Drugo obilježje to je da su oni prolazili i novi Hram nije više statički, nije više na jedno mjesto, novi Hram je onaj koji putuje ili Hram je tamo gdje je učitelj, gdje je Isus."
0:04:04,0:04:11,"To obilježje novog Hrama je da se Bogu klanjamo u Duhu istine, a ne na nekom samo mjestu."
0:04:12,0:04:25,"Tako da u tom što su oni, kako da kažem, prolazili pored smokve, to što je Petar zapazio i to što se sjetio Isusove riječi, sada odjedanput počinje spajati sve što se događa."
0:04:25,0:04:46,"Dakle ne vidi samo suhu smoku, nego je spaja sa Isusovim riječima i to mu postaje znakovito i značajno u odnosu na ono što je Isus govorio o hramu kojeg su imali pred sobom, u kojeg su ušli, kojega je istjerao, ono što stvara mrtve odnose, ono što uništava sliku Boga, trgovce."
0:04:46,0:04:50,I sad imamo pitanje što je to novi hrana.
0:04:50,0:04:52,To će biti sada pouka koja dolazi.
0:04:53,0:05:00,"Dobro, pošto svi dolaze iz židovskog jednog ambijenta, okruženja, to sjećanje im je bilo urođeno."
