Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:18,"Srdačnom pozdravu, dragi ljubitelji Marko Evanđelja."
0:00:18,0:00:26,Frante i ja dođemo do kraja jedanaestog poglavlja i ovog dijela koji se zove ili kojeg smo nazvali odakle je Isusu vlast.
0:00:27,0:00:31,Prije toga je Isus istjerao ove prodavače i ekipu iz hrama.
0:00:31,0:00:46,"nama, usporedio je sam hram sa osušenom smokom, zadao jedan jak udarac pismoznancima, farizejima i glavarima svećeničkim i prije svega njihovom autoritetu jer oni su crpili taj autoritet i hranili se tom pozornošću koju su dobivali od puka."
0:00:46,0:01:05,"Sada odjednom Isus mnoštvo ljudi pridobiva na svoju stranu jer im daje ono od čega su oni gladni, daje im duha, daje im Boga konkretno, kontakt, daje im ljubav, daje im ovaj odnos, a ne samo puku, puki običaj odnosno izvršavanje nekakvih stotina nekakvih zapovijedi."
0:01:07,0:01:15,"Ovdje i sad susrećemo, tojest dolazimo do situacije kada Isus upotrebljava njihovu metodu u komunikaciji."
0:01:15,0:01:16,"O čemu se tu zapravo radi, Frante?"
0:01:18,0:01:54,"Ja mislim da se sukob poštrava što idemo dalje, poštrava se, mi smo još uvijek u trećem danu i taj treći dan će trajati cijelo dvanaest i trinaest u pola, dakle to je vrlo dugi dan, ima puno rasprava unutra, sukob je na vrhuncu i događa se u javnosti ispred hrama u tom platovu gdje je mnoštvo ljudi kojima Isus govori i poučava ih i u tom trenutku dolaze k njemu grupa ljudi koja je sastavljena od tri različite vrste, to su glavare svećenici, pismoznanci i starješine."
0:01:55,0:02:01,"I postavit ćemo jedno krupno pitanje, pitanje je bilo s kojom vlašću to činiš, što?"
0:02:02,0:02:08,"Pa to da dolaziš u hram i uvodiš neki tvoj red, pa to da ti se ponašaš kao da to tvoje."
0:02:08,0:02:09,Tko ti je dao vlast?
0:02:11,0:02:18,"Ti nisi svećenik, ti nisi službenik u hramu, zna se tko ima vlast, ti remetiš red, s kojom vlasću?"
0:02:19,0:02:20,Tko ti je ovlastio?
0:02:20,0:02:21,"Da, odakle to?"
0:02:21,0:02:23,"Dakle to je krupno pitanje, to što su oni vlast."
0:02:24,0:02:28,"I kad mi pogledamo koja je to vlast, mi ćemo naći jednu univerzalnu sliku."
0:02:29,0:02:32,"Riječ je o glavarima svećeničkim, to je religiozna vlast."
0:02:33,0:02:41,"Riječ je o pisnoznancima, tu su predstavnici kulture, književnosti, medija ako hoćeš."
0:02:41,0:02:46,"I riječ je o starješinama, tu su predstavnici financija ako baš hoćeš."
0:02:46,0:02:56,"Ta tri velika, golema bloka u kojima se pokazuje vlast i moć u našem svijetu dolaze k njemu i kojom ti to vlašću činiš."
0:02:57,0:03:11,"Ja mislim da su ljudi, ovi predstavnici ove tri forme vlasti i moći jako osjetljivi na svako ugrožavanje vlasti i moći kao što bi svatko drugi bio."
0:03:12,0:03:16,Ti ne možeš doći u banku i reći ću sad ću vam ja rasporediti gdje će ta novac ići.
0:03:16,0:03:25,"Ti ne možeš doći niti političar, već sad ćemo u prilike ići ovom stranom, a ne možeš doći niti u hram i reći sad ćemo napraviti ovakav raspored."
0:03:25,0:03:29,"Dakle, već postoje vrlo uigrane igre moći."
0:03:30,0:03:34,Ono što se dogodilo s Isusom dogodilo se već davno na samom početku.
0:03:37,0:03:40,"Mislim, Mislim priča je kako da kažem vrlo složena."
0:03:41,0:03:45,Na početku je Ivan Krstitelj krstio na Jordanu.
0:03:46,0:03:53,"On je bio sin svećenika, svećenik iz roda svećeničkog."
0:03:53,0:03:56,"On bi trebao biti u hramu, a nije nego na Jordanu."
0:03:58,0:04:00,To znači imao određenu kritiku prema hramu.
0:04:01,0:04:05,"Isus je došao k njemu, ne došao u hram na početku javnog djelovanja."
0:04:06,0:04:22,"To znači da su ovi u hramu to zabilježili u smislu nekog vrlo jasnog pogleda što to rade ova dvojica i sad je Ivan Krstitelj je uklonjen, što to radi sad ovaj, kojom vlašću."
0:04:23,0:04:31,"Drugim riječima oni su strahovito osjetljivi da im on krade vlast, da je njihova vlast ugrožena."
0:04:32,0:04:35,I mi znamo na koji način je ta vlast ugrožena.
0:04:35,0:04:54,"Mi smo već susreli kad je bio u hramu i propovijedao da su oni bili već donijeli odluku da ga ubiju ali se boje naroda jer je narod zapravo pokazao sklonost, naklonost ili poklonio pozornost onom što Isus govori i što čini za razliku od ovih."
0:04:54,0:04:57,I njima se pojavljuje pitanje tko je on vlasnik.
0:04:57,0:05:01,"Drugim riječima mi imamo vlasništvo ovdje, ne ti."
0:05:01,0:05:04,Kako ti to se usuđuješ dirati?
0:05:05,0:05:16,I razgovor će biti vrlo zanimljiv zato što Isus neće u jednom trenutku upasiti upasti u ulogu propitanoga koji mora odgovarati nego se pojavljuje kao suveren.
0:05:17,0:05:26,"Dakle, onega svojim pitanjem žele staviti pred zid, žele pred narodom pokazati ti nemaš vlast i činiti to što činiš ovdje."
0:05:28,0:05:31,Njegova reakcija pokazuje tu suverenost u Hrvatskoj.
0:05:31,0:05:36,"Ta suverenost dolazi od Atleda, on kaže jedno ću vas upitati."
0:05:37,0:05:41,"Znači, on će sada na njihovo pitanje postaviti pitanje."
0:05:43,0:05:53,Teško je nesjetit se onog što mi u šali kažemo da kad nekog Isusovca nešto pitate da on redovito odgovori protu pitanjem.
0:05:53,0:05:59,Pa su jednog Isusovca pitali zašto vi Isusovci kad vas tko nešto nešto pita vi odgovorite protu pitanjem.
0:05:59,0:06:00,A zašto ne?
0:06:01,0:06:07,"Dakle, imamo ovdje taj, mislim tu cijelu logiku koja je vezana uz pitanja."
0:06:07,0:06:13,"Dakle, on će sad postaviti pitanje, a to je odgovorite mu pa ću vam kazati kojom vlašću ovo činim."
0:06:14,0:06:19,"Krst Ivanov bijaš li od neba ili od ljudi, odgovorite mi, dva puta im kaže odgovorite mi."
0:06:19,0:06:31,"Drugim riječima mijenja se odnos jer je on postavljen u situaciju da odgovara, ali on neće odgovarati nego odgađa svoje odgovore i kaže ako vi mene ne odgovarate."
0:06:31,0:06:37,"Dakle, on postavlja sad njih pred narodom u hramu, u srcu hrama da odgovore na pitanje."
0:06:37,0:06:58,"To je, mislim, to nas dovodi do toga da se susretnemo s tim što to pitanje uopće radi, koja je to moć u pitanju i mislim pitanja ima vrlo različitih, nama su pitanja iznimno važna, ako netko hoće nešto naučiti mora postaviti pitanja, dakle samo onaj tko zna postaviti dobro pitanje naći će mogućnost da dobije dobar odgovor."
0:06:59,0:07:23,"Ali pitanja ima koja su vrlo kruta, pitanje se može pretvoriti u oružje, pitanje može biti obsceno, ja pitanje mogu drugoga natjerati da bi odgovara na nešto što možda ne bi htio, jer ja pitanjem probijam opnu zaštitu njegove intimnosti i postavljam ga posebno pred drugima, pred pitanjem."
0:07:23,0:07:36,"Znači pitanje može sramotiti drugoga, može natjerati da se srami pred drugima ali ga može natjerati i u stid, u osjećaj da sad moram izložiti ili da sam već pitanjem izložen nečemu što ne bih htio."
0:07:36,0:07:38,To može biti vrlo banalno pitanje.
0:07:38,0:07:41,"Primjerice, zašto ti igraš sa tom lovkom?"
0:07:41,0:07:42,Zbog trauma iz djetinjstva.
0:07:43,0:07:56,"Dakle, to je vrlo neugodno pitanje u smislu da ja sam tebe prisiljava da ti moram se baviti nečim što je posve nevažno, ali sam te prisilio da odgovaraš na moje pitanje i da ja budem onaj koji postavlja tebe u pitanje."
0:07:57,0:08:59,"Dakle, imamo kako da kažem cijelu jednu školu koja se bavi uopće tim što pitanje može činiti, na koji način pitanje može ogoliti drugog čovjeka, dovesti ga u nezgodnu situaciju, postaviti nekome pitanje koje on ne očekuje pa ga dovesti u to da se osjeća nelagodno ili ga pitanje možemo izvesti iz njegovog konteksta i staviti u sasvim suprotni kontekst ili ako hoćeš možemo razgovarati o tome zašto je pitanje asimetrično, zašto onaj koji pita je suveren i iznad onoga tko mora odgovarati, zašto je to položaj profesora koji je superioran, na kojem se može vidjeti njegova moć za razliku od studenta koji mora moći odgovoriti i koji se može naći u nelagodnoj situaciji, zašto netko tko ima tu moć može na neki način manipulirati s drugim, može ga ranjavati, može ga učiniti da se srami, stidi, da se osjeća nelagodno."
0:09:00,0:09:05,"Dakle, ta pitanja su vrlo široki spektar koji pokriva naše ljudske odnose."
0:09:06,0:09:23,"A ono što imamo ovdje u razgovoru o Hrvanu je da Isus ne dopušta da ga se stavi pred zid, da ga se osramoti, da se on postidi, da bude u nekom drugom kontekstu, nego se pojavljuje kao vrlo suveren i postavlja njima pitanje."
0:09:23,0:09:26,I to pitanje je sada jako kritično za njih.
0:09:26,0:09:30,"On će njih ogoliti pred narodom, narod je tu prisutan."
