Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:19,"Srdačno vas pozdravljamo, dragi štioci Marko Evanđelja."
0:00:19,0:00:24,Franta i ja dođemo do samog početka 12.
0:00:25,0:00:29,poglavlja i one famozne priče o vinogradarima ubojicama.
0:00:29,0:00:33,"Ubojica je strašna riječ, vinogradari nešto ljepša."
0:00:35,0:00:40,"koji je kontekst Frante, o čemu se tu zapravo radi, što će Isus uopće slika vinograda?"
0:00:40,0:01:05,"Mi smo imali pred sobom obilježje novog hrama koji je Isus, on je novi hram za razliku od starog hrama i ovo je sad priča što se dogodilo sa starim hramom ili na neki način u javnosti izrečena prispodoba slika koju slušaju predstavnici starog hrama, kako smo došli do tog gdje jesmo, kako smo postali takvi što jesmo."
0:01:06,0:01:09,I priča je vrlo predstavljajuća precizna.
0:01:10,0:01:16,"Dakle, Isus uspoređuje izabrani narod, hoćeš hranu sa vinogradom."
0:01:16,0:01:45,"Vinograd je najprije onako vrlo privlačna slika i možda prva stvar koju bi trebalo znati je da se vinograd ne gradi na početku organiziranja zajedničkog života, trebaš organizirati puno drugih stvari da bi mogao doći do vinograda, moraš kako ćeš prehraniti se, kako ćeš se napojiti, kako ćeš se zaštititi od vremenskih nepogoda, tek onda kad to sve bude dovršeno i gotovo dolazi vrijeme za vinograd."
0:01:45,0:02:05,"Moraš pronaći neki položaj koji je izložen suncu, neku padinu gdje se voda ne zadržava nego je tlo ocidito, moraš pronaći dobru sortu koja odgovara toj zemlji jer vino dolazi iz te velike suradnje zemlje, sunca, kiše, vode i ljudskog rada."
0:02:06,0:02:15,"Taj ljudski rad dolazi tek na koncu nakon puno ovih stvari koje čini kako da kažem Bog, priroda, koje čini da bi moglo uopće doći do vinograda."
0:02:15,0:02:39,"I onda kada se sve to napravi, kad izabiremo sortu, kad naučimo kako uzgajati grožđe i kad grožđe dozori onda počinje drugi dio poslova, a to je da grožđe treba otrgati, obrati, da ga treba razvrstati, razabrati, pa onda ga treba umastiti, pa od toga napraviti vino, pa treba reproći neko vrijeme da dođe vino, da ga staviš na stol i da onda kad piješ osjetiš radost."
0:02:39,0:03:15,"Sve vodi prema tom radosti, ali slika je precizna u tom što Isus kaže nekoliko važnijih glagola što je gospodar učinio, kaže da je posadio, ogradio, iskopao, podigao, dakle puno blagola koji opisuju koliko truda je unošeno, koliko truda je Bog unio u stvaranje naroda izabrano, koliko truda je unošeno da bi imali hram, koliko truda je unošeno da Bog hoće da kroz taj izabrani narod uđe radost u svijet."
0:03:16,0:03:40,"I priča govori da je se dogodilo razočaranje da oni kojima je to povjereno nisu ispunili svoj zadatak da su učinili suprotno, neočekivano, grozno, da su ne samo uskratili rod vlasniku vinograda nego su i njegove vlasnike maltretirali, tukli, pobili."
0:03:40,0:03:46,"Dakle, ta priča govori vrlo precizno o povijesti izabranog naroda u odnosu prema Bogu."
0:03:47,0:04:11,"Jedan važni detalj, on se stalno pojavljuje na različitim mjestima i u različitim prispodobama Isusa i mislim da je jako važan za shvaćanje kako Bog stvara i kakav je njegov odnos prema onom što je stvorio, to je da je vlasnik vinograda sve to dobro napravio i onda je iznajmio vinogradarima, dao da upravljaju njegovim vinogradom netko drugi i otišao."
0:04:11,0:04:22,To da je otišao to je važna slika jer ona govori da Bog nije tu i stalno nadgleda što ljudi rade nego im je dao prostor slobode.
0:04:23,0:04:54,"Slika je još dublja jer imamo židovstvu u jednom ističnom struju koja se zove Kabala, oni imaju jednu sliku o Bogu i ona je zadnje vrijeme često izlazi van jer je vrlo onako upečatljiva, govori se čak o tome da ima svoje ime, Zimzum se zove, koja kaže što je to Bog napravio prije nego je stvarao svijet jer Bog je bio sve, sve u svemu, iznad Boga nije bilo ništa."
0:04:54,0:05:11,"I onda je Bog da bi mogao dati prostor slobode onom što neće biti ono što će on stvoriti povukao se u usne, ušao u usne, znači svojevoljno učinio sebe da tako kažem manjim, udaljenijim da osnovi prostor za ono što će biti."
0:05:11,0:05:15,"Dakle, to je slika koju Isus kaže da je Bog sve napravio i povukao se."
0:05:16,0:05:26,Ja mislim da je to jako važna slika jer ona ostavlja prostor za slobodu ljudsku i za pitanje što ja radim od onoga što mi je u ovom slučaju iznajmljeno.
0:05:27,0:05:32,I to počinje onda biti jedna jaka slika za puno naših stvari u životu.
0:05:33,0:05:37,"Riječ je o izabranom narodu, riječ je o hramu, ali riječ je i o nama."
0:05:38,0:05:43,Riječ je o tome da smo mi svojim tijelom svojom egzistencijom na sličan način stvoreni.
0:05:44,0:05:52,"I kao da kažem i nama je naše tijelo iznajmljeno i nama je vrijeme koje imamo iznajmljeno vrijeme, to nije naše vlasništvo."
0:05:52,0:06:05,"Ja nikad nisam dobio svoje vrijeme u vlasništvu i znam koliko ga imam i da ga mogu množiti, ali mi je dano na uporabu, dano mi je kao nešto s čim mogu baratati, upravljati kao da je moje."
0:06:06,0:06:11,I ova prispodoba kaže doći će trenutak kad će vlasnik reći što si napravio od toga.
0:06:11,0:06:17,"Ja bih htio tu radost, ja bih htio kušati vašu radost, htio je kušati što ste napravili."
0:06:18,0:06:54,"Cijela drama ove priče je da kad on pošalje svoje vlasnike da oni to ne mogu podnijeti jer su se iznutra pretvorili od ljudi koji rade sa iznajmljenim u vlasnike misleći njega i onako nema, otišao je, nema nikakvog razloga da ja ne bude vlasnik, da to ne bude moje i tu počinje drama s čovjekom, drama koja se reflektira u vrlo različitim odnosima gdje čovjek počne misliti da je on vlasnik onoga što mu je darovano?"
0:06:55,0:07:13,"Da, to možemo povući paralelu recimo sa današnjom Crkvom odnosno sa shvaćanjem mogućim shvaćanjem, ne govorim o imenima, ali sa shvaćanjem da je Crkva naša, Crkva je moja i ja s njom radim što hoću, ja sam njezin gospodar, ja sam tu šef."
0:07:13,0:07:30,"I kad se meni to dogodi već je sve otišlo u krivo, znači riječ je o istoj slici, ali to nije samo pitanje Crkve nego u trenutku kad ja počnem shvaćati ono što je meni dano da s tim upravljam kao svoje vlasništvo već je sve pošlo krivo."
0:07:30,0:07:34,"Ja mislim čak i na parole koje dolaze do nas moje tijelo, moje vlasništvo."
0:07:34,0:07:52,"Mislim to je najprije vrlo neinteligentna parola jer nitko od nas nikada nije postao vlasnik svoga tijela, nitko nije kupio, nitko nije zaradio, mi smo darovani sebi u tom tijelu u vremenu koje imamo."
0:07:52,0:08:20,I ta neprimjerenost da ja ne vidim da to nije došlo iz moje volje jer mene nije bilo je zapravo jedna vrsta slijepila u koju mi možemo upasti i doživjeti grozno iskustvo primjerice da to što ja smatram svojim vlasništvom u jednom trenutku otkaže meni poslušnost pa dođe bolest i kaže tko je sad vlasnik ili kad dođe smrt pa kaže tko je sad vlasnik.
0:08:21,0:08:28,Znači ja mislim da tu leži nešto krupno za naše shvaćanje onoga što smo dobili.
0:08:29,0:08:32,To je otprilike kao vinograd koji nam je iznajmljen.
0:08:32,0:08:37,"Ja mogu sa onim što mi je iznajmljeno činiti sve kao da je moje, nemam nikakve razlike."
0:08:38,0:08:54,"Ali ako poštujem da ima netko tko mi je to dao, ja u jednom trenutku mogu uspostaviti odnos s njime, mogu se zajedno radovati s njime, mogu biti u suglasju s njim, mogu imati i drukčiji odnos sa drugima koji sudjeluju u istom vinogradu tako kažem."
0:08:54,0:09:01,"Ili se pretvoriti u nasilnika koji brani sada navodno svoje vlasništvo, ubijajući svakog vlasnika."
0:09:02,0:09:08,"I to se može dogoditi, to se dogodilo u hramu, to se događa svakodnevno u svijetu u kojem živimo."
0:09:08,0:09:19,"To je stvar duhovnog slijepila, to je stvar ako ćemo reći lošeg odgoja, možemo reći nekakve navezanosti na zlo, nepovjerenja u dobro i sl."
0:09:19,0:09:46,"Ako netko ima tu količinu shvaćanja svoje slobode koja je toliko rastegnuta da ja mogu praktički sam sebe uništiti u ime te vlastite slobode, sebe i svoje potomstvo itede Da, mislim da sve počinje s tim da je vinograd po sebi dobar, poželjan i da daje plod koji je da čekamo, to je okus vina koji je okus neba, zemlje, rada i da donosi radost."
0:09:46,0:09:48,Ali ga mi možemo upotrijebiti u zlo.
0:09:49,0:10:01,"Mi možemo i tu počinje ona cijela priča Agustinova da nijedno zlo nije samostojno i ne počiva samo u sebi nego se uvijek na kalami, nalijepi na neko dobro i onda ga usmjeri u krivo."
0:10:02,0:10:03,I to je priča isto o vinogradu.
0:10:04,0:10:15,"Izabrani narod je po sebi dobar, hram je po sebi dobar, ljudski život je po sebi dobar, to što smo dobili u svom životu je po sebi dobro, ali mi to možemo usmjeriti u zlo."
0:10:16,0:10:20,Kad počne to u trenutku kad ja to pretvorim u svoje vlasništvo.
0:10:20,0:10:35,"Ja mislim da taj moment pretvaranja u svoje vlasništvo je krupan, veliki i ja negdje mislim da je on i često puta izlazi u našem zapadnom mišljenju kao krupni izazov da to razumijemo."
0:10:37,0:10:45,Što se dogodi kad netko u jednom prijateljskom odnosu počne misliti da je vlasnik svoga prijatelja?
0:10:45,0:10:52,"Što se dogodi kad između muža i žene koji se mogu darovati jednog drugom, jedno počinje misliti da sam ja vlasnik drugoga."
0:10:53,0:11:06,"Dogodi se raspad sustava jer ako netko misli da ima pravo na drugoga jer je on njegov, jer je on moj, ti onda jedanput više nemaš slobodno čovjeka pres ovo nego imaš svoje vlasništvo, nešto što ti pripada."
0:11:07,0:11:24,"Levinas je čak govorio da mi kad predmete smatramo svojim predmetom, kad ga opojmimo ili obuhvatimo pojmom kao što ga obuhvatim rukom, on više nije to što jest nego je on moje vlasništvo, nego je on postao u službi meni, nije slobodan."
0:11:24,0:11:31,A nama je jedna od najtežih stvari pustiti da stvari budu to što jesu i da drugi čovjek bude to što jest.
0:11:31,0:11:41,"Kad ja pustim da drugoga bude to što jest pa se on meni u svojoj dobroti pokloni, to je najveće što se može dogoditi."
0:11:42,0:11:54,"Kao kad možemo zamisliti vinograd koji je iznajmljen, pa oni koji su ga iznajmili, naprave najbolje vino i kažu gospodaru, probaj što smo napravili od vinograda koji si ti izgradio, imaju zajedničku radost."
0:11:55,0:12:04,"To je bilo to je bila ideja koju je Bog htio i mislim, nju mi možemo naći u proroku Izai je o pjesmi o vinogradu."
0:12:05,0:12:30,"Dakle, ta pjesma je slična kao što je i ova Isusova prispodoba, možemo čak reći da je ona paradigmatski, da je ona neki nacrt ove Isusove prispodobe jer opisuje sve to što je napravio ljubljeni u vinogradu i onda dođe do pitanja što sam još mogao učiniti za svoj vinograd, nadam se da će uroditi grožđem, zašto vinjagu izrodi."
0:12:32,0:12:55,"Dakle, razočaranje, golemo razočaranje, ali mi moramo razumjeti da Isus u ovom trenutku kada izriče golemo razočaranje Božje u odnosu na povijest Izraela, izabranog naroda, da u tom istom trenutku on tu koji hoće to razočaranje, kako da kažem, preokrenuti u spasenje, preokrenuti u najdublju Božju priču."
0:12:55,0:13:04,"Neće ih otpisati, neće ih odbaciti nego će učiniti to što je trebao izabrani narod učiniti, da unese radost u svijet."
0:13:04,0:13:13,"Isus će to s onim što ga čeka kroz nekoliko dana unijeti radost u svijet i ispuniti to za što je došao, da donijeti radosnu vijest."
0:13:13,0:13:21,Ja mislim to vino kao simbol radosti i onoga što je Isus donio kao radosna vijest je zapravo ista priča.
0:13:22,0:13:29,"Ovaj pokušaj nije uspio, ali ovaj Božji pokušaj u kojem je došao taj sin u trenutku kad ga odbace će učiniti upravo to."
0:13:30,0:13:32,"To što mi nismo mogli, to će Bog učiniti."
0:13:33,0:13:45,Meni je fascinantna taj misterij tog prekida komunikacije ljubavi između onoga kojemu je darovano i darivatelja odnosno to slijepilo.
0:13:45,0:13:51,"Odakle dolazi taj jedan, odakle gdje je korijen, gdje je uzrok, gdje je pravi izvor?"
0:13:52,0:13:57,Ja mislim da to počne u trenutku kad zaboravim zahvaljivati.
0:13:58,0:14:01,Ja mislim da je zahvalnost jedan veliki lijek ljudskoj duši.
0:14:02,0:14:08,"U trenutku kad ja zaboravim zahvaljivati, ja izgubim drugoga iz svoga obzora."
0:14:08,0:14:13,"Ono kao što je Niče govorio smo zbrisali Boga sa obzirom, pa ga više nema, nema tog Sunca, nema ga više."
0:14:13,0:14:19,"Mi smo ga izbrisali i u tom izbrisanju ja sam zapravo ostao sam, ja više nemam kome zahvaliti."
0:14:20,0:14:25,Ja naravno sada činim s tim što imam kao da je moje i počinjem se onda ponašati kao vlasnik.
0:14:25,0:14:32,A vlasnik koji se ponaša a da nema nikoga kome odgovara za svoje ponašanje je najgori mogući vlasnik.
0:14:33,0:14:49,"Ja doista mislim da bilo tko u životu tko nema nikoga iznad sebe, kome polaže račune o tom što radi je najgori mogući diktator., diktator kaže ja sam Bog i batina, iza mene nema nikoga."
0:14:49,0:14:58,"Znači u tom trenutku počinje sve loše, to je stara napad, za čovjek hoće biti kao Bog, da nema iznad sebe nikoga komu će polagati račune."
0:14:58,0:15:09,"Pa čak i ako si u startu bio kreposan, dobar čovjek, pošto ne možeš se ogledat u tuđoj dobroti i njegovim očima, tim vrlo vjerojatno ćeš prije ili poslije toliko zastraniti."
0:15:09,0:15:27,"Da, to je cijela priča, to se uvijek događa sa čovjekom koji izgubi ljudski temeljni kontakt sa drugim u kojem drugi nije to što ja hoću i nije po mojoj volji nego je drugi drukčiji i mislim da je to za nas iznimno važno."
0:15:27,0:15:33,Tu možemo naći i razloga zašto je ispovijed tako važna i zašto je drugi u ispovijedi tako važan.
0:15:34,0:15:59,"To je važno i to je važno za svijet u kojem mi živimo jer mi živimo u svijetu u kojem nam društvene mreže i umjetna inteligencija sve jasnije sugeriraju da smo mi prvi i zadnji i da naša riječ zapravo ima samo potvrdu tog drugoga, ali u realnom svijetu drugi je uvijek hrabar, drugi je uvijek pun otpora, drugi ima bolje, drugi ima svoje potrebe, drugi ima svoje vrijeme."
0:16:00,0:16:09,Ali u ovom umjetnom svijetu samo je moje vrijeme i moj način ponašanja jedini i ispravan.
0:16:09,0:16:11,I u tom trenutku ja gubim orijentaciju.
0:16:12,0:16:19,To je recimo problem kod vladara koji se okruže ljudima koji nemaju snagu reći ništa protiv.
0:16:20,0:16:24,"U Rimljani su to opisivali, to je krug laskavaca."
0:16:24,0:16:34,"Laskavci su ljudi koji će uvijek potvrđivati to što na vrhu kaže i još uvijek to hvalite, hvalite, hvalite bez obzira što on govorio."
0:16:34,0:16:49,"Na taj način on više nikad nema nikakvu šansu da vidi sebe realno u svijetu u kojem je, da vidi sebe u protivštinama, u suprotnostima, da se mora izboriti za suprotno umišljenje nego je sve usklađeno prema tome."
0:16:49,0:16:59,"I on sebe počinje doživljavati kao onaj koji je najmudriji, koji je najpametniji, kojem se nitko ne može usprotiviti jer nitko nema ništa drugo pametnijega."
0:16:59,0:17:07,"I u tom trenutku počinje najteži mogući grijeh, a to je da čovjek se ponaša kao da je Bog."
0:17:07,0:17:22,"Grci su to zvali hibris, to je iluzija u kojem čovjek misli da je nepobjediv, da je nezamjenjiv, da sve zna i da mu nitko nema ništa drugo reći i u tom trenutku on se ponaša kao da je Bog."
0:17:22,0:17:27,To je trenutak kad počinje gubiti i to je trenutak kad se hram urušava.
0:17:28,0:17:38,"Taj hram će se, to Isus govori izravno u ovoj prispodobi, urušiti, ali tako da oni koji će ga urušiti ne znaju što čine."
