Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:20,"Poštovani dragi ljubitelji Marko Evanđelja, dobrodošli u još jednu epizodu."
0:00:20,0:00:23,Frante i ja dođemo negdje do sredine 12.
0:00:23,0:00:32,"poglavlja i teme najveća zapovijed, to jest ona zapovijedi Frante o ljubavi prema Bogu i ljubavi prema čovjeku."
0:00:32,0:00:36,To je zapravo srž cijele Biblije i srž svoje poruke.
0:00:36,0:00:47,"Kad ovaj pismo znanac pristupi Isusu, pitaj ga koja je najveća zap zapovijedi, odgovara onako šablonski ili katekizamski one dvije glavne zapovijedi."
0:00:49,0:00:54,Jeli se oko te dvije zapovijedi i danas naš kršćanski život može vrtiti?
0:00:54,0:00:56,Jel je to nama i dalje srce Evanđelja?
0:00:59,0:01:07,"Ako Isus kaže da je to najvažnija zapovijedi, da u njoj visi sav zakon i prorocima, naš odgovor može biti samo je."
0:01:09,0:01:27,"Meni je zanimljiva pozadina kad se događa ovo pitanje, dakle pismoznanac, možemo reći skoro zlura do postavlja pitanje kad je vidio da je Isus sad duce ušutkao."
0:01:27,0:01:36,"Pismoznanci vjeruju u uskrsnuće, sad duce i ne vjeruju, sad je Isus njih ušutkao i njima to ide u prilog."
0:01:37,0:01:51,"Ali neće proći dugo, oni će se naći puno bliže protiv Isusa nego li s Isusom koji je u ovom slučaju njima bliži zbog tog, istog stava prema uskrsnuću."
0:01:53,0:02:04,"I sad on dolazi sa pitanjem koje je također neka vrsta klopke., o prvoj zapovijedi, najvažnijoj zapovijedi o sviju."
0:02:05,0:02:12,I Isus počinje onako kako je to nama prenašeno u ponovljenom zakonu.
0:02:13,0:02:23,"Čak možemo reći da je možda pretpostavka uopće ovih prvih zapovijedi u prvoj rečenici slušaj Izraele, šma Izraele ili čuj Izraele."
0:02:25,0:02:32,Nijedna zapovijed ne može biti ni prva ni zadnja ni velika ni mala ukoliko ja ne slušam.
0:02:33,0:02:38,"Pretpostavka da uopće zapovijed dođe do mene je otvorenost uha, slušanje."
0:02:40,0:02:57,"U biblijskom kontekstu slušanje nije samo fenomen akustični, da mi imamo dva uha kojima čujemo zvukove i čujemo riječi i razumijemo što se događa, a slušanje je vezano uz drugi glagol koji ima isti korijen uz posluh, uz poslušnost."
0:02:59,0:03:07,"Dakle, slušanje je uvijek pripadnost onomu ili koji govori ili onomu o čemu se govori."
0:03:08,0:03:14,"Mi pripadamo nečemu, zato što našim otvorenim ušima smo usklađeni s tim."
0:03:14,0:03:27,"Dakle, prije nego uopće dotaknemo te temeljne zapovijedi jako je važno posvijestiti sebi tu sposobnost slušanja odnosno davanja uha."
0:03:28,0:03:37,"Ili mi danas u našem svijetu govorimo možda jednim širim terminom koji obuhvaća ne samo muši nego i možda još više oče, to je pozornost."
0:03:39,0:03:44,Pozornost na Boga je pretpostavka kada ja mogu obdržavati zapovijedi.
0:03:45,0:03:54,"A pozornost je ugroženo dobro, opljačkano dobro, osakaćene su u našoj pozornosti."
0:03:55,0:04:17,"Naša pozornost je najdragocijenija što imamo, a svijet se gotovo urotio protiv toga, protiv te naše sposobnosti da nam je rastraga, da je razvučena neke druge strane, da je iskoristi, da je učini izvorom financiranja, tisuće načina ima, ali sposobnost naše pozornosti ostaje elementarna."
0:04:17,0:04:27,I ovdje je jako važno uočiti da je ta slušanje ili pozornost zapravo usmjerena najprije na Boga.
0:04:29,0:04:34,Ljubav nije ništa drugo od onih pozornosti moje duše koju ja usmjerujem prema nečemu..
0:04:35,0:04:37,Mi smo pozorni na ono što volimo.
0:04:38,0:05:01,"Mi možemo reći da volimo samo ono na što smo pozorni ili možemo reći naša pozornost, mi znali to ili ne znali htjeli ili ne htjeli ide prema onom što nam, što volimo, prema onom što nas privlači, prema onom što nam je, kako da kažem, toliko važno da naša pozornost ide prema njemu."
0:05:01,0:05:12,"A ako slučajno, sad govorimo konkretno ljudi koji imaju djecu doma, naravno vole ih svim srcem ali rade cijeli dan i onda do djeci posvete jako malo."
0:05:12,0:05:20,malo poanta priče ili jedna od uputa može biti proba i pokušaj naći vremena i zloj za tu pozornost.
0:05:20,0:05:23,"To ne dolazi nekad spontano, nekad se zaista trebaš izvoliti za to."
0:05:24,0:05:34,"Mislim, kada je riječ o takvim važnim odnosima kao što su odnosi roditelja prema djeci, ja mislim da se tu događa pozornost prema Bogu."
0:05:34,0:05:43,"Jer u mojoj pozornosti prema djeci, u tom posvećivanju vremena prema djeci, ja uvijek mogu čitati dalje od toga."
0:05:43,0:05:46,To dijete je Božji dar meni.
0:05:47,0:05:56,"To što sam ja dobio od njega, to je povjerenje da ja tom djetetu mogu pomoći da uzrasta do slobode djeteta Božjeg."
0:05:57,0:06:00,I moj odnos prema Bogu ide preko moga djeteta.
0:06:01,0:06:16,"Nama je Krist otvorio vrlo važnu percepciju kad je povezao ove dvije zapovijedi prema Bogu, ljubav prema Bogu, ljubav prema čovjeku, da mi ljubitelj čovjeka možemo pokazivati ljubav prema Bogu."
