Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:15,0:00:19,"Poštovani dragi štioci Marko, ajmanđelja, dobrodošli u našu epizodu."
0:00:20,0:00:20,50.
0:00:20,0:00:24,i ne znam koja je neka.
0:00:25,0:00:28,Mi dođemo do samog kraja 12.
0:00:28,0:00:32,"poglavlja i teksta o Isusovom sudu, o pismoznancima."
0:00:32,0:00:38,Danas ćemo pokušati i taj tekst i tekst koji govori o udobičinu novčiću obraditi zajedno.
0:00:39,0:00:58,"Franak, ovo je nekako zaključak onog govora prije eshatoloških besjeda, Isus ovih, još smo u onom tjednu, zadnjem tjednu njegova života na zemlji, napadnut je od svih mogućih farizija, saducea, starješina itede i sad ovdje donosi nekakav završni sud koji tim farizijama, pismoznancima ni malo ne odgovara."
0:00:59,0:01:05,"Ali prva rečenica odmah kaže ovako, sila ga je svijet sužitkom slušao, dakle govori se o Isusu."
0:01:05,0:01:20,"Tu već Isus ima nešto što većina ljudi danas preko selfija, preko društvenih mreža pokušava postići ili recimo htjeli bi postići možda da ih silan svijet sužitkom gleda ali i sluša, ljudi vole pažnju itede Isus već ima to."
0:01:20,0:01:26,"I onda dakle ono što i pismoznanci farizeji nemaju, onda iz te pozicije komodno može dati sud o njima."
0:01:28,0:01:32,"Da, ali stvar je počela drukčije."
0:01:32,0:01:42,Oni su već imali sud o Isusu i pokušali su pred narodom iznijeti ono što su oni smatrali negativnu stranu Isusa.
0:01:42,0:01:43,Svoji nisu uspjeli.
0:01:43,0:01:49,"Mijenjivale su se grupe, bilo je pokušaja rasprava, pet različitih rasprava se zbilo u taj jedan dan."
0:01:49,0:01:54,I sad na koncu Isus svojim slušateljima daje sud o pismoznancima.
0:01:55,0:02:03,"Dakle, onima koji su raspravljali s njime javno i sad to je neki završni sud o njima."
0:02:05,0:02:42,"Mislim da je taj način kako su ga slušali sa užitkom govori o jednom konfliktnom sadržaju, on je gotovo dinamit između njega i ljudi koji žive od hrama i koji će se kasnije pokazati izrazito određujućim za neprijateljstvo prema Isusu i to će biti na sudu pred Poncijem Pilatom pokazat će se da su oni zapravo bili ispunjeni zavišću i da je ta zavist vezana uz to što je narod njega sa užitkom slušao, a ne njih."
0:02:42,0:02:49,I sad naravno u tom cijelom kontekstu Isusov sud o pismoznancima će to samo još pojačati.
0:02:49,0:02:55,"Dakle, on će sada narod dokazati što on misli o pismoznancima i sud je vrlo oštar."
0:02:56,0:03:23,"Ja mislim da taj sud se odnosi na jednu, jedan kako da kažem jedno obilježje koje može biti obilježje svih onih koji su svojim poslom i svojim životom vezani uz hram, tako da se taj sud može proširiti i na sve one koji danas žive u hramu."
0:03:24,0:03:36,"To je jedna opasnost da oni koji žive u hramu se pretvore u prepreku za hram, da oni koji studiraju pismo koje govori o Bogu postanu prepreka da ljudi dođu do Boga."
0:03:37,0:03:44,"I to je vrlo oštas sud za razliku od Mateja koji ima vrlo različite jao, jao, jao, jao pismoznancima i farizejima."
0:03:44,0:03:49,Ovdje imamo u jednoj rečanici ono što je Isus s pregovaranjima.
0:03:50,0:03:53,Kaže najprije čuvajte se pismo znanaca.
0:03:53,0:04:14,"Mi možemo zamisliti slušatelje Isusa koji su oduševljeni njegovim govorom, koji su oduševljeni tim kako je on uspjevao izići na kraj sa svim mogućim podmetutim pitanjima koje su došle do njega i kako ih je na koncu doveo do toga da ne razumiju pisma jer nisu razumjeli tko je Mesija, njemu se lomi razumijeli pisma i ne razumiju."
0:04:14,0:04:17,I sada u ovom trenutku kaže čuvajte se pismo znanaca.
0:04:18,0:04:30,Kad bismo mi uzeli ovaj tekst sam za sebe i čuli prvu riječ čuvajte se i pitali jedni druge što to Isus kaže slušateljima čega se treba čuvati?
0:04:30,0:04:42,"Pa mi smo svi rekli čuvajte se grijeha, čuvajte se da vas netko ne zavede, čuvajte se promašenih odluka, čuvajte se krivog mišljenja, mnoštvo stvari čega se moramo čuvati."
0:04:42,0:04:45,"Ali on to ništa ne kaže, on kaže čuvajte se njih, koga?"
0:04:46,0:05:14,"Ljudi koji se bave pismom, ljudi koji su u hramu da bi vam pojasnili tko je Bog, ljudi koji vam pismeno govore o Bogu, čuvajte ih se, to djeluje ekstremno jako, to je dinamit koji stoji u hramu i mislim taj dinamit od riječi će raspršiti iluzije koje su se stvarale u hramu i pokazat će se da je taj hram završio."
0:05:15,0:05:30,"Ja mislim da je to jako važno budući da se uvijek iznova može dogoditi i u našem vremenu da ljudi koji su u hramu, koji služuju u hramu se mogu pretvoriti u prepreku za približavanje Bogu onih koji trebaju Boga, koji ga traže."
0:05:31,0:05:36,A je li tu prepreka tu da su sebe stavili na mjesto Boga ili na mjesto je te riječi o kojoj treba reći?
0:05:36,0:05:46,Mene se čudilo da se to ne može izravno kazati u čemu se sastoji to što su oni činili na krivi način i mi možemo čitajući to vrlo lako odgonetnuti.
0:05:47,0:05:53,"Prvo je da rado idu u dugim haljenama, ja mogu isto reći da ja nosim dugu haljenu,."
0:05:53,0:05:58,"Riječ je o pojavnosti na vani, riječ je o tome kako se pojavljujem pred drugima."
0:05:59,0:06:05,Dakle postoji jedna velika skrb oko toga kako ću izgledati pred drugima.
0:06:06,0:06:07,To je nama ljudski.
0:06:08,0:06:13,Mi svi kada izlazimo iz kuće izlazimo s nekom pozornošću na to kako izgledamo vani.
0:06:14,0:06:20,"Mi smo manje ili više, nismo kod kuće na isti način kako smo vani, svatko."
0:06:20,0:06:23,Ali ovdje je riječ o ljudima koji služe u hramu.
0:06:24,0:06:29,I oni rado idu dobro obučeni.
0:06:30,0:06:40,"To po sebi ne mora biti nikakav problem, ali to može biti problem ukoliko to postane važnije od sučuti sa ljudima koji traže Boga."
0:06:42,0:06:45,"Drugo, znači to je kako ja izgledam pred drugima."
0:06:45,0:06:48,Drugo je vole pozdrave na trgovaima.
0:06:48,0:06:55,"To je pitanje kako me ljudi vide, koja je moja društvena uloga, gdje sam na društvenoj ljestvici."
0:06:56,0:07:12,I naravno tu ćemo naći jedan opće ljudski fenomen da ljudi što su više na društvenoj ljestvici se pokazuju da to bude jasno u društvu.
0:07:13,0:07:21,Kad god pogledaš naše skupove ako dolazi premijer i predsjednik zna se da je na prvo mjesto u središtu pripada njima.
0:07:22,0:07:25,Ako je malo manji skup pripada to mjesto ministru.
0:07:26,0:07:42,"Ako je još manji pripada rektoru u sveučilištu i tako redom, dakle i možemo doći do samostana, to pripada Guardianu Provincijalu, dakle mi svi znamo da ljudi imaju potrebu zauzimati neko društveno mjesto."
0:07:42,0:07:59,"Ali ovdje je riječ o tome da ja mogu svoj život usmjeriti samo prema tome, da moj život bude traženje kako će me ljudi priznati, kako će me ljudi vidjeti."
0:08:00,0:08:12,"U tom trenutku ja za zaboravljam na svoju ulogu u hramu, zaboravljam na svoje poslanje da sam poslan pomoći ljudima da dođu bliže Bogu itd."
0:08:12,0:08:14,Do dan danas je to manje više slično.
0:08:14,0:08:23,"Taj osjećaj da sebe staviš tu na prvo mjesto i da sebe isturiš umjesto onoga o čemu zapravo trebaš govoriti, što trebaš raditi, to je isto bilo u svoje vrijeme i danas."
0:08:23,0:08:27,"Danas je to i u crkvi imamo na početku raznih primanja, događanja."
0:08:28,0:08:32,"Imamo pozdrave biskupa, pozdrave svećenika, popad 20 minuta se pozdravlja."
0:08:32,0:08:36,"Da, da, sad ne mogu slučajčajno da sam nekoga spomenuo prije, a trebao si nekog važnog."
0:08:36,0:08:37,Katastrofa.
0:08:38,0:08:45,"Ja sam siguran da dosta tih ljudi o kojima se tada govori, od biskupa svećenika, da ne drže do toga da im je svejedno."
