Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:18,"Dragi ljubitelji Marko Evanđelja, srdačno vas pozdravljamo, Frante i ja."
0:00:19,0:00:21,Nalazimo se znači na kraju 13.
0:00:22,0:00:28,poglavlja i neposredno Frante prije ovog iz svoje muke iz uskrsnuća.
0:00:28,0:00:32,"Danas ćemo završiti ovaj dio prije velikog tjedna, prije samog misterija."
0:00:33,0:00:38,"Zadnji puć smo bili spominjali propad Jeruzalema, grozotu, pustoši, masadu."
0:00:39,0:00:46,"naviještaj apokalipse, praktički svog dana, sile će se nebeske poljubljati i tako."
0:00:46,0:00:48,Danas završavam zapravo taj dio.
0:00:48,0:00:54,"Sada bih otvorio s jednim pitanjem, je li strah dobar motiv za vjeru?"
0:00:58,0:01:24,"Strah je suprotnost vjere, pa onda ako kao suprotnost može gurnuti vjeru, može poslužiti kao takav, ali zapravo je vjera usmjerena u to da otkloni strahove i s te strane ne bi bilo pametno služe se strahuhovima da nekoga uvedemo u vjeru, to vjera uvodi u slobodu i oslobađa strahova, to je nekako generalno."
0:01:25,0:01:47,"Što se tiče ovog našeg hoda mi smo zapravo u trinaest pogledu to je jedan dugi Isusov govor, zapravo u Marku Evanđelju najduži govor koji on ima i cijelo vrijeme govori i riječ je o apokaliptičkom govoru, riječ je o govoru o kraju vremena i mi danas imamo pred sobom ovaj drugi dio koji počinje nego."
0:01:48,0:02:09,"Znači do sada je bilo govora o strahotama, o pustošću, o grozotama, o tome što će se dogoditi i taj govor je održan gledajući u Jeruzalem, gledajući u hram i to okružen sa četvoricom prvih učenika, dvojicom, dva para braće, dakle Petar i Andrija i Ivan Jakov."
0:02:09,0:02:41,"I oni su gledali to i u tom večernjem pogledu, tako kažem, na Jeruzalem, Isus govori o propasti Jeruzalema i sad dolazi ovaj nego, dakle kao da taj nego ali kaže to su porođajni bolovi, to su muke iza kojih dolazi nešto drugo, nešto važnije i to je ono što se najavljuje, a to je dolazak Kristov drugi dolazak."
0:02:43,0:02:50,"Za njegove slušatelje tu četvoricu apostola, Isus je još tu, još nije otišao odavde."
0:02:51,0:02:57,"Za nas je perspektiva da je on otišao iz ovoga svijeta, iz vidljivoga nakon muke smrti i uskrsnuća."
0:02:58,0:03:04,"Pa mi onda kad govorimo ili kad slušamo ovaj riječ o njegovom dolazku, govorimo o drugom dolazku."
0:03:05,0:03:22,"O dolazku koji označava konac vremena, ispunjenje vremena, dovršenje tijeka ovoga svijeta i na neki način nam daje signale, simbole po kojim će to biti prepoznatljivo."
0:03:22,0:03:32,"To je sadržaj ovog zadnjeg dijela i još jedna zadnja uputa kako se ponašati dok se to ne dogodi, kako živjeti dok to ne dođe."
0:03:33,0:03:46,"Ali sigurno je zvučalo strašno, učenici slušaju, znači sunce će pomrčati, mjesec neće svjetljiti, svježde će spadati s neba, sile će se nebeske poljudat i onda će ugledati sina čovjeka gdje dolazi na oblacima."
0:03:46,0:03:57,"To je kao kad pričate ono kao one priče o dvoje blizanaca, utoru i majke koji razgovaraju imali života nakon ovog života utora."
0:03:58,0:04:08,Ja bi ovo volio radije razumjeti u smislu da kad se Kris drugi put pojavljuje onda kozmos i njegove sile idu u drugi plan.
0:04:09,0:04:22,"Znači svjetlo sunčevo pomrčat će, odlazi u drugi plan, ni mjesec više nema svoga svjetla jer ga ne može dobiti od sunca koje je pomrčalo, ide u drugi plan da se pokaže svjetlo onoga koji dolazi."
0:04:23,0:04:40,"Dakle to nije opis katastrofa u kojem se sve ruši, i u kojem sve nestaje, to je opis završetka tih turbulentnih vremena i početak novog neba i nove zemlje, dolazak onoga koji je obećao da će doći."
0:04:41,0:04:56,"Često je vidio ovi ljudi koji su doživjeli nekakva iskustva, duhovna susrete, neki to nazivaju izbijćem od svjetla, nekim baš prepoznaju Krista, kažu da je ta svjetlost neusporedivo jača od Sunca, ali opet možeš u nju gledati, ne pržite."
0:04:56,0:05:11,"Evo, to je očito da nije riječ o nekom pojačanom svjetlu kojeg mi poznajemo, očito da je riječ o jednom drugčijem fenomenu jer to svjetlo je povezano uz osobu, uz onoga koji dolazi, on je svjetlo."
0:05:12,0:05:25,"Kao što će kasnije u otkrivenju Ivan govoriti da će Bog sam biti svjetlo, neće trebati svjetla sunčeva i nekog drugog svjetla nego Bog sam će biti svjetlo."
0:05:26,0:05:34,Inače taj fenomen svjetla je vezan uz biće ili uz postojanje koje je blizu Bogu.
0:05:35,0:05:38,Oni koji su Bogu oni su kao bića sad kanal svjetla.
0:05:38,0:05:52,"Imamo jedan trag u onom preobraženju Isusa ovog kojeg smo već imali gdje se pojavljuju Mojsije ili Ilija, Isus se onda pojavljuje kao biće satkano od svjetla."
0:05:53,0:06:08,I to je dosta onako u korijenu našeg odnosa prema Bogu jer je svjetlo po svojoj prilici možda najjača i najbliža slika o tome tko je Bog.
0:06:09,0:06:16,"Mi Boga ne vidimo, ali kad razumijemo ponešto od svjetla onda imamo neku sliku o tome tko bi bio Bog."
0:06:16,0:06:36,"Tako da je ovdje i ovo pomračenje kozmičkog svjetla zapravo samo otvaranje prostora da se na toj pozadini pojavi spasitelj, kao što su katastrofe, nevolje, muke, smrti, grozote, pustoši, pozadina na kojoj se pojavljuje spasenje."
0:06:37,0:06:48,"Tako da nekako bi bilo dobro voditi računa o tome da je sve usmjereno prema spasenju a ne katastrofi, jer katastrofe će biti jer s njima se ne završava."
0:06:49,0:07:00,"To je na neki način ni praslika onoga što čeka Isusa, grozno će biti to što će on proći, ali to su samo trudovi onoga što dolazi uz Sunče koje dolazi."
0:07:01,0:07:07,Tako da mislim da je taj model i ovdje prisutan u ovom zadnjem dijelu ovog Isusovog govora.
0:07:07,0:07:11,Eto i ohrabrenje njima čisto da mogu zadržati jednu vrstu mira unutar svega toga.
0:07:12,0:07:22,"I sada priča s toga kozmičkoga, sa neba, sa mjeseca, sa anđela spušta se nekako na partikularno naprimjer smokve."
0:07:22,0:07:29,Isus opet uzima običnu stvar i on je radi pouku koja im može promijeniti život.
0:07:29,0:07:37,"Ono što im je zanimljivo ovdje kaže od smokve se naučite prispodobi, kad je grana već omekša, lišće potjera, znate li je to je blizu?."
0:07:37,0:07:45,"Tako i vi kad vidite da se to zbiva znate blizu je na vratima itede Jedna stvar, pažnja na obične stvari."
0:07:45,0:08:00,"Ja mislim da smo mi danas poprilično zaboravili što to znači jer očekujemo nekakvu kozmičku objašnjenju Boga, a nekad se otkriće ili stvar ili bit ili pouka i sve što tražimo nalazi u najobičnijim stvarima."
0:08:01,0:08:13,"Dakle, ja mislim da bi bilo dobro vidjeti što Isus govori kad kaže smokova vam je prispodoba ili smokova kaže kako možete shvatiti ove događaje."
0:08:14,0:08:34,"Mislim, mi kad se vratimo u konkretni prostor u Izraelu, grubo rečeno, Izrael ne poznaje godišnja doba kao što smo i mi nekada poznavali, nego ima zimu i ljeto, ako hoćeš, ili ima kišno i sušno razdoblje."
0:08:35,0:08:41,"I prilaz je vrlo brz, dakle, i taj prilaz se najviše vidi na smokvi."
0:08:41,0:08:56,"Kad je zima ili kad je to kišno razdoblje, masline su zelene, zim zelene, ali smokva nema lišća, smokva je gola, na smokvi se vidi sad nema života, ona je kao zamrznuta."
0:08:57,0:09:10,"Do čim ovo razdoblje topline dođe, smokva prva reagira, izlaze i plodovi i listovi, najprije možda čak i prije plodovi nego li lišće izlazi."
0:09:11,0:09:18,"To da je smokva sad simbolika znači donosi, dolaze neki novi plodovi, dolazi nešto novoga, dolazi novi život."
0:09:18,0:09:27,"To je isto tako i sa ovim kozmičkim katastrofama, oni pokazuju, doći će nešto novo, dolazi nešto dobroga, ne neki dobri plodovi."
0:09:28,0:09:41,Tako da ta smokva je zapravo ono što mi svakodnevno recimo u Izraelu možemo vidjeti i mi isto tako u Dalmaciji do čim dođe toplije vrijeme vidimo na smokvi da se mijenja.
0:09:42,0:10:04,"To znači ti znakovi će biti jako vidljivi, ti znakovi nećeš ih moći tek tako previdjeti osim ako si zabavan nečim po sve drugim, ako ne vidiš svijet oko sebe, ako nisi buda na svijet, ako ne paziš što se događa onda se može dogoditi da sve prođe pored tebe."
0:10:04,0:10:24,"I to je jedna od realnih opasnosti koju si spomenuo kao ovdje, kao nesposobnost da vidimo male stvari, ali i nesposobnost da budemo kako da kažem u tijeku događaja, da ne vidimo što se događa oko nas ili da ne tražimo neko značenje, da budemo kao uspavani."
0:10:25,0:10:35,"Ja mislim da tu leži jedna od opasnosti koja se tiče našeg vremena jer mi možemo biti uspavani na tisuće načina, zapravo mi danas imamo."
0:10:37,0:11:15,"golema sredstva kojima se mogu uspavati mase ljudi, da ne reagiraju na ono što im je blizu, na ono što je možda važnije da ne vidi ono što se događa nego si uspavan ili si zabavljen nekom zabavom jer ti svijet nudi toliko mogućnosti da pobjegneš u neki svoj svijet, u neki imaginarni svijet i da zapravo budeš onako tu, uspavan ili čak sa uvjerenjem da si u toku sa stvarima a zapravo si u svom malom krugu koji je umjetno formiran ili hranite kao neku životinju."
0:11:16,0:11:28,"Da i mislim da je još jedna stvar koja se tiče ove katastrofe je dosta važna, to je ovdje da Isus kaže nebo će i zemlja uminuti, jer riječi moje neće uminuti."
0:11:29,0:11:41,"Gdje ta poljuljanost sila nebeskih pokazuje da je trajnije ono što je te sile dozvolilo u životu, to je Božja riječ."
0:11:42,0:11:49,Tako počinje sveto pismo da Bog reče i onda bude i kozmos nastaje na temelju riječi.
0:11:50,0:12:01,"A onda kad se polulja kozmos, onda se pokaže da je riječ temeljnija, da je riječ ono na što se sve do sada oslanjalo."
0:12:02,0:12:24,"Mislim da je to onako važan moment da iz toga možemo izvući zaključak da ja svoj život nepametno oslanjam na kozmos, na materiju, na vrijeme, na uspjeh, na ono što je moguće, a ne na riječ koja stoji u temelju svega i koja je stabilnija."
0:12:24,0:12:35,"Stoga je to oslanjanje na riječ koju smo našli i u početku da je napast odbijena, živi se od Božje riječi."
0:12:36,0:12:41,Onaj tko se oslanja na riječ ima čvršći oslonac nego onaj tko se oslanja na nešto drugo.
0:12:41,0:12:48,"Ima i monac stihu u jednoj od psalama, kaže Gospodnja je zemlja i sve na njoj i ljudi i svi koji na njemu žive."
0:12:49,0:13:05,"Ta slika da je sve božje, a Bog je apsolutan i vječan, ja mislim da nema ljepše slike koja više opušta čovjeka, koja više, kojom više uljeva mir u srce, bez obzira što se oko tebe događa kaos i razne katastrofe."
0:13:06,0:13:13,"Čak istočnjaci imaju nekakvu percepciju vremena, oni često gledaju ciklički kao nekakve juge koje traju tisućama godina pa se to vrti."
0:13:14,0:13:26,"I ta percepcija vremena koja je toliko ogromna, sigurno jednom dijelu njih kaže ajde nemoj se zamarat s ovim tu malenim privremenim jer stvar je puno veća i opusti se, sve će biti u redu."
0:13:26,0:13:34,"Mislim da ovdje imamo prečicu do biti, kažu Bože je sve, moja riječ je vječna, samo se pouzdaj, drži se za nju."
0:13:34,0:13:40,"A nakon toga kaže Isus da on sam ne zna, on ima svoju granicu spoznaje, je li u tom času."
0:13:40,0:13:48,"To je rečenica o kojoj je bilo dosta rasprava u prošlosti, teoloških rasprava."
0:13:49,0:13:59,Dakle u ovoj gornjoj rečenici Isus je opisivao znakove odgovarajući na pitanje četvorice u učenika kada će se to zbiti.
0:13:59,0:14:06,"Nije rekao termin, nije rekao godinu, ni stoljeće, ni tisućljeće, nego po znakovima će se prepoznati."
0:14:07,0:14:15,"A onda sada kaže i precizira, a onom danu i času nitko ne zna, pa ni anđeo ni na nebu, ni sin, nego samo otac."
0:14:15,0:14:42,"Ova rečenica je izazvala velike teološke kontroverze i to vrlo rano u crkvi, negdje u drugom stoljeću, pa u trećem, Arije je na temelju ove rečenice govorio da Krist ne može biti Bog budući da on sam kaže ovdje samo otac nebeški zna, a ja ne znam, znači oni nisu isti."
0:14:42,0:15:20,"Mi znamo da je onda početkom četiri stoljeća tristo dvadeset pet koncil unicei donio važnu formulaciju da je sin istovjetan ocu da je isto bitan s ocem i to je postao dio našeg vjerovanja mi vjerujemo da je sin iste biti kao otac malo više od stotinu godina kasnije će u kalcedonu biti donesena druga važna odluka, a to je da je Isus i Bog i čovjek istovremeno, da ima dvije naravi, božansku i ljudsku, da ima dvije volje, božansku i ljudsku."
0:15:21,0:15:23,I mislim da je to jako važno ovdje razumjeti.
0:15:24,0:15:30,"Dakle, ova rečenica je izazvala kontroverze na koje su oci odgovarali."
0:15:31,0:15:44,"I na taj prigovor da Isus ne može biti Bog, budući da on ne zna i da zna manje nego otac, onda je samo otac Bog."
0:15:45,0:15:50,"Oci su se najčešće pozivali na rečenicu koju smo malo prije pročitali, prije riječi moje neće proći."
0:15:51,0:15:54,Znači to nisu riječi nekoga tko je tek tako tu.
0:15:55,0:16:05,Pa je ovdje onda domišljano teološki što bi značilo to da Isus doista kaže da ni sin ne zna nego samo otac.
0:16:06,0:16:29,"Jedan dio ljudi zapravo ili teologa je mislio da je riječ o nekom načinu kako Isus kaže za svoje slušatelje da on ne može mimo oca reći njima kada će se to dogoditi, da ne može donijeti to znanje."
0:16:29,0:16:33,"To ne znači da on ne zna, nego da nije on u vlasti to znati."
0:16:33,0:16:42,"Znači to bi bio jedan funkcionalni način da se sačuva da on zna sve što zna i otac, ali on nema ovlasti to reći."
0:16:43,0:16:45,"Pretpostavljam da kaže otvoreno ne zna, vi kažete ne."
0:16:45,0:16:57,"Ali to je otprilike su tumačili ovako, kada imaš nekog poslanika kralja kojemu je kraj rekao sve što namjerava napraviti, jer mu je rekao, ti ćeš njima reći ovo, ali ovo nikako nećeš reći."
0:16:57,0:17:01,To recimo onda ću ih ja napasti ako on to ne napravi to i ne smiješ reći.
0:17:02,0:17:06,"I onda da oni pitaju, a dobro ako mi to ne napravimo, će on vas napasti, ne znam."
0:17:07,0:17:13,"Znači, dakle, to je, moje ovlasti nisu da ja to kažem, to je jedna stvar."
0:17:14,0:17:28,"Ali mislim, drugi element koji će se naći kod dotaca je riječ o pedagoškom elementu, a to je da one koji to slušaju sačuva od muka koje bi se pojavile kad bi im on to rekao."
0:17:29,0:17:44,"I mislim da je nama to jako u skladu sa načinom na koji mi živimo, mi živimo svi sa nejasnoćom do kad ćemo živjeti i koliko će dugo trajati naš život, ne samo naš osobni nego i kozmički."
0:17:44,0:17:52,"Sutra se može dogoditi da ja umrem, sutra se može dogoditi potres za nas, ne za nikoga, ali mi živimo tako da o tome ne znamo."
0:17:52,0:17:55,"Kad bismo mi to znali, mi bi sada već imali slomljene živote."
0:17:56,0:18:04,Mi vjerojatno ne bismo sjedili ovdje i snimali da smo sigurni da ćemo sutra završiti živote jer bi onda to izgubilo smisao.
0:18:04,0:18:09,Koji smisao ima raditi nešto od čega nema nikakve koristi sutra?
0:18:09,0:18:11,"Ja mislim da je ovo dosta važna emisija, ali dajmo ljudima."
0:18:13,0:18:24,"Dakle, htio sam reći na tu pedagošku notu koja je prisutna u svim našim životom i tu leži jedna od opasnosti u kojoj u koju neki ljudi upadnu."
0:18:27,0:18:42,"Ne znam, možda smo čak spominjali nekada da ima ljudi koji dopuste da im nekoga gata u dlan, ne znam, na neki način i onda mu kaže za trideset godina ti ćeš nastradati u prometnoj nesreći."
0:18:42,0:19:04,"Kad mu to kaže to je dosta daleko čini se, ali trideset godina prođe brzo i kad se te godine počnu približavati, ljudi počnu gubiti stabilnost ako su povjerovali tako nečemu, počnu gubiti stabilnost, ne snalaze se, pa što ako je on pogodio, pa i onda jedanput moj život izgubi, kako da kažem temelj postane jako nesiguran."
0:19:05,0:19:06,Znači bolje ne znati.
0:19:07,0:19:12,Mislim da je to taj pedagoški moment u kojem Isus krajeva to nitko ne zna.
0:19:14,0:19:22,"Pa bolje ne znati, možemo samo spekulirati što bi bilo kad bi svi znali kad će biti kraj našeg života, mislim da bi to na kolektivnoj svjetskoj razini bilo strašno."
0:19:23,0:19:25,"Ne mogu to dokučiti kako, ali sutin da bi bilo."
0:19:26,0:19:48,"Da, ali što ne znači da neće kraj doći, što ne znači da ja ne moram računati s tim krajem jer tu dolazi druga strana, mi ne znamo, to je ono kad mi govorimo o smrti, mi kažemo ne znamo dana ni časa, ali znamo da će doći taj dan, da imamo jednu apsolutnu sigurnost da to sigurno doći, jednu potpunu nesigurnost kada će doći i kako će doći."
0:19:48,0:20:00,"Ja mislim da je to isto tako vezano i za ovu apokaliptičku dimenziju nakon koje dolazi ključno pitanje što ću ja raditi, kako mu život treba izgledati ako ja znam da ću umrijeti, a ne znam kad ću."
0:20:02,0:20:48,"Pa trebaš ga osmisliti, pa trebaš živjeti tako da znaš da si konačno biće, pa trebaš sve ono što radi staviti u tu svijest da ti nisi beskonačno nego da će sve što ti radi, da će biti smrtno i drugim riječima, tek onda i to je jedna od glasovitijih Heideggerovih teza iz bitka i vremena, tek onda kad prihvatiš sebe, ne da ćeš ne umrijeti nego da si sad već smrtno biće, tek tad počinje neki autentični tvoj život jer ti se sada uistinu nisi umagli, ne bježiš kao što jedan dio ljudi kaže, evo nemoj mi spominjati smrtne, tko zna kad će to pustiti, to nije moj još vrijeme, drugi umiru, ja sam još mlad, još imam snage, znači bježim od toga i ne prihvaćam elementarnu činjenicu u svom životu da je ono smrtni život."
0:20:50,0:20:58,I to se odnosi naravno i na ovu kozmičku kataklizmu iz koje Isus izlazi onda sa uputom bdite.
0:20:59,0:21:05,"To vam omogućuje da imate probuđeni život, da imate otvorene oči."
0:21:05,0:21:26,"I kad ova uputa dolazi, ona dolazi kao uputa koja je onako vrlo važna bilo za osobni život, bilo za religijosni život, bilo za odnos sa Bogom, bilo za svaki odnos u kojem mi živimo sa drugim ljudima, to bdijenje."
0:21:26,0:21:32,"Što znači to bdite, na koji način se bdije, na koji način mi živimo bdijuće."
0:21:33,0:21:34,Ne znam bijuće ne znači nemojte spavati.
0:21:35,0:21:40,"To ne znači sad morate stalno imati stražu da bar netko ne spava, onako morate zaspati."
0:21:40,0:21:46,"Dakle, to nije vojnička straža u kojoj uvijek netko mora biti budan da ne bi došao neprijatelj ponoći."
0:21:47,0:21:52,"Riječ je o stanju duha, riječ je o stanju duha u kojem smo mi angažirani."
0:21:52,0:22:06,"Isus daje u usporedbu da je to nalik ljudima kojima je čovjek koji je otišao na put, upravu povjerio slugama i dao svakom svoj posao."
0:22:07,0:22:09,"Drugim riječima, radite to dok ja ne dođem."
0:22:10,0:22:20,"To je naše stanje dok smo u vremenu znajući i šekujući dolazak, drugi dolazak spasitelja."
0:22:20,0:22:22,"To je stanje budnosti, angažiranosti."
0:22:23,0:22:38,"Drugim riječima, on nam je povjerio ono što pripada njemu, vrijeme, svijet i povjerio da budemo brižni, da se trudimo oko toga, da radimo, da dajemo svakom svoj posao."
0:22:38,0:22:49,"To znači naš posao je da radimo to što trebamo raditi, zašto smo stvoreni, zašto smo tu na svijetu i kad to radimo treba to raditi na najbolji mogući način."
