Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:15,"Zovem se Goran, rođen sam u tradicionalnoj katoličkoj obitelji u kojoj se nije prakticirala toliko vjera."
0:00:17,0:00:24,Moja prva iskustva s Bogom su bila još dok sam imao četiri godine.
0:00:25,0:00:33,"Tada sam čuo u sebi glas koji sam kasnije pročitao u Svetom pismu, a to je da ne činiš drugom ono što ne želiš da drugi čini tebi."
0:00:35,0:00:36,I imao sam ono s Bogom.
0:00:38,0:00:59,"ako mi nešto trebalo onda sam se molio, ako mi nije trebalo onda se nisam ni molio, nisam praciran ni molit, nisam imao sakramente, imao sam samo praštenje, to su mi krsti da sam bio mali, druge sakramente nisam htio primiti, ne zato što nisam htio nego jednostavno to mi je bila neka prevelika obveza, nije mi se dalo zabrinjavati s time i tako."
0:01:00,0:01:15,"I sve je bilo dobro, u mom životu išlo kad sam ja planirao, do petog razreda osnovne škole, bio sam najjaču u razredu, bio sam sportaš, ono što mi je trebalo, bio sam odličan učenik i ono što meni trebao, to sam i mogao."
0:01:16,0:01:29,"Međutim, onda kad se razbio nos, onda i ušao sam u taj povertet, onda sam prestao biti najjači i onda kad sam god htio pokazati u razredu, taj me je i stupio."
0:01:30,0:01:34,I to je bio proces mog spuštanja i silaženja.
0:01:34,0:01:41,"Tada mi to nije bilo ništa jasno, bio sam jako frustriran, nikako nisam to mogao prihvatiti i nije mi bilo jasno zašto."
0:01:42,0:01:55,"Paralelno sam dopustio školi i postao sam sve lošiji i lošiji učenik, ali u osnovnoj školi sam se još nekad švecao na osnovu starijeg znanja nego što nisam bio u cijelom dnevnom boravku."
0:01:56,0:02:02,"Međutim, kasnije kad više tog nije bilo, ja nisam učio i onda su ocjene bile sve loše i loše."
0:02:02,0:02:05,To je sve kulminiralo kad sam prešao u srednju školu.
0:02:07,0:02:11,"Međutim, u međuvremenu sam došao do zaključka kad sam sve imao da Boga nema."
0:02:13,0:02:19,"Jer da ga ima onda bi sve objavio i vidio to, razgovarao bi s njime i to je to."
0:02:19,0:02:22,Ako se nije objavio onda ga valja ni ne.
0:02:22,0:02:31,"Bio sam pun sebe, bio sam oholit i sad sam ovako i došao sam do te zaključke jer mislim da mi Bog ne treba."
0:02:32,0:03:00,"Ja sam ostavio njega, a kasni dobžajci su pokazali da on mene nikad nije ostavio, da je on bio vjeran do sadašnjeg trenutka, bit će do kraja života, to sad znam da me ljubi, da me u svoje glave urezao, da je svoj život dao na križu i ljubav prema meni, prema svakom čovjeku i da je Bog ljubav za kojom težimo, za koju smo svi stvoreni i kojom težimo da se u konačnici divimo i da je to jedini smisao našeg života."
0:03:00,0:03:06,"da, pa sve ostalo je u odnosu na to istraženo što kažem da je prvog zapovjednika."
0:03:07,0:03:17,"I onda su počeli veći problemi kad sam ušao u srednju školu, počele su jedinice, imao sam sedam jedinica, tri tjedna prije kraja."
0:03:18,0:03:30,"Iako sam došao do zaključka da Boga nema, s tim istim Bogom sam počeo razgovarati i rekao sam Bože ako postojiš daj mi da se ja izvučem iz svega ovoga pa ću vjerovati da ti postojiš."
0:03:30,0:03:35,"Pa i došao sam do zaključka da sam duh, naravno kad imam toliko jedinica a drugi nemaju onda nešto samo ne štigujem."
0:03:36,0:03:39,I to je nakon dugo vremena da sam ja vidio da je neki problem u meni.
0:03:43,0:03:49,"Tako sam dogovorio s Bogom i onda sam fantastično spravio ocjene, odgovara sam to da kažem, jer nisam mogao naučiti za dva."
0:03:49,0:03:51,"Nisam nikad, nikad nisam u kući."
0:03:52,0:03:57,I to je fenomenalno kako je me Bog izvlačio situacija koje su bile nemoguće da se pravi.
0:03:58,0:04:07,"Jer je bilo ljubko s njima četiri godine jednu jedinicu pa su pali, zbog toga ja sam svi sedam napravio, tri na Brodžišnjem, na prvom roku, pa gospodin Sferješ."
0:04:09,0:04:20,"Međutim, kad je on to riješio, ja sam došao do do Vlačića kad sam ja pametan sada i zaboravio sam svoju dobru volju, a druge godine je onda bila situacija ista još nešto malo gore."
0:04:21,0:04:22,Tada je bilo 10 jedinica.
0:04:22,0:04:29,"Ne za kup sam imao predmeta, ali valja iz tijelesnog nisam imao jedan i iz obrane sam bio dobar sa profesorom."
0:04:29,0:04:31,I navijel sam za Hajde Hobad Lovecem.
0:04:32,0:04:33,Sve ostalo je bilo jedan.
0:04:37,0:04:56,"Sve ostalo ima jedinice i onda je gospodin opet sve riješio i tada sam ja prestao biti ateist i zahvalio sam gospodinu dalje od bezakramenata, dalje nisam prakticirao molitvu, nisam išao na misu, znači živio sam od pesa."
0:04:58,0:05:02,I tako je bilo sve do kad nisam otišao u vođu.
0:05:02,0:05:07,Na sam badnjak sam saznao da mi tata volio od raka pučka.
0:05:08,0:05:25,"I samim ništa nije bilo jasno, naravno obvezan sam primljen od Boga i sa Gospodnom nisam imao odnos ljubavi, nego sam imao kao što sam naveo, odnos kad je teško onda sam vjernik, kad nije teško onda nisam vjernik i nema ko."
0:05:26,0:05:42,"Znači čista trgovina, ono što sam kasnije vidio, vidim da gospodin želi moje srce kompletan da puca za njega i da ispuni smisao svog života, što je rekao posjetitelj Agustin, nemam moje srce, da sam smijao tebi gospodine i to je stvarno tako, to sam vidio."
0:05:44,0:06:01,"I kad je bilo sve u redu i kad sam imao sve što sam htio, vidim da je gospodina, to je plitko, tu nema radosti, tu nema dubine, to je, opet se vraćam na vidik povjerenika, stvarno ispravnost i nije mi bilo jasno zbog čega se to sad dogodilo, ali sam mogao."
0:06:02,0:06:39,"Međutim, za nekih mjesec dana dvadeset tri jedan tata je umro i onda sam prestao moći nisam više vidio razloga da je on umro onda si mislim pa da imam prijatelja i da on samo kad ima neke koristi od mene moram mi reći čekaj malo kakav si prijatelj kako je to prijateljstvo a nije prijateljstvo nema veze s ljubavlju to je čisti interes tvoje sebičnosti želiš mi iskoristiti do kraja i vidio sam da sam ja taj koji me ljubi koji se da iskoristiti do kraja koji se žrtvovao za mene na križu i proveo svoj krv za mene i da me čeka tko je mlađi tko je iz pripadalne iz prispodobe iz Evanđelja o onom odlutovanom sinu."
0:06:40,0:06:46,"Dao mu je sve što je njegovo, pustio ga da ode, da potrati sve sa bludnicama i čeka me."
0:06:48,0:06:53,"Da sam ja na njegovom mjestu, ja bi rekao pa čeka, ti ako hoćeš proći sa bludnicama, oti."
0:06:54,0:06:56,"Ali neću dati polovicu kraljice, to je moje."
0:06:57,0:07:04,"Ali vidim, on je vjeran, on daje, ne pita zašto ne osuđuje, on me prihvaća takav gdje sam ti volio."
0:07:04,0:07:18,"I to je jedno prekasno iskustvo i vidim da sam samo ja taj koji se oddaljava od njega, pa je on cijelo vrijeme bio sam, čekao me, bio strpljiv, oprašljiv.tava mi grijehe i prije nisam se ispovijedao, a pogotovo kasnije kad sam primio samog momka."
0:07:18,0:07:21,I uglavnom tata je umro i ja se više nisam mogao.
0:07:22,0:07:36,"Međutim, onda godinu, dvije nakon toga, igrao sam oblik, bio sam obličajski spektaš, igrao sam oblik u Novom Zagrebu i tada pojavio mi se jedan lifni čvor ovdje na lifnim zvijezdama."
0:07:37,0:07:48,"I nisam previše obraćao pažnju na to, međutim onda malo po malo, čvor se počeo povećavati i ne bih ni ja otišao doktoru da me nisu nagovarali, ona više nije da se rješim, otišao sam."
0:07:49,0:07:51,To su kutirali i zaboravio sam im to.
0:07:52,0:07:56,"I kad se vraćam kući, bili smo na finalu Kupa Hrvatske."
0:07:58,0:08:07,"Priča sa svima kad su se tu patrovali, kad su se napravili, kad su se kutirali, tako sam i mama mi odjednom rekla da je bilo zabrinut, da uopće nije reagirala na ono što ja pričam."
0:08:08,0:08:14,"Ona je naime znala rezultate tih nalaza, te funkcije i ona je plačila široko gore na kršem."
0:08:17,0:08:23,"23 godine mlad za to je bilo jasno, pušio je, volio se, tj."
0:08:23,0:08:25,"pušiš onda, respektiraš i rak."
0:08:26,0:08:27,Ali zašto baš ja?
0:08:28,0:08:30,"To je tođe voljska pitanje, zašto baš ja?"
0:08:30,0:08:37,"Pa ja sam dobar, krasan, pa svi kažu da sam i dobar čovjek bio, kako se to meni moglo dogoditi?"
