Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:03,Hvala li nisi Marija?
0:00:04,0:00:06,Ovo je uvijek tvoj imanaj.
0:00:07,0:00:08,Pa kako je?
0:00:08,0:00:10,"Gdje se dobro vidimo, čujemo i ostalo."
0:00:10,0:00:14,"I vidimo i čujemo, samo se ne njušimo, sve ostalo je super."
0:00:14,0:00:17,"Ostalo je sve tu, odlično, super, super."
0:00:18,0:00:18,"Inače, dobro."
0:00:20,0:00:23,"Jeste, evo, taman odručka, ono što se kaže."
0:00:24,0:00:25,Asto je pa super.
0:00:25,0:00:30,"Ona neće svakako otići dolje, pa onda će biti nešto za možda ne-vijuge."
0:00:31,0:00:32,Ostaće nešto.
0:00:33,0:00:36,"Ostaće neće samo u probavu, ostaće i za možda ne-vijuge."
0:00:36,0:00:39,Zanimljive i nije sad kriza što bi se reklo.
0:00:40,0:00:40,Nije kriza.
0:00:42,0:00:45,Možda će biti kasnije vrijeme za svijest i to.
0:00:46,0:00:51,"Pa malo svakako nedjelja ipak je dan i za odmor, između ostaloga."
0:00:52,0:00:58,"Malo prekradimo odmora, vrijeme odmora, puno aktivnosti itd."
0:00:59,0:01:03,"Pa evo predlažem da počnemo odmah sa našim podcastom, s pitanjima."
0:01:04,0:01:05,Jeste li spreman?
0:01:06,0:01:07,"Jesi, jeste, uvijek."
0:01:08,0:01:41,"Pa evo, mislim dosta čujemujemo o tebi u osmim mjeseci, dosta se čuje o tvojem projektu Astra Priest, ali eto htio bih da prije nego što dođemo do te teme, da malo se dotaknemo tog privatnog života, dakle kako je zapravo došlo do Fra Ivana, kako je izgledalo tvoje djetinstvo, gdje si odrastao, kako su zapravo počeli ti prvi tvoji neki koraci u vjeri, kako si se odlučio za svećenstvo."
0:01:42,0:01:45,"Čuli smo čuti, htio tu pozivnu backstory."
0:01:50,0:01:54,"Pa evo, koliko vremena imamo?"
0:01:55,0:01:56,Šalim se.
0:01:56,0:02:13,"Pa evo, mislim da je najvažnije zapravo reći da nekako nije bilo perioda u mom životu kada sam imao nekakvih ozbiljnih, recimo tako, sumnji ili dvojbi po pitanju same vjere kao takve, odnosno Boga."
0:02:14,0:02:21,"Dakle, uvijek sam nekako Boga osjećao prisutnim u svom životu i što djelomično i zbog Boga."
0:02:21,0:02:57,"obično izbog obiteljskog odgoja u koji je bio vjernički, što zbog nekakvoga moga kvazi odnosa kojeg sam imao s Bogom u srednjoj školi, možda i u toj dobi, zašto kažem kvazi, zato što sam ja imao dosta onako trgovački odnos s Bogom, ono ja ću sada to, ti ćeš meni to, znači nije bilo onako potpuno neko povjerenje i predanje na kojemu sada, evo koje postoji sada i na kojemu naravno čovjek treba raditi dok je živ, nego više ovako nekako možda po potrebi, kako bi se reklo."
0:02:57,0:03:08,"Ali mi je uvijek nekako Bog bio u tom smislu blizak i nisam nikada imao, moram reći, niti jedno negativno iskustvo po pitanju niti crkve, niti vjere."
0:03:08,0:03:11,"Nekako je to, bio sam dosta otvoren svemu tome."
0:03:12,0:03:20,"Nisam evo htio da mi se netko baš previše petlja u život, ali nisam imao ništa protiv da netko bude vjernik i da onako radikalna, recimo tako."
0:03:21,0:03:46,"Tako da evo u tom smislu nekako to je krenulo zapravo iz moje obitelji kroz srednju školu, evo kada kao i svi mladi, vjerojatno čovjek malo i eksperimentira u nekim stvarima i traži se i nekako, mislim da svaki mladi čovjek zapravo traži ljubav, traži nekoga s kim će podijeliti cijeli svoj život i kome će se dati cijeli nesebično."
0:03:47,0:04:02,"Naravno da je to u mojim okolnostima bio brak, odnosno ja sam mislio da je to brak, tako da sam onda nekako u tom smjeru i išao i u smislu nekakvoga druženja s djevojkama itd."
0:04:02,0:04:18,"Međutim, to je sve dosta bilo kod mene prilično površno., doduše moram priznati, ne s moje strane, ne uz njihove, jer sam ja valjda bio kao premlad, a prilično ozbiljan u tome svemu i onda su se uglavnom cure prepadale takvog jednog stava."
0:04:18,0:04:28,"Nisam ja njih mislio ženica 18 godina, ali nekako sam htio barem nekakvu sigurnost, recimo tako, u tome svemu."
0:04:29,0:04:30,Nije mi bilo bitno da ona.
0:04:31,0:04:52,"Možda isto tako kao ja je do kraja ozbiljna, ali evo, da barem nekakve iste ciljeve imamo i da vidimo da ta veza nekud ide, a ne da sad se tu ne znam šta jednostavno zabavljamo ili provodimo vrijeme zajedno, a objektivno se već može nakon jako kratko vremena vidjeti vidim li se s nekim u nečemu zbiljnijem ili ne."
0:04:52,0:05:19,"Tako da evo u tim nekim mojim traženjima dogodila se bila jedna ozbiljna veza koja je trajala tri godine, onda sam evo imao priliku otići na jednu duhovnu obnovu na kojoj sam evo prvi puta u životu mogu tako reći, razmolit u krugnicu Božjeg milosrđa, doista nedvojbeno i sa sigurnošću znao da je Bog živ i pokazao mi je mnoge stvari iz mog života, kad je svećenik koji je vodio duhovno obnovu propovjedao."
0:05:21,0:05:34,"Ja sam doslovno imao dojam, netko je se našalio kroz ove na Instagramu pa je onda rekao kada slušam neke propovijedi imam dojam kao da svećenik ide za mnom i špionira me proteklih tjedan dana."
0:05:35,0:05:44,"Tako i to, tak sam ja imao osjećaj kao da me netko špionirao cijeli život i da je on u toj jednoj propovijedi zapravo cijeli moj život iznio na vidjelo."
0:05:45,0:05:59,"Ja sam se u jednom trenutku skoro počeo okretati da vidim jer sad svi počinju gledati u mene, ali sam onda poslije naučio i saznao naravno da Bog svakome govori na poseban način kroz recimo jednu te istu propovijed."
0:05:59,0:06:01,Svatko čuje ono što se njega tiče najviše.
0:06:02,0:06:24,"I u biti nekako kroz, kažem, tu kružnicu Božjeg milosrđa, kroz molitvu srca koju smo prakticirali na toj duhovnoj obnovi, nekako sam evo po prvi puta u životu mi je palo na pamet uopće da bi možda htio biti svećenik, na što sam ja prvo ono sam sebe u duhu ošamario, zato što je moj život išao u totalnom drugom smjeru."
0:06:25,0:06:40,"Ne znam, evo već sam malo i sam sebi dosadan kad ponavljam ove stvari, ne sve naravno, nego kad ne volim, nego nikad ne znam kako bi o sebi govorio, ja sam obično uvijek u ulozi hosta pa mi je onda to malo uvijek nezgodno."
0:06:42,0:06:57,"Dakle, evo radio sam, pravidnošću Božjom, tada i na televiziji, jednostavno sam u svojoj srednjoj školi i na završetku srednje škole doista u životu imao baš sve što sam htio ili je to što sam radio vodilo prema tome."
0:06:57,0:07:00,"Dakle, doista jednu pozitivnu perspektivu."
