Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:45,0:00:46,Hvala li ste si mario?
0:00:49,0:00:52,Kako je vezano ovaj kamion s evangelizacijom?
0:00:53,0:00:54,Ajmo po redu.
0:00:55,0:00:56,Zovem se Zlatko Krznarić.
0:00:58,0:01:01,"Evo, nalazimo se u prekrasnom, lepom zelenom Međimurju."
0:01:02,0:01:06,"Otac sam petero djece, tri sina i dvije kćeri."
0:01:06,0:01:13,"I evo, već 21 godinu ježenjen, sretno s najboljom ženom na svijetu za mene, s mojim princem Sandrom."
0:01:14,0:01:32,"Evo prije nekih možda dva tjedna otprilike, moj prijatelj Krunislav me zamoli da li mogu snimiti neke kratko, petnaest minuta, recimo neki dvadeset o, pa evo pogledao sam evo to je to, o oezi očinstva i ispričati nešto o tome."
0:01:33,0:01:41,"I onda na prvu kad me on to pitao, sam rekao, joj pa to je preteško, nemam, pa nemam ja kaj, to je preteško za mene."
0:01:42,0:01:44,"A ne, ne, daj razmisli, pa imaš ti kaj dati."
0:01:45,0:01:58,"I onda sam malo zastojao i pitao sam se, pa ja stvarno nemam kaj dati, niti sam neka škola, niti neka faca, niti neka ne zna kakav uzor i to obitelji, prema tome nemam."
0:01:59,0:02:08,"Ali ako gledam što je Bog učinio u mome životu, onda je petnaest minuta jako malo jer tu se događalo jako puno toga."
0:02:09,0:02:27,"Ajmo iz početka, sad se skrivam iza bicikla, ali možda ne vidite evo ovo je proteza, dakle ja sam invalid, možda sam jedini u Hrvatskoj koji vozi šumara kamiona s protezom, možda sam jedini koji je trebao ići u penziju gdje su me gurali, ali nisam htio, ja sam se borio i htio sam raditi."
0:02:28,0:02:28,Zašto?
0:02:28,0:02:30,Zato je zdrava moja duša.
0:02:30,0:03:11,"Ja sam dvije tisuće jedanaest godine dvadeset osamdva doživio nesreću ali ne samo ovu nesreću što se tiče proteze nesreću da sam ostao bez novaca ostao sam dužan dogodila mi se ta nesreća u kojoj su mi amputirali stopalo supruga trudna s pet djetetom i možda neki znate tu priču ali hoću od nje početi jer zapravo tu je moje novo rođenje i kad se mi to dogodilo kad sam shvatio da se ja nemam na kaj osloniti da ja jednostavno nemam nikakvu sigurnost tad sam zapravo po prvi put u životu stvarno shvatio da mi treba Bog, da ja bez njega ne brem."
0:03:11,0:03:17,"I neki veli ono ima nevjernika, ali onak jedan natpis do prve turbulencije, ovi ono."
0:03:17,0:03:21,Znači kad vidite da se život ruši onda jedanput zazivaš Boga.
0:03:21,0:03:32,"Koliko god čitav život sam išao u crkvu, ali tad se mi dogodilo ono istinsko predanje, evo me Bože, tu sam, takav kakav jesam, slab, grešan, ali tvoj sam."
0:03:32,0:03:45,"I kad sam predao život Bogu spustio se jedan mir, počeo se poslije toga događati nešto predivno u mome životu, na starim razvalinama, jedan novi život."
0:03:46,0:04:19,"I ovaj kamion, započeli smo sa mojim poslom sa trupcima, bojao sam se hoću li moći dalje raditi, tada još nisam znao da li ću dobiti papire i sve je to bilo negdje u zraku, ali ovaj bicikl koji je tu nije samo zato što s njim dolazim na posao nego zato što samo šest mjeseci nakon operacije, znači dvadeset osamdvaju su mi operirali amputirali stopalo a na veliku gospu u osam mjesecu sam otišao na hodočašće u rijeku."
0:04:21,0:04:37,"U tim trenucima desna mi je bila u gipsu nekih dva mjeseca, friška proteza, ja sam mogao hodati možda nekih tristo metara i bila je ludost otići tristo km vodočastiti u rijeku s biciklom."
0:04:39,0:05:22,"Ali ja sam imao takvu snagu, ona koja je nadnaravna, ona koja je od gospodina, ona koja je neozastavljiva i mislio sam si pa sad sam na bolovanju, ne moram raditi sat tjedan vremena, pa doći ću tamo za tjedan dana, ali doći ću, doći ću za dva dana, i tamo na vrijeme, ali ta snaga vjere je potrebna ne samo meni, svakome koji me sluša, svakome čovjeku, svakome muškarcu, ženi da bi vodi svoju obitelj, da bi znao služiti i meni je tad ta snaga dala zapravo moj novi život."
0:05:22,0:05:33,"I onda ovaj bicikl, sad je to siće ako ja idem s njim na posao, ali zdravlje koje nam gospodin daje."
0:05:33,0:05:51,"HMO koje nudi u njegovoj prisutnosti, ponekad se bojimo tijesno za život, radi briga, radi ne znam čega, stvaramo neku sigurnost tu na svijetu, ali zapravo jedina sigurnost je ako svoj život predamo njemu, predamo gospodinu."
0:05:52,0:05:57,"I jer mi se to dogodilo, danas se tu mogu smijati s ovom protezom, mogu raditi."
0:06:00,0:06:12,"Isto kada su mi amputirali stopalo te iste godine, u deset mjesecu sam išao na prvenstvo Hrvatske u plivanju, bio sam sedam kategorije jedna tisuća petsto m krava Zašto vam to govorim?"
0:06:12,0:06:18,"Kad dođe na bazen, onda me ljudi znaju vidjeti, pa neko pitaju zabrinuti: hej, a kako ti je noga?"
0:06:18,0:06:22,"Ono vidi da si skinem protezu, da mi fali, da mi je dosim."
0:06:23,0:06:23,Kako ti je noga?
0:06:24,0:06:24,Pa je li možeš?
0:06:25,0:06:26,Ovo po meni je super!
0:06:28,0:06:29,Po meni je najljepše!
0:06:30,0:06:31,Pa kako to misliš?
0:06:32,0:06:36,"Pa gledaj, ovo mi je 49 godina staro, ovo mi je gan snoo, imam garanciju."
0:06:38,0:06:43,"Ženo mi pere duplo manje čarapa, imam bespada parking."
0:06:43,0:06:46,"Ako negdje pas neki laje, ja mu samo ovo pogurnem."
0:06:47,0:06:51,Mogu se smijati zato jer znam kamo ide.
0:06:54,0:06:57,"Otkrio sam smisao svoga života, on je u Bogu."
0:06:59,0:07:19,"Još nešto, u tim trenucima kad se nisam mogao zafrkavati kao sada, kad sam učinio to predanje Bogu, otišao sam isto tako majci Božjoj, Bistričkoj, postoji tamo onaj okultar, onaj zavjet, tri kruga se naprave."
0:07:20,0:07:42,"Otišao sam tamo i kad nisam bio siguran da li ću raditi dalje posao, da li ću moći financirati svoju obitelj, da li ću moći podizati svoju djecu i budući da je moja supruga, hvala Bogu, kućanica i najbolja mama za našu djecu, ja sam taj koji bi trebao donijeti doma kruh."
0:07:42,0:07:58,"I otišao sam dakle na Bistricu, napravio sam ona tri kruga i rekao sam, Oče nebeski Bože, ti budi otac moje djeci, ti budi otac u mojoj obitelji onda kad ja to ne znam, onda kad ja to ne mogu."
0:07:59,0:08:04,"Rekao sam, Majko Božja, ti budimati kad moja Sandra ne može ili ne zna."
0:08:05,0:08:12,"I učinio sam to predanje zato jer sam vidio da je to jedina nada, jedini smisao i sve što mi treba."
0:08:13,0:08:24,"I danas mogu reći da sam sretan ne zato što sam vratio dugove nego zato što je gospodin duboko ušao u moj život, u naš brak."
0:08:25,0:08:45,"I ono nešto važno što bih htio napomenuti kada gledamo očinstvo, kada gledamo vjeru, kako bi to trebalo biti, ok posao, ali posao poziv da budemo u obitelji, vitezovi, prinčevi, kraljevi, ali da služimo."
0:08:46,0:08:46,Kako?
0:08:48,0:08:51,Jedna stvar koja je meni bitna u našoj obitelji je obiteljska molitva.
0:08:53,0:08:56,"To baš nije jednostavno, pogotovo ako ne krenete na vrijeme."
0:08:56,0:09:28,"Kad sam se ja doživio to obraćenje i krenuo, tati moj Sebastijan najstariji u jednom revoltu čak otišao iz bunta u auto spavati, a kasnije nam se pridružio, evo danas je taj naš mališan na trećoj godini teologije, ima još par ispita da završi treću godinu, ali to je jedno posebno bogatstvo, ne samo za nas nego za svakoga koji hoće obiteljsku molitvu imati u obitelji."
0:09:29,0:09:45,"Možda smo premalo svjesni, evo jedne anegdote, mi smo se molili, u to vrijeme smo molili dvije desetice i izmolimo prvu i vidimo zvoni jedna gospođa i vidimo tko nam dolazi a ta osoba nije vjernik."
0:09:46,0:09:55,"I ja si mislim, ako sad nastavimo, mislit će se ovi misli će si ovisi u neki puknuti kakva je to molitva."
0:09:57,0:10:08,"es druge strane mi dođe glas ko se mene zataji pred ovim naraštajem i ja ću se njega i odlučim Sandra, ajde, otvori vrata, pusti je unutra, idemo nastaviti s molitvom."
0:10:09,0:10:28,"I ta gospođa dođe gore do nas i ja joj velim, evo baš si došla kad se molimo obiteljski, sjedni zajedno s nama i ja stavim u molitvu njezinu obitelj, supruga, djecu, njezin život i ona je počela plakati."
0:10:29,0:10:32,"Ja meni malo neugodno gledam, mislim si još šta sada."
0:10:33,0:10:59,"A ona plače kao kiša i mi molimo po redu, znači Petro od djece i Sandra, jedan sedam dođe red na nju i ona veli da ne može moliti, ali je počela još jače plakati, završi molitva i ona se onako probala sabrati, kratko iza toga odlazi i veli mi uopće je nebitno zašto sam došla, ovo mi je meni trebalo."
0:11:00,0:11:04,"Nemaš pojma koliko si mi uljepšio današnji dan, nemaš pojma koliko mi je ovo trebalo."
0:11:05,0:11:06,I zagrli me i otiđe.
0:11:07,0:11:09,Zašto sam to spomenuo?
0:11:09,0:11:19,"Možda smo mi stvarno premalo svjesni blaga kojega prosipamo, kojega bi trebali dati i kojega bi trebali imati u obitelji."
0:11:19,0:11:25,"Valja se potruditi za to, valja biti Božji, valja dati Bogu svoj život."
0:11:26,0:11:28,Još bi nešto htio reći.
0:11:29,0:11:36,"Uvijek kad me gospodin za nešto želi upotrijebiti ja nekako, sam na neki način kukavica gledam kako da pobjegne."
0:11:39,0:11:47,Gospodin me je upotrijebio i dao mi nadahnuće da vam je poziv da pokrenem mušku molitvenu zajednicu Krista Kralja.
0:11:48,0:11:58,"To je bilo u devet mjesecu jedanaestdevet prije pet prije četiri i nešto godine, evo ove godine u devet mjesecu bit će nam pet godina."
0:12:00,0:12:16,"Pa je to bilo negdje tam četiri pet mjesecu šest ja stalno odgađam i prvo smo počeli tri četvero, kasnije pet šest deset pa imamo ponekad godišnje susrete dva tri puta sa ženama to je otvoreni susret."
0:12:17,0:12:18,Zašto to govorim?
0:12:18,0:12:27,"Dogodile su se mnoge milosti, mnogo se dečki promijenilo, mnogo nas je ta vjera učvrstila kad smo zajedno, zajedno smo jači."
0:12:28,0:12:34,"Pozivam vas dečki, u vašim mjestima, gradovima, gdje god, tko god, bilo bi mi puno ljepše da vas slušam."
0:12:34,0:12:46,"Ja sam onaj stari tip dok volim ljude, da vas vidim, da vas pogledam, da vas zagrli, ne znam da li se smijete dok me slušate, da li spavate, gdje ste, šta radite, ali hoću da vas Duh Sveti dotakne."
0:12:47,0:13:02,"Evo da tam gdje jeste, gdje si posijan, ako te gospodin zove, da pozoveš prijatelje, da se okupite ne samo u obitelji, nego da okupite se na molitvu, dečki, da bi znali, evo biti što bolje, to nam je potrebno danas."
0:13:03,0:13:06,"I moj izgovor je bio Bože, pa kuću ja, kako dečke naći, otkud?"
0:13:06,0:13:10,"Pa puna je crkva žena, pa muški ono, jedva skrivaju se negdje, kako?"
0:13:11,0:13:16,Radije je lakše naći dvadeset žena nego tri muška koja su spremni za molitvu.
0:13:16,0:13:19,"Ali gospodine ima plan, plan je bio predivan."
0:13:20,0:13:40,"Jedna anegdota kad se dogodio potres u Petrinji, evo u tren smo se našli dva, tri, četiri kombija, dečki su išli dole, radili smo ovo, radili smo ono, nije da samo molimo, služimo gospodinu, služimo ljudima, prikupljaju se ponekad sredstva, to je djelo Božje."
0:13:41,0:13:43,To je to dok nas Gospodin želi upotrebiti.
0:13:44,0:13:51,"Ja još dan danas se smatram nesposobnim i pitam se Bože, pa gdje si našao mene?"
0:13:52,0:14:04,"Možda si i vi mislite da niste sposobni, ali Bog osposobljava one koji su pozvani, osposobio me za puno toga i niti je moja obitelj idealna."
0:14:05,0:14:16,"Ponekad me djeca rasrde, ne slušaju, idu putem kojim ja ne želim, ali Ali još ću jednu anegdotu izreći koja mislim da je bitna."
0:14:17,0:14:23,"Mnogi očevi prisvajaju svoju djecu, smatraju da bi trebali razmišljati kao oni."
0:14:24,0:14:30,"I evo jedne zamke, ne znam koliko govorim ali valjda je to to."
0:14:32,0:15:07,"Negdje dogodilo se to prije više godina, naime deset godina sam se bavio sa motociklističkim utrkama, bavio sam se Speedwayom i kad sam u jednom trenutku počeo osjećati nakon tih deset godina, vaša zadnja utrka bila je pobjeda na domaćem terenu i pobijedio sam i počeo sam razmišljati pa ja na start-u razmišljam o svojoj supruzi, ja razmišljam o svojoj djeci i neka sam shvatio to je trenutak kad treba stati."
0:15:08,0:15:14,"Kad sam bio dečko, kad sam bio mladić taj sport mi je bio sve, bio sam spreman sve učiniti za pobjedu."
0:15:14,0:15:20,"I kad sam počeo razmišljati nije više to na prvom mjestu nego nešto drugo, odlučio sam stati."
0:15:21,0:15:26,"I onak iz rekreacije imao sam jednog motora doma, otišli smo s dečkčkim na vožnju."
0:15:28,0:15:33,"Moj mali Sebastian, tata je imao možda nekih šest godina, bio je s menom."
0:15:33,0:15:34,I bio je jedan mali motorić.
0:15:34,0:15:37,"I pitao je dečki, evo, tu je mali motorić, hoćeš li tvoj sin probati?"
0:15:38,0:15:40,"Ja ga onako pogledam, da, tata hoću."
0:15:41,0:15:42,Ja veli ok.
0:15:43,0:15:48,"Moj Sebastian se sjede na taj motorić, pun zanusa, stavimo u cicigu."
0:15:49,0:15:51,"Ma nije se mali vozni, niti metar i po."
0:15:52,0:15:55,"Kako se sjede gore, stisnu pun gas, napravi salto, padne dole."
0:15:56,0:16:10,"Ja na to gledam i mislim si, mil i bože, kaj sam ja to učinio imao povreda, koliko sam ja nezgoda, koliko svega i svačega, a sad evo, moj djetet je tu pao."
0:16:10,0:16:12,Kako se mu je nešto dogodilo?
0:16:12,0:16:14,"Kaj će mi reći moja Sandra, gotova sa?"
0:16:16,0:16:21,"I ja to hitam prema svemu, se to odigra u nekoliko sekundi."
0:16:22,0:16:32,"I ja to gledam, Sebastian, podižem ga i u jednom trenutku mi prođe glas, on nije tvoja kopija, on je original."
0:16:36,0:16:41,U tom trenutku sam shvatio da su da svako dijete je jedan veliki dar od Boga.
0:16:43,0:16:52,"Premalo sam zahvalan za svoju djecu, premalo sam Bogu zahvalan za tu milost, za tu ljepotu, za njihove živote."
0:16:53,0:17:11,"I dopustiti djeci slobodu danas je veliki rizik, ali i velika milost ako za njih molimo, ako ih predajemo Bogu i ako smo ih u obitelji naučili što je molitva, što je obiteljska molitva."
0:17:11,0:17:52,"Evo, to bih htio poručiti, to bih htio za da zaživi u svakoj obitelji, da bi uistinu naša djeca bila slika Božja u ovome svijetu, iako možda nesavršeni baš kao što sam ja, baš kao što je moja obitelj, ali ukoliko smo Božji, tad smo najjači i evo, to je moja želja za svako od vas, da predate svoj život Bogu do kraja, bez kompromisa i da živite u Božjoj prisutnosti, ne samo da se molite, nego da ljubite Gospodina svim srcem, svom snagom, svom dušom svojom."
0:17:53,0:17:56,"Evo, tako neka bude."
0:17:57,0:17:58,U vijeke vjekova.
0:17:58,0:17:58,Amen.
0:18:00,0:18:01,Od srca vas pozdravljam.
0:18:02,0:18:02,Grlim.
0:18:03,0:18:07,Šaljem srdačne i široke osmijehe iz Međimurija.
0:18:07,0:18:09,"Budite hrabri, budite jaki."
0:18:10,0:18:15,"Kad ne možete sami na vlastiti pogon, dajte se priključiti na onaj koji je Boži."
0:18:16,0:18:17,Nećete požaliti.
0:18:17,0:18:18,Hvala vam lijepa.
0:18:18,0:18:19,Bog vas blagoslovio.
0:18:20,0:18:20,Aleluja.
