Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:11,"Hvala ti Majko Mario što si nas okupila ovdje, hvala ti što si nas povezala, hvala ti što uvijek povezuješ one koji su posvećeni tvome srcu."
0:00:13,0:00:36,"Evo, hvala ti za sve ove tvoje ratnike, molim te da izlješ plamen ljubavi svoga bezbrišnog srca sad na sve nas, na sve ono što ćemo činiti, na sve ove pothvate za dolazak triumfa tvoga srca, evo, koji je brat Kruno.unoslav spomenuo, evo i umnoži nas."
0:00:37,0:00:44,"Mojko, ti si ona koja si sposobna i koja si kroz povijest toliko puta dotakla i najtvrđa srca."
0:00:45,0:00:54,"Umoži nas da nas bude još više posvećenih tvome srcu, glasnika tvoga trijumfa po Kristu, Gospodinu našemu."
0:00:55,0:00:55,Amen.
0:00:57,0:00:59,"Bratu, hvaljeni su svi, Marija."
0:01:00,0:01:10,"Evo, došao je taj dan, ja sam sa velečastnim Marikom razgovarao i sa Krunoslavom o temi."
0:01:10,0:01:16,"E sad čini mi se možda vama sve ovo već poznato, ali dobro, nešto ste čuli, nešto niste."
0:01:17,0:01:24,"Slobodno ako bude i nekih pitanja, prekinite me ili me zaustavite ako je neko već ovo govorio."
0:01:24,0:01:27,Vjerujem da ste puno toga čuli o Krunici.
0:01:28,0:01:40,"Ja bih volio nekako s ovim predavanjem i kad sam ga pripremao, Sjećam se da sam jako temeljito istraživao neke događaje u bližoj i daljoj povijesti."
0:01:41,0:01:48,To je bilo baš kad se naša zajednica na novorođeni pripremala za onu posvetu Isusu po Mariji i svetog Ljudevita Montfortskog.
0:01:49,0:02:05,"I zapravo sam htio na neki način aktualizirati, ali isto tako probuditi vjeru koliko je Marija konkretno prisutna u našim životima, u povijesnim događajima, u političkim događajima, u ratnim događajima."
0:02:05,0:02:13,"Znači vidimo ona je kao neka tiha, diskretna, opet tako moćna i silna prisutnost koja prati posebno naš narod."
0:02:13,0:02:16,To se nekako dogodilo i u mojem životu.
0:02:16,0:02:26,"Zapravo moje prvo iskustvo susreta sa živim Bogom je povezano sa Marijinim zagovorom, iako ja to tada nisam bio svjestan."
0:02:27,0:02:46,"I to se dogodilo u mojoj desetoj godini kada smo bili na otoku Visu, odakle je moja mama rodom i obično kako je tata bio profesor u Sjemeništu, onda dva mjeseca odmora godišnjeg, bili bi cijelo ljeto na otoku."
0:02:47,0:02:52,"I sjećam se, znači tu večer je moja sestrična imala koncert u gradu Visu."
0:02:53,0:03:02,Mi imamo kuću negdje 15 km od grada i tata i starija sestra su išli na taj koncert i tad je pala kiša nakon mjesec dana.
0:03:02,0:03:07,Vi svi koji vozite znate da to onda bude situacija kao da je poledica.
0:03:08,0:03:14,"I sjećam se, znači, mene u noći nešto budi."
0:03:14,0:03:19,"I osjetio sam, evo tu je moj profesor, mentor Benčić."
0:03:21,0:03:24,"Kod njega sam magistriran na maslinarstvu, pa dugo se nismo vidjeli."
0:03:26,0:03:35,"Sjećam se da ne probudila me neka prisutnost koja mi je bila strašna, ali isto vrijeme ugodna."
0:03:35,0:03:36,Zašto strašna?
0:03:36,0:03:44,"Jer sam osjetio da je to nešto nad nadnaravno, da to nije plod moje mašte, da je nešto stvarno prisutno, opet znao sam da je dobro i nekako se ne osjeća da je božje."
0:03:46,0:03:52,"S druge strane, mi nismo imali običaj moliti osim nedjelja prije ručka i navečer Ranđelu čuvaru."
0:03:52,0:03:55,"To je bio neki onaj minimum koji bi se odradio, kad bi se odradio."
0:03:56,0:04:04,"I tad počinjemo osjećati snažan poticaj, snažan, ja bih se usudio reći neodoljiv, da trebam početi moliti."
0:04:05,0:04:08,"I molio sam, sjećam se oče naše, molio sam zdravo Marije, ko zna, to je možda."
0:04:09,0:04:24,"tralo pola sata, možda sat, bio sam u grču i u jednom trenutku sam samo osjetio mir i osjetio sam u srcu da mogu stati s molitvom i pokrio se nazad spavati, dijete ono ne razumije šta se dogodilo."
0:04:24,0:04:46,"Malo iza toga je mama ušla u sobu i sjećam se baš ono budi me i kaže, zvala je policija, tata i sestra su imali prometnu nesreću i zapravo su probili zaštitnu ogradu iznad provalije, jedan kotači već visio i vrtio se iznad prvalije, ali nisu se otko trdali dolje, sigurno bi poginuli."
0:04:47,0:04:51,"I policajac je, kaže mami kao eto to je čudo, zahvalite samo Bogu."
0:04:52,0:05:01,"Zanimljivo to se dogodilo točno ispod svetišta, to je glavno svetište marijansko-hvarske biskupije, Velo Selo na Visu."
0:05:02,0:05:16,"I ja sam tad postao svjestan dvije stvari i to onako osobno za uvijek iako sam kasnije i lutao, ali te dvije stvari su uvijek bile nekako o meni."
0:05:16,0:05:35,"Prvo da Bog postoji, da to nije nešto abstraktno, ali ono što je puno važnije, jer znamo da i đavo zna da Bog postoji pa mu nema puno koristi od toga je da je Bogu stalo do mene i da Bog brine, da je intervenirao direktno i konkretno u moj život i to baš preko Marije."
0:05:35,0:05:37,To se dogodilo preko njenog svetišta.
0:05:38,0:05:42,"Ja nisam tada znao za krunicu, vjerojatno sam izmolio par krunica, to je možda moj prvi ružari."
0:05:44,0:06:06,"I zapravo tako je nekako moj put obraćenja usko povezan s krunicom i htio bi zadržati tu nit vodilju, Marija je jako konkretna, znači ona konkretno ima utjecaj u povijesne događaje, u naše živote i možemo računat s njom kao sa našom odvjetnicom, majkom, savjetnicom, a i zapovjednicom vojske."
0:06:07,0:06:13,Papa Lav trinaest kaže krunica je više božanskog nego ljudskog porijekla.
0:06:14,0:06:23,Krunica je nastala iz nadahnuća i sad ćemo malo proći kroz povijest da vidimo i kako je nastala i neke intervencije koje su se dogodile po krunici.
0:06:23,0:06:44,"Sveti Eronim je recimo imao prve one brojanice na kamenčićima i molili su onako, znao je tako molit psalme, sto pedeset kamenčića, pa sto pedeset psalama i molio je psalme znači vidimo čak i u nekim drugim religijama prisutna ta navika jer ona na neki način čovjek znate da muslimani imaju te spihaje itd."
0:06:44,0:06:51,"Znači, na neki način čovjek se smiri i ponavljanjem određenih riječi ulazi u duh."
0:06:51,0:06:55,"Naravno, da su to sve kopije i da je original bio zapravo iz kršćanstva."
0:06:55,0:06:58,I prvi koji počinje sa takvom praksom je upravo svetijer Ronim.
0:06:58,0:07:01,"Znači, vidimo da su to sami početci crkve."
0:07:01,0:07:08,On je znao na pamet svih 150 salama i onda bi ih tako recitirao dok bi izvrtio tih 150 kamena.
0:07:09,0:07:14,"Kasnije su, evo, ako neko je dobio poticaj da nauči na pamet 150 salama."
0:07:14,0:07:18,"psalama, vjerujem da bi vam jako koristilo u vašem duhovnom životu."
0:07:19,0:07:20,U 11.
0:07:20,0:07:29,"stoljeću se javila navika da su redovnici, posebno oni koji nisu uspjeli naučiti latinski, bi molili onda 150 oče naša."
0:07:29,0:07:33,I znamo da i dan danas recimo u Hercegovini se krunice zovu oče naš.
0:07:34,0:07:44,"Moja žena je Hercegovka, onda uvijek kad nam djeca idu plivao na plaži pa pređu one kuglice, onda im viče ne samo do oče naša, ovi moji Dalmatinci gledaju šta."
0:07:45,0:07:50,"Znači ostaje taj naziv, moli se, znači oče naši."
0:07:51,0:08:01,"I sveti Bernard iz Klerova, koji je crkveni učitelj, koji je bio jako pobožan blaženoj djevojci Mariji, upravo zato je ona jako pomogla u borbi sa grijehom bluda."
0:08:02,0:08:08,"I evo vezano i za ovu temu i pornografije i čistoće, on je baš moćan zagovornik jer on je sve to prošao."
0:08:08,0:08:49,"Čak je imao i padove kada je počela i mistika, pa se to ispreplitalo i dugo je vodio tu borbu i on pobjedu na tim upravo pripisuje zagovor i pomoć Blažene Djevice Marije, on je malo to promijenio pa je on molio sto pedeset zdravo marija znači vidimo kako je to postupno nastalo i onda evo kao što je već i spomenuto priča počinje sa zapravo o krunici kako ju danas poznajemo sa dominikancima ali bio je jedan baš božji zahvat prije toga majka od svetog Dominika je blažena ili sveta Ivana izazva blažena nije, nije još sveta, ali da."
0:08:49,0:09:06,"Znači, Blažena Ivana iz Aza, ona je sanjala jedan san da rađa psa i to ju je jako, naravno, sablaznilo, šokiralo i povjerila se jednom svećeniku koji je ono potaknuo samo nek to zapiše i nek on, nek preda to Bogu."
0:09:07,0:09:09,I to je majka svetog Dominika.
0:09:09,0:09:14,"Ona je rodila sina koji se zvao Dominik, vidjet ćete zašto je pas na kraju u pitanju."
0:09:15,0:09:21,"I sad on je bio onako intelektualno jako izoštren, bio je sjajan retoričar, vrstan teolog."
