Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:11,0:00:18,"Hvala kao prvo Kruni na pozivu, iznenadio me taj poziv, rado sam se odazvao."
0:00:18,0:00:32,"Jednom prilikom je moja supruga imala poziv na jednu konferenciju i ona pročita govornike i ona kaže, oj trebam je kako ću ja to pričat, a ona kaže, ja pa ništa, uzmiš papir, napišeš, pročitaš i gotovo."
0:00:32,0:00:40,"Pa ne, ne, to su sve vrhunski govornici i moram ja to na pamet, ona dođe tamo, na pamet ona sve trese, se poslije nje svi sa papirom."
0:00:40,0:00:59,"I onda Kruno pozove mene, ja pročitam, evo ako ja ću sve lijepo napisati na papir, dođem jučer, ono mate i dva sata bez zamuckivanja, sve iz glave, tako da ja sad imam tu nekakav papir, pa ću ja malo s papira, malo iz glave, pa kako Bog da."
0:01:00,0:01:11,"Dakle, evo, ja sam, kako je Kruno rekao, otac destera djece, da mi je netko to rekao na početku mog života, odrastanja, definitivno da mu ne bi vjerovao."
0:01:12,0:01:24,"Dakle, odrastao sam u Zagrebu, to je bilo ono ratno vrijeme, ne sjećam se da sam ikad bio zajedno s mamom i tatom i bratom u crkvi, moje kući se nije molilo."
0:01:25,0:01:35,"Jedini razlog zbog kojeg je mene mama slala na vjernog bio je taj jer eto jednog dana sigurno ćeš se ženit, treba ti sakrementi, to moraš ovoga ići."
0:01:35,0:02:03,"I to je bila jedina moja poveznica sa crkvom, počele odrastanje i kako to uvijek biva, prve cigarete, alkohol, ostali poroci itede I bilo je to on onda ratno vrijeme u Hrvatskoj kad sam zapravo više vremena uspio provoditi vani i roditelji oko rata nisu imali baš neku kontrolu nad mnom."
0:02:03,0:02:10,Uglavnom to je bio onako jedan jako mračan period mog života koji je meni dosadio.
0:02:11,0:02:21,"Od tog vjeronauka na koji sam ja išao jedina poveznica s Bogom je bila ta da sam uvijek prije spavanja ono oče naš zdravom Marijeslavom, ne znam zašto, ali to je bilo ono redovito."
0:02:22,0:02:48,"I kad je, kad sam rekao ja više Bože ovako živjeti ne mogu, ono molim te daj pošaljem ovoga, curu ozbiljnu, iako sam tada još bio još, da, mlada, ali bilo je tu nekakvi takvi, a uglavnom molim te pošaljem ženu, ne moram ja znati da će onda meni biti žena, ti nju pošalji, pa da šta bude."
0:02:49,0:03:04,"Nije prošlo par tjedana, ja sam već zaboravio na to, došla je ovoga djevojka i mi smo počeli vezu, ali ta veza naravno, nisam imao nikakve ovoga, neke vjerske podloge da bi ja sad, da bi to bila neka vjerska veza."
0:03:04,0:03:18,"Nego onako to je išlo i odjedanput ona ode preko ljeta u Njemačku kod tate, tata je zamoli jel bi htjela molit s njim, ona kaže može."
0:03:19,0:03:20,Ne znam ni sama zašto je to rekla.
0:03:20,0:03:34,"Međutim, za vrijeme te molitve ona brizne u plač i ona sama počne pričati, ja sam se obratila, ja sam se obratila, nazove mene na telefon, ja sam se obratila, ja sam ništa znači sad to obratila, nemam pojma, nikad čuo za to nisam."
0:03:34,0:03:56,"Uglavnom ona se vrati natrag, ona počne molit krunicu, ona počne i čitati Bibliju, ona počne ići svakog ponedjeljka na misu, ja sam Isus, hoće sad ovo trpiti, ali volio sam je, dakle moje namjere s njom su bile iskrene i ona tako je ustrajala u toj vjeri i mene sve još sve nije ticalo, meni sve je bilo to još meni ok."
0:03:56,0:04:57,"Kaže ona više ne želi spavati s tom prije braka, puho, ja kažem, ali nisam ni siguran da se želimo ženiti s tom, ja kažem dobro i tada je bilo prvi put u mojoj glavi postavljeno pitanje šta ću ja sad sa tom curom, volim je, ne želim je sprječavati u tom njezinom ovom, dakle ja želim biti s njom, ja si mislim pa Bože, ok, ako ona to sad želi raditi, ne želi više raditi zbog tebe, evo ja onda poštivat ću njezinu odluku i činit ću sve da budem u tom dijelu, ono pošta najviše šta mogu biti, evo nek bude tako, nećemo više spavati i dogodi se njezin odlazak u Međugorje i počne ona mene masirati s Međugorjem, međugorje, međugorje, dok ja nisam popustio, ali sam rekao, ok gospodo, ako ti tamo jesi onda te želim vidjeti, ako te ja ne vidim znači tebe tamo nema."
0:04:57,0:05:05,"I dođem ja u Međimurje, svi oni mole, svi oni face na koljenima ovako, ja za svaku grmla tražim, gledam, hoće li vi gospodo, je li tu, nije."
0:05:06,0:05:23,"Ja odlazim, sjedam u autobus, mislim si, hvala ti Bože, nema je, nikad više ovdje se ne vraćam i tu počinje moj obraćenički put, kad osjetim u srcu, nisi dijete, nisi ništa dobio, vrati se natrag."
0:05:23,0:05:28,"Ne, koja je vraćanje natrag, ja čakam da odem, ti me već zoveš natrag."
0:05:29,0:06:18,"Uglavnom ta moja borba po povratku je trajala, ali taj glas je bio ono sve jači i jači, nije mi dao mira i ta borba je trajala tih nekih par mjeseci kad sam se odlučio ispovjediti, vratio sam se u Međurje, ispovjedio se, napravio jednu životnu ispovjed, sve izrekao što sam bio, što sam imao i pod svjetom misom na pričesti, evo to je bilo ono, pao sam na koljena, ne mogu objasniti šta je u meni počela radit, gore, dole, kao struja, kuda me netko ono priključuje na nešto i tad sam prvi put rekao, Bože, vjerujem, to si ti, nije ovo neki obični komadić kruha, tjesta, nego evo zaista vjerujem da si ti prisutan u hosti i tu počinje moj obraćenički put."
0:06:18,0:06:25,"Kad sam se vratio natrag, krunica, Biblija, misa, sve ovo što je i ona radila tada."
0:06:29,0:06:39,Tu je počeo taj neki taj moj obraćenički put gdje sam počeo osjećati Boga i svakog dana.
0:06:39,0:06:44,"Dakle molitva, krunica je za mene ono postala posebna, svakodnevna, najljepša, evo svaki dan."
0:06:46,0:07:07,"Danas, evo recimo sa suprugom, dakle počinjemo dan sa našom jutarnjom molitvom i to je otprilike nekih četrdesetak minuta posvetnih molitava, a onda uzmemo krunicu u ruke i izmolimo ružari na Gospodine nakane."
0:07:08,0:07:09,Dakle tako počinje naš dan.
0:07:10,0:07:22,"Evo nekome, neko mi kaže, pa to je previše, a ja kažem, gledajte, to je moja mjera, to je onoliko koliko nama treba, to je ono šta nas jača, šta i mi zapravo u toj molitvi našoj ustrojimo."
0:07:23,0:07:32,"I onda kroz dan, dakle svatko te molitve koje ima osobne i navečer sa djecom obavezno znači obiteljska molitva."
0:07:32,0:07:48,"Evo gospođa u svojim porukama je naglašavala važnost molitve i možda mi nikad nećemo shvatiti koliko je to važno, ali zašto bi mi zapravo sami koji smo ograničeni, zašto bi mi morali shvatiti Boga koji je neograničen?"
0:07:48,0:07:58,"Ako gospođa kaže počnite, ako nas poziva na molitvu, naše je da počnemo moliti bez razmišljanja i da ustremo toj molitvi."
0:07:59,0:08:29,"U tim nekim hodočašćima koje sam ja organizirao, znam da je puno ljudi mi je došlo sa razno raznih problema i ono što sam ja u tim hodočašćima vidio zapravo to da svi oni bi htjeli te svoje probleme riješiti tako, da im kažem evo daj mi šta ja znam, daj trideset tisuća eura svi tvoji problemi će biti riješeni svi bi oni platili bez problema to uopće ne ja ali kad kaž čovjeku gle uhvati se molite uhvati se krunice i svi tvoji će problemi biti riješeni on jednostavno u to ne vjeruje."
0:08:29,0:08:37,"Ne vjeruju u snagu te molitve, ne vjeruju da Bog može riješiti njihove situacije u što sam se ja vjerujte mi u svom životu uvjerio."
0:08:38,0:08:47,"Gospođa je rekla u Međugorju da molitva krunice može zaustaviti prirodne katastrofe, da može zaustaviti vrata i zaista ja stvarno vjerujem."
0:08:49,0:09:04,"Nikad neće, evo recimo sad primjer jednog ovo vrijeme korone kada je bilo, radi se o hodočašću obitelji koju sam organizirao u to vrijeme još uvijek i sada, granica sve je bilo zatvoreno, čitav svijet je bio stao."
0:09:05,0:09:11,"Ja sam godinu dana unaprijed odredio datum kad se ide za Međugorje i to je bilo ono, nema šanse da se ide."
0:09:11,0:09:15,"Ja samo molim, ja sam vjerovao, ja kažem gospodo ti znaš, Bože ti on može ti izuzeti ono."
0:09:16,0:09:17,"Šta bude bit će, ne."
0:09:18,0:09:25,"Kažem, sve je bilo zatvoreno, ja sam molio, ja sam poslije na tu naknadu, bilo je prijavljeno trinaest autobusa za to hodočašće obitelji."
0:09:27,0:09:32,"Na čudovata način, taman prije tog, prije nego što ćemo mi otići, granica se otvori."
0:09:32,0:09:43,"Mi odemo sa četiri autobusa, neki su, evo ljudi su odustali, sa četiri autobusa odemo u Međimurje, budemo tamo tri dana koji uvijek, iziđemo van, nakon dva dana granica se zatvori."
0:09:43,0:09:49,"Dakle, evo, kažem, molitva krunice zaista je strašno jaka."
0:09:50,0:10:16,"Što se tiče braka, evo od uvijek sam sebe vidio kao obiteljskog čovjeka, evo kad sam, uvijek sam želio obitelj, kad sam ugledao moju suprugu pomislio sam, evo to je ta, sjećam se kad sam vidio ovoga, upoznali smo se tada, kad smo se upoznali, to je bila diskoteka paradisa, ali evo paradisa je sad u naš život, zaista."
0:10:16,0:10:28,"Evo moja supruga, kad bi pričao o mojoj supruzi, evo ako ne u ulicu da ne zovem po njoj, barem ono bistu bi je trebao zaista dignuti koliko je dobra."
0:10:30,0:10:39,Evo ona ne samo da je nosila i rodila deseter od djece nego u našem životu preko tog zajedničkog posla kojeg se mi bavimo ona je i nositelj financija.
0:10:39,0:10:49,"Evo, u mojoj supruzi ja imam sve što sam sad sad tu napisao neke stvari i želim ih pročitati zato što zaista su i tako osjećam."
0:10:51,0:10:54,Dakle u svojoj supruzi ja imam sve što sam zamišljao da bi neka žena trebala imati.
0:10:56,0:11:11,"Sada naravno da postoji situacija kao u svakom braku da ti digne tlak, da pričaš, ali ne vjerujem da je to zbog nje, nego zaista mislim da je to zbog moje slabosti da nemam strpljenja u određenim trenucima."
0:11:11,0:11:20,"Evo moja supruga, smatram i zaista to tako je, da je izvukla maksimum sposobnosti iz mene za koje ja nisam ni znao da ih imam."
