Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:10,0:00:28,"Ovo je što je Kruno rekao jako bitno i ono baš ono jedan poticaj za svakoga od nas, ono danas u ovim situacijama, ovim vremenima bitna je ovakvom putu u jednoj ovakvoj situaciji da možeš učiniti nešto dobro za čovjeka, za ovu državu, za našu djecu."
0:00:29,0:00:30,Pa e to preporučavam.
0:00:31,0:01:10,"Ovako ja sam dražen, imam pedeset tri godine dolazim iz jednog mjesta srednjine i ovdje sam za ovom govornicnicom već treći put i nekako odmah ako počnem plakati i cijelo vrijeme nemam veze, ovo je jedna milost koju Gospodin vodi i daje meni i na današnji dan kada častimo božansko milosrđe, neizmjenu, kada častimo presvetu Krk Kristovu i vodu, kada častimo onoga kojega smo ranjavali, kojega sam ranjavao cijeli život, kojega sam svojim grijesima izmasakrirao, koji sam ga pribio na križ."
0:01:10,0:01:24,"Kad vidim što sam svojim grijesima njemu učinio, a njegova neizmjena je milosrdna ljubav, sam je rekao sestri Faustini da su vam grijesi kao Grimis, kao purpur crveni, kao skelet."
0:01:25,0:01:28,Njegovo milosrđe je neizmjerno i veće od svakog grijeha.
0:01:29,0:01:50,"I ukratko da to neizmjerno milosrđe Božje koje se izlijeva, koje je prisutno tu da nikad ne prezremo i da nikad ne ostanemo u onome gdje jesmo, nego da znamo da ima zaista netko tko je prolio svoju krv za nas i tko je dao svoj život."
0:01:51,0:02:00,"Kad sam bio dijete, obitelj, inače, oženjen samim sam imao sada dvoje djece, djeca su mi 26 godina, mala mi je 22."
0:02:01,0:02:19,"Kad sam bio dijete, roditelja koji su mi bili normalni, uredni roditelji koji su dali svu svoju ljubav na onaj koji način, posebno mater u jednoj sredini koja nije bila baš sredina ljubavi i dobrote, nego je bilo i kleti i proklinjanja, uža obitelj."
0:02:20,0:02:39,"Brat mi je bio malo bolestan, imao je nekih problema fizičkih, jedno dijete, majka je izgubila, težak život je imala, kad je bila sa mnom trudna, sanjala je, vidjela je crnu gospođu i ta gospođa joj je rekla u snu s ovim djetetom će ti biti sve u redu."
0:02:40,0:02:46,Tako da ovo moje svjedočanstvo nekako nastanjuje na vlažnu djevojčicu Mariju koja me je pratila tijekom cijelog mog života.
