Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:00,Hvala lijepa.
0:00:00,0:00:01,Nisi Marija svima.
0:00:02,0:00:04,"Moja supruga je Onada, ja sam Robert."
0:00:04,0:00:43,"Evo, oženili smo se nedavno prije dvadeset šest godina i kako kruno kaže evo ima desetero djece i čak evo treće unuče na putu kao prije svega želim se zahvaliti kruni da nas je pozvao na svjedočanstvo da evo provedemo vrijeme s vama i da kažemo par riječi o našem životu dakle neće biti ovo klasično svjedočanstvo nisam se stigao iskreno nisam se stigao uopće pripremiti nego na ovaj papir sam zapravo stavio sve nekakve te bilješke šta bi ja želio reći vama, šta bi i šta sam mislio da bi možda vas zanimalo iz našeg zajedničkog ovoga bračnog života."
0:00:43,0:01:05,"Pa evo ja bi zapravo krenuo od onog najglavnijeg, a ono najglavnije zapravo poruka su ja vama pogotovo mladima koji su tek stupili u brak da ako žele sačuvati brak i ako žele uživati u braku mora se znati tko je gazda u kući a to je Isus."
0:01:06,0:01:19,"Dakle ono što bi želio poručiti su ima da sve što radite u svom braku, da li jedete, da li pijete, da li se svađate i kad se svađate to činite sa Isusom."
0:01:19,0:01:42,"Jer siguran sam da kada Isus je u takvoj recimo nekakvoj svađi, prepirci ili ne znam čime on vam sprječava da kažete puno onih stvari i riječi za koje biste kasnije žalili i koje bi dovele možda do neke dugotrajnije svađe itede Dakle, evo to je moja poruka za početak ovog našeg, ovog našeg nagovora."
0:01:43,0:01:48,"Dakle, kad je Bog na prvom mjestu, vjerujte mi sve ostale stvari su na svom mjestu."
0:01:49,0:01:57,"Evo prije obraćenja, dakle o tome neću baš puno pričati, nije to sad važno šta je bilo, nego je važno evo naše obraćenje."
0:01:58,0:02:03,"Naše obraćenje se desilo u Međugurju, najprije od supruge, pa onda kod mene."
0:02:03,0:02:20,"Dakle, svakako je bilo za mene čudo kad smo mi iz jedne obične svjetovne veze, kada je ona došla meni i rekla ja sam se ogratila, pa otišla u Međugori, pa svašta, pa počela molit krunicu, ići u crkvu, počela je čitati Bibliju, ja si mislim da je dobro, to je sve onako prolazno."
0:02:21,0:02:29,"Međutim, jednog dana je došla k meni i rekla je ja više ne želim spavati s tom prije braka, a pitanje je da li smo uopće za brak."
0:02:29,0:02:36,E to je bilo za mene jedan onako veliki šok i zapravo tu sam ja morao početi razmišljati od Bogu.
0:02:36,0:02:58,"Ja do tad nisam mislio, ja sam mislio a to će ni uproći pa nićemo dalje po starom itede Međutim, kada je to rekla onda je došlo do moje jedne iskrene molitve gdje sam ja rekao dobro Bože evo stvarno ako je to njezina volja i ako ona to želi napraviti za tebe ja ne želim biti taj koji će joj u tome spriječavati ili joj to onemogućavati ili bilo šta."
0:02:58,0:03:02,Želim poštivati njezinu volju i želim biti iskren u svemu tome.
0:03:02,0:03:18,"I zapravo je to bio, ja mislim da je to bio uvjet i mog obraćenja jer je ubrzo ona prije ne počela isto nagovarati ovdje u Međugore, ovdje u Međugore, meni je to sve bilo ono blesalo dok jednog trenutka ja nisam posustao, ali sam rekao gospi, ok gospo, idemo se dogovoriti."
0:03:18,0:03:23,"Ako te ja u Međugorju vidim, ja u Međugorju vjerujem, ako te ja u Međugorju ne vidim, pa kako u Međugorju."
0:03:24,0:03:34,"I onda je bilo zanimljivo, svi su tamo, znate kako je u Međugorju molitva, krunica itede križni put, podbrdo, svi mole, svi sklopljene ruke, a ja sam uglavnom i čujem gospu."
0:03:36,0:03:37,I hoću li je vidjeti?
0:03:37,0:03:39,Naravno da nisam vidio gospu.
0:03:40,0:03:55,"Međutim, to se dogodila jedna zanimljiva stvar, dakle na povratku autobusu kad sam sjela u autobus i kad sam se mislio, kad sam možda i spomenuo ne prvi put, ali onako i ovaj Bože, ako te ima, hvala ti Bože da idem, da evo da se vraćam kući i nikad više ovdje neću biti."
0:03:55,0:04:01,"A onda ako jedna onako milost, tako blagi govor u mom srcu, dijete nisi ništa dobio, vrati se natrag."
0:04:02,0:04:03,Kud natrag nisam ni otišao.
0:04:04,0:04:20,"Međutim, tada se desila zapravo najveća promjena u mom životu, da kad sam se vratio natrag nakon par mjeseci, da sam se ispovjedio i onda doživio Međugorje na jedan poseban način gdje sam stvarno zaista osjetio Bogoga u svom srcu nakon svete pričesti."
0:04:21,0:04:51,"To je bilo jako lijepo vrijeme za nas, to je bilo vrijeme gdje smo zajedno molili, živjeli predbračnu čistoću, ali svejedno živjeli i bili u istoj sobi, malo ne u istom krevetu, ja sam bio mršav tada, ali zajedno smo molili i to je bilo ono jedno vrijeme, dakle to ležiš, spavaš, budiš se, moliš i znam često putuju to molitve, ja bi obično i zaspao, onda bi me ona trknula, pa ja onda odgovoram sveta Marijo, majko Bože."
0:04:52,0:05:02,"Tako je bilo, tako je bilo jednu noć, valjda kako sam se navalio na nju, ona me trkne, a ja sveta Marijo, majko Bože, a oni su bili za nas grješnike."
0:05:02,0:05:08,"Dakle, bilo je to stvarno jedno jako lijepo vrijeme ovoga našeg života, prevršnog života."
