Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:08,Na kavi sa svetim Ignacijem Popite kavu sa svetim Ignacijem na Radio Mariji.
0:00:25,0:00:30,Na samom početku želimo vam sretnu i blagoslovljenu novu godinu.
0:00:31,0:00:42,"Nova godina pred nama pruža nam nove prilike, poznate su i novogodišnje odluke koje pokazuju čežnju nama, želju za promjenom, čežnju našeg srca."
0:00:43,0:00:53,"Kako bi rekao Sveti Ignacije, ako i nemam želju za nekom promjenom, mogu moliti Boga za tu želju, da želim željeti mijenjati se."
0:00:54,0:01:01,"I zato su danas sa mnom u studiju Martina, Antonija, Maša i Bruno, zaposlenici centra."
0:01:01,0:01:08,Centa Ignacije koji stoje i skrivaju se iza knjžice Manreza 2026.
0:01:09,0:01:29,"Želja nam je predstaviti vam danas tu knjžicu, što se u njoj nalazi i zašto se baš ona zove Manreza, što je Manreza značila za svetog Ignacija, kakve smo vam sve programe pripremili u Novoj godini, a i o samoj knjžici razgovaramo u nastavku."
0:01:30,0:01:34,Na samom početku ove naše emisije zastat ćemo nad Božjom riječju.
0:01:35,0:01:42,"Pozivam vas, dragi slušatelji, ako ste u mogućnosti, izvojite idućih pet minuta i ostavite sve što radite."
0:01:44,0:01:52,"Zastanite na trenutak, zatvorite svoje oči, umirite disanje i molimo zajedno kroz ovu meditaciju."
0:01:53,0:01:57,Osvijestimo si što se trenutno u nama događa.
0:02:04,0:02:09,Čitanje Evanđelja po Luki i uđe u Jerihon.
0:02:09,0:02:14,"Dok je njime prolazio, eto čovjeka imenom Zakej."
0:02:15,0:02:19,Bijaše on nad carinik i to bogat.
0:02:20,0:02:28,"Želio je vidjeti tko je to Isus, ali ne mogaše od mnoštva jer je bio niska stasa."
0:02:29,0:02:35,"Potrča naprijed, popes Pope se na smoku da ga vidi jer je onuda imao proći."
0:02:37,0:02:48,"Kad Isus dođe na to mjesto, pogleda gore i reče mu Zakaju, žurno siđi, danas mi je proboraviti u tvojoj kući."
0:02:50,0:02:54,On žurno siđe i primi ga sav radostan.
0:02:55,0:02:58,"A svi koji to vidješe, stadoše mrljati."
