Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:06,0:00:11,"Hvala Isus i Marija, najljubljenije moje sestre i vraćao u Kristu i hrvatskom narodu."
0:00:13,0:00:22,"Predivno je biti večeras ovdje sa vama, ali prije svega zato što je naš Gospodin divan, predivan."
0:00:23,0:00:28,U istinu duboko osjećam u srcu da se nastavi u svakome od nas.
0:00:29,0:00:39,"Evo u ovome uvodu, u ovim pjesmama, naše srca su bila pripremljena za dolazak Duha Svetoga."
0:00:42,0:00:45,Korak u životu ne možemo napraviti bez gospodina.
0:00:48,0:00:54,Ja sam kroz svoj život puno puta sebi otvarao da to mogu nešto učiniti sam.
0:00:56,0:01:10,"A u trenucima koji su slijedili, gospodin mi je pokazivao najobičniji korak popeti se na jednu stolbu ili bilo što u životu jedno dan ne možemo raditi bez gospodina."
0:01:13,0:01:38,"Ja dolazim iz jednog privjetnog dijela, jedne od hrvatskih zemalja, iz Herceg Bosne, to je privjetni kraj i drago mi je da mnogi od vas mladih ovdje i manjih mladih su korijenima, ako ne rođenje, svojim roditeljima, podjedovima i bakama iz toga dijela naše lijepe domovine."
0:01:41,0:01:43,Rođen sam 1960.
0:01:43,0:01:48,"godine, tada je moja majka studirala medicinu, živjela je u Sarajevu."
0:01:49,0:02:18,"tata je došao na studij u Sarajevu, uzeli su se oženili i ja sam dođen tada pošto je mama studirala medicinu u Sarajevskoj bolnici, međutim porođenje se smatra djetetom iz Žepča jer smo tada živjeli prvih 11 godina života u Žepču, jednom prilikom kraju uz rijeku Bosnu, a poslije negdje u vrijeme Hrvatskog proljeća 1971."
0:02:18,0:02:24,"kada je majka dobila specializaciju kao liječnica u Gusovači, prešli smo u Gusovaču i."
0:02:25,0:02:49,"Tu sam ostao živjeti, dočekao rat, upoznao svoju najljubljeniju suprugu koja je ovdje zajedno sa mnom, Peneru, koja je rođena u Gustovaći i živjela je tu, a mi koji smo došli nastanili smo se u njezin grad, nismo se ni poznavali dok nismo počeli se zabavljati 1982."
0:02:50,0:02:53,godine kada sam imao nepovoljnih 22 godine.
0:02:54,0:03:00,Pener je tada bila četvrti razred i danas išla je u obitelj s isto jednom susjednim gradom ići u Središnjoj Bosni.
0:03:02,0:03:14,"I evo živjeli smo jedan mirni život, naša obitelj je bilo više djece, ima prate još i tri sestre."
0:03:18,0:03:27,"Poslije tih trenutaka, evo govorim o tome, o obiteljskom dijelu, Dagmar će vjerojatno više o tome, pa neću puno o tome govoriti."
0:03:29,0:03:57,"Dolazi ono vrijeme koje je i vama je sigurno i svima nama koji smo ga proživjeli i najzanimljivije i najpotresnije, a to je vrijeme Domovinskog rata, vrijeme u kojem smo i mi koji smo živjeli u tom prekretnom dijelu Hrvatske zemlje u Središnjoj Bosni doživjeli teške trenutke, puno smrti, puno stradanja, to isto bile su domine, pune krvi."
0:03:59,0:04:07,"To su prostori u kojima smo živjeli dugo, dugo, dugo, a željeli su da ih ta danas tamo ne bude."
0:04:09,0:04:32,"To su prostori uz prekrete rijeke, uz lažne uz vašu lepenicu Vrgorac i rijeku Bosnu, jel uz hrvatske branitelje koji su posluškivali, a i dobrim djelom dali svoj doprinos u obrani Hrvatske, mi smo isto proživjeli svoju kalvariju."
0:04:33,0:04:38,Svaki od naših hrvatskih branitelja imao u to vrijeme krunicu.
0:04:38,0:04:54,"Krunica je bila uz njih, bila je oko rata, bila je zajedno sa njima, bili su u brojevima, bili su na prvim crtama, a naše lajke, naše supruge, naše bake, djedovi su bili sa kronicama i mali su."
0:04:55,0:05:01,"Evo ovdje upravo vidimo gospođu, kraljice kronice."
0:05:02,0:05:14,"Mi nismo tada toliko bili svjesni, evo polazimo od sebe koliko nas je po Zagrebu, Blažene ljevice Marije, naše povijesne majčice, gospodin zaštitio, koliko nas je čuvao."
0:05:15,0:05:39,"Pa taj prostor su, okruživala ga je upravo naša medijska majka, od gospođe Končilske na sjeveru ovog prostora Središnje Bosne, do Državičke gospe kod svojice, do naše gospe u Rami, sve su to bila uporišne točke, do svetoga Ive, u Potninač i Rajcu, a u svetu što je bio naš Gospodin Isus Krist."
0:05:40,0:06:00,"E on je bio taj koji je bio za naše branitelje i uistinu samo zahvaljujući Božjoj pomoći uz velike žrtve, samo to prostoru Središnje Bosne oko 3000 hrvatskih mladića, hrvatskih branitelja, civilna, majki, djedova, maka, staraca, dječice je izgubilo život."
0:06:01,0:06:03,To su bili posebno teški trenuci.
