Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:37,0:00:40,I na jedan određen način to je pitanje jako jednostavno.
0:00:41,0:00:42,I odgovor je jednostavan.
0:00:45,0:00:50,Zato što milost obnove je zapravo ogledalo crkve.
0:00:52,0:00:58,"Jer tamo gdje crkva raste, također i karizmatska obnova raste."
0:01:01,0:01:08,"Tamo gdje ima jako puno mladih ljudi u crkvi, tamo ima jako puno mladih ljudi u obnovi."
0:01:10,0:01:10,I tako dalje.
0:01:16,0:01:19,"Ali to pitanje kad malo razmislimo, njemu može biti odgovoreno na više načina."
0:01:25,0:01:34,"Ali ako me pitate gdje je ta milost katoličke karizmatske obnove najjača u svijetu, možete razmišljati o brojevima."
0:01:38,0:01:40,Najjača je tamo gdje je veliki broj ljudi.
0:01:42,0:01:56,"A ako govorimo o brojev tim brojevima, onda je katolička karizmetska obnova najjača u Brazilu, znači u Latinskoj Americi."
0:01:59,0:02:02,Ali morate zapamtiti da je tamo jako puno katolika u Brazilu.
0:02:11,0:02:15,"Puno ljudi u Brazilu, vjernika, je članu neke molitvene zajednice ili molitvene grupe."
0:02:21,0:02:24,i puno njih služi potrebitima i siromašnima.
0:02:26,0:02:30,Postoje čak i katoličke karizmatske televizijske postaje.
0:02:37,0:03:00,"Ali ako gledamo s druge strane neke druge mjere gdje je katolička karizmatska obnova najjača, a ne brojeve, zrelost naprimjer, gdje u svijetu mogu naći zrelu katoličku karizmatsku obnovu?u, onda je neki totalno drugačiji odgovor."
0:03:05,0:03:07,Jer može biti grupa od pet ljudi koji su jako zreli.
0:03:18,0:03:40,"Jer u našoj povijesti koja je pedeset godina, to nije jako dugačka povijest, ali mi bismo trebali biti sve zreli i zreli i u duhu., ne mislite, ali stvarno ne mislite na starenje u duhu."
0:03:45,0:03:48,"Zrelost ne znači biti stariji, nego ići dublje."
0:03:53,0:03:56,I mislim da je to jako važno razmišljanje za cijelu obnovu.
0:03:56,0:04:05,"Jer nekad, nekad želimo jednostavno."
0:04:06,0:04:08,da stvari ostanu na tom površinskom sloju.
0:04:13,0:04:21,"Kad su stvari na tom površinskom sloju, onda je sve ugodno i upoznati smo s mnogim stvarima."
0:04:24,0:04:37,"Na neki način držimo sve pod kontrolom, ali kad nas Gospodin odvede dublje, onda stvari postaju drugačije."
0:04:40,0:04:48,Nekad jednostavno ne znamo što se događa i moramo biti spremni za iznenađenja Duha Svetoga.
0:04:50,0:05:05,"Kada idemo dublje, onda Gospodin često donosi izazove u naš život jer jedino možeš rasti kroz izazove."
0:05:07,0:05:15,"Kad dijete odrasta, mala djeca mogu raditi bilo što i roditelji joj govore."
0:05:16,0:05:16,kako je to slatko.
0:05:19,0:05:22,"Kao malo djeta nešto slomi, roditelji, ma nema veze."
0:05:25,0:05:28,"Ako si imaš 12 godina i nešto slomiš, gotov si."
0:05:31,0:05:33,Na taj način učimo kako odrasti.
0:05:38,0:05:48,"Kako postajemo sve zreliji u duhu, onda taj život u duhu nije tako jednostavan kakav je prije bio."
0:05:53,0:05:56,"Ali moramo izgurati, moramo pretrpjeti te boli odrastanja."
0:06:01,0:06:07,To je još jedan način na koji možemo mjeriti jakost odnosno snagu katoličke obnove.
0:06:16,0:06:26,A treći način na koji možemo pričati o snazi obnove je taj je li ta zajednica odnosno obnova u nekoj državi vjerna misiji na koju je pozvana..
0:06:29,0:06:31,Radimo li ono na što smo pozvani?
0:06:34,0:06:38,"To naravno ovisi o tome znamo li, odnosno što mislimo o tome što je naša misija."
0:06:43,0:06:47,"Postoji više načina na koje se služba, odnosno misija može razviti."
0:06:52,0:06:59,Ali najosnovija misija obnove je misija izlaska.
0:07:00,0:07:02,Jer jedna od stvari koje Duh Sveti radi je.
0:07:02,0:07:03,"Da, to je to."
0:07:03,0:07:04,"Da, to je to."
0:07:04,0:07:04,"Da, to je to."
0:07:04,0:07:05,"Da, to je to."
0:07:05,0:07:06,"Da, to je to."
0:07:06,0:07:06,"Da, to je to."
0:07:06,0:07:07,"Da, to je to."
0:07:07,0:07:07,"Da, to je to."
0:07:07,0:07:08,"Da, to je to."
0:07:08,0:07:08,"Da, to je to."
0:07:08,0:07:09,"Da, to je to."
0:07:09,0:07:10,"Da, to je to."
0:07:10,0:07:10,"Da, to je to."
0:07:10,0:07:11,"Da, to je to."
0:07:11,0:07:11,"Da, to je to."
0:07:12,0:07:12,"Da, to je to."
0:07:12,0:07:13,"Da, to je to."
0:07:13,0:07:13,"Da, to je to."
0:07:13,0:07:14,"Da, to je to."
0:07:14,0:07:14,"Da, to je to."
0:07:15,0:07:15,"Da, to je to."
0:07:15,0:07:16,"Da, to je to."
0:07:16,0:07:16,"Da, to je to."
0:07:16,0:07:17,"Da, to je to."
0:07:17,0:07:17,"Da, to je to."
0:07:17,0:07:18,"Da, to je to."
0:07:18,0:07:18,"Da, to je to."
0:07:18,0:07:19,"Da, to je to."
0:07:19,0:07:19,"Da, to je to."
0:07:19,0:07:20,"Da, to je to."
0:07:20,0:07:21,"Da, to je to."
0:07:21,0:07:21,"Da, to je to."
0:07:21,0:07:22,"Da, to je to."
0:07:22,0:07:22,"Da, to je to."
0:07:23,0:07:23,"Da, to je to."
0:07:23,0:07:23,"Da, to je to."
0:07:24,0:07:24,"Da, to je to."
0:07:24,0:07:24,"Da, to je to."
0:07:25,0:07:25,"Da, to je to."
0:07:25,0:07:26,"Da, to je to."
0:07:26,0:07:26,"Da, to je to."
0:07:26,0:07:27,"Da, to je to."
0:07:27,0:07:27,"Da, to je to."
0:07:27,0:07:28,"Da, to je to."
0:07:28,0:07:28,"Da, to je to."
0:07:29,0:07:29,"Da, to je to."
0:07:29,0:07:30,"Da, to je to."
0:07:30,0:07:31,"Da, to je to je to."
0:07:31,0:07:32,"Da, to je to."
0:07:32,0:07:33,"Da, to je to."
0:07:33,0:07:34,"Da, to je to."
0:07:34,0:07:34,"Da, to je to je to."
0:07:34,0:07:35,"Da, to je, to je, to je, to."
0:07:35,0:07:47,različite zajednice imaju različite izraze i mogu vam dati primjere iz raznih dijelova svijeta kako ljudi žive u svojoj misiji.
0:07:53,0:08:16,"Na primjer neki moji prijatelji iz Južne Koreje, oni služe jako puno beskućnicima, ljudima koji imaju fizičkih poteškoća, mentalnim bolesnicima."
0:08:25,0:08:32,"Oni doslovno izlaze na ulice, dolaze do takvih ljudi i pozivaju ih na mjesto gdje oni mogu živjeti normalnim životom."
0:08:33,0:08:34,"To je jedan način, na primjer."
0:08:38,0:08:39,"Neki prijatelji iz Brazila, na primjer."
0:08:44,0:09:05,"Znači, tamo postoji službaba koja se zove Vjera i politika, a oni ne samo da mole za političare, nego oni obučavaju mlade ljude kako postići nešto u politici, kako se promijeniti."
0:09:07,0:09:28,"A kad dobiješ karizmatika političara, onda imaš društvo koje se miče po snazi Duha Svetoga., odnosno misija obnove je promijeniti svijet."
0:09:34,0:09:38,Katolička karizmatska obnova je puno više od molitvenog pokreta.
0:09:41,0:09:52,"Da, naši molitveni timovi su naravno jako važni, ali moramo zapamtiti svoj poziv koji je."
0:10:05,0:10:07,Razmislite o ta tri područja o kojima sam govorila.
0:10:12,0:10:14,Kako vi kao zajednica možete rasti brojčano?
0:10:18,0:10:21,"Nije baš tako puno večeras, znači može doći još ljudi."
