Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:27,"Ove godine su jako dobre, pa onda ima i dosta."
0:00:38,0:01:01,"Ova knjiga je davno napisana od još uvijek živućeg pape u penziji Josip Ratzingera, Uvod u kršćanstvo gdje on tumači tamo sedamdesetih godina dok mnogi od vas još niste bili na ovom svijetu, dakle što je to crkva, što je to otajstvo, pa malo da poslušamo nekoliko njegovih misli."
0:01:03,0:01:09,"No, usprkos svemu recimo otvoreno, što nas to tjeskobno onaj raspoložuje?"
0:01:10,0:01:19,Danas da budemo iskreni dolazimo u napast da ustvrdimo kako Crkva nije ni sveta ni katolička.
0:01:20,0:01:32,"Pa i na samom drugom Vatikanskom koncilu sazrela je spoznaja o griješnosti Crkve, tako da se tu nije više govorilo samo o svetoj nego i o griješnoj Crkvi."
0:01:33,0:01:39,Racing je bio teolog dakle na koncilu pa ima iz prve ruke informacije najbolje kako to izgleda.
0:01:40,0:01:48,Ako se pri tome išta spočitavalo o koncilu bilo je onda najviše to da je on u tom ostao odveć još neodlučan.
0:01:48,0:01:53,"učen, tako je snažan dojam o griješnosti Crkve u svijesti svih nas."
0:01:54,0:02:05,"Možda je tu prisutan i utjecaj luterovske teologije o grijehu, a time i utjecaj jedne pretpostavke koja prolazi iz unaprijed stvorenih dogmatskih odluka."
0:02:08,0:02:15,A Kristova zaručnica djelovala je uvijek u teškom stanju.
0:02:15,0:02:34,"Jedan biskup iz osamnaest stoljeća ovako je pisao za Crkvu koja se odvoji odvojila od Božje prisutnosti, pa kaže to više nije zaručnica, već strahovito odurna i podivljala neman."
0:02:35,0:02:38,"Osamnaest stoljeće, opis Crkve u to vrijeme."
0:02:39,0:02:43,"A kao i svetost, problematičnim nam se izgleda i Katolicizacija Crkve."
0:02:45,0:02:59,"Jedna gospodina ohaljena, rastrgana između stranaka koje međusobno ratuju, jedna Crkva raskomadana na mnoge Crkve i svaka od njih, neka više, a neka manje intenzivno drži da je samo ona u pravu."
0:03:00,0:03:05,I tako je Crkva danas za mnoge postala glavnom zaprekom vjere.
0:03:06,0:03:21,"U njoj su kadri vidjeti samo ljudsko otimanje za vlast, sitne igre onih koji tvrde da upravljaju službenim kršćanstvom, a najveća mu se čini zapreka istinskom duhu kršćanstva."
0:03:22,0:03:29,Nema teorije koja bi pred sudištem običnoga ljudskoga uma mogla uvjerljivo opovrnuti takve misli.
0:03:30,0:03:36,Kao što ni same te misli ne potječu dakako iz pukog uma već iz gorčine srca.
0:03:36,0:03:49,SSS-a koje se možda razočaralo u svome velikome iščekivanju pa sada povrijeđeno i uvrijeđeno u svojoj ljubavi osjeća samo kako se uništava njegova nada.
0:03:50,0:03:51,Kako da odgovorimo?
0:03:52,0:04:00,"Zapravo nam ne preostaje ništa drugo, već da obnovimo svoju ispovijest, zašto se ipak može u vjeri ljubiti ta Crkva?"
0:04:00,0:04:08,Zašto se još uvijek usuđujemo u tom iznakaženom naviku razabrati lice Svete Crkve?
0:04:09,0:04:14,"Evo tako Racing je negdje prije pedeset godina, piše o tajstvu Crkve."
0:04:15,0:04:18,Kao što vidite to tajstvo je uvijek problematično.
0:04:20,0:04:31,"Uvijek ta Crkva u svojoj svetosti, griješnosti djeluje kao bludnica, djeluje kao razvratnica, opet sveta i tako iz stoljeća u stoljeća."
0:04:31,0:05:03,"Evo pa ćemo mi večeras pokušati malo vidjeti kako je to izgledalo u povijesti, malo ćemo kratko prijeći tu Crkvu kroz dvije tisuće godine njezine povijesti i vidjeti što i kako stvari stoje pa evo polako krenimo onda evo vjerujem u jednu znači svetu katoličku i apostolsku, jedna i apostolska, to je dodatak nicijskoga vjerovanja, a apostolsko vjerovanje spominje samo svetu i katoličku crkvu."
0:05:03,0:05:24,"Pa evo da vidimo onda kako to kreće sa lukom petosam veliki ribolov, petar ne vjeruje Isusu, baca ipak mrežu, kad je puno riba ulovio znamo tu zgodu, ide njegova rečenica, ide od mene gospodine, griješan sam čovjek."
0:05:26,0:05:29,Tako je Petar smatrao sebe nedostojnim.
0:05:29,0:05:47,"Radi se naravno o prvome papi što slušamo u sljedećem događaju gdje mu Gospodin kaže iz Mateovog Evanđelja a ja tebi kažem, ti si Petar stjena i na toj stjeni sagradit ću crkvu svoju."
0:05:48,0:06:01,"I vrata paklana neće je nadladati, tebi ću dati ključove Kraljevstva nebeskoga pa što god svežeš na zemlji bit će sve na nebesima, a što god odriješiš bit će odriješeno na nebesima."
0:06:02,0:06:14,"Tako evo, taj čovjek koji je bio prevrtljiv, koji je bio najmanje podoban da bude papa, jedna stijena, po Božjoj ljubavi dobiva upravo tu funkciju."
0:06:15,0:06:25,"I kroz povijest papinstva bilo je svakakih papa, ali nijedan papa nije donio nekakvu herezu, krivi nauk, imaju loš život."
0:06:27,0:06:38,"Mnogi su živjeli vrlo razvrtno i loše kao pape, ali nijedno od njih nije rekao nešto protiv nauka Crkve čime bi se danas morali onda drugačije odnositi."
