Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:06,"Hvala nisu svi Marija, lijep pozdrav svima koji prate ovaj naš serijal emisije Upoznati oca."
0:00:07,0:00:31,"Evo, inače da vas podsjetim taj naziv emisije Upoznati oca, koristio je Papa Pao VI kada je odlučio upoznati svijet sa nebeskim ocem i današnji gost je Pater Božita Nađ, Isusovac koji je naš prijatelj zajednice, koji je postulator kauze za prošenje svetim plažnim Ivana Merca kao i Petra Barbarića."
0:00:32,0:00:37,Moram danas spomenuti da je također spomenutan upravo Petar Barbarića i njegovo...
0:00:37,0:00:48,"priča, njegovog oblika i djela, ali današnja tema će biti kao i do sada poznati Bog je Otac, a ovaj put preko jedne Blaženice Marije, propetog Isusa Petkovića."
0:00:48,0:00:51,Pa evo upravo ona pisala papi Pavlu VI.
0:00:51,0:00:56,i upravo je ona njega poticala da cijelom svijetu pokaže put do nebeskog Oca.
0:00:57,0:01:08,"Pa evo lijepo pozdravljam patera, zahvaljujem vam na dolasku i što će danas biti naš sugovornik i evo volio bi da vam sad uputi koju riječ da nas upozna malo bliže sa našom Blaženicom."
0:01:09,0:01:24,"Evo sve gledatelje srdačno i lijepo pozdravljam, zahvaljujem na vašem pozivu da sudjelujem danas u ovoj vašoj lijepoj i sadržajnoj emisiji odnosno serijalu kojim promičete pobožnost na nebeskom Ocu."
0:01:25,0:01:33,"Najprije ćemo reći par riječi o blaženoj Mariji od propetog Isusa Petkovića, nekoliko biografskih njezinih podataka."
0:01:34,0:01:50,Ona je rođena jedna tisuća osamsto devedeset dva godine u blatu na korčuli u mnogobrojnoj obitelji bilo je desetero djece i vrlo pobožnoj obitelji i i Mučnoj također.
0:01:52,0:02:11,"Otac je bio i veleposjednik, imali su mnoge radnike i Marija je rasla u toj skladnoj kršćanskoj obitelji i onda s vremenom osjetila je Božji poziv da se posveti Bogu, pogotovo kroz služenje siromašnoj djeci."
0:02:12,0:02:38,"Naime, sjetimo se da je to bilo vrijeme kad je ona bila djevojka, upravo Prvog svjetskog rata i kada je bilo jako puno siročadi i ona je potaknuta primjerom drugih sestara koji su također bili na kočuli, koji su se brinuli za tu siromašnu djecu i ona se odlučila da se Bogu posveti kroz jedan takav karitativni rad."
0:02:39,0:03:52,"I stvari su sada išle dalje tako da je ona jedna tisuća devetsto dvadeset godine osnovala novu redovničku društvu pod nazivom kćeri milosrđa i to je bila potaknuta tadašnjim dubrovačkim biskupom koji ju je nato evo ohrabrivao i tako je ta redovnička zajednica evo utemeljena i onda se počela malo pomalo sve više širiti, najprije po našoj domovini, a onda kako je bilo potrebe, bila je pozvana u misijski rad odnosno zamoljena da pošalje sestre u Južnu Ameriku, tako da je ona poslala jednu grupu sestara i onda je ona sama poslala i neko vrijeme bila u Južnoj Americi i tamo se također ta redovnička društva Cheri Milosrđa vrlo lijepo ukorištena ukorijenila, raširila i tako da danas recimo kad gledamo koliko imam ove posljednje podatke da je više manje polovica sestara hrvatskih, polovica latinoamerikanki."
0:03:53,0:04:27,"Moramo istaknuti ovo da ta društva sestara kćeri milosrđa je prva naša redovnička društva, Hrvatska koja se internacionalizirala u smislu da je karizma koja je nastala i rođena ovdje na našem tlu u našoj domovini da je prerasla granice Hrvatske i proširila se po svijetu i uklopila je, odnosno asimilirala i druge nacionalnosti u svoju zajednicu."
0:04:28,0:04:54,"Imamo mi i drugih naših zajednica koje su nastale na našem tlu, međutim one su još zadržale taj domaći karakter, ali da recimo sestre Maloga Isusa ili kako ih popularno zovu štadlerovke odnosno služavke Maloga Isusa, onda imamo druge također koje su baš izvorno isto Hrvatske."
0:04:55,0:05:05,"Međutim, evo, kćeri milosrđa, one su prve prešle granicu u smislu da su prihvatile i iz drugih nacionalnosti redovnice u svoju društvu."
0:05:06,0:06:04,"Dobro, evo toliko nekoliko osnovnih podataka i sad naravno njezin tijek života je završio u Rimu, ona se vratila iz Latinske Amerike i u Rimu je utemeljila zajedno sa svojim susjedstvima i savjetnicama generalnu kuću i tamo je ona proživjela zadnjih dvanaest godina i tu je i u Rimu umrla jedna tisuća devetsto šezdeset šest godine u sedamdeset četiri godine života bila je mudra djevojka i jaka žena evangelja zaljubljena u boga i osjetljiva na mnoge potrebe svojih mještana naposljetku siroća di sirotinje bila je darovita i bistra s ljubavlju je navješćala radosnu vijest i vodila više katoličkih duhovnih i dobrotvornih udruga u ono vrijeme je li do me, jel, dok je živjela u blatu, u svojoj župnoj zajednici."
0:06:05,0:06:12,"Najmlađe i najsiromašnije strpljivo je upućivala u vjeru i na obrazbu, brinući se također o teško bolesnim djevojkama i udovicama."
0:06:13,0:06:31,"Mlada se opredijelila za franjevačku karizmu, milosrđa i malenosti, solidarna sa neznatima i kao što smo već rekli, evo, osnovala je redovničku društvu, a prije toga je utemeljila prvo besplatno sirotište na Kočuli."
0:06:32,0:06:43,"I onda je to sirotište dalje ona vodila zajedno sa prvih svojih nekoliko sljedbenica, tako da je onda to preraslo u novu redovničku društvo."
0:06:44,0:06:59,"Evo toliko nekoliko najosnovnijih podataka o njezinom životu i ona je bila proglašena Blaženom kao što znademo prilikom trećeg pohoda svetoga, sada Ivana Pavla II."
0:06:59,0:07:18,"u našoj domovini dvije tisuće tri godine u dubrovniku evo toliko o njezinom kratkom životu a sad ćemo evo dalje teško je možda reći u ovako kratko vremena o tako bogatom životu, ali evo zasigurno ćemo još dosta čuti kroz ovaj razgovor o našoj Blaženici."
