Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,Hvala lijepo.
0:00:05,0:00:06,Ja nisam dugo bio ovdje.
0:00:08,0:00:26,"Prošli puta kad sam bio imao sam dosta jedno zanimljivo iskustvo, imao sam jedno predavanje, ja bih ga nazvao da je to bilo žrtveno janje u mojoj mladoj karijeri propovjednika."
0:00:28,0:00:36,Osobno ne volim javne nastupe i uvijek iznova borim se s velikim divovima u svome srcu.
0:00:37,0:00:59,"i jednostavno nije nešto čemu sam prirodno sklon izlaziti pred kameru ili pred ljude, ali evo vjerujem da Milošću Božjom jesam tu gdje jesam sad danas s vama i da imam nešto što mogu podijeliti s vama, nešto na vaš duhovni rast i vama na blagoslov."
0:01:00,0:01:06,Miš me nazvao i pitao me bi li mogao progovoriti o ovoj temi Hereze i devijacije.
0:01:08,0:01:58,"Nešto smo bili na jednom susretu mladih i ja sam rekao kako je to jedna možda ni možda neistražena tema ili tema o kojoj se nije dovoljno pričalo ili se malo zna u našim krugovima, a jako, jako je važna jer povijest crkve i općenito povijest čovječanstva je nešto iz čega možemo jako puno učiti i ja vjerujem da pogotovo gledajući pogreške naših otac, djedova i onda i pastira i drugih ljudi možemo učiti od toga, možemo ne ponavljati njihove pogreške i možemo brže i lakše dolaziti do nekih tih bitnih spoznaja, saznanja o životu i nešto što nam može olakšati život i povećati kvalitetu života."
0:02:00,0:02:14,"Tako da vjerujem da i ova tema HERA-e devijacije je nešto o čemu treba pričati i što nas može izgradi da nam podigne stvarno kvalitetu naše duhovnosti, kvalitetu naše vjere, naše crkvenosti."
0:02:16,0:02:58,"Evo ima dosta toga što imam za reći, jako mi je bilo teško kad sam pripremao ovaj nagovor donijeti odluku gdje rezati, što skratiti budući je teško slušati ovakve stvari, ovo nije jedna od onih laganih tema, pitkih tema, nije svjedočanstvo, ovo je ja bi rekao jedna od teških tema, jedna teška hrana koju večeras, evo ja ću vam posredovati samo jedan dio toga i možda ja vjerujem da će vam to biti poziv da nastavite dalje sami istraživati i ulaziti u ovu temu i jesti onu tešku hranu, onu tvrdu hranu od koje je tijelo jača, od koje je duh jača."
0:03:00,0:03:07,Ono što bih s čime bih krenuo je prvo zahvala mišićima i dečkima na ovome pozivu.
0:03:07,0:03:35,Ja se uvijek rado odazivam doći na susrete sa nanovorođenima i ovdje se osjećam jako lijepo i dobrodošlo i prihvaćeno i osjećam jednu baš bratsku povezanost između naših zajednica i vjerujem da je to zajedništvo koje se tek počinje razvijati i da to treba biti nešto puno veće i puno snažnije nego evo gdje smo danas i radujem se svemu što je ispred nas.
