Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:03,"Hvaljeni su svi Marija, dragi gledatelji."
0:00:03,0:01:16,"Nalazimo se u molitvenoj smini za jedinstvo kršćana koja je počela u ponedjeljak osamnaest siječnja i završit će na blagdan obraćenja svetog Pavla dvadeset pet siječnja i s nama je danas gost nadbiskup beogradski preuzvišen i stanislav hočevar koji je od dvije tisuće jedan godine beogradski nadbiskup inače od jedna tisuća devetsto devedeset četiri do dvije tisuće godine obnašao funkciju provincijala salezijanaca u sloveniji zaređen je za biskupa na blagdan Marije Pomoćnice dvadeset četiri svibnja dvije tisuće godine za biskupa i postaje nadbiskup koadjutor dvije tisuće godine u beogradu a dvije tisuće jedan godine i beogradski nadbiskup od dvije tisuće dva godine je član papinskog vijeća za jedinstvo kršćana pa evo u ovo vrijeme molitve kad cijela crkva sve denominacije mole za jedinstvo kršćana razgovarat ćemo s njime o nekim aktualnim temama na tom polju, na području ekumenizma."
0:01:16,0:01:18,Pa Oče nadbiskupe hvali nisu si Marija.
0:01:35,0:01:36,Hvala vam Oče nadbiskupe.
0:01:36,0:01:54,Evo od dvije tisuće godine ste u beogradu mogli bi reći po pitanju jedinstva zahtjevna nadbiskupija zahtjevna služba koje pomake možete vidjeti od početka svoje biskupske službe pa do danas na polju jedinstva?
0:01:55,0:02:34,"Dakle dok još jedanput zahvaljujem na vašem zanimanju za ta prevažna pitanja, najprije bih rekao svaka služba gdje god smo, što god radimo je važno i prevažno jer je, mi smo tu uz mozaik, svako naše služenje je jedan kamenčić u tom Božjem kraljevstvu, ali jasno je da tu u Beogradu je sve na jedan poseban način kompleksnije jer se povezujemo sa tolikim pitanjima."
0:02:35,0:02:43,"Da bih odmah odgovorio na vaša pitanja, ja mislim da treba reći ovako."
0:02:45,0:03:00,"Pitanje traženja jedinstva što mi drugim izrazom nazivamo ekumenizam je isto tako nešto u kršćanskom životu najdublje, najzahtjevnije."
0:03:00,0:03:09,"Jer pitanje jedinstva je pitanje življenja u milosti, u Duhu Svetom."
0:03:10,0:03:21,"Dok svi mi ne živimo u milosti i iz milosti, dok nećemo svi mi biti poslušni Božjemu Duhu, nećemo doći do jedinstva."
0:03:23,0:03:26,Ali uz to treba reći i ovo.
0:03:29,0:03:47,"Mi koji živimo na području, dozvolite da tako kažem da se lakše razumijemo, na području bivše Jugoslavije ili na tom dijelu Europe mi živimo u jednom posebnom kontekstu."
0:03:48,0:04:15,"Tu su uvijek bile granice geografske, ali osobito kulturno političke i napose konfesionalne između zapadne katoličke tradicije, istočne pravoslavne tradicije, onda kako znamo svi, upravo na to područje je došla treća vrlo jaka religija, islamska zajednica."
0:04:16,0:04:43,"I budući da je to prostor granica, prostor mosta između istoka i zapada, da je upravo tu mnogo različitih nacionalnosti i sada da ponovim i konfesionalnosti, onda svi ti vidici traženja jedinstva dobivaju jednu veću kompleksnost."
