Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,"Hvaljeni su i Marija, dragi gledatelji."
0:00:03,0:00:23,"Evo nalazimo se u sklopu naše misije pomirenja ovdje u BiH u jednom mjestu Vesela straža, nedaleko Bugojna i naš dragi gost je večeras Husein Smajić, musliman iz Bugojna koji obnavlja Katoličku crkvu."
0:00:23,0:00:35,"Evo jako često govorimo o pomirenju, ali vrlo je malo onih konkretnih dijela, jako puno se govori o suživotu, istinski suživot je vrlo rijedak, a znamo da su primjeri oni koji privlači."
0:00:35,0:00:41,Sveti Anton Padovanski jednom je prilikom rekao da je riječ živa samo onda ako se govori životom.
0:00:41,0:01:19,"A evo naš dragi gost Hussein živi pomirenje, živi suživot i vjerujemo da će i ovo njegovo svjedočanstvo ohrabriti mnoge druge koji razmišljaju na isti način da se odvaže otvoriti svoja srca i dopustiti Bogu da se proslavi i da ovo postane zemlja mira jer upravo te različitosti, upravo te tri vjere, tri nacije koje žive pomješane i koje su često smatrane problemom, upravo one mogu postati svjedočanstvo da je moguće živjeti u jednom zajedništvu i bratstvu o kojem i papa Franjo, posebno u nedavno izašloj enciklici Frateli Tuti, mnogo govori."
0:01:20,0:01:23,"Evo, Huseine, dobro nam došli i hvala vam što ste pristali za naš kanal."
0:01:25,0:01:34,"Dobro, vi došli i radujeme da idete stazama pomirenja, stazama istine."
0:01:39,0:01:47,"Ipak sebi omladina za ponos, ponos beiha Pa evo reći nešto o sebi."
0:01:49,0:02:31,"Naravno, nalazimo se u srednjovjekovnoj katoličkoj crkvi, prvenstveno zahvaljujući mojim rahmmetlji roditeljima koji su davni gledu devetsto pedeset tri kada sam se ja rodio kupili ovu zemlju i naravno te godine prepisali na mene znači da nije bilo njih da nije bila zemlja naša, moja, vjerojatno od ovoga da li bi to netko napravio ovako kao što sam ja napravio, skupa sa čestitim ljudima, pogotovo sa Tadijom i Vošom i Ilijom i Vošom župnicima iz ŽUP-e Srca Marina iz Građanice."
0:02:32,0:02:38,I naravno hvala im za sve što su učinili za ovu crkvu i za iskreno za moju kuću.
0:02:40,0:02:48,"Velim, nalazimo se, nalazimo se u crkvi najvećoj u srednjem vijeku u Bosni."
0:02:48,0:02:51,Velika je 32 puta 22 metra.
0:02:52,0:02:57,"Radi se o jednoj brodovoj crkvi sa dvije lađe, gotička gradnja."
0:02:58,0:03:01,Vidite sami zidovi koliko su moćni.
0:03:03,0:03:22,"Evo, Ljubo Oreć, magistar arheologije i njegova supruga Korguna Oreć u svom izvješću piše da je crkva građena iz dva puta, što znači da bi prva gradnja mogla pripadati petom i šestom stoljeću."
0:03:24,0:03:42,"Naravno imam zapis u kući gdje piše da se nadbratnik saove crkve nalazi u pruscu u jednom muslimanskom groblju i na nadbratniku su naslikane ptice, grožđe i ostalo sterilizirano, jeli voće, tako nešto."
0:03:43,0:03:48,"I zaista tragom tog zapisa, odemo prosaditi i vidim da to je to."
0:03:49,0:04:16,dvije tisuće četrnaest godine sam proglašen osobom godine pečat mi je lično uručila naša predsjednica kolinda grabar kitarović i naravno hvale joj tada je zapravo ova priča postala javna evo tim putem smo zapravo i mi uspjeli saznati puno toga o ovom slučaju.
0:04:17,0:04:20,"Međutim, ajmo pratiti malo kronološki događaj."
0:04:20,0:04:25,"Vi ste naslijedili ovo zemljište, tad naravno niste znali šta se nalazi ovdje ispod zemlje."
