Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:03,0:00:04,Hvala Isus.
0:00:12,0:00:17,Zahvaljujem Bogu na mogućnosti i prilici što sam ovdje sa svima vama večeras.
0:00:26,0:00:30,Pozvan sam da s vama podijelim jedno razmatranje o Euharisti.
0:00:36,0:00:40,kao najvećem daru koje je ikada dano ljudskome rodu.
0:00:52,0:01:25,"Počet ću čitanjem iz poslanice Efežanima, glava šest od deset do sedamnaest Ubuduće jačajte se u Gospodinu i u silnoj snazi njegovej, obucite svu opremu Božju da se mognete oduprijeti lukavstvima džavlova, MSP-ovima đavlovim jer nije nam se boriti protiv krvi i mesa nego protiv vrhovništava, protiv vlasti, protiv upravljača ovoga mračnoga svijeta, protiv zlih duhova po nebesima."
0:01:26,0:01:37,Zbog toga posegnite za svom opremom Božjom da uzmognete odoljeti u dan zlih i održati se kada sve nadvladate.
0:01:38,0:01:49,"Držite se dakle, opažite bedra istinom, obucite oklop pravednosti, potpažite noge s spremnošću za Evangelij mira."
0:01:50,0:01:57,"U svemu imajte uzase štit vjere, njime ćete moći ugasiti ognjene strijele zloga."
0:01:58,0:02:06,"Uzmite i kacigu spasenja i mač duha tojest riječ Božju, riječ je Gospodnja."
0:02:17,0:02:20,Kao katolici svi imamo osobni odnos sa Euharistijom.
0:02:28,0:02:32,I zato je to naša osobna odgovornost prema Bogu.
0:02:43,0:02:48,"Znamo kakvu pripremu prolazimo, kakvu nam pripremu Crkva daje prije prve pričesti."
0:02:49,0:03:04,I Crkva kroz je mijenjala način na koji djecu uvodi u Euharistiju.
0:03:14,0:03:34,"Budući da je Euharistija najveća snaga koju katolik može dobiti protiv djavla, Crkva je zadužena odrediti kada je dijete spremno primiti Euharistiju."
0:03:45,0:04:05,"U prošlosti je bilo papa koji su dopuštali da djeca od četiri i pet godina prime Euharistiju, a onda se to opet promijenilo na jednu višu dob i tako se to mijenjalo."
0:04:05,0:04:06,"Dakle, ranije, kasnije."
0:04:17,0:04:37,Ali istina o tome zašto moramo biti oprezni i znati kada djetetu trebamo dati prvu pričest jest u tome što prva pričest istodobno znači i prva ispovijed.
0:04:46,0:05:00,"da to dijete zna što je grijeh, mora znati da u tome djetetu više ne prebiva nevinost."
0:05:03,0:05:04,To je velika odgovornost.
0:05:07,0:05:35,"U svijetu u kojemu danas živimo vidimo djecu od četiri godine kako su na društvenim medijima, dakle igraju se sa mobilima i već saznavaju, upoznaju se s time kako vršljati po internetu."
0:05:41,0:05:49,Zato danas mnoga djeca vrlo mala su izgubila nevinost.
0:05:53,0:06:15,a mnogi roditelji to uistinu ne znaju i to stvara neravnotežu u crkvi zato što su djeca najmoćnije tlo za obranu od javla.
0:06:18,0:06:23,"Gdje god ima djece, tamo nema demona."
0:06:28,0:06:58,"demoni ne mogu podnijeti smijeh i igru djece zato što anđeli čuvarite djece su jako snažni zato što su djeca nevina pa kada djeca izgube nevinost oni više ne straše demona, nisu strah demonu."
0:07:01,0:07:09,Sve ovo govorim zato što ulazimo u otajstvo Euharistije.
0:07:14,0:07:52,Budući da Bog zna koliko smo mi slabi i zna kakvog zlog neprijatelja imamo i Bog zna da po Isusu ostavio najveću moć u povijesti protiv tame.
0:07:59,0:08:03,Euharistija je najveći dar dan ljudskome rodu.
0:08:09,0:08:13,"Kad kažem ljudsko ljudski rod, mislim na cijelo čovječanstvo."
0:08:17,0:08:24,"Bez obzira na to, dakle i na one koji ne mogu uzimati Euharistiju, koji se ne mogu pričašćivati."
0:08:29,0:08:57,"Jer kada se slavi misa, neopisivo čudesno svjetlo sp prekriva sve duše u velikom promjeru oko oltara."
0:08:59,0:09:06,I demoni iz tog područja bježe jer ne mogu podnijeti to svjetlo.
0:09:13,0:09:16,To svjetlo oslobađa mnoge ljude koji su u okovima.
0:09:21,0:09:36,"Mnogima će se demoni opet vratiti, ali će barem na trenutak imati mogućnost jasnog razmišljanja."
0:09:42,0:09:47,"Pa čak, dakle, bile to duše koje ne poznaju Boga."
0:09:50,0:09:52,"Dakle, Euharistija s altara."
0:09:56,0:10:31,"prekriva ljude, a mi kao katolici mi smo euharistička sredstva davanja zadovoljštine, pa kada dođemo na pričest i ako smo dobro pripremljeni čim iziđemo iz Crkve pretvaramo se u ogromne baklje, svjetlosti."
0:10:35,0:10:37,I kamo god idemo demoni bježe.
0:10:41,0:10:44,Ne mogu podnijeti svjetlo koje mi donosimo.
0:10:52,0:11:14,"Najveće blago koje je katolik kadar nagomilati tijekom ovoga zemaljskog života je broj vaših, dakle naših pričešćivanja, pričasti koje smo primili u Božjoj milosti."
0:11:21,0:11:38,"Jer kada ste u takvom stanju, dakle u stanju milosti, ono što Bog može učiniti kada se vi pričestite, to ćemo moći vidjeti samo kad dođemo pred njegov sud."
0:11:43,0:11:46,To će nam biti najveće blago koje ćemo ponijeti sa sobom.
