Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:29,"Dragi prijatelji, izuzetno sam počašćen da danas s vama mogu podijeliti radost susreta povodom ove naše rodiljne duhovne obnove koja je u organizaciji nanovo rođeni, a svi se trebamo nanovo roditi kao što je Isus u malim noćnim razgovorima govorio nekodemo, ako se ne radimo ponovno odozgo, ne možemo ući u Kraljevstvo Božje."
0:00:30,0:00:32,Evo upravo je to novo naše rođenje.
0:00:34,0:01:16,"Bog je htio da mi budemo na ovome svijetu, pa nas je poslao u utrobe naših majki, nismo mogli ostati po srcu naših majki, morali smo se roditi, da smo ostali umrli bi po srcu majke, pa smo došli u jednu novu utrovu, a ona se zove planet Zemlja i ovdje su isto porađajni bolovi, kako kaže sveti pavao na više mjesta, da smo u porađajnim bolovima i moramo se ponovno roditi, ne možemo ostati u ovoj utrobi, ako ostanemo, ako se prilijepimo na zemlju, zemaljštinu umrijet ćemo."
0:01:16,0:01:23,"Tako da vaš nazivite kako ima dubinsko duhovno značenje, nanovo se roditi."
0:01:25,0:01:29,To nitko od njega nije mogao shvatiti bez obzira što je bio vrhovni teolog.
0:01:30,0:01:39,"Imao je u malom prstu Bibliju, znanje, propise, sve je znao, samo nije znao najvažnije i na to ga je Isus upozorio."
0:01:40,0:01:54,"Dakle, možemo mi svi svećenici, vjernici, časne sestre puno toga znati, a Ali ako u sebi nemamo kako kaže Ivan Pavao II."
0:01:54,0:02:10,"Svetac, Papa, ako nemamo iskre u sebi koja će biti zapaljeva onda je naše znanje o Bogu jako jalovo, nikakvo, besplodno."
0:02:11,0:02:18,"On kaže na nekog možemo uccrtati ako imamo u sebi tu iskricu, on govori o iskri iskustva."
0:02:19,0:02:20,To znači iskra je zapaljeva.
0:02:22,0:02:30,"Dakle spremnaš se za zimu pa možeš imati drva, triješća, odlake, ali ako nemaš s čime zapaliti, smrznut ćeš se cijelu zimu."
0:02:31,0:02:38,"To znači mi znamo puno ovoga, ali ako nemamo te iskre, eto to je to svjedočenje, te zapaljivosti, uzaludan je naš govor."
0:02:39,0:02:56,"To znači ako se usudimo uopće i progovoriti, moramo prije toga kleknuti, pomoliti se, zamoliti Isusa da nas same promijeni, da mi sami budemo bolji, tek tada će naš govor biti pravi."
0:02:56,0:03:12,"To znači mogu govoriti najpametnije riječi, ali da to ništa ustvari ne znači a mogao bi biti čak i nespretan a da to itekako puno može biti djelotvorno onim osobama koji su u našoj blizini."
0:03:13,0:03:39,Pa eto mene su zamolili da malo govorim o toj iskreni koju sam ja imao u svome životu a trideset jedan godinu sam svećenik postao sam svećenik jedna tisuća devetsto devedeset jedan godine te godine je postao nadbisko naš vinko imenovanje nadbisko vrbazonski mi smo bili prva g generacija koja se zaredila za svećenike.
0:03:40,0:03:42,Rekle bi na nama se učio rediti.
0:03:42,0:03:46,Mi smo bili prvi na kojem je položio svoje biskupske ruke.
0:03:48,0:04:17,"I uvijek mi pada na pamet jedna tisuća devetsto četrdeset pet godina a vidim da u povijesnom dijelu o tome ste dosta pričali kad je blaženje uspomene zapravo blaženik naš aloj stepinac redio mladomisnike to je bilo njegovo zadnje ređenje koje je obavio kao najbliži zagrebački u toj generaciji bio je franjo kuharić sluga Božji i on će biti blaženik, veliki kardinal."
0:04:18,0:04:24,"On je njima tada rekao toj generaciji šaljemo vas u krvavu kupelj, kupelj."
0:04:25,0:04:27,Dakle bit će krvi do koljena da tako kažem.
0:04:29,0:04:34,"Krvava kupelj, kupat ćete se u krvi, tamo vas šaljemo."
0:04:35,0:04:42,"I svako od njih mogao odustati, častni sluga Franjo Kuharić, kad nam svjedoči, nitko nije odustao."
0:04:43,0:04:45,"Neko, Bog daje snagu."
