Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:23,"Draga braćo i sestre, sjećam se da me često puta znala živcirati jedna rečenica i to sam znao čuti u početku svojeg svećenikog djelovanja, to man kao mladomisnik i ta rečenica glasi veličastni kako da vam se odužimo."
0:00:24,0:00:34,"A obično ljudi izgovaraju te rečenice kada im nešto, neku uslugu im učinim i onda poslije čujem takvu rečenicu."
0:00:34,0:01:05,"To me toliko znalo živcirati i trebalo mi je vremena da da shvatim, ne bih rekao da je nešto tipično hrvatsko, ali možda je to nešto u našoj ljudskoj naravi, da ne znamo besplatno primiti, odnosno ne znamo živjeti u svijesti da smijemo ostati dužni, a da pritom nas ne muči pomisao da moramo nekome nešto vratiti."
0:01:05,0:01:11,"Ovo kažem jer smo čuli ovu zadnju rečenicu, besplatno primite, besplatno dajte."
0:01:12,0:01:28,"I upadnemo u zamku proračunatosti, trgovanja, interesa i to se odražava u naše međuljudske odnose, možda često puta na jednoj nesvjesnoj razini."
0:01:29,0:01:31,Kako da vam se odužim?
0:01:32,0:01:40,Molio bi da večeras ako ništa drugo kada izlazimo iz ove svete mise da nikada više ne izgovorimo tu rečenicu.
0:01:42,0:01:43,Kako da ti se odužim?
0:01:44,0:01:45,Zašto to kažem?
0:01:46,0:02:18,"Zato što kada bismo malo bolje razumjeli bit naše kršćanske vjere onda će onda ćemo shvatiti da ove Isusove riječi besplatno primite, besplatno dajte mora vrijediti u svakom trenutku našega života i da osoba koja nam je učinila dobro nije učinila zato što očekuje da nešto uzvratimo ili kada mi nekome nešto dobro činimo ne činimo zato što očekujemo da nam netko uzvrati onda tada više nije dobrota."
0:02:20,0:02:29,Dakle tada više nemamo taj duh besplatnosti u smislu da naš život smije se odvijati bez kalkuliranja.
0:02:30,0:02:40,"Naš život smije se odvijati u onoj iskrenoj ljubavi, u onom kako lijepo zvuči na hrvatskom, sebedarju, sebedar je."
0:02:41,0:02:47,"Dakle, sebe dati nekome drugome, ne očekujući nešto za uzvrat."
0:02:47,0:03:14,"Ako primjenjujemo to naravno na međuljudske odnose, kako sam kratko istaknuo, onda koliko tek to mora vrijediti u našim obiteljima, da muž bilo što radeći doma, ne očekuje pohvale da žena kaže evo, kako si to dobro napravio, bilo bi lijepo da to kaže, ali on to ne radi najprije zbog toga."
0:03:14,0:03:36,"Ili da žena eto, fino kuha, ako ne čuje pohvalu baš ti je juha fina, odmah se uvrijedi, nezahvalni ste, bezobrazni, neodgojeni itede A pritom kada ona to kaže djeci, zaboravlja da sebe vrijeđa jer ako su djeca neodgojena, nisu djeca kriva."
0:03:39,0:03:40,Sami pogodite tko je kriv.
0:03:41,0:03:53,"Dakle, kada bi Kada bismo živjeli u tom raspoloženju, ponavljam, ovo ne znači da ne smijemo pohvaliti čovjeka kada nešto dobro čini, ali to je neka druga razina."
0:03:54,0:04:06,"Ali kada unutar naših obitelji naši odnosi postanu proračunati odnosi, onda često puta se događa da ljudi žive zajedno, ali usamljeni."
0:04:08,0:04:11,"Zapravo, čeznu jedni za drugim, ali fizički su tu."
0:04:12,0:04:21,"Jer su već izgubili ono bitno, gledaju svoj odnos, svoj život kroz neke interese, kroz dobitak itede I znate dokle to vodi?"
0:04:21,0:04:27,Vodi do toga da djeca jednog dana gleda roditelje na sam retik što će oni naslijediti od njih.
0:04:28,0:04:58,"Ali onda među braćom ne dijele i manje nego ih i manje dijeli itede I ovo kažem zato što je bit onoga što danas slavimo klečanje u jednoj župi zapravo nas vraća na tu istinu naše vjere da razumijemo što je to Isus učinio jednom za nas i na što nas poziva kada zaključuje ovaj odlomak tom rečenicom besplatno primite besplatno, dajte."
0:04:58,0:05:04,"Pokušajmo vidjeti uopće na koji način je Isus bio tu za nas, na koji način je on živio zaista svoj život za nas."
0:05:04,0:05:07,"Sjetite se, vratimo se u Stari zavjet."
0:05:07,0:05:27,"U knjiži izlaska kada se Bog objavio Mojsiju, tada je Mojsije pitao Boga, ako idem k Izraelcima i kažu tko te poslao, što da im kažem, sjetite se da je Bog tada rekao jednu čudnu rečenicu, kaže Izraelcima, ja sam koji jesam te poslao."
0:05:29,0:05:41,"Zamislite da ste vi doma, da netko kuca, pa dijete izlazi i otvori vrata, kaže koga tražite ili tko traži mamu, tatu, pa taj kaže recimo ja sam koji jesam ih traži."
0:05:42,0:05:51,"Naravno da će dijete biti zbunjeno pa ako vi to čujete onda ćete reći to je neki luđak zaključajte, zaključajte vrata što jače moguće."
0:05:52,0:05:54,Ali što je Bog tada poručio Mojsiju?
0:05:54,0:06:01,"Ja sam koji jesam kako zvuči eheh, eheh to znači, glagol biti u prezentu."
0:06:03,0:06:16,"Ne da sam bio, ne da ću biti nego da ja jesam do te mjere da svaki Izraelac u svakom trenutku svoga života, kada pročita tu riječ, zna da Bog jest sada, u ovom trenutku mog života."
0:06:17,0:06:31,"Nije da će biti tek kada mu se bude dalo, nije da, ha, Bog je nekoć bio u mom životu, a sad više nije, ne radi se o tome, nego u svakom trenutku mog života prepoznajem tu činjenicu da Bog jest."
0:06:32,0:06:33,"Dakle, ja sam tko jesam."
0:06:33,0:06:58,"I onda kada polazimo od toga i vidimo ovo vrijeme adventa u kojem se nalazimo u iščekivanju našega Spasitelja, ne zbog toga što nije došao, ne zbog toga što nije on sada tu s nama, nego zapravo da na novi način otkrivamo tu težnju za Božjom prisutnošću u sadašnjem trenutku, zato kažemo da je Isus Emanuel s nama Bog, Bog koji jest s nama."
0:06:58,0:07:16,"Dakle, opet u prezentu, opet u ovom vremenu i sjetite se kada god Isus pogotovo blažencima obećava Kraljevstvo nebesko kao znak svoje prisutnosti među nama, blagosiromasima duhom njihovo jest Kraljevstvo nebesko, u prezentuje sada u ovom trenutku."
0:07:17,0:07:39,"Ali često puta mi odgađamo taj trenutak odnosno doživljaj trenutka Bože prisutnosti u našem životu odgađamo za neko bolje vrijeme, a čineći što, u svakom trenutku ćemo misliti da će sutra biti neki bolji dan koji će doći odnosno neki događaj u mom životu će donijeti bolje raspoloženje, ispunjenje, počevši od djece."
0:07:40,0:07:45,"Djeca će, djeca će reći, ja dva čekam da završim osnovnu školu, ova učiteljica je nemoguća misija."
0:07:45,0:08:15,"Pa onda dođe u srednju školu i vidi tamo da nije baš samo jedna učiteljica, ima i više oko njega i ugroženo je, ugroženo je dijete, među njima jedva čeka da bira neki fakultet koji hoće jer će tada biti sretni i bira fakultet koji želi., a vidi kolokvij, ispiti, nikad kraj, ajde samo dvojka da ja prođem da mogu se zaposliti, a na kraju se zaposli poslodavac je ovakav, onakav, pa nikakvog mira, a jedva čekam penziju, dođe u penziju, penzija mala."
0:08:18,0:08:43,"Dakle, i provodimo cijeli život predvideći, predvideći trenutak zajedništva, trenutak ispunjenja, trenutak Božje prisutnosti u svakom koraku mog života i u onim mojim trenucima slabosti, padova, nemira, nevolje itede A ovo vrijeme korone, vraćo i sestre, to je najljepše vrijeme."
0:08:44,0:08:53,"Jer ako je Bog htio da budemo baš u ovom trenutku tu, gdje jesmo, u ovom čudnom vremenu, onda je to milosno vrijeme, to je njegovo vrijeme."
0:08:54,0:09:29,"Dakle, on je prisutan u tom vremenu, nije on napustio nas, a kada pokušamo vidjeti, dakle tu Božju prisutnost od Staroga zavjeta do ovoga trenutka, pa onda čujemo prvo čitanje, što sve Bog obećava preko proroka, počevši od ljudi kao dara, do stoke, do imanja, do svega onoga što može dati život čovjeku, pa sve do onoga što čujemo u ovom odlomku, dakle Bog je neprestano prisutan na različite načine u svakom trenutku našega života."
0:09:29,0:10:06,"Međutim, mi smo ponekad zaokupljeni svojim brigama, onda smo možda ponekad slijepi, onda ponekad mislimo time što naše molitve nisu uslišane na način na koji smo mi ih zamislili, da onda nije Bog tu, onda počinjemo gunđati svakakakve prigovore Bogu, a Isus obilazi gradove i sela, obilazi naše kvatove, naše ulice i kaže nam evangelist, kaže on propovijeda o kraljevstvu liječeći svaku bolest i svaku nemoć i vidjevši mnoštvo, sažalimo se nad njim."
0:10:07,0:10:23,"Dakle, Bog koji je prisutan je onaj Bog koji primjećuje naše patnje, naše probleme, naša lutanja i to je Bog koji neprestano osjeća, dakle, ganut je, ganut je."
0:10:24,0:10:30,"Jer sažalimo se to znači da je on dirnut do utrobe, dakle, one dubine svoje duše."
0:10:31,0:10:36,"Bog nije ravnodušan prema našim životnim situacijama, problemima."
0:10:36,0:10:36,Nije.
0:10:37,0:10:42,"Niti je ravnodušan prema našim radostima, niti je ravnodušan prema našim nevoljama."
0:10:43,0:10:47,I zato ovdje opisuje jednostavno Božje stanje.
0:10:48,0:10:57,"Dakle, Bog, ako vidimo da je on prisutan Bog, kako smo kratko razmišljali, to znači da je on naš suputnik."
0:10:57,0:10:59,U svakom trenutku je s nama.
0:10:59,0:11:05,"A ako nije ravnodušan prema situacijama u kojima se nalazimo, onda je on naš supatnik."
0:11:06,0:11:16,"Dakle, Bog je ujedno i suputnik i supatnik, a toliko mu je stalo do nas da je on dao sebe za nas, ovo je moje tijelo za vas."
0:11:17,0:11:24,"Koliko uopće vjerujemo u Božju prisutnost, realnu Božju prisutnost u Euharistiji?"
0:11:27,0:11:29,"Maleni kruh, možda je to naš problem."
0:11:30,0:11:33,"Da je nešto možda iz McDonald'sa, možda bi još vjerovali."
0:11:33,0:11:41,"Hamburger, po mogućnosti da župnik dijeli svaki put evo tijelo Kristovo, bar bismo se najeli, onda bismo možda više vjerovali, ali maleni kruh."
0:11:43,0:11:45,"Mi smo ljudi veličine, ne?"
0:11:46,0:12:02,"Ali Bog je taj koji kroz malene stvari pokazuje svu svoju veličinu, a naše raspoloženje da pred njim nastojimo biti maleni ljudi da bismo u njegovim očima bili zaista veliki, e to je naš problem, to je izazov."
0:12:04,0:12:10,"Dakle, Isus koji se daje u Hristiji, to je onaj koji nas poziva da naučimo biti maleni."
0:12:11,0:12:30,"To ne znači sebe ponižavati, to ne znači ja ništa ne valjam, evo ništa, ja ne vrijedim u ovom svijetu, kome ne doživljava, kome sam ja važan itede E to su pitanja na koja Isus želi da mi dajemo odgovor ne polazeći od sebe, od samosažaljenja nego zapravo primjećujući druge."
0:12:31,0:12:41,"Tko je tu sam, tko je tu usamljen, tko je tu u neboli, tko je tu u potrebi, tko je tu zapravo, kome je Isus, kome moram donijeti Isusa Krista."
0:12:42,0:12:48,"Jer slaviti Euharistiju, klanjati se Gospodinu nužno mene vodi do brata, do sestre."
0:12:49,0:12:59,"I onda današnji dan klečanje, dakle prva rečenica, kako da vam se odužim, nikada više ne izgovoriti to, da se razumijemo."
0:12:59,0:13:15,"Ali druga stvar koju bih htio istaknuti, premda sam još puno toga istaknuo do sada, ali jedna bitna stvar jest kada polazimo od tog značenja Euharistija, za koga ja trošim uopće svoj život ili za što?"
0:13:16,0:13:25,"Za što ili za koga trošim svoj život ili ukratko za koga ja živim ovaj svoj život, osim za Boga, normalno."
0:13:26,0:13:38,"Ali ima nekoga ili neki ljudi za koje stvarno ja nastojim besplatno dati talente svoje, samo svoju prisutnost, svoje uši da saslušam."
0:13:40,0:13:42,Dakle imam lik nekoga za koga ja živim.
0:13:43,0:13:46,Ako ja kao svećenik ne živim za narod onda sam promašio.
0:13:46,0:13:52,Ako ti kao muž ne živiš za ženu i djecu promašio si i to debelo i obrnuto.
0:13:53,0:14:03,Dakle Isus gleda sve te naše nevolje i kaže evo moja prisutnost u euharističkom kruhu neka vam bude primjer i nosite me jedni među druge.
0:14:04,0:14:10,"I u nastavku, time ću završiti, Isus kaže molite gospodara žrtve."
0:14:10,0:14:12,"Dakle žrtva je mnogo, a radnika malo."
0:14:12,0:14:15,Molite gospodara žrtve da pošalje radnike u žetvu svoju.
0:14:17,0:14:34,"Dakle, Isus da bi nam dao pastire preko kojih ćemo imati i samoga gospodina u Euharistijskom slavlju, onda vidimo koliko je opet svećenik ovdje povezano sa Euharistijom, potrebno je da molimo gospodara žrtve."
0:14:35,0:14:39,"Drugim riječima, Isus želi reći bez vaše suradnje neće biti toga."
0:14:40,0:15:26,"I možemo se pitati kada smo mi zadnji put od sebe, ne zato što molimo krunicu u crkvi prije, mi se pa smo molili jednu deset u toj molitvenoj zajednici u Župi."
0:15:26,0:15:30,"Ja sam rekla, evo dobro, a što ti radiš tamo, mama, šta radiš uopće tamo?"
0:15:30,0:15:33,"Pa molim za susjedovu djecu, a ne, ne, ne."
0:15:34,0:15:42,"A doslovce mi je tako rekla, pa evo vidi ima i više, a nas ima sedmero, a tamo ima više zato što je samo jedno više."
0:15:44,0:15:46,"Dakle, to je vrlo bitno."
0:15:46,0:15:54,"Drugim riječima, bake, djeto, djedovi, pa molite da vaši unuci budu svećenici, redovnica, redovnik."
0:15:55,0:15:57,"Jer gospodin ih treba, gospodin nas sve treba."
0:15:58,0:16:04,"Da, poziv je biti u braku, a jednako je poziv biti redovnik, redovnica, svećenik."
0:16:04,0:16:11,Molite gospodara žetve da pošalje radnike u žetvu svoju da bismo mi živjeli od kruha koji je život.
0:16:12,0:16:15,"Ako nemamo svećenika, mi smo gotovi."
0:16:16,0:16:17,Ne bismo bili ovdje.
0:16:18,0:16:20,Ne možemo svi biti svećenici.
0:16:21,0:16:26,Ali ima koji mogu biti ako molimo za to zvanje.
0:16:26,0:16:29,"Dakle, tri bitne stvari na kraju ispadne."
0:16:29,0:16:30,Kako da vam se odužim?
0:16:31,0:16:32,Za koga živim svoj život?
0:16:33,0:16:34,Molim li za duhovna zvanja?
0:16:35,0:16:35,Amen.
