Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:01,Hvala lijepo.
0:00:02,0:00:17,"Marija, evo još vas jednom pozdravljam na početku odnosno u drugom dijelu ovoga našeg susreta i želim evo iskrenu i toplu dobrodošlicu onima koji možda nisu iz ove župe u Botincu."
0:00:20,0:00:34,Evo kao što je bilo najavljeno budući da se vi kao zajednica spremate za jednu posvetu Svetom Josipu u ožujku sljedeće godine u trećem mjesecu oko same svetkovine sv.
0:00:34,0:00:54,Josipa devetnaesttri evo jednomjesečno počeši od ovoga mjeseca listopada nekako evo dečki su ovdje zamislili da bismo barem jedan susret mjesečno onda imali ovako jedan malo intelektualno duhovni formativni pristup s obzirom na temu sv.
0:00:55,0:01:31,Josipa vjerujem da na taj način molitveni i duhovni dio vi odrađujete privatno ili zajednički a ovdje ćemo ovako više malo formativno i vjerujem da ovi susreti s obzirom na temu svetoga Josipa neće biti samo za one koji žele znati više i da ćete možda samo eventualno pametnije izaći i da ćemo zaključiti na kraju s vama kao pametnijima s obzirom na znanje o svetome Josipu nego da će vam ovo znanje svakako pomoći i u nekom osobnom odnosu prema ovom zaista posebnom svecu.
0:01:33,0:01:41,"Miše je spomenuo fore, velika je fora uopće da ja idem pričati o svetom Josipu, o ovaj zato što se zove Matej."
0:01:42,0:02:08,"Međutim kada krenemo na rodoslovlje, dakle Isusa Krista koje je vrlo poznato, s time započinje općenito, ne samo Evanđelje po Mateju nego to je naš prvi susret sa općenito Novim zavjetom, a to je ono dosadno, dosadno rodoslovlje, dakle Isusa Krista, ali to nije samo njegovo rodoslovlje nego naravno i Josipovo rodoslovlje koje je vrlo, vrlo važno upravo s obzirom na ovu našu večerašnju temu."
0:02:10,0:02:16,"Kao i svaki Matej, tako i Vajalist Matej započinje dosadno, dakle rodoslovljem."
0:02:16,0:02:35,"Međutim, evo dajte nam fore da se onako odnosno dajte nam nekako slobodnog vremena da se zalaufamo, uvijek počinje, svaki Matej počinje dosadno, tako i ja, tako i Vajalist Matej i drugi Mateji koje sam znao upoznavati u svom životu, ali kad se zalaufamo onda postajemo puno zanimljiviji, tako da će i ovo isto tako biti vjerujem večeras."
0:02:37,0:02:39,Kako sam koncipirao ove naše susrete?
0:02:39,0:02:55,"Naime, općenito, ovo je jedan općeniti naziv, Sveti Osim, djevičanski kralj i slika Božjeg Očinstva, živočinstva jer sam išao za naslovom koji bi obuhvatio sve ono što ćemo obrađivati i što ćemo razmatrati s obzirom na Josipov lik."
0:02:56,0:03:07,"Danas ćemo započeti kraljevski, kraljevski, ćemo započeti, govorit ćemo o svetom Josipu kao skrivenom kralju, legitimnom židovskom kralju."
0:03:08,0:03:20,"Vidjet ćemo koje su bile isto tako neke kombinacije kod Matejevog rodoslovlja, znamo da i Luka isto tako donosi svoje vlastito rodoslovlje i vidjet ćemo da se baš ne podudaraju."
0:03:20,0:03:27,Pitamo se tko je onda tu govorio istinu i tko tu povijesno laže ili ne laže i što se zapravo tu događa.
0:03:27,0:03:34,"I vidjet ćemo upravo tamo gdje se ne podudaraju jednu vrlo, vrlo zanimljivu činjenicu koju ću svakako objasniti za koji trenutak."
0:03:34,0:03:41,Ali prije svega evo čisto da znate što vas može očekivati u ovim našim mjesečnim susretima s obzirom na svetoga Josip.
0:03:41,0:03:47,"Pa rekao sam danas započinjemo kraljevski, naša današnja tema bit će svet Josip skriveni kralj."
0:03:47,0:04:10,"I općenito htio bi da na ovim susretima malo stavljamo sa strane različite mitove i korupcije, žalim se, legende o Svetom Josipu ili neke slike koje smo nekako stekli bilo u svojim pobožnostima, bilo u nekim stvarima koje smo pročitali, bilo da nam je netko sad nekako to prenio ili smo već bili na nekim katehezama ili predavanjima o Svetom Josipu."
0:04:11,0:04:13,"Dakle, koja je tvoja slika Svetoga Josipa?"
0:04:14,0:04:20,"Skromni drvodilja, tesar ili skriveni židovski kralj, plemić, židovski plemić u pravom smislu."
0:04:21,0:04:28,"Je li on za tebe stari i sredovječni udovac ili će ili četni Marin zaručnik, mladi Marin zaručnik."
0:04:28,0:04:36,I je li on za tebe samo zakoniti hranitelj Isusa Krista i njegov čuvar očuha ako želite ili je on u biti slika nebeskog oca?
0:04:37,0:04:47,"U Svetom Josipu možemo onako eklatantno, eksplicitno gledati kako nebeski otac zapravo funkcionira i prema nama."
0:04:48,0:04:50,"Evo vidjet ćemo, ali to je zadnja tema."
0:04:50,0:04:55,"Danas idemo dakle kao što sam rekao, kraljevski, skriveni židovski kralj."
0:04:57,0:05:32,"Prije svega, vrlo je teško dok sam razmišljao kako da oblikujem ovo predavanje i kako pristup da imam prema Svetome Josipu, pogotovo prema ovdje prisutnim ljudima i zajednici koja vjerujem da ste itekako već puno, puno puta upoznavala sa Svetim Josipom preko različitih knjiga, pogotovo ako ste čitali o Svetom Josipu u spisima ili knjigama različitih vidjelaca, različitih mistika, kod različitih svetečkih spisa isto tako, tako da vjerujem da ste već puni nekoga znanja u o svetome Josipu."
0:05:32,0:05:44,"I vrlo je teško naći ja drugačiji pristup, ali ja vjerujem da ću uspješno ili poluspješno ipak otključati neka vrata o svetome Josipu koja još možda do sada niste čuli ili se još niste susreli."
0:05:44,0:05:50,"Prije svega, kao što sam rekao, danas ćemo govoriti o Josipu kao o kralju."
0:05:50,0:06:30,"Često da bi teško govoriti o Josipu kao o kralju i da ga gledamo onako kraljevski sa krunom, dakle, žezlom, onako baš kralju u pravom smislu jer on je uvijek neko onako ponizni, skromni, tihi, ne bi dakle brava zgazio muhu, eventualno ako je baš smetalo dok je nešto tesalo pa onda nešto mu se motalo, tessari su uvijek nekako precizni, tako da vidjet ćemo, ali sveti Josip itekako zaslužuje kraljevsku čast, ne samo zato što je to sad nešto moje ili iz neke naše pobožnosti ili neke naše fascinacije svetim Josipom, nego vidjet ćemo biblijski, biblijski podkrijepljeno itekako."
0:06:31,0:07:27,"Općenito kada gledate malo situaciju Crkve prema svetome Josipu, prvi kršćani, prvih pa rekao bih jedna tisuća godina, sveto kršćani i katolici svetom Josipu smatraju on on onako zakoniti Isusov hranitelj, njegov čuvar, kustos jel tako i tu je nekako završila priča kod nas kršćana u prvih jedna tisuća godina o svetome Josipu neka baš pobožnost i intenzivnije razmišljanje o svetom Josipu, imate zapravo zadnjih nekako tako stotinjak dvjesto godina ovaj ajde dobro petsto ako ćemo tako ići još od one ovaj, devocionova itede neki pokreti koji su bili u tom razdoblju, idemo vidjeti zapravo s kojim papama je krenulo nekako intenzivnije, ja poticajem, ajmo malo jače razmišljati, vrlo je važno jače razmišljati o svetom Josipu."
0:07:28,0:07:38,"Vrlo, vrlo onako kratko, ovaj, prije nego što otvorite svoje Biblije, jer znam da kao pravi katolici ste ovdje večeras podijelili svoje Biblije, jel da, jeste, da."
0:07:40,0:07:52,"Dobro, okej, evo čisto ovako malo, onda ćemo katolički, dakle što su pape, što je koji papa doprinio na koji način upravo o našoj slici o Svetom Josipu i pobožnosti Svetom Josipu."
0:07:52,0:08:34,"Dakle jedna tisuća osamsto osamdeset devet lav trinaest izdaje encikliku o božnosti prema svetom Josipu koja se zove klaukam pluries jedna tisuća devetsto pedeset pet papa pio dvanaest dakle ustanovljuje blagdan svetoga Josipa radnika jedan svibnja jedna tisuća devetsto šezdeset dva papa ivad dvadeset tri sveti papa Sveti Papa, dakle, stavlja ime Svetoga Josip u rimski kanon, jel kad se spominje pod Svetom Isom i to odlučuje odmah i za blaže Djevice Marije, prije apostola, prije Mučenika, prije svetaca, prije svih drugih ide dakle, odmah Sveti Josip."
0:08:35,0:08:36,Zašto sam ovo ovako pocrtao?
0:08:37,0:08:48,"Zato što, koji je ovdje problem i uvijek netko tko nije katolik ili nekako ide čvrsto biblijski, to može biti veliki problem za nekoga tko to ne razumije."
0:08:48,0:08:48,Zašto?
0:08:49,0:08:52,"Zato što, dakle, sveti Josip je za nas prvi od svih svetaca."
0:08:53,0:09:01,"Blaža djevica Marija je iznad svih svetaca, sveti Josip je prvi, protudulja, znači njemu ide prvom čast među svetcima."
0:09:01,0:09:02,Koji je ovdje problem?
0:09:02,0:09:04,Što kaže Isus u Evanđelju?
0:09:04,0:09:22,"Luka, Luka, Luka, Luka, reći ću vam, Luka sedam i dvadeset osam što kaže da među rođenima od žede nitko nije veći od koga i ona Krstitelja kakav odnos sa sveti Josip vi ćete ovdje vidjeti da je sveti Josip za nas veći od ivana Krstitelja odnos između sv."
0:09:23,0:09:23,Josipa i sv.
0:09:23,0:09:26,"Ivana Krstitelja za koji trenutak, to bi kontinuit."
0:09:27,0:09:32,Ali vrlo je važno da svakako ovo pitanje našega stavljanja na pide stava sv.
0:09:33,0:09:39,"Josipa, je li zaista to biblijski baš ili nije li to nekako nama puhnulo u glavu katolicima."
0:09:39,0:09:45,Evo samo još trojicu pape da spomenem koji su zaslužni da malo intenzivnije i bolje razmišljamo o sv.
0:09:45,0:09:45,Josipu.
0:09:46,0:09:55,Naravno naš dragi sveti Ivan Pavao II jedna tisuća devetsto osamdeset devet kada sam se ja rodio duh sveti mu je došao i rekao ajde malo nešto o sv.
0:09:55,0:10:00,"Josipu reci, osamdeset devet sam godišnje pa zato o sv."
0:10:00,0:10:15,Josipu redemptoriskustos dakle isto tako njegova apostolska pobudnica dvije tisuće trinaest naš aktualni papa franjo ovaj nastavlja tamo gdje je stao ima dvadeset tri a to je da isto uzima ime sv.
