Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Hvala lijepo Jesus i Marija.
0:00:03,0:00:04,Ja ću vas pozdraviti po Dubrovačkom.
0:00:05,0:00:05,Dobar večer.
0:00:08,0:00:09,Lijepo je biti s vama večeras ovdje.
0:00:10,0:00:23,"Nisam nikad bio, niti sam bio u ovoj crkvi, ali nekako mi se čini kao da sam već bio, možda baš zbog Duha svetoga koji je večeras napunio ovu crkvu."
0:00:25,0:00:29,"I onda sam razmišljao što da govorim, što da sjedočim, nikad se ne pripremam, nikad."
0:00:30,0:00:41,"Imam nekakvu onu svoju schemu koju idem, ali to je uvijek ono evo vjerojatno i mnogi od vas koji su svjedočili, kad zamoliš Duha Svetoga, da, gospodinu taj čas."
0:00:42,0:00:48,"Znam da sam pozvan da posvjedočim ljubav Božju koja je dotaknula moje srce, moju obitelj, sve moje ljubljene."
0:00:49,0:00:52,Ne znam zašto ste me zvali da pjevam kad ovako dobro pjevate.
0:00:53,0:00:59,"Ovo je kao da sam bio u haenes zboru, ono najbolji, najbolji zbor."
0:01:01,0:01:04,"Stvarno dobro pjevate, Bog vas blagoslovi, ali to Duh pjeva kroz vas."
0:01:05,0:01:08,Evo ja ću početi sa svojom pričom životnom.
0:01:08,0:01:23,"Ona je počela neke davne jedna tisuća devetsto osamdeset kad sam se rodio, živio sam u obitelji mladih roditelja, moja majka me je rodila s osamnaest znači maturu sam s njom prošao."
0:01:24,0:01:30,"Moj tata, dva puta sam maturirala, nisam pao."
0:01:31,0:01:43,"I život je, mislim, ne sjeća se djete onog početka svoga života, ono tek negdje tamo od sedam, od šest, sedam godine se čovjek nekih detalja može sjetiti možda nešto malo iz četiri ili pet godine."
0:01:44,0:02:34,"Ali ono što znam, što sam u biti u životu gdje sam bio ranjen, gdje sam ja ustvari nekako pogođen jedan trenutak, a to je bilo jedna tisuća devetsto osamdeset osam godine kad sam ja već išao prvi razred do osnovne škole i onda su mi nažalost taj neću nikada zaboraviti u subotu neka je kucala na vrata noć je bila i čuo sam samo poginuo je marko i to je bio moj tata ja sam pitao svoju babu baku je li koji marko je jedan marko ne znaš ga ti evo zato je moje ime marko tako koji da nisam grk itede ovaj marko je moj tata sve je stjepan a krao si sve je stjepan tako sam dobio marko a onda kad sam krenuo u glazbenu karijeru, kasnije onda sam zadržao tu Marko, evo poslije mi je bilo ajde šta sam Marko, vi me zovete Marko, ajde odmah lijepo leđ Marko i sad smo riješili."
