Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:06,Jako sam sretan što sam ovdje.
0:00:09,0:00:12,Ispričavam se jer ne pričam hrvatski.
0:00:21,0:00:29,"Ali znam jednu riječ koja odlično opisuje ono što sada osjećam i što želim izreći, a to je hvala."
0:00:36,0:00:39,Prvo se želim zahvaliti Bogu što me doveo ovdje.
0:00:48,0:00:53,"Za mene je veliki dar što sam ovdje s vama i što mogu s vama dijeliti ovo vrijeme molitve, slavljenja."
0:01:00,0:01:04,Moj engleski nije dobar pa zato on ima dopuštenje promijeniti svaku riječ koju želi.
0:01:14,0:01:23,želim s vama podijeliti svoju osobnu priču koju mi nije lako ispričati ni na španjolskom.
0:01:32,0:01:36,Nije lako zato što se puno stvari dogodilo u kratkom vremenu.
0:01:41,0:01:44,Morat ću koristiti metafore da bi razumjeli moj život.
0:01:48,0:02:13,"Zamislite osobu koja ode na plažu samo da bi prošetala s nogama u vodi i hodajući po vodi, hodajući po vodi odjedanput ogroman val naiđe i udari ga."
0:02:16,0:02:25,I onda se pita što se ovdje događa.?
0:02:25,0:02:29,"Došao sam samo malo moći svoje noge, a sad sam odjednom cijeli mokar."
0:02:29,0:02:29,Što se događa?
0:02:36,0:02:39,Nije savršena metafora od onoga što se dogodilo u mom životu.
0:02:43,0:02:45,Nisam želio ići dublje u vodu.
0:02:52,0:02:57,Bio sam jako sretan i zadovoljan sa svojim osobnim odnosom s Bogom i sa crkvom.
0:03:02,0:03:06,Jako površna veza i odnos koji je za mene bio dovoljan.
0:03:08,0:03:08,Vjerujem u tebe.
0:03:11,0:03:12,Volim te.
0:03:17,0:03:18,Jako mi je dobro u crkvi.
0:03:20,0:03:21,I to je to.
0:03:28,0:03:34,"Imali smo jednu tajnu vezu Boga i ja, kao tajni ljubavnici."
0:03:36,0:03:37,Volim te jako puno.
0:03:43,0:03:46,Ali nema potrebe da drugi ljudi saznaju da se toliko volimo.
0:03:49,0:03:53,Volio bih te kod kuće sa zatvorenim vratima.
0:03:55,0:03:57,I ti znaš da te ja volim.
0:04:00,0:04:02,"I kad se vratim kući, opet ću te voljeti."
0:04:06,0:04:12,"Ali moram ići na posao, moram se ići zabavljati s prijateljima."
0:04:14,0:04:21,Ići na sportske aktivnosti i nema smisla da sa mnom ideš na sva ta mjesta.
0:04:25,0:04:27,Čekaj me kod kuće i čekaj me u crkvi.
0:04:37,0:04:51,Jednog dana meni neobjašnjivo u glavi mi se pojavi jedna na prvi način glupa ideja izražen izražena u tri jako jednostavne riječi.
0:04:55,0:04:55,Pričaj o meni.
0:05:04,0:05:07,Ideja je bila toliko glupa i toliko apsurdna da sam ju odmah odbacio.
0:05:10,0:05:12,"Volim ping pong, stolni tenis."
0:05:19,0:05:22,To je kao da vam lopta dolazi refleksno i odmah pogodite.
0:05:25,0:05:30,Lopta se opet vraća i opet ju odbacuje.
