Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,Hvaljeni su svi Marija.
0:00:02,0:00:06,"Evo, mi smo bračni par Pleše, Jakov i Magdalena."
0:00:07,0:00:15,"U braku smo sedam godina, imamo dva sina od pet i dvije godine i jednu bebicu u nebu."
0:00:16,0:00:24,"Pa evo, mi ćemo posvjedočiti kako je Sveti Osob djelovao i bio prisutan svojim zagovorom u našem zajedničkom životu."
0:00:25,0:00:35,"Baš zato što smo mi, evo, čuli tuđa svjedočanstva, to je razjarilo naša srca, osnažilo vjeru, evo i zato i mi svjedočimo."
0:00:36,0:00:41,Vjerojatno ste čuli za knjigu posveta svetom Josipu.
0:00:44,0:00:46,Evo ja ću krenuti nekako od kraja.
0:00:46,0:01:01,"Nakon što smo mi prije dva godine prvi puta napravili tu posvetu, gospodin nam je dao milost da zapravo vidimo gdje je sve u našim životima sveti Josip svojim zagovorom bio prisutan, gdje je djelovao."
0:01:01,0:01:15,"Onako smo uvijek zapravo svjesno gajali po božjoj, prema majci Božjoj, ali nekako uz nju to je onako potiho kakav on i već je, samozatejan, sveti Josip je djelovao već od samog početka."
0:01:15,0:01:19,"Pa evo kako je to bilo na početku, više će reći Jakov o tome."
0:01:22,0:01:23,"Dobro večer, hvala lijepo Marija."
0:01:26,0:01:29,Pa evo početak naravno počinje od mog obraćanja.
0:01:30,0:02:03,"Bio sam u jednom duhovnim vježbama kroz godinu, to je trajalo nekih četrdeset jedan to su malo duže duhovne vježbe gospodin je dosta radio na meni, dosta toga je promijenio unutar mene ne znam kako bi uopće to rekao baš je bilo radnički trgao je te neke kosti unutar mene i ponovo ih je sastavljao i nakon nekih dvadeset tjedana tih duhovnih vježbi osjetio sam neku duboku čežnju da želim pronaći svoju buduću suprugu."
0:02:04,0:02:13,"Bila ta čežnja i prije, ali baš u tim duhovnim vježbama sam dobio neku duboku, duboku čežnju, sad je trenutak da pronađem svoju buduću suprugu."
0:02:14,0:02:31,"I u tom vremenu sam slušao i teologiju tijela Don Damira Stojića gdje on kaže vi muškarci morate imati inicijativu, morate prvi pristupiti svojim ženama, ne u Nemojte dopustiti da one vama pristupaju."
0:02:31,0:02:39,"Tako da sam na to shvatio doslovno, s obzirom da sam informatičar po struci, da je to ono jedan plus jedan idem ja tim putem."
0:02:40,0:02:53,"Doslovno sam poslije misli, pogledajma koja je možda zgodna cura u crkvi, došao do nje i rekao je evo ja sam jako pleše, hoćeš možda samo na kavu."
0:02:57,0:02:59,Naravno svaka me odbila.
0:03:05,0:03:17,"U tim trenucima nisam razumio zašto, pa evo svećenik je rekao da tako radim, mislim da treba biti poslušan svećeniku, ali nakon nekog vremena sam skušio da baš takvi ne ide."
0:03:19,0:03:30,"Sad je to dosta smiješno i komično, ali u tim trenucima sam se baš osjećao pokislo, potišteno, vjerujem da svaki muškarac zna kak je to kad ga neka žena odbije."
0:03:30,0:03:52,"Ja sam to doživio nekih desetak puta u dva mjeseca, tako da baš sam bio skroz na dnu i u tom trenutku sam zavapio gospodinu, rekao evo gospodine više ne idem svojim snagama, očito ovo ne funkcionira, evo tebi prepuštam sve u ruke, molim te ti napravi nešto po tom pitanju."
0:03:54,0:04:09,"I u kratkom vremenu sam čuo nekoliko svjedočanstva, slučajno se može reći o svetom Josipu, kako su ljudi molili debetnice svetom Josipu i kako je on doslovno uslišao njihove molitve."
0:04:09,0:04:12,Ponekad je Bog čudno koliko doslovno je uslišao njihove molitve.
0:04:13,0:04:24,"I to je upalo u neku malu iskru u mome srcu, mislio sam si pa idem vidjeti kako je to debetnica, otvorio sam ovaj molitvenik na mobitelu, vidim pa dosta je kratka, mogu ja to izmoliti."
0:04:25,0:04:29,"Nije dugački, ima 30 i nešto zaziva, dobro je, mogu ja to."
0:04:31,0:04:42,I počeo je to moliti tu devetnicu i već prvi dan sam naišao na neke informacije o Svetom Josipu koje su im baš ono duboko sjele u srce.
0:04:43,0:04:49,Jedna informacija je bila da je Sin Božji bio poslušan Svetom Josipu ovdje na Zemlji.
0:04:51,0:04:52,To im baš bilo snažno.
0:04:52,0:04:56,Sam Sin Božji Svetom Josipu bio poslušan običnom čovjeku.
0:04:57,0:05:02,I ona druga informacija da nijednu milost Bog neće uskratiti sv.
0:05:03,0:05:03,Josipu na nebu.
0:05:04,0:05:12,"Naravno ako je po Božjoj volji, to isto piše da ne bi bilo zabune, ali svaku milost, znači nijedna neće biti odbijena."
0:05:14,0:05:17,"Mislila sam si pa on sveti Josip, pa on je pravi čovjek za mene."
0:05:17,0:05:23,"Muškarac je, zna kako tražiti ženu, pa javio sam se pravom čovjeku."
0:05:24,0:05:47,"I počeo sam molit tu devetnicu i već neki četvrti dan sam osjetio neku promjenu u svome srcu, nešto se događalo, nisam znao što, ali kad sam susreo Magdalenu, mi smo se poznavali godinu, dvije prije toga, bili smo u friend zoni kako se to kaže, popularno, bilo nam je lijepo zajedno, družili smo se, ali nikad nisam gledao Magdalenu na taj način do tog trenutka."
0:05:49,0:06:04,"Ali odlučio sam se završiti s devetnicom do kraja, nije bila trideset od dnevnica koje ostale kako su se radile kod mene bilo malo skraćeno i nakon tih devet dana pristupio sam joj i rekao svoje osjećaje, a dalje će malo o tome Magdalena."
0:06:05,0:06:29,"Pa da, znači kad je Jakov završio sa svojom devetnicom ja sam isto zapravo bila, točno na polovici svoje devetnice i kao što je već rekao on je to nekako se izvukao, kratku devetnicu je molio, ja sam molila devetnicu kraljici Kronice, znači 54 dana svaki dan u Kronicu, isto na nakanu da susretnem svog muža."
