Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:11,0:00:17,"Ovo mi je prvi dan u Hrvatskoj, sletio sam ujutro u osam i već sam se zaljubio u ovu državu."
0:00:34,0:00:36,Dolazim iz jako male države.
0:00:37,0:00:46,"iz Libanona koja je veličinom svega desetak tisuća kvadratnih km, a Hrvatska je četiristotinjak tisuća."
0:00:54,0:00:58,"Ali imamo jednu sličnost sa Hrvatskom, imamo sličan broj stanovnika."
0:01:05,0:01:10,"Ali isto tako imamo dva milijuna izbjeglica koji žive u Libanonu, sirijci i palestinci."
0:01:14,0:01:30,"Svi oni na jako malom komadiću zemlje, a ovdje u Hrvatskoj sve je veliko, zeleno, prostrano i prekrasni ljudi."
0:01:39,0:02:25,jedna tisuća devetsto sedamdeset pet godine započeo je rat u libanonu koji je trajao petnaest godina To je bio građanski rat u kojem je ubijeno sto pedeset tisuća ljudi ja sam osobno izgubio puno prijatelja kada je rat započeo imao sam sedamnaest godina i bio sam u zadnjem razredu srednje škole i unutar sebe osjetio sam da ne želim imati autoritet na svojim životom.
0:02:30,0:03:16,"I postao sam odmetnik, postao sam protivnik bilo kakve vrste autoriteta, autoriteta mojih roditelja, autoriteta vlasti i države, išao bih na demonstracije, protestirao protiv države, autoritet Crkve iako sam odrastao u katoličkoj obitelji i išao u Isusovačku školu i na kraju protiv Božjega autoriteta koji bi mi trebao reći što ću raditi i kako ću to raditi."
0:03:25,0:03:31,"I kada sam završio srednju školu bio sam ateist, militantni ateist i socijalist."
0:03:46,0:03:57,"I dok sam još imao sedamnaest godina, roditelji su mi jednog dana rekli ne samo da si rižđam po samog sebe nego i po svojoj braći i sestre zbog načina na koji živiš u Libanonu."
0:04:03,0:04:07,I usred rata u Libanonu poslali su me u London da tamo studiram.
0:04:13,0:04:54,"Očito život u Londonu mi nije pomogao da postanem kršćanin, trebali su me poslati u Hrvatsku, ali London mi se nije svidio, živio sam potpuno u grijehu i vratio sam se u Libanon da bi završio ekonomski fakultet u Libanonu na američkom sveučilištu u Bejrutu."
0:05:04,0:05:09,"Pričao bih protiv Krista, protiv crkve i svojim prijateljima."
0:05:17,0:05:18,1980.
0:05:19,0:05:23,"rat je trajao već pet godina, izgubio sam pet svojih bliskih prijatelja."
0:05:32,0:05:38,i jedan prijatelj na fakultetu me pitao da li se može voziti sa mnom na fakultet i sa fakulteta.
0:05:39,0:05:41,To je bilo u vrijeme kad je bilo dosta opasno voziti se.
0:05:50,0:06:21,"I što mislite što dvojica momaka od dvadeset dva godine pričaju u autu dok se voze prvo pričaju o curama o autima, o pićima i sličnim stvarima, ali moj prijatelj koji se zvao Filip rekao je ne želim pričati ni o jednoj od ovih stvari."
0:06:23,0:06:26,"Rekao sam dobro, o čemu bih htio pričati?"
0:06:28,0:06:39,I rekao je želim pričati o svom odnosu sa Isusom i iskustvu s Duhom Svetim koje sam imao.
0:06:42,0:06:58,Sa svim poštovanjem svima vama ovdje rekao sam mu to je razgovor koji bi trebale stare bake voditi.
0:06:58,0:07:07,"Ti si mlad čovjek, srami se."
0:07:08,0:07:21,I prelazili granicu između zapadnog i istočnog Beiruta i na toj granici su ljudi jako često umirali.
0:07:21,0:07:26,Trebalo nam je dva sata da prođemo put koji inače traje petnaest minuta automobilom.
0:07:32,0:07:33,Imao sam dva izbora.
0:07:34,0:07:42,"Prvi, ne pričati sa Filipom dva sata ili ga pustiti da priča o Kristu i Duhu Svetom."
0:07:44,0:07:51,I tako sam slušao i pozvao me na susret karizmatske zajednice.
0:08:01,0:08:08,"I rekao sam mu nema šanse, u crkvu nisam ušao šest godina, nemam pojma šta karizmatsko znači i sigurno neću doći tamo."
0:08:12,0:08:14,Naučiti lekciju o evangelizaciji.
0:08:17,0:08:20,Šest mjeseci uzastopno me pozivao.
0:08:24,0:09:04,Na kraju tih šest mjeseci u deset mjesecu jedna tisuća devetsto osamdeset došao sam na susret i sjetite se to je rat bombe padaju svakodnevno oko te crkve a u crkvi je četiristo ljudi koji moli devedeset posto njih mladi ljudi podižu ruke slave i mole u jezicima Vrlo čudan prizor.
0:09:09,0:09:11,Mislio sam da su na heroinu ili tako neće.
0:09:16,0:09:35,"Ali onda pogledao sam u strop i rekao, Jesus, ako si stvarno živ, onako kako Filip priča, izazivam te objavi mi se."
0:09:36,0:09:42,I Isus kao da je samo čekao na tu molitvu.
0:09:47,0:09:50,"Osjećao sam toplinu, vatru u sebi."
0:09:54,0:09:58,Osjećao sam se kao da sam izvan crkve u kojoj sam bio.
0:09:59,0:10:06,I jasno sam u srcu čuo glas koji mi govori.
0:10:14,0:10:19,"Ja sam Krist, postojim i želim da sve što imaš ostaviš i pođeš za mnom."
0:10:25,0:10:31,"U tom trenutku nisam imao puno, ali imao sam dovoljno toga da nisam htio sve to napustiti."
0:10:35,0:10:57,Ali nisam ušao u pregovore s Isusu da ostavit ću sve i početi ću za tobom.
0:11:04,0:11:09,Zapamtite pet minuta prije nego što sam rekao da borio sam se i protiv Krista i protiv Crkve.
0:11:14,0:11:18,Kada sam se vratio kući ispričao sam roditeljima za svoje iskustvo.
0:11:22,0:11:26,"Morate znati jednu stvar, moja mama je jako predani katolik."
0:11:32,0:11:37,Sedam godina za redom svakog dana je molila jednu krunicu za moje spasenje.
0:11:40,0:12:00,"Kada sam joj rekao, Isus mi je progovorio, kasnije mi je rekla, svi su mislili da si pomalo lud, i dalje si pomalo lud, ali si prešao s jedne strane na drugu."
0:12:08,0:12:14,"I kada sam legao u krevet osjetio sam jaku potrebu za molitvom, iako mi nitko nije rekao odi u krevet i moli."
0:12:18,0:12:26,"Nisam znao nijednu od pjesama koji su pjevali na tom susretu, ali mislio sam da znam Oče naš."
0:12:29,0:12:30,"Rekao sam dobro, izmoliću Oče naš."
0:12:33,0:12:35,I započeo sam Oče naš koji jesi na nebesima.
0:12:42,0:13:10,"samo sam nabadao ostale dijelove, nisam se mogao osjetiti kako ide i trebalo mi je vremena da se prisjetim onoga što sam svakodnevno govorio u crkvi i u školi i kada sam mislio da znam molitvu, rekao sam Oče naš i samo sam zamucao, nisam mogao više."
0:13:14,0:13:15,Ja sam nekog nazvao Oče.
0:13:17,0:13:20,Jer po prvi put u životu nekog sam nazvao Oče.
0:13:25,0:13:26,"Do tog dana, govorio bi Oče naš."
0:13:31,0:13:42,"Ali te večeri, rekao sam Oče, moj oče."
0:13:42,0:13:46,"Mislio sam da imam jednog oca kojem sam malo prije rekao, lako noć, Viktora."
0:13:48,0:13:57,Sada je još jedan otac i dvadeset minuta sam samo plakao i plakao.
