Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Hvala lijepo Marija svima.
0:00:03,0:00:14,"Moje ime je Marin Ševo i moji bližnji se znaju sa mnom šalit da sam dosta direktan, blag, ali direktan."
0:00:15,0:00:20,Pa šta kažete na to da krenem odmah direktno i odmah onako u glavu sa ovom temom?
0:00:21,0:00:21,Jeste za?
0:00:24,0:00:24,Ok.
0:00:24,0:00:27,"Knjiga postanka, prvo poglavlje."
0:00:28,0:00:42,"Bog reče, načinimo čovjeka sebi slična, na svoju sliku da bude gospodar ribama morskim, pticama nebeskim, stoci, svojoj zemlji i svim gmizancima što gmizu po zemlji."
0:00:44,0:00:53,Odmah u prvom poglavlju knjige postanka Bog nas stavlja u odnosu na sebe za upravitelje.
0:00:55,0:01:00,"To vidimo neka gospodari ribama, morskim pticama, nebeskim, svoj zemlji."
0:01:02,0:01:07,I za početak ovo je odnos između Boga i nas.
0:01:08,0:01:13,Između vlasnika Bog je vlasnik i nas kao upravitelja.
0:01:14,0:01:22,"Ekonomskom rječnikom ili rječnikom poduzeća vlasnik upravitelj, vrlo jednostavno."
0:01:24,0:01:58,"I po ovim našim vjerskim krugovima, zajednicama koje imaju predznak molitvene i to, ovo se može činiti kao nekakva tabu tema, šta se ima ovdje govoriti o novcu, o materijalnom, o vremenitim dobrima, za nas je samo da molimo, dižemo ruke, slavimo itede No, da razuvjerimo takve ljude, Biblija u otprilike petsto redaka govori o molitvi, u manje od petsto redaka govori o vjeri."
0:01:59,0:02:02,A šta mislite na koliko redaka govori o novcu i o posjedu?
0:02:05,0:02:05,Tako je.
0:02:06,0:02:37,Na više od dvije tisuće tristo pedeset redaka govori se o novcu i o posjedu da se malo opustimo pošto smo krenuli jako i vi i ja više ja nego vi povući ću jednu paralelu sa jednim filmom jednom knjigom mislim da većina vas je možda i upoznata to je film ili knjiga hobit koliko vas je gledalo ili čitalo?
0:02:40,0:02:41,"Oki ajde, polovina."
0:02:43,0:02:59,"Daću jednu novu perspektivu koju iako ste gledali i čitali vi, vi koji niste dobit ćete jednu novu perspektivu, a i vi koji jeste dobit ćete jedan novi uvid, pa kasnije ćemo onda proći, povlačit ćemo da ne otkrijem što je, što je, s čime povlačimo tu paralelu."
0:03:01,0:03:34,"Naime, u toj knjizi, u tom filmu Hobit, taj Bilbo, znači Hobit je neki mali čovjek, rasta kao patuljak, dobio je poziv, dobio je poziv vođe puta, Gandalfa, da idu osvojiti zajedno sa Paturlicima jedno davno izgubljeno kraljevstvo i jedan od tih Paturljeka bi trebao vratiti kao svoje kraljevstvo u svoj posjed, te su trebali tog malog hobita da odradi jedan poslijeđ za njih."
0:03:35,0:03:43,"I tako, na početku taj hobit se malo nječko bi i ne bi, ali ok krenuo je na put."
