Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:04,Hvala lijepa.
0:00:07,0:00:16,"Hvala i Stani na najavi i Nikoli, hvala što me upozoravate cijelo vrijeme na to koliko volim pričat."
0:00:18,0:00:46,"Današnja moja tema temeljena je na jednoj knjizi koja se zove Heroinsko vodstvo, otud naslov teme, ali sama tema neće se toliko temeljiti na knjizi i onome što knjiga donosi jer ulazi puno u teme menadžerstva upravo managerstva, upravljanja i stvari koje su više bitne nekim menadžerima, nekim ljudima koji su na rukovodećim pozicijama."
0:00:46,0:01:04,"Ono što je bila moja želja u srcu nakon što sam pročitao veći dio knjige i nakon što će mi ako Bog da poslužiti za moj diplomski, htio sam mudrost koja je ovdje iznešena prenijeti na naš jezik, onaj koji je nama danas potreban."
0:01:04,0:01:29,"Prva stvar koja me fascinirala kod ove knjige je da pisac koji je bio u Isusovcima, proveo sedam godina u njihovoj formaciji, pripremao se za to da postane svećenik, razlučio je u jednom trenutku da to nije njegov poziv i nakon tjedan dana se zapošljava u najvećoj banci na svijetu JP Morgan Chase."
0:01:30,0:01:47,"Možda neki znate za tu banku pogotovo vi koji ste malo više u ekonomiji i u ekonomskoj struci, to je najveća banka na svijetu, jedna od najposloženijih i najbolje ustrojenih banaka, a i najuspješnija po pitanju nekih ekonomskih indikatora."
0:01:47,0:01:58,Ali to njemu nije bilo toliko bitno koliko mu je bilo bitno da je shvatio da ono što je učio kod Isusovaca mu je jako pomoglo u njegovoj karijeri u biznisu.
0:01:59,0:01:59,Zašto?
0:02:00,0:02:12,"Zato što stvari koje su ga Isusovci naučili, koje je naučio kroz duhovne vježbe, koje je naučio kroz cijeli taj njegov sedmogodišnji put su mu pomogle da bude dobar vođa tamo gdje je bio."
0:02:13,0:02:30,"I one alate, ono oružje koje su mu oni dali su mu omogućili da on bude jedan od najneobičnijih voditelja jednog odjela i da u jednom trenutku postane direktor za JP Morgan Chase u Aziji i oceani, znači Azija i Australija."
0:02:30,0:02:46,"Ogromno tržište, jako puno ljudi je bilo pod njim i onda je on poslije napisao tu knjigu kao jednu zahvalu onome što su Isusovci učinili u njegovom životu ali i da prenese dalje to znanje."
0:02:46,0:02:52,Što je bitno i što je mene još osvojilo je usporedba dva vremena.
0:02:53,0:03:08,"Isusovci su osnovani jedna tisuća petsto četrdeset godine odnosno jedna tisuća petsto četrdeset godine dobivaju potvrdu od pape da oni mogu kao društva djelovati u našoj crkvi, postaju službeno jedan od redova crkve."
0:03:09,0:03:18,"Malo prije toga, nekoliko godina prije, ta društva od sedam ljudi, skupa sa Ignacijem Lojolskim, znači njih osam je bilo, su dali prve zavjete."
0:03:19,0:03:25,I razdoblje u kojem su Isusovci nastali me neodoljivo posjetilo na naše vrijeme.
0:03:26,0:03:27,Samo par detalja.
0:03:28,0:03:44,"Kaže, kad je Lojola želio putovati i krenuo prema Jeruzalemu u svoje hodočašće nakon obraćenja, kad bi ulazio u koji grad ili koju državu mora je pokazivati jedan papir, jednu propusnicu da nema kugu, da nije zaražen, vladala je kuga u to razdoblje."
0:03:45,0:03:51,"Kažu u Jeruzalem je bilo teško ući, vladalo je rat oko Jeruzalema, uvijek je bilo neko trusno područje."
0:03:52,0:03:55,Kažu crkvu su uzdrmali skandali u tom razdoblju.
0:03:57,0:04:03,Na sveučilištima i na znanstvenim institutima je vladalo antikatoličko okruženje.
0:04:05,0:04:12,"Kaže na svjetskoj političkoj sceni su se dogodile velike promjene, iznikle su neke nove sile, a stare su počele propadati."
0:04:14,0:04:16,Kao da slušam današnje vijesti.
0:04:17,0:04:19,Hajde ovo za kugu od prije godinu dana.
0:04:21,0:04:25,Ali ne odoljevo vam je podsjetilo na naše vrijeme i na sve ono što se kod nas događa.
0:04:26,0:04:49,Tehnološka otkrića koja su tad omogućila da se u pedeset godina za vrijeme prvog znači isusovačkih prvih pedeset godina je tiskano isti onaj broj knjiga zbog otkrića tiskarskog stroja kao u prošlih jedna tisuća ogromne promjene na području obrazovanja obrazovanje postaje dostupno skoro svima.
0:04:50,0:04:52,Informacije postaju dostupne skoro svima.
0:04:52,0:04:57,"Iako puno sporije su putovale, ali su postale dostupne."
0:04:58,0:06:03,"I u tom razdoblju Crkva koja je pogođena reformacijom Martina Lutera, onih devedeset pet teza koje je on izvijestio na crkvi u njemačkoj pogađa crkvu i događa se to da crkva zbog problema i zbog stvari koje su je iznutra izjedale gubi svoj autoritet gubi svoj ugled i bog duh sveti Duh Sveti po sedam ili osam jako čudnih tipova za to doba, podiže jednu društvu koja će crkvi u crkvi učiniti to da crkva ponovno postane misijska, da crkva koja je do tad počela propadat, počelo je padati broj vjernika u crkvi, mnogi su odlazili u protestantske crkve, vjera je bila u padu, dolazi društva koja na potpuno drugim mjestima ponovno vraća ljude Bogu, ide poganima i propovijeda."
0:06:03,0:06:16,"Društvo Isusova je misionarski red i oni su bili prvi koji su otišli u Indiju, koji su otišli do Japana, do Kine i na ta mjesta donose Krista, donose Crkvu i katoličku vjeru."
0:06:17,0:06:50,"Što je još bitnije, jedna od glavnih figura koncila koji se događao u Tridentu, to je koncil koji se zove protureformski koncil, no nakon reformacije Crkva pokreće Sabor i Isusovac je jedan od glavnih nositelja tog koncila, Diego Lajnes kojeg su poslije htjeli da nakon što je papa pokrenuo koncil, nakon što je on umro njega su htjeli postaviti za papu, međutim on se sakrio čisto da ga ne bi imenovali papom."
0:06:50,0:07:27,"Znači, Isusovci u svojih dvadeset godina donose promjenu u Crkvu i moja želja je bila onu mudrost koju je Ignacije primio od Boga, prilagoditi današnjem vremenu i predstaviti sve one karakteristike kojima je on težio i stvari do kojih je želio dovesti svoje Isusovce da bi postali plodni u tom razdoblju, da bi postali oni koji mijenjaju svijet, koji mijenjaju i Crkvu, koji pomažu Crkvi da ponovno nastavi rast, da se ponovno osvajaju duše za Božje kraljevstvo, da donesemo danas i malo ih u našem vremenu prilagodimo."
0:07:30,0:07:36,"Da bi to napravio, paralelno bi želio da prolazimo priče dvije osobe."
0:07:37,0:07:47,"Prva će biti Ignacije Lojolski, osnivač Društva Isusove, a druga možda idući najpoznatiji Isusovac u svijetu, a to je Franjoc Saverski."
0:07:48,0:07:52,Njih dvojica imaju jako zanimljive priče koje se u jednom trenutku isprepliću.
0:07:52,0:08:33,"Franjo Saverski je na jedan način Ignaciju bio duhovni sin i Ignacije koji je rođen jedna tisuća četiristo devedeset jedan petnaest godina prije franjeg saverskog je rođen kao plemić na dvorcu lojola po tome je dobio prezime lojolski i njegova obitelj ga je htjela odgojiti za svećenika znači sav trud njihovih njegovih roditelja išao je prema tome da on bude svećenik međutim iz nekog razloga a vjerojatno se to događa i danas mladima kad roditelji nešto žele i kad su možda malo preustrajni u tome, malo, malo, ali samo malo da."
0:08:34,0:08:38,"Onda djeci to postane malo odbojno, evo, odu u drugom smjeru."
0:08:38,0:08:39,To se dogodilo s Ignacijem.
0:08:40,0:08:45,"Budući da su njegovi roditelji htjeli da on bude svećenik, on je odlučio da želi biti vitez."
0:08:46,0:08:50,"I sve što je čitao, sve s čime se punio, sve što je istraživao su bile viteške priče."
0:08:51,0:08:55,I nakon određenog vremena je postao vojnik.
0:08:56,0:09:04,I Bog ima zanimljiv način kako tu želju roditelja ipak uslišiti.
