Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:02,"Hvala lijepo, nisu svi Marija."
0:00:04,0:00:06,"Evo, došao je i moj čas."
0:00:08,0:00:37,"Evo, do sada nekako puno puta sam govorila o svom pozivu u Apostolatu za život, evo i molili smo za život za trudnice, za sve evo majke koje razmišljaju o pobačaju, ali evo nekako rijetko svjedočim o svom osobnom životu, o svom djetinstvu, o onome što je zapravo prethodilo cijeloj evo toj mojoj borbi za nerođene i za trudnice."
0:00:37,0:01:05,"A upravo kroz taj moj život kroz moje djetinstvo, moje odrastanje, Bog me pripremao za ono što slijedi, Bog me evo kroz to oblikovao, ojačao i pokazao i meni i ljudima oko mene koliko je Bog snažan, koliko je njegova ljubav velika i što je to sve što on može činiti, a može činiti čudesa samo kad mu se evo predajemo."
0:01:07,0:01:36,"Za početak, evo počela bih s time, zovem se Dijana Brozović, inače odrasla sam u jednom malom mjestu po kraju Ogulina i evo meni je nekako znakovito da baš evo danas pada snijeg s obzirom da ja dolazim iz Like, a obožavam snijeg, tako da evo vjerujem da mi je gospodin nekako kroz taj snijeg udijelio malo radosti i ohrabrenja za ovo što slijedi."
0:01:37,0:01:57,"Evo u trenutku mog začeća, moji roditelji su bili jako jako mladi, mama nije još završila niti srednju školu, tata je radio u vojsci, bio je na ratištu i nekako cijela situacija je bila poprilično neizvjesna."
0:01:57,0:02:10,"Ali evo u tom trenutku uz podršku moje bake moji roditelji su ipak odlučili zadržati me, darovati mi život i na tome sam im evo nekako silno zahvalna."
0:02:11,0:02:31,"Iako okolnosti u kojima se oni nisu, u kojima su se oni tada nalazili nisu bili povoljni danas kada evo roditelji planiraju djecu nekako jako je važno da smo već nekako situirani, da imamo kuću, da imamo neku financijsku stabilnost, materijalnu sigurnost."
0:02:32,0:02:39,"Evo moji roditelji su se našli u toj situaciji da nisu imali tu sigurnost, a evo ipak odabrali su život."
0:02:41,0:02:51,Kasnije rodila se i moja mlađa sestra i nekako kao dijete ja sam jako puno vremena provodila s bakom i djedom.
0:02:51,0:03:07,Evo ne usuđujem se čak reći da sam bila povezanija čak s njima nego sa svojim roditeljima i kasnije sam došla do toga shvatila da zapravo je to ta bila jedna duhovna veza koja se ne može raskinuti.
0:03:07,0:03:17,Evo baka je bila zagovornica mog života i nekako baš kroz to smo bile cijeli život još uvijek smo povezane.
0:03:20,0:03:31,"es njom sam često odlazila i na nedjeljnu svetu misu, u tome sam stvarno uživala i nekako kroz djetinstvo, jedino sam čekala tu nedjelju kada evo ćemo ići na misu."
0:03:31,0:03:41,"Ono što je mene radovalo je bio upravo taj osjećaj prihvaćenosti, osjećaj ljubavi i osjećaj važnosti koju sam ja primila u Crkvi."
0:03:42,0:03:57,"Naime, ja već kao dijete kad sam išla u prvi razred osnovne škole, pjevala sam u našem malom selskom zboru i župnik mi je davao da mogu čitati jednu molitvu vjernika."
0:03:57,0:04:16,"Kao djetetu meni je to bilo jako, jako važno i vjerujem da taj osjećaj kroz tu jednu malu gestu, ta gesta je utjecala na cijeli moj život kasnije jer ta prihvaćenost u tim trenucima meni je bila od životne važnosti kasnije."
0:04:20,0:04:34,"Sjećam se da u tom nekom periodu mojih početaka kad sam odlazila na Svetu Misu dobila sam jedan molitvenik, sjećate se onog malog molitvenika koji dobijemo za prvu pričest."
0:04:35,0:04:46,"Ja sam već evo puno ranije dobila taj molitvenik, a iz njega sam izvukla sama tri molitve koje sam ja odlučila molit svaku večer."
0:04:46,0:05:03,"Mene nitko nije natjerao na to, neme roditelji nas nisu odgajali u vjeri i nekako ne znam, ja sam u svom srcu osjetila da ja trenutno svaku večer molim te tri molitve, to je bilo Angeliću Čuvaru, Preslite djevojci Mariji i Bogu Ocu."
0:05:04,0:05:13,I vjerujem da te tri molitve koje sam ja kao dijete molila onako dječje su itekako utjecale kasnije na moj život.
0:05:15,0:05:25,Kad sam bila evo treći razred osnovne škole dogodilo se nešto što je ja vjerujem obilježilo cijelu moju obitelj.
0:05:26,0:05:37,"Naime, mama je bila trudna s trećim djetetom i cijela trudnoća je bila uredna, sve je bilo u redu i pred sam porod, beba je umrla."
0:05:37,0:05:46,"Moji roditelji nikad nisu saznali pravi razlog zašto se to dogodilo, ali to ih je jako, jako pogodilo."
0:05:46,0:05:51,Kao dijete već sam imala osjećaj neki da se tu sve srušilo.
0:05:52,0:06:01,"Roditelji nisu razgovarali o tome što se dogodilo, nastavili su se nositi s time, svatko na svoj način."
0:06:01,0:06:13,"Mama je ušla u jedno loše društvo, počela je izlaziti, a tata je u svojoj samouci nekako na svoj način nosio se s time, onako kako su znali."
0:06:14,0:06:26,"Tata je ubrzo otišao u prijevremenu mirovinu i kao ratni vojni invalid morao je ići na neka brojna testiranja, neka liječenja, ne znam."
0:06:27,0:06:46,"I često ga nije bilo doma, bio je u bolnicama, a za to vrijeme kako njega nije bilo doma, mama je u izlascima eto upoznala nekog drugog muškarca i nakon toga među roditeljima su krenule sve učestalije svađe."
0:06:48,0:07:06,"Kao najstarije dijete pokušavala sam nekako sve to spriječiti i mamo odgovoriti od toga što radi jer ja sam i noću vidjela kako bi se iskradala kroz vani, odlazila s njime, mi bi ostajala same."
0:07:07,0:07:10,I sjećam se da sam tada počela moliti Boga.
0:07:10,0:07:24,Meni je rastava bila najstrašnija stvar koja se jednoj obitelji može dogoditi i ja sam tada počela moliti Boga da učini sve samo da se moji roditelji ne rastanu.
0:07:25,0:07:33,Ja sam bila spremna radije trpjeti i podnositi svađe nego evo da mi se roditelji rastaju.
0:07:35,0:07:58,"Ali nažalost eto ubrzo ipak je došlo do toga da su se razišli i sjećam se točno večeri kad je mama kroz prozor iz naše sobe otišla bez da se javila tati, ja sam bila budna i pokušavala sam ju zaustaviti i nisam otišla tati, nisam mu ništa rekla, ona je otišla."
0:07:59,0:08:08,"Sutra dan kad je tata vidio, pokušavao ju je nazvat, pokušavao je doći do nje, međutim ona je već bila otišla."
0:08:11,0:08:29,"Tu u tom periodu nekako u meni se budio taj osjećaj krivnje da sam ja to mogla spriječiti, da sam mogla nešto učiniti, da su se roditelji razišli zbog mene itede I tu su već krenule moje nekakve unutarnje borbe."
0:08:30,0:08:38,Evo možete zamisliti dijete od deset godina koje već evo se bori s takvim stvarima.
0:08:38,0:08:53,Kroz sve to mama naravno nije htjela se vratiti i ja nisam tati čak niti vjerovala pa sam inzistirala na tome da idem s njim na dan kad se oni budu razilazili.
0:08:54,0:09:11,"I mama nije znala da ću ja biti tamo i ja sam bila u hodniku, oni su se razilazili i ona je sudkinji rekla da ne želi djecu, da ne želi se brinuti za njih, da ona nema snage, da ne može i da je njoj dosta, da ih prepušta."
0:09:12,0:09:24,"Tata je tu se dosta žrtvovao jer je eto trebao se izboriti za svoju mirovinu, od čega je odustao kako bi evo mogao preuzeti skrbništvo za nas."
0:09:25,0:09:37,"Živjeli smo jako skromno od tada, znači od moje desete godine s mamom se više niti tada nismo čuli niti vidjeli, evo do dana danas."
0:09:39,0:10:01,"U svemu tome nekako ja sam se trudila zaštitit svoju sestru iako moj svijet se u tome srušio, ja sam izgubila, nekako osoba kojoj sam najviše vjerovala, koju sam voljela je otišla i tu je krenuo taj osjećaj napuštenosti."
0:10:01,0:10:22,"Vjerujem da vas je većina u nekom periodu svog života iskusila taj osjećaj napuštenosti, taj osjećaj ostavljenosti i kad ti to učini netko tko je tu pokraj tebe, tko ti je dao život, onda je tu sliku napuštenosti i ostavljenosti ja sam prebacila i na Boga."
0:10:22,0:10:33,"I tada je već polako krenula neka moja ljutnja jer nisam shvaćala zašto je Bog to meni dopustio, a ja sam se trudila biti dobra."
0:10:35,0:10:49,"Kao što sam rekla živjeli smo jako skromno, bilo je teških trenutaka do onih kada evo nismo imali, kada smo se jedva i prehranjivali, ali sve te situacije nas su kao obitelj nekako i ojačale."
0:10:50,0:10:58,Sjećam se da već tada tata je nama govorio meni i sestri da imamo samo jedna drugu i da uvijek jednu drugu čuvamo.
0:10:58,0:11:20,"I stvarno kroz sve te poteškoće, kroz sve te patnje i boli nekako mi smo ostale jako povezane i danas smo nerazdvojene tako da vjerujem da kroz sve to što smo mi skupa prošle, Bog nas je zbilja povezao na jedan čak bih rekla i nadnaravan način."
0:11:23,0:11:34,"Župnik je znao za našu situaciju tada i ono što je meni jako značilo, on se zbilja jako trudio, ja vjerujem da je on jako puno i molio za sve nas."
0:11:35,0:12:00,"Moja sestra nije toliko voljela ići na misu, ali župnik je znao da je to, ja imam to u srcu da sam od malena htjela i voljela ići na misu i on se pokušava, baš se trudio da me uključi u naše župne aktivnosti i ja sam tada, sjećam se, vapila, Bože, ja to želim, ja to trebam, molim te ti mi to omogući."
0:12:02,0:12:28,"Međutim, kako smo mi živjeli malo udaljeni od grada i nismo imali auto tako da je bilo teško dolaziti na sve te aktivnosti i to se nije ostvarilo i tu je krenula moja ljutnja na Boga gdje sam ja Bogu rekla, Bože, ja ti želim biti blizu, želim biti kraj tebe a ti mi to ne dopuštaš i nisi mi to omogućio."
0:12:29,0:12:40,"Ja vjerujem da je to, Bog je nekako to kasnije okrenuo na dobro, ali evo u tim trenucima mene je to jako, jako zaboljelo."
0:12:43,0:13:16,"Nakon toga krenula je evo i ta srednja škola, to je bio ja bih rekla najgori period mog života jer kroz cijelu srednju školu ja sam se povukla u samoću, nisam razgovarala, nisam imala prijatelje, nisam se s nikim družila, začahurila sam se, zatvorila i nekako to mi je bilo najlakše jer sam tu se osjećala sigurna unutar svojih zidina, nitko ne može doprijeti do mene, nitko me više ne može povrijediti."
0:13:17,0:13:21,Ali ono što mi je najvažnije bilo je to da me nitko ne može sažaljevati.
