Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:02,0:00:25,"Draga braćo i sestre, ali u punini značenja te riječi, tog izričaja jer ako nam je Boga, a jest otac, Isus Krist naš Bog onda smo zbilja u Njemu, po Njemu i s Njim braća i sestre."
0:00:29,0:00:46,"Vidite kroz ove dane čitamo djela apostolska, čitamo izvještaje u kakvom su ozračju bili prvi Isusovi slijedbenici, apostoli ali i drugi."
0:00:48,0:00:56,Gdje je to nastajalo žarište žive crkve sazidane na Isusu Kristu?
0:00:57,0:01:07,One crkve za koju reče sam Isus i Petru a i nama da je neće nadvladati ni vrata paklena.
0:01:08,0:01:09,Dakle nema straha.
0:01:11,0:01:14,Čemu tjeskobna crkva?
0:01:15,0:01:22,"Kad je Bog Isus radosti naše sve, jamac te crkve."
0:01:24,0:01:27,Ništa i nitko je ne može nadvladati.
0:01:28,0:01:35,"Vidite, crkva se rađala u jednom ozračju progona."
0:01:36,0:01:48,"Sve vam vrijedno nastaje u životima kroz žrtvu, kroz patnju, kroz odricanje, a mi to svejedno riječju zovemo svjedočanstvo."
0:01:50,0:02:31,"Zato Isus nikada nije trebao navijače ni svjetinu, pa čak ako hoćete u našem izričaju ni ove vjernike nego svjedoke oke, Isus kaže budite mi svjedoci do nakraja svijeta, ne propaganda, ne promotori nego svjedoci, a onda kad je čovjek svjedok to je najbolji put da Bog uđe preko čovječjeg svjedočanstva ali životom i da on spozna uistinu je Isus živ."
0:02:33,0:02:41,"Ejte u tamnicama je crkva nastala, ne u dvorima i dvorcima, u tamnici."
0:02:42,0:02:56,"Vidite stalno kroz ove dane, vidimo prva apostolska zajednica govori u tamnici zatvoreni, pritvoreni, vječaju o njima, a je li to Isus navijestio?"
0:02:56,0:02:56,Jest.
0:02:57,0:03:15,"Pored mene će vas privoditi, pred vijeća izvoditi, svatko zlo će protiv vas lagati, ali nemojte biti zabrinuti, nemojte biti tjeskovni jer daće vam se u taj trenutak snaga i milost."
0:03:17,0:03:24,"Zato kad je u svojoj slabosti i svetiji pao, ali to je jedna ljudska dimenzija koju mi svi imamo."
0:03:25,0:03:27,Ne trebamo se mi juaći da smo mi nadljudi.
0:03:28,0:03:31,"Mi Isusovi nismo nadljudi, nismo mi supermeni."
0:03:33,0:03:40,"Mi smo krhke, glinene posude koje postaju čvrste, u stalnoj vjeri Isusovoj."
0:03:42,0:03:47,"Zato je Paavol kad je došao u kušnje, kaže gospodine teško mi je."
0:03:49,0:03:57,"A Isus mu kaže, Bog objavljuje, dosta ti je moja milost, dosta ti je moja milost, šta hoćeš više?"
0:03:58,0:04:03,Šta hoćeš više od milosti koja je pošla u tvoje srce?
0:04:05,0:04:12,"Zato vrijedno nastaje, crkva nastaje, apostoli nastaju u progonu, u tamnici, u zatvoru, sve vam je tako."
0:04:14,0:04:17,Naša hrvatska domovina nije nastala u Saboru.
0:04:21,0:04:24,Naša hrvatska domovina nije nastala na trgu Bana Jelačića.
