Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:07,Uistinu je čast biti večera s vama.
0:00:15,0:00:16,Malo me sramota.
0:00:26,0:00:30,Jer spoznajem koliko u stvari ne znam o Bogu ni o životu.
0:00:34,0:00:36,Vjerujem da su to tajstva i misterije svima nama.
0:00:46,0:00:48,"Ne znam puno, ali sam siguran u dvije stvari."
0:00:52,0:00:57,"Život može biti jako težak, a Bog je jako dobar."
0:01:02,0:01:07,"I znam da se te dvije stvari čine kao suprotstavljene činjenice, misli."
0:01:11,0:01:14,Kako sam rastao i približavao se više gospodinu.
0:01:18,0:01:21,Jako me privuko jedan citat iz Ivanovog Evanđelja.
0:01:25,0:01:32,Došao sam da bi vi imali život i da taj život imate u punini.
0:01:39,0:01:49,I mislio sam da punina života znači dva auta i sve ostale stvari koje sam želio i nije baš ispalo tako.
0:01:58,0:02:06,"I mogu stajati ovdje pred vama večeras, pred vama svetima i reći Bog je uistinu vjeran svojoj riječi."
0:02:10,0:02:18,Došao je da bi svi ovdje koji smo imali život i da ga imamo u punini.
0:02:25,0:02:39,"I mislim da je izazov, barem u ovom slučaju, to što moja ideja punine života i Kristova ideja punine života malo drugačija."
0:02:42,0:02:51,"Ponekad čujem kako ljudi govore predaj svoj život Isusu i tvoji problemi su gotovi, završeni."
0:02:53,0:03:00,"Djeca više nikad neće biti bolesna, nikada vam se neće probušiti guma i sve će ići tvojim."
0:03:01,0:03:02,kutom.
0:03:07,0:03:08,Volio bi da je to istina.
0:03:13,0:03:18,Ali mislim da svi ovdje možemo prihvatiti činjenicu da život zna biti dosta težak.
0:03:27,0:03:37,"Ali kada Isus kaže život je težak, ali ja sam ovdje došao da ti dam puninu života, to izgleda kao jedna velika kontradikcija."
0:03:42,0:04:08,"Vjerujem da kada bi pitali bilo koga odnosno svakog od nas ovdje u crkvi mogli bi pričati o dobrim trenucima u životu, o sretnim uspomenama, a i svi bi mogli pričati o boli i nekako na neki način sve to zajedno se događa u životu koegzistira."
0:04:11,0:04:14,Jedno od velikih pitanja za sve nas u životu.
0:04:17,0:04:30,"Ako je Bog dobar i ako me Bog zaista ljubi kao što kaže da ljubi, zašto onda ima toliko boli?"
0:04:35,0:04:39,Zašto Bog jednostavno ne mahne svojom rukom i da sve to nestane?
0:04:43,0:04:50,"Možemo sad krenuti sa velikom teološkom raspravom, ali daću vam jednu kratku verziju."
0:04:53,0:04:53,Ne znam.
0:04:58,0:05:04,"Ne znam zašto stvari funkcioniraju ovako kako funkcioniraju, ali ovo znam zasigurno."
0:05:08,0:05:10,Bog je ušao u naš život.
0:05:13,0:05:16,"Dobar, loš, sretan, žalostan."
0:05:22,0:05:26,I on u stvari preobražava naš život u jednu novu realnost.
0:05:37,0:05:49,"Kad sam imao privilegiju prvi put biti na ovim prostorima, bilo je za vrijeme rata i dalje plačem nad tim događajima."
0:05:53,0:06:02,"To su jedna od najtužnijih sjećanja mog cijelog života, a opet pogledajte ovo sve."
0:06:07,0:06:10,Kako Bog ulazi u slomljenosti naših života.
0:06:14,0:06:24,Gledam ovaj prekrasan prikaz iza nas i na neki način ovo predstavlja svakog od nas.
0:06:29,0:06:33,"Isti koji je rekao, koji kaže da je došao dati nam život, da imamo život u punini."
0:06:37,0:06:41,Isto je tako rekao: Uzmite svoj križ i pođite za mnom.
0:06:45,0:06:50,"Ako mi dajete život u punini, zašto trebam uzimati bilo kakav križ?"
0:06:52,0:06:53,Kratak teološki odgovor?
0:06:56,0:06:56,Ne znam.
0:06:58,0:06:59,Stvarno ne znam.
0:07:02,0:07:04,Ali evo što se događa.
0:07:08,0:07:34,"Kad se Krist utjelovio i rođen po djevojci Mariji, ušao je u naš svijet sa svim svojim ljepotama, sa svim radostima, sa glazbom, sa svim plesovima, sa svojim suzama i svojom smrću."
0:07:38,0:07:49,"On je ušao u naše živote, u naše susjedstvo, naše obitelji, ušao je u svako naše srce."
0:07:52,0:08:02,Na početku Ivanovog evangelija kaže da je riječ tijelom postala i prebivala među nama.
0:08:05,0:08:08,Vjerojatno postoji jedan malo bolji prijevod.
0:08:12,0:08:21,Riječ je tijelom postala i postavio je svoj šator među našim šatorima.
0:08:25,0:08:27,I su se preselili u naše susjedstvo.
0:08:32,0:08:34,"I kao što znate, bol mu nije strana."
0:08:38,0:08:40,Postoji veliko tajstvo u svemu ovome.
0:08:42,0:08:43,"Može učiniti što god želi, sve."
0:08:48,0:08:56,"A nekad se čini kao da ništa ne radi, ali napravio je nešto jako značajno."
0:09:02,0:09:12,Veliki svetci kažu da je Bog ušao u našu ljudskost kako bi nas mogao podići svojoj božanstvu.
0:09:16,0:09:19,I za većinu nas to je proces cjeloživotni.
0:09:22,0:09:32,"Najrađujem bi da možemo ovako prstima i da je gotovo, ali mislim da će se većina vas složiti da nikad to nisu vidjeli."
0:09:36,0:09:45,"Kada se Krist dao za nas na križu, vidjeli smo referencu na to u današnjem prvom čitanju."
0:09:50,0:09:57,Kaže da prokletstvo slomljenog čovječanstva je bilo na Isusu.
0:10:01,0:10:11,"I on koji nikad nije počinio nijednog grijeha, postane grijehom za sve nas."
0:10:15,0:10:21,I taj čovjek koji je primio grijeh na sebe je otišao na križ.
0:10:24,0:10:27,Sveti Pavao ga zove drugim Adamom.
0:10:31,0:10:44,"I kako je prvi Adam doveo grijeh u svijet, drugi Adam donosi ljubav, oproštenje i milosrđe u svijet."
0:10:48,0:10:58,"Zanimljivo je kako dok je Isus visio na križu, doslovno nije bio na zemlji ni na nebu."
0:11:01,0:11:23,"Postoji stara izreka koja kaže svijet ga nije htio, htjeli su ga se riješiti, a zbog grijeha koji je uzao na sebe, prokletstva Adamova, raj ga u tom trenutku nije mogao prihvatiti."
