Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,"Hvala Nisu Simarija još jednom, Bog svima."
0:00:05,0:00:15,"Prije početka samog predavanja naš tehnički tim pustit će jedan video kojeg je za ovakve potrebe, potrebe predstavljanja knjige snimio dr."
0:00:15,0:00:21,Tomislav Terzin koji je inače izvanredni profesor biologije na Sveučilištu Alberta u Kanadi.
0:00:22,0:00:32,"I u videu koji je tako 4-5 minuta dugačak, on progovara iz svoje struke i svoje znanstvene perspektive o ovoj tematici o kojoj će danas biti riječi i o ovoj knjizi."
0:00:32,0:00:34,Pa evo može tehnički tim pustiti video.
0:00:35,0:00:37,"Pozdrav, Josip Pulić, autor."
0:00:37,0:00:46,"Uliću autoru knjige, Tko je prije čovjek ili majmun, i pozdrav svim posjetiteljima njegove promocije knjige."
0:00:47,0:00:54,"Ja sam jedan od recenzenata ove knjige, pa me je Josip zamolio da kažem par riječi o tome."
0:00:55,0:00:58,Najprije čestitke za izdanje knjige.
0:00:58,0:01:09,"Ja kao autor znam kolika je to radost kada jedno vaše djelo ugleda svjetlo z dana, tako da se radujem zajedno sa autorom izdanje ove knjige."
0:01:10,0:01:12,I želim reći par riječi.
0:01:12,0:01:16,Riječi u vezi samog dijela.
0:01:18,0:01:31,"Dakle, knjiga koja je pred vama je izuzetno, rekao bih dragoceno štivo za Hrvatsko govorno područje i za širi region Zapadnog Balkana."
0:01:32,0:01:46,Jer je jedna od rijetkih knjiga koje se bave alternativnim pitanjem podrijetla ne samo čovjeka nego života i generalno govori o kreacionizmu nasuprot teoriji evolucije.
0:01:46,0:02:09,Dakle izuzetno dominantna i da ona praktično u svakoj pori života želi da nametne jednostrano vidjenje podrijetla čovjeka kao da smo mi proizvod slučajnih prirodnih procesa i da smo nastali od majmunolikih predaka.
0:02:11,0:02:43,"Takav jedan stav, osim toga što nije znanstveno dovoljno podržan činjenicama, opasan je zapravo za čovjeka, pogotovo za vjernika, kršćanina i generalno za svjetakog vjernika koji vjeruje da postoji Bog koji je stvoritelj svega vidljivog i nevidljivog, jer na neki pseudoznanstveni način pokušava da nas uvjeri da stvoritelja nema, pa smo prema tome izgubljeni u besmislu postojanja."
0:02:44,0:03:01,"Ja sam duboko uvjeren, a to također i autor ove knjige, da smo mi stvoreni, dakle da nas je Bog stvorio i on iznosi znanstvene argumente vrlo detaljno u ovoj knjizi o tom alternativnom viđenju podrijetla čovjeka putem kreacije."
0:03:01,0:03:20,"Ono što je značajno u ovoj knjizi i što mi se posebno svidjelo jeste da se ona ne bavi usko samo pitanjem podrijetla čovjeka, nego se bavi širim konceptom u koji treba postaviti to pitanje podrijetla, a to je kreacionistički koncept."
0:03:21,0:03:36,"Tako da je ovo jedno štivo koje može da se koristi kao neka vrsta udžbenika, ja bih rekao, generalno za upoznavanje sa konceptom kreacionizma, sa konceptom mlade zemlje, starosti fosila."
0:03:38,0:03:50,i svega ostalog što je vezano za biblijski pogled na svijet i onda u taj koncept stavlja čovjeka na jedan vrlo ozbiljan i temeljit način.
0:03:50,0:04:13,Uživao sam čitajući ovu knjigu i dao svoju kratku recenziju i punu podršku ovoj knjizi i želim da ova prigoda kojom ćete praktično lansirati ovu knjigu u javnost bude jedno lijepo iskustvo i samo jedan korak.
0:04:13,0:04:13,naprijed.
0:04:14,0:04:18,"Inače, drago mi je da sam mogao sa Josipom i lično da se upoznam."
0:04:18,0:04:27,"Uvodit sam ovo ljeto, smo imali prilike da popričamo i drugačiji ugođaj kada znate lično autora knjige."
0:04:27,0:04:32,Tako da mi je to još jedno dodatno zadovoljstvo u čitavoj prigodi.
0:04:33,0:04:43,Hvala svima i želim da Josip nastavi ovako i da ona bude jedina knjiga iz ove oblasti.
0:04:44,0:04:44,Prijedno.
0:04:47,0:04:48,Prije svega.
0:04:49,0:04:51,"Dobro večer, hvala ti Marija."
0:04:52,0:05:21,"Da vas malo pogledam s lijeva na desno, da vidim šta se oko mene događa i da nekako uđen u sadašnji trenutak zajedno sa svima vama ovdje moram priznati da mi je lijepo sa vama na poseban način i lijepo vas je vidjeti, ali lijepo je sa vama da je ovo sve skupa na početku natopljeno i sa sladolednim i sa molitvama."
0:05:22,0:05:26,Također pozdravljam i sve koji nas prate putem videostrima.
0:05:29,0:05:41,Suvremena znanstvena otkrića i suvremena znanost razvija se mnjevitom brzinom i mi koliko su ona brzo razvijala zapravo ne možemo ni pratiti sva ta nova otkrića.
0:05:43,0:05:50,Usprko s tome neka ključna pitanja znanosti ostaju i dan danas nerazriješena.
0:05:51,0:06:08,"Ovim se pitanjem odnosno jedno od tih pitanja koje ostaje nerazriješeno na prvu jer unosi se dosta konfuzija sa različitim hipotezama i tezama, vidjet ćemo kasnije što je to, ono se dakle iz toga razloga ostalo nerazriješeno, a jedno od tih pitanja je pitanje podrijetla."
0:06:09,0:06:23,"Sa ovim pitanjem podrijetla zapravo iznova se susrećemo u svim disciplinama prirodnih znanosti, od podrijetla svemira do podrijetla Sunčevog sustava našeg planeta, zatim podrijetla prve stanice iz života pa sve do podrijetla ljudske svijesti."
