Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:04,0:00:05,Ovo je Gospodin Isus.
0:00:08,0:00:11,On je kralj kraljeva i gospodar gospodara.
0:00:11,0:00:17,A onda imamo drugu sliku Isusa.
0:00:18,0:00:37,"Isti čovjek, ali ponizio je sam sebe, postao sluga, postao rob, postao poslušan sve do smrti na križu."
0:00:44,0:00:47,"Dobro večer, moja ljubljena i sveta braća."
0:00:52,0:00:55,"Ovo je ispunjenje sna, vratiti se ponovno i biti s vama."
0:00:58,0:01:08,"Kada smo bili zajedno prošle godine, osjetio sam kao da je u ovu halu se spustilo nebo."
0:01:13,0:01:52,"Cijelu dvije tisuće dvadeset četiri je najljepše sjećanje na prošlu godinu bilo baš sjećanje na ovu prostoriju na ovu sobu nešto stvarno prekrasno se dogodilo ovdje prošle godine i moramo biti oprezni jer se želimo vratiti nazad, želimo ponovno isto iskustvo."
0:01:56,0:02:16,"I kad sam letio za Zagreb ovog puta, morao sam paziti da ne bi došao u tu situaciju da tražim od Boga da ponovno napravi isto, ponovno učini isto što si učinio."
0:02:19,0:02:26,"Ali večeras kako smo počeli moliti, Bog to ponovno čini."
0:02:31,0:02:33,Koliko vas je bilo s nama prošle godine?
0:02:40,0:02:45,"To je bio jedan od najposobnijih trenutaka za mene, apsolutno fantastičan."
0:02:49,0:02:52,I osjećam ponovno to isto pomazanje ovdje večeras.
0:02:56,0:02:59,I ogromna je privilegija biti ovdje ponovno zajedno.
0:03:08,0:03:12,"Znam da je mnogo braće, ali i sestara nas gleda putem prijenosa uživo."
0:03:17,0:03:21,"I postoji grupa žena, Hrvatica u Australiji."
0:03:24,0:03:26,Ja ih zovem svojim rođakinjama iz Hrvatske.
0:03:31,0:03:33,Svim mojim rođakinjama u Australiji pozdrav.
0:03:41,0:03:45,Don Damirov nagovor večeras je bio apsolutno fantastičan.
0:03:47,0:03:48,Taj čovjek je briljantan.
0:03:54,0:03:56,Mi više ništa ne moramo reći.
0:03:57,0:03:59,Bilo je toliko bogato.
0:04:03,0:04:11,Ono što ja mogu pokušati učiniti je to na neki način približiti i staviti u djelo.
0:04:16,0:04:19,Što Kristovo gospodstvo zaista znači?
0:04:25,0:04:33,Mislim da ćemo par puta morati preslušati ponovo očev nagovor da ga možemo potpuno upit.
0:04:40,0:04:45,"Ono što želim učiniti večeras, kako to primijeniti u našim životima."
0:04:51,0:05:20,"Jedna od opasnosti na koju nailazimo svako od nas kao čovjek, lako je nešto reći i možemo to stvarno i misliti, ali kao da postane slogan, uzrečica, svi kažu i onda mi se svi veselimo i kličemo, ali ostaje površno."
0:05:28,0:05:34,Ono što osjećam da Gospodin želi je večeras ući dublje u naše srce i naše živote.
0:05:40,0:05:59,"Braćo za vas koji niste bili s nama ovdje prošle godine, nemojte se brinuti jer milost koja je bila nad nama prošle godine je ista milost koja je s nama večeras."
0:06:08,0:06:13,"Mišao je spomenuo kako je osjetio veliku snagu, ogromnu snagu prošle godine."
0:06:18,0:06:22,"Ako ste bili ovdje prošle godine, znate da se cijela dvorana tresla."
0:06:24,0:06:24,Bilo je nevjerojatno.
0:06:31,0:06:36,Ali sjećate li se i tog dubokog osjećaja Božje ljubavi?
0:07:13,0:07:24,Ja osobno imam puno veći doživljaj ljubavi Boga Oca i ljubavi koju on ima za mene i osjećam da moja ljubav prema njemu veća.
0:07:27,0:07:43,To se dogodilo meni osobno ovdje na ovom mjestu i zaista vjerujem da ono što je Bog započeo među nama prošle godine nastavlja večeras.
0:07:48,0:07:52,I mislim da danas možemo s punim pouzdanjem nastaviti dalje.
0:07:54,0:08:04,Sveti Pavao kaže onaj koji u vama započne dobro djelo će ga i dovršiti.
0:08:12,0:08:17,I vjerujemo da što god Bog ima za nas ovog vikenda da će nam on to i dati.
0:08:18,0:08:29,I već smo čuli ova ideja da je Isus Gospodin.
0:08:35,0:08:43,I otac je u jednom trenutku naglasio da to možemo čak smatrati kao ispovijesti vjere.
0:08:48,0:08:51,Ali u stvari zapravo potpuna promjena naših života.
0:08:57,0:09:08,"Kada čujete riječi Isus je Gospodin, Znači li nam to išta posebno?"
0:09:11,0:09:13,Šta to u stvari znači?
0:09:20,0:09:24,Vidjeli smo biblijski kontekst i kako trebamo to razumjeti mi večeras.
0:09:29,0:09:33,"Ali što to znači za mene i za moj život, kako živjeti moj život?"
0:09:40,0:09:44,Imamo ispred nas ovdje dvije fotografije jednog čovjeka.
0:09:49,0:09:50,Ovo je Gospodin Isus.
0:09:58,0:10:04,"Zanimljivo je da su to dvije različite slike, ali je samo jedna osoba."
0:10:07,0:10:26,"Točno prije tjedan dana bio sam u smetlištu smeća do ovdje i osobno sam izgledao kao smeće, prljavi, smrdio sam i tako je bilo cijelo moje okruženje."
0:10:29,0:10:30,Danas imam svoj saku.
0:10:34,0:10:42,"Ljudi iz tog smetlišta me ne bi danas prepoznali, a vi mene ne bi prepoznali u smetlištu prošli tjedan."
0:10:46,0:10:50,"To sam ja ista osoba, samo dvije različite fotografije."
0:10:54,0:10:55,Imamo dvije fotografije danas.
0:11:00,0:11:17,Ova ikona je jako bitna jer istočna crkva uvijek naglašava veličanstvo i požanstvo Isusa Krista.
0:11:23,0:11:27,I u istočnim crkvama ikona se doživljava kao prozor u raj.
0:11:31,0:11:46,"Nije samo obična slika ili fotografija, nego kao da je nebo otvorilo vrata i kroz tu ikonu sjaji na sve nas."
0:11:51,0:11:52,I svaka ikona ima.
0:11:53,0:11:55,prekrasne i velike simbole na sebi.
0:11:58,0:11:59,Nećemo ulaziti sad u svaki detalj.
0:12:04,0:12:30,"Vidite da je knjiga riječ otvorena, ruka je podignuta u znaku položaja blagoslivljanja, i lice je uvijek zanimljivo jer različite ljudi će gledati u to lice i vidjet će drugačije stvari."
0:12:36,0:12:44,Neki ljudi gledaju u lice i vide velikog džentlmena nježnost na neki način.
0:12:47,0:12:55,Drugi čovjek će gledati istu ikonu i vide zastrašljivost kralja.
0:13:00,0:13:10,"I mnogi sveci pustinje, jer kada prvi put pogledate na ikonu, vidite jednu stvar."
0:13:16,0:13:21,i mjeseci i godina gledanja počnete uviđati drugačije stvari.
0:13:25,0:13:30,Da li se ikona mijenja ili se naša srca mijenjaju?
0:13:37,0:13:40,Ikona uvijek predstavlja Božje veličanstvo.
0:13:43,0:13:45,On je kralj kraljeva i gospodar gospodara.
0:13:48,0:14:21,"Sve o čemu je otac Damir pričao, novi Adam, vjerni veliki svećenik, savršeni prorok, vođa poput Mojsija, kralj bolji od Davida, vjerni svjedok očevu, to je ono tko Gospodin jest."
0:14:26,0:15:01,"Onda imamo drugu sliku Isusa, isti čovjek, ne postoji razlika, a prorok Izaija ga naziva čovjek patnje, čovjek koji je bio slika očeva, koji je izabran od oca za spasenje sve ostale njegove djece."
0:15:01,0:15:01,St.
0:15:02,0:15:19,"Paul kaže: Iako je bio s Bogom, nije se kao pljena držao te jednakosti, nego se ponizio sam sebe."
0:15:20,0:15:32,"Bejing služben, becoming a slave, becoming obedient even to death on a cross."
0:15:37,0:15:54,"I zbog njegove poniznosti, zbog njegove poslušnosti, punina njegovog veličanstva je otkrivena."
0:16:01,0:16:04,I tipično je da smo više priučeni prema jednom ili drugome.
0:16:09,0:16:12,Nekima je ugodnije biti pored Isusa koji je na križu.
0:16:15,0:16:16,Vidimo nježnost.
0:16:17,0:16:19,Vidimo ogromnu ljubav.
0:16:21,0:16:24,Vidimo veliko predanje koje je učinio za nas.
0:16:25,0:16:26,Vidimo poniznost.
0:16:30,0:16:32,I osjećamo se ugodno s time.
0:16:37,0:16:40,Neki od nas uopće ne poznaju ovu drugu fotografiju Isusa.
0:16:43,0:16:45,Kralj kraljeva i gospodar gospodara.
0:16:45,0:16:46,Alfa i omega.
0:16:47,0:16:48,Alfa i omega.
0:16:48,0:16:48,Početak i početak.
0:16:50,0:16:52,Love iz plemena Judina.
0:16:58,0:17:20,"Otac je danas spomenuo da su svi sasvjerenja pod njegovim autoritetom, da je svaka bolest pod njegovim autoritetom, čak je i grijeh oprošten pod njegovim autoritetom, demoni su pod njegovim autoritetom."
0:17:27,0:17:38,Anđeli i sveci se klanjaju i padaju nice pred njegovim tronom i slave i daju čast janjetu.
0:17:40,0:17:50,"I pitanje je ovo, je li tebi ugodno ispred ove dvije slike Isusa?"
0:17:56,0:17:59,Je li nam ugodno pred puninom slike Isusa?
0:18:05,0:18:10,Ili smo takvi da stvaramo sami sliku Isusa kako ga mi želimo?
0:18:13,0:18:15,Ovo je kako ga ja želim gledati i vidjeti.
0:18:20,0:18:21,Nije bitno što ti želiš.
0:18:27,0:18:29,Ovo je gospodo Isus Krist Gospodin.
0:18:32,0:18:34,I obje ove slike.
0:18:37,0:18:38,To je ono što on uistinu jest.
0:18:42,0:18:44,I veliko je otajstvo pred nama.
0:18:50,0:18:58,"I koliko god bi se trudili ovog vikenda, ne možemo u potpunosti shvatiti ovo otajstvo."
0:19:04,0:19:07,A opet pozvani smo slijediti ga kao naše gospodina.
0:19:11,0:19:18,Ono što bi pogotovo sutra želio učiniti je biti jako praktičan.
0:19:22,0:19:25,"Što za nas osobno znači pratiti Isusa, slijediti Isusa?"
0:19:28,0:19:40,"Više od određenog načina molitve, više od toga da jednostavno nosimo križ, više od toga da odemo jednom tjedno u crkvu."
0:19:42,0:19:47,"Uključuje sve to, ali je puno više od toga."
