Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,Za mnoge je danas riječ otac prazna soba.
0:00:06,0:00:09,"Neka sjena, nedostupna osoba."
0:00:11,0:00:12,Neki bespomoćni čovjek.
0:00:13,0:00:15,Ovdje se samo javlja pitanje što je to otac.
0:00:17,0:00:27,"Iako ćemo mi pričati o nebeskom ocu koji je izvor svakog voćinstva i uzor, uvijek se moram pitati kako je moje prvo iskustvo oca."
0:00:29,0:00:36,"Jedna je jedina molitva koju nas je Isus naučio, koja oče naš, oče naš."
0:00:40,0:00:44,"Lijepo vas je vidjeti, hvala na pozivu, na pozdravima."
0:00:44,0:00:46,Evo sa mnom je i sestra Lucija.
0:00:48,0:00:51,"Obično ljudi pitaju zašto ste vi u bijelo, a ona u crno."
0:00:52,0:00:57,"Jednostavan je odgovor, tamo gdje sam ja u Alpovu, kod Osijeka, kod nas je ljeto i vruće."
0:00:58,0:01:04,"Ja sam prešla u ljetno izdanje, sestra Lucija je u Zagrebu na službi, pa je ona u crno jer je kod vas stvarno prohladno."
0:01:06,0:01:16,"Tako da evo ovdje sam kako bi vam predstavila pobožnost nebeskom mocu i rekla nešto pobliže o našoj temeljiteljici, Blaženoj Mariji Petković."
0:01:18,0:01:55,"Nagovor će otprilike ići u smjeru da ću pokušati zapitati se zajedno s vama općenito o očinstvu, kako je moje iskustvo očinstva, a zatim reći i nešto kako je iskustvo Blažene Marije Petković o očinstvu i njeno iskustvo oca, malo proći kroz evanđelje i zaključiti upravo sa hvalama i zazivima koje je ona sastavila u svojoj zreloj duhovnosti, u zreloj dobi i naravno o plodovima te pobožnosti."
0:02:00,0:02:01,Gdje sam ja?
0:02:04,0:02:08,Gdje sam ja kada se pitam kakav je moj otac?
0:02:10,0:02:35,"Za mnoge je danas riječ otac prazna soba, neka sjena, nedostupna osoba, neki bespomoćni čovjek kojeg majka doslovce maltretira, fanto mu u kući i evo kad taj lik napokon se odvaži i skupi malo hrabrosti, onda napusti obitelj."
0:02:37,0:03:00,"I razna su iskustva i vas ovdje, očinstva, a evo nedavno sam pričala s jednom djevojčicom koja je samo rekla, ide šesti razred i samo je rekla ja više sa svojim tatom neću razgovarati, neću ići kod njega, majka i otac su rastavljeni i meni je bolji moj novi tata."
0:03:01,0:03:14,"Kao da to nešto postoji, dijete drago ti imaš svog tatu jednog, ovo ti nije tata, ali evo to je nešto što ona tako doživljava i kaže evo on mi je bolji tata."
0:03:16,0:03:28,Jedna gospođa šezdeseta godina zaplakala je i kaže mene tata jedini i prvi put zagrlio kad sam se udavala i otišla iz kuće.
0:03:29,0:03:30,I plačući to govori.
0:03:32,0:03:42,Svako od nas ima svoju priču neku koja je u nas utkana i ovdje se samo javlja pitanje što je to otac.
0:03:43,0:03:54,"Iako ćemo mi pričati o nebeskom ocu koji je izvor svakog očinstva i uzor, uvijek se moram pitati kako je moje prvo iskustvo oca."
0:03:56,0:04:10,"Otac koji predstavlja sigurnost, stvaralaštvo, sposobnost da ja nešto mogu, da budem najbolja verzija sebe, da mi potvrđuje da ja ovdje pripadam."
0:04:11,0:04:13,Evo to je sve pojam oca.
0:04:14,0:04:27,"I kad nešto s tim pojmom u mom životu nije u redu, ja se ne snalazim, mislim da ne vrijedim, falim i odvažnosti, strah od neuspjeha i sl."
0:04:29,0:04:53,"Evo pa možda imate mobitele ili ove poruke, mailove i slično, bilješke neke, pa ako negdje vam duša onako da se zapitate u ovom nagovoru, da osjetite vi u sebi, aham, tu imam problem ili aham, ovo vam je nešto zapalo za uho, zapišite to tako da kroz klanjanje možemo proći kroz to."
0:04:54,0:05:03,"Eto, to je nešto šta je onako baš jako bitno da prođete kroz molitvu, evo ovo o čemu ćemo sada razgovarati."
0:05:07,0:05:14,"Evo, prvo pitanje dakle koje ti danas želim postaviti je kojim pridjevima bi ti općisao svoga oca?"
0:05:15,0:05:16,Kakav je on općenito osoba?
0:05:18,0:05:18,Tvoj otac?
0:05:27,0:05:30,Koje ti je najranije sjećanje vezano za oca?
0:05:35,0:05:40,I primjećuješ li sad možda u duši otpor ili zahvalnost?
0:05:47,0:05:50,"Puberteto, odrastanje, svađanje, nesvačanja."
0:05:55,0:06:04,"Pa i vi koji možda među nama ne poznajete svoje očeve ili su možda umrli, i vi imate jedan pojam oca."
0:06:06,0:06:09,"Iako ga ne poznajete, u vašoj duši je ostao oslikan."
0:06:12,0:06:20,Možda netko među vama i krivi majku jer je vas i otac napustio jer nije prisutan u tvom životu.
0:06:22,0:06:24,Koji su tu osjećaji prisutni?
0:06:26,0:06:31,Možda netko ima od nas idealnog heroja od oca u svojem nekom.
0:06:34,0:06:59,"Evo i jedna slika nas možda 25 je da kada dođemo kući i dan nam je super bio, dođemo s posla sa faksom, s čega god odrasli smo ljudi na svojim nogama, kako bi se reklo, i dođemo kući sve je bilo dobro jer je jedanput naživcirani."
0:06:59,0:07:09,"I samo što smo rekli svoj dan, svoj kako nam je proteklo, samo se osjećajš naživcirano ili uznemireno."
0:07:11,0:07:12,zašto se tako osjećaš?
0:07:12,0:07:32,"Samo pri razgovoru evo sa svojim ocem ili majkom, roditeljima, imaš osjećaj da kada ti stalno nešto prigovaraju, kao da ti kažu nećeš uspjeti, nisi sposoban, naš skriv, uvijek nekako neki cilj trebaš doseći, a baš ti dobro ide."
0:07:33,0:07:47,"Evo, pred njima smo uvijek dijete, pred roditeljima i što činiti evo s tim osjećajima koji nam se javljaju i kako mi tu duhovnost može pomoći?"
0:07:48,0:07:55,"Kako će Kako čestok puta kažu, super je biti u crkvi ovako okupljen, ali kad dođeš kući, vidi će te ja."
