Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:48,0:00:55,"Dragi naši gledatelji, evo nas u Milanu, evo nas u gradu Mode i gradu nogometnih uspjeha."
0:00:59,0:01:15,"Jedan od naših sugovornika je u ovom gradu za jedan od ova dva kluba osvajao Skudete, Ligu prvaka, svjetsko klubsko prvenstvo, popeo se na samom Monteverest nogometa."
0:01:16,0:01:19,Idemo ga pronajavati da čujemo njegovu životnu priču.
0:01:42,0:01:49,"Goran je, drago mi je vidjeti te evo, nakon 16 mjeseci zadnji nas u Sustartevi u Parmi."
0:01:49,0:01:49,Da.
0:01:50,0:01:51,Nadam se da si dobro.
0:01:51,0:01:54,Pa dobro sam već to i meni je čas što sam.
0:01:54,0:01:56,sam u vašoj emisiji.
0:01:56,0:01:58,Recite mi se koliko je kilona bacio.
0:01:58,0:02:02,"Ma nabacio sam, no osam do deset kilona bacio."
0:02:02,0:02:10,"Radim, igram neki mali futbal, idem s biciklom, su moji prijatelji u Genovi zato što smo ostali da živimo u Genovi."
0:02:12,0:02:26,"Ali kako ste rekli nema to adrenalina, nema svaki vikend, poslije, svaki tretiri dan igrali utakmicu, to su važne utakmice, nema karantene, nema pritisak i jednostavno sam se upustio i svaki dan sada da radim."
0:02:26,0:02:33,"Kad nemaš šta pritisak sigurno pojedeš malo, popiješ neko čašu vino, ideš iza šest prijatelja, Za še su prijatelji."
0:02:36,0:02:41,"Naravno, da sam malo ugojen, ali to je to."
0:02:45,0:02:50,"Ako se vratiti na prve tvoje nogometne korake, na Strumicu."
0:02:50,0:02:53,"To je Gradić, koliko ima stanovnika na Brooke?"
0:02:53,0:02:59,"Strumice, mali grad, su 60 tisuća stanovnika, istočno od Makedonije."
0:03:00,0:03:01,Jako blizu Bugarske granice.
0:03:01,0:03:06,"Jako blizu Bugarske granice, blizu Petrić, Bugarski grad."
0:03:07,0:03:11,"Ali ima, ali ne klub, što ne postoje više sto godina."
0:03:13,0:03:17,"To je Belasica, klup ima, sad je slavio sto godišnji rođendan."
0:03:17,0:03:20,Hoću ja sam tamo na desetgodišnjoj vozras.
0:03:22,0:03:25,"I to da ti, recimo kako sam pažan, ne može da se veruje."
0:03:26,0:03:36,"Ja sam išao na, igrao futbol, stvarno volio samu futbala, za mene samo lopta je bila moj hobi, bila je lopta još jedna mala i jedina igračka."
0:03:37,0:04:25,"I išli su moji drugari iz kuće da živimo tamo i oni govorili ajde idemo niz da se opisamo za futbala, ko reko hoćeš ti da dođeš, oni su bili dvije godine veliki od mene i morali dvanaest da stariji od mene i dobro govorim doću ja da gledam kako vi trenirate i vraćam se kući i oni počeli i idemo tamo počeli oni se zapisali znači ranije kako bi morate zapisati ime prezime sve to i početi da trenira ja za to na stranu uzeo neke lopte i imao ostale jedna lopta i gore dok oni treniruju ja ću da se zabavljam da ja počeo da žongliram da radim neke finte i me vidi trener i dolazi trener onaj koji ima sto klinca imao i dolazi kod mene i govori kako se zoveš ja govorim goran hoćeš ti da trenirate nogomet?"
0:04:26,0:04:28,ja govorim ne znam treba da da pitam tata i mama znaš?
0:04:29,0:04:30,Fenomenalno.
0:04:30,0:04:39,"Da, da i on govori, ajde, sutra čekam te ovdje, ide kući, priča se mama i tata, ali prvo dođi malo ovdje, pred svi govori da pokažeš kako ti žungliraš."
0:04:40,0:04:45,"I ja me gledaju svi djeca zaostali i ja počeo, vidi kako se žunglira, tako trebate svi da radite."
0:04:45,0:04:49,"A ja kad sam počeo nema, ja i kući to ispred, po cijeli dan znaš, kući."
0:04:49,0:04:50,Koliko si imao tad godina?
0:04:51,0:04:52,Imao deset i jedanaest godina.
0:04:53,0:04:53,deset i jedanaest.
0:04:53,0:05:22,"kod mene kući nismo živjeli sa tata i na tata njegovi, njegovi mama i tata, moj deda nismo imali ni pare za lopte recimo mi je radio od ove novine, od novine, skupi je novine, mi je radio kao lopte i mi daje, znate što ja sam teo samo sa lopte i tako počeo od ove novine, ovako napravi lopte i počeo za to teknuti."
0:05:25,0:05:27,I onda ulazimo u proces.
0:05:27,0:05:32,"Ulazimo u trenutak proces u Belasici, skočio je ovaj pionir i kadet je odmah."
0:05:34,0:05:36,Koliko je bilo drugačije?
0:05:36,0:05:42,"Da, igrao sam ja sa dve, tri godine velike, na 15 godina ušao u prvu ekipu."
0:05:43,0:05:54,"Bjelasice, tad je bio serije drugu ligu, dobili smo prvenstvo i od ova moja generacija nismo imali jednu od najbolje generacije u Makedoniji."
0:05:58,0:06:08,"Ako sam dobro shvatio bio je nekakav turnir na kojem su bili scout i intera koji su primijetili tvoj skill, tvoj potencijal i kvalitetu."
0:06:08,0:06:35,"Da, došli, nije u ovoj generaciji što sam ti pričao osamdeset tri osamdeset dva gazdana na Bjelasice bio pokojni sad vančotakovski donio nama na turniru vjeređo nismo bili u grupipu Superuđa, Bari, jednu argentinsku ekipu, ali odigrali stvarno fenomenalan turnier u Vjeređe, postigao na tri utakmice pet gola, bio puno menadžera i dolazili su svaki dan menadžeri u hotel."
