Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:36,0:00:47,"Aleksandre, prije svega hvala ti što si se pridružio neuspjehu prvaka i hvala ti što ćeš nam podijeliti sva svoja iskustva kako sportska tako i životna."
0:00:48,0:01:08,"Hvala tebi što si me zvao, ja inače nemam neku praksu da pretjerano govorim, tojest da radim intervjue, jedino što sam morao dok sam igrao na konferenciji, a ovako zadnji intervju sam dao prije par godina, ovako jedan na jedan, tako da mi je drago i sa zadovoljstvom prihvatio tvoj poziv."
0:01:08,0:01:17,"Odmah te pitam, o tome se jako malo razgovara tijekom karijere i sami početci karijere su nešto što je podpovećalo u javnosti."
0:01:18,0:01:21,"Ti si nedavno prstom, nije prošlo jako puno vremena, prije godinu i nešto dana."
0:01:23,0:01:26,To je prenagla promjena u svakom životu igrača.
0:01:26,0:01:34,"Zanima me kako prolaziš kroz ovaj proces, još ti je tijelo vruće, još su mišići naučili i na ritam utakmica, treninga."
0:01:35,0:03:21,"Pa jeste, nije sigurno ovaj jedan lak period poslije onoga sve što znaš i sam šta, kako si imao svoj ritam dnevni, ali ja sam ono, mislim da sam prekinuo na vrijeme, donio sam odluku jedno popodne, završio je stekom i ugovor sa Interom, možda nisam ni s akim nisam ni pričao poslije da li bih igrao još godinu dana, mogao sam možda još godinu dana fizički ili dvije, međutim nisam bio spreman da odem negdje da se spustim sa tog nekog nivoa, ne iz nekog svoje, svoje neke nadobudosti, nego jednostavno stvorio sam sebi i da kažem, igrao sam u dobrim klubovima, nisam teo više da idem sada, produžavam sebi karijeru, da igram po klubovima još godinu dana ili ne znam koliko bih ja izdržao, tako da sam odlučio jedno popodne, bio sam, pa sam bio da gledam neku utakmicu u osamnaest u devetnaest u Slovačkoj i samo sam okrenuo prijatelja da mi pomogne da sastavim pismo i da pustim u štampu i ako mi vjerujete ono, telom je još vruće, gledam da mu ne dam da se opusti, organizujem sebi treninge, ali nogomet kao nogomet, ono kad gledam utakmicu, gledam je bez emocija, ne privlači me da kao ja siđem da igram, ne privlači me nogomet na neku drugu stranu, ali ovako sam generalno unutra miran sa tom svojom odlukom i ne da ne žalim jer došao sam u godinu u kojoj sam morao da kažem da stanem ili dignem još godinu dana, ali sam bio totalno miran kad sam donio odluku, tako da mi fali ta neka rutina, fali mi više slačionica odnosa sa kolegama nego futbal sam na terenu, tako da generalno odem i gledam futbal bez jedne emocije."
0:03:21,0:03:29,"Da, znate, pitam se to jer je fascinantno, tijekom karijere imaš cijelu službu ljudi koja je uz tebe i na sve te pripremaju kao i u nekakvoj mojoj priči."
0:03:30,0:03:42,"I onda kroz tu odluku i kroz taj proces prolaziš sam, znači nema, na sve su nas pripremali osim na nekakvu vrstu neuspjeha i naravno na kraju karijere i onaj mislim da se jako malo o tome zapravo i priča."
0:03:43,0:03:52,"Recite mi da li imaš nekakvu ideju šta nakon toga, da li imaš nekakvu ideju da li ćeš biti trener, gdje se vidiš u nekoj funkciji sportski direktor, agent, što god."
0:03:53,0:04:02,Pa jeste to je ono što kažem živiš u tom nekom balonu i odjednom kad taj balon pukne ostaneš sam sa sobom.
0:04:02,0:04:13,"Ali generalno je negdje i u nogometu ja sam uvijek imao tu borbu sa samim sobom, meni nije trebao protivnik, ja sam sam sam sebe ugledao da motiviš da bi izašao na teren i odirao kako treba."
0:04:16,0:04:42,"Pa ja mislim da kako sam ja gledao svoju nogometsku karijeru i svoju karijeru, ja sam uvijek bila borba sa samim sobom, meni nikad stvarno sam igrao protiv velikih igrača i normalno kad igram protiv Messi da moram da razmislim s njima, ali uvijek sam gledao da ja vidim kako da pripremim sebe za Messi, da vidim kako ću ja da reagujem na njega, uvijek sam gledao da ja probam da budem vodič tog duela."
0:04:43,0:04:51,"Sigurno da nekad nije bilo lako, ali uvijek je bila borba sa samim sobom, da vidim kako ću ja da spremi samog sebe jer sam znao da tu dobijem ili gubim."
0:04:55,0:05:13,"Slično sam i ja radio jer mislim da je to jako bitno jer naš trener koji je zadužen za cijelu Movčan, on generalno govori, ali ako svatko od nas ne napravi nekakvu analizu i pripremu takvim scenarijem, mislim da se tu već na krivom tragu, da je puno lakše podbaciti u nekakvom susretu."
0:05:14,0:05:24,"Kako ne, ja uvijek sam gledao tko igra protiv mene da vidim kako bih ja mogao da odigram ono što je normalno sa zahtjevima koje moram da ispunim kao dio nekog kolektiva."
0:05:24,0:05:27,Ali opet sad se vraćam na priču i poslije karijere.
0:05:27,0:06:01,Mislim da opet ostajem sam sa sobom i da vidim šta točno meni odgovara i gdje bih ja mogao sebe da vidim sto posto radim trenutno na sebi da vidim hoću li iskristalizirati svoju ideju završio sam tu neku školu ovdje što u Italiji treba za sposobnog direktora završio sam da u Koverčanu završio sam u Fali ali licencu za trenutak sada ću da se apliciram i za UEFA Pro čisto da imam sve to ispunjeno pa ću polako da polako relativno jer jer nemam mnogo vremena ne bih volio da pauziram pet godina pa da onda nešto kao krenem da radim.
0:06:02,0:06:05,U nekom narodnom periodu očito ste iskristališnu svoju ideju dobro.
0:06:06,0:06:15,"Ono što mene najviše kako bi Žalonski rekao radi to je teren, to je trenerski posao ali onda to ima svoje neke opet svoje nekodimenzije."
0:06:17,0:06:26,Bio sam mjesec dana direktor sportski u Pizi i uz neke okolnosti vidio sam da kancelarski posao tog tipa možda nije za mene.
0:06:27,0:06:29,Tu treba da budeš na telefonu petnaest sati.
0:06:29,0:06:35,Od tih petnaest sati četrnaestpet sati su totalno nebitni razgovori koji ti ne donose nikakav rezultat.
