Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:41,0:00:43,Hvala ti prije svega što si pristao biti moj gost.
0:00:44,0:00:51,"Dobar dan, evo hvala i tebi na pozivu, vrlo rado se odazvao, nije nam puno trebalo da se dogovori."
0:00:51,0:01:01,"Kada bih u kratkim crtama pokušao objasniti klinicima na koji način doći do nekih razina, do nekog levela, onda definitivno bi ti bio prvi primjer."
0:01:01,0:01:09,"Nevjerojatna je i količina energije, entuzijazma, pozitive koju si unosio i kroz svoje treninge i kroz utakmice."
0:01:09,0:01:13,"Zanima me otkud si crpio, iz koje riznice tu HZMO-a?"
0:01:15,0:01:19,"Je li to stvar treninga, je li to stvar nekakve gladi, volje, želje?"
0:01:20,0:02:43,"Pa sigurno da je dosta čimbenika utjecalo na tu moju nekakvu silnu energiju koju sam imao, to je prije svega okruženje gdje sam odrastao, da nisam imao priliku da igram i treniram sa svojim godišnjim, sa djecom nekakvog svog uzrasta nego pošto dolazim iz jednog malog mjesta, uglavnom su igrati mogli oni koji su, ako su stariji bili oni mlađi su uglavnom morali biti puno bolji, tako da sam ja uvijek se kao klinac na Klinac natjecao sa starijim igračima odnosno djecom starijom koja su bila pa i tri četiri godine starija od mene tako da me je to možda u prvoj fazi igranja i zanimanja sa sportom napravilo da budem odmah čvršći, jači i brži i siguran sam da je to utjecalo na taj moj elan koji me poslije nosio energiju i silu koju sam imao jer do šesnaest godine praktički sam igrao nogomet na ulici i stvarno sam ga igrao bez ikakve škole, nikom ništa pokazivao nego ono što sam vidio od starijih, to sam pokušao što prije da usvojim i da se protiv njih nametnem da bi me sutra na tom jednom terenu koji smo imali i izabrali da igram s njima jer inače bi morao biti sretan da je do kuće loptu kad ode sa strane."
0:02:44,0:02:46,Znači sve je zapravo krenulo to malo mjesto gdje sam rođen u Davoru.
0:02:47,0:02:54,"Pa tko je te prepoznao zapravo, je li to bilo samo on koji je kroz nekakvu ulicu, kako je došao do prvog treninga, to me zanima?"
0:02:54,0:03:05,"Pa jest stvarno to je jedna puka slučajnost, ja bih rekao da imao sam tu priliku, tada nije bilo kao sada da praktički svako dijete u Hrvatskoj pa i šire u Europi od deset g."
0:03:06,0:03:11,"već pratiš, vidiš neke vide utakmice i tako, toga tamo naravno nije bilo."
0:03:11,0:03:13,Znači nije bilo nekakvih selekcija je li unutar toga?
0:03:14,0:03:14,Ne.
0:03:15,0:04:15,"Dolaskom tadašnjeg mog susjeda koji je otvorio trgovinu u pet kuća od mene, on je bio fasciniran tom mojom energijom, on je došao iz Zagreba, bio je čovjek koji je pratio nogomet, bio zaljubljenik i veliki navijač Dinama i on bavio se trgovinom i tako dosta je putovao i uvijek je pričao da ima u Davoru jedan klinac koji pravi veliku razliku, koji, bio je čak ja bi rekao možda u tom Slavonskom Brodu malo dosadan tim ljudima pa su više rekli ajde dovedi ga da ga vidimo čisto da bi možda iz poštovanja prema njemu jer uzima robu, trgovinu se bavi tamo njih da kaže ajde da vidimo i tog tvojeg iz Davora jer ja sam igrao protiv drugih sela koja su bila u okolici moga mjesta i tu sam naravno u toj svojoj dobi, dvije, tri godine starijom djecom ja sam bio dosta mlađi, pravio razliku ali kao što sam rekao to nije nitko vidio, to se možda znalo na toj lokalnoj razini."
0:04:16,0:04:43,"Nekakve selekcije su bile ili nisu bile, one su bile gotovo vrlo rijetke, neke Slavonije i Baranje možda ono, ali to je bilo, ja ne znam da se sjećam da li sam ikada išao do tog eto prvog nekakvog susreta sa Slavonskim Brodom i Marsunjem gdje je uglavnom taj moj susjed dogovorio taj kontakt i ja sam tako otišao na jednu, sjećam se prvu svoju utakmicu u Varaždinu igrati protiv Vartexa tada."
0:04:48,0:04:59,I sa petnaestpet šesnaest godina imao sam šesnaest šesnaest godina se već znači za današnje u današnjim nekakvim okolnostima fascinantno je nemoguće da čovjek samo bude do šesnaest godine.
