Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:06,"Hend, Hend, Nikas Koras, Hend, Hend, sam u lekciji."
0:00:06,0:00:11,"Ja sam pult, stotki pult, stoj prvi prava vrata, jer sam šampion neuspjeha prvaka."
0:00:41,0:01:05,"Mateja, dobrodošao u ovu emisiju, zahvaljujem na vremenu i hvala ti evo kao prvo što si nas ugostio na ovom prekrasnom imanju u ovom kompleksu, nalazimo se na planini Kopanik i evo iskreno ovo je vjerojatno najljepši ambijent u kojem sam do sada snimao i tako će vjerojatno biti do kraja."
0:01:05,0:01:25,"Drago mi je da to čujem, hvala vama na gostoprimstvu u ovoj emisiji prije svega i čast mi je da vas ugostim u planinskim kućama, kiržba, nešto što smo zadnjih par godina napravili i u čemu svi uživamo prvo japa i onda i svi ostali koji dolaze, a to i tebe čujem da imaš isti osjećaj, tako da mi je stvarno drago."
0:01:25,0:01:36,"Pa recimo kako si došao uopće na ovu ideju, koliko vremena tu provodiš, dijete si, asfalta, beograda, kako je došlo uopće do tog nekakvog prelaska?"
0:01:37,0:01:47,"Pa duga je priča, ja sam u biti kao klinac bio kamper, moji roditelji su bili kamperi, mi smo na Lastovu kampovali od osamdeset dva pa do devedeset jedan nema dalje ništa."
0:01:47,0:02:38,"Da, jeste, otac je to volio i onako volio ribanje i šta ja znam i onda smo se tu našli i devet godina smo tu proveli leti bukvalno po tri mjeseca, otac je igrao u nogomet isto i te ljetne pauze po ta dva i pol mjeseca je koristio za taj neki odmor u tom nekom kampu, sjećam se i dan danas, skoro sam ga obišao, prošle godine sam vodio suprugu pošto tada nisam bio, sad su taj kamp renovirali ali su onako emocije poradile itede tako da devedeset jedan nas je vojska u to neko vrijeme onako pitomo sve lepe i sela prikolica je ta ostala i ljudi su ga čak sa lastoa sačuvali i poslije deset godina su ocu vratili prikolicu tako da onako jedna sjajna ekipa i energija vladala na tom ostru i tad bi ratnu ta prirodu I tad mi je vjerojatno ta priroda ušla u krv negdje i onda sam me život vodio nekim drugim putem od svih tih gradova Londona, Madrida, Pariza, Hongkonga, ne znam i ja, ali sam se na kraju karijere očigledno vratio tim nekim korijenima što su mi roditelji usadili kao djete."
0:02:39,0:02:54,"I pred petnaest godina, dvadeset jedan koponik došao i dolazio, volim ovu planinu, volio sam i da skijam i tokom karijere sam onako krišom pomalo čak skijao, naravno da sam se pazio ali je to bila neka strast koju sam uvijek gajao."
0:02:54,0:03:05,"I onda na kraju prednosa 18 godina supruga smo odlučili da se polako preselimo ovdje, napravili smo nama kuću, provodili smo tu sve vrijeme, onda smo odlučili da uđemo u ovakav neki vid posla."
0:03:06,0:03:22,"Tako je, da, poslije, tojest vrijeme korone nam je dalo tu neku ideju i onda smo polako ušli u gradnju, napravili ove objekte ovdje koje sada vidiš i zadnje četiri godine se bavimo ljetnim i zimskim turizmom i stvarno to onako radi mnogo lepo i ljudi su dolaze i odlaze presjeći što je ono."
0:03:22,0:03:24,"Znači ide dobro, zadovoljni ste."
0:03:24,0:03:36,"Hvala Bogu ide super, da, iako smo jako mladi, dobro smo to razradili, imamo lijepu ekipu, bavimo se gostima jer ja kao gost znam šta bi volio da vidimo domaćina, tako da se trudim da sve to prenesem."
0:03:36,0:04:52,"nesem, pa ljubav, energiju, emociju, to ove kuće imaju, nose, a mi svi koji smo tu, pravim neku svoju rakiju, kupio sam jednu imanje odavde desetak minuta, veliko nekih hektara nešto zemlje, dole imam neke orahje, lavandu, šljive, tako da pečem svoju rakiju neke zadnje četiri godine, time se malo zabavljam, pa onda gosti to imaju šansu i da probijem, neki fine dan i restoran u dole na selu koji rade samo zimi, tako je neki domaći ambijent i samo po rezervaciji radimo to, spremamo neka ta domaća našela na neki ovako moderniji način, tako da smo tu priču malo šire razvili i onako to ide u super pravcu, imamo dobru ekipu, nismo zarobljeni ovdje dvadeset četiri sata imamo ljude koji nam pomažu dosta tako da imamo slobodu da putujemo da nismo baš ovdje non stop koliko realno vremena provodite ovdje godišnje a mi smo ovdje godišnje faktički od negdje živimo ovdje ali od maja do oktobra pobegnemo na more ovaj dal je to crna gora dal je istra i onda smo od oktobra do maja faktički ovdje na plenim mali ide u vrtić tu ima na koponiku vrtić tako da ima super ekipa u prirodi smo tako da smo mi faktički ja u beograd ne ulazim u beograd baš ako vam nešto da završim istina se vraćam ovdje da bi spavao u ovom ambijentu i na ovom raju."
0:04:52,0:04:58,"Jeste, tako da poranim u peš je suitru Kremlje završio Bograd obaveze jednom, dva puta u dva, tri mjeseca i vraćam se ovdje."
0:04:59,0:05:40,"Ovdje si našao neki, pretpostavljam mir, svoj spokoj, pa ovdje se osjećamo tako je, evo imaš prilike u danu da osjetiš, ali imamo neku malu našu komunu, ima tu još petnaest i dvadesetak ljudi koji žive ful ovdje, koji su isto iz grada otišli da pronađu neki svoj mir, ima tu dosta djece, dosta šetamo, zimi skijamo svaki dan, tako da totalno je drugačiji ritam života, budite bude ti dosadno ponekad što je jako važno, ima vremena i za čitanje i za onako neki drugi vid zabave, edukacije, tako da eto za sad stvarno se vidimo i ja više sebe u gradu Nebeograd nego bilo kom većem stvarno ne vidim, bolako je, sve dalje od grada."
0:05:40,0:05:45,"A i hobije imaš malo čudne ljetne jel tako, daj nam malo reci o tome."
