Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:03,"Hend, Hend, nikakav bolaz!"
0:00:04,0:00:11,"Hend, Hend, samo lekcija, ja sam put, spodnji put, stoj prvi kamavrata, jer sam šampion neuspjeha prvaka."
0:01:54,0:01:57,Znači broj jedan je top emisija.
0:01:58,0:02:11,"Znači emisija je dobra za djecu, znači ovo je sve pokrenuo Zdravlje, sve, to je dio sportskih igara mladi, znači za mlade izvanredno, za djecu kao svojevrsna lektira."
0:02:12,0:03:01,"Znači s druge strane je dobra za navijače, dobra je za sportaše, dobra je i meni u mom poslu kao treneri, dobra je za djecu i za roditelje da vidi što je jedan rakunski igrač ili funkcioner mora proći u svom razvijanju i da se vidi da nije, da nije, ne da nije nužno tako nego da su rijetki slučajevi gdje sve ide po nekakvom planu bezbolno, bez poteškoća problema, da jednostavno se vidi da je ona stara latinska peraspera adastra, znači trnjem do zvijezda, da je to, da to nije mit, da to nije samo legenda nego da je to u biti najveća istina."
0:03:02,0:03:11,I u principu da čak što više da je što je uspješniji čovjek da je više poraza i više poteškoća prošao.
0:03:11,0:03:22,"I upravo su one te, one nisu ugodne da se razumijemo, ali one su te ako se izvučeš iz njih koje kuju velikane i šampione."
0:03:23,0:03:42,"Sve do jednog, zdrave kojim je veliki prijatelj i koji me zamolio da mu uskočim u par emisija koje naziva specijalima, teško mi ga je bilo odbit, trećina vremena sad trenutno."
0:03:43,0:03:49,"I četvrto, jako bitno je to što je i meni ovo veliki izazov, ja ne znam kako ću ovo raditi."
0:03:50,0:04:04,S druge strane će biti sportski velikani gdje je i meni izuzetno zadovoljstvo i prilika s njima pričati i pitati ih neke stvari i zainteresirati ih za neke stvari da se otvore.
0:04:13,0:04:18,"on je dakle iz moje branše, on je igrač koji je postao trener."
0:04:19,0:04:28,"To u čemu on radi, to nije napravio nitko u sportu ima sportom na vrhunskom nivou, ja ne vjerujem da će nitko to ponoviti."
0:04:30,0:04:44,"Dakle on se ekspresno, kad je krenuo oko mladog trenerja, on se ekspresno, to će povrha i ostao na njemu nevjerojatno dugo i po tome je on jedinstven."
0:04:44,0:04:49,"Ima tu još jedna privatna stvar, znači mi smo, to je bilo dvije tisuće četrnaest 2014."
0:04:50,0:04:51,kadrili smo u istom gradu.
0:04:52,0:04:59,"On je bio trener Fener, Fener Bačća, ja sam trenirao Bešikdaš."
0:04:59,0:05:12,"I kako imamo zajedničke prijatelje, do mene su dolazili, oni su nas pokušavali spojiti za kavu, razgovor, večeru, šta zna i naravno da sam to htio."
0:05:13,0:05:23,"Međutim, znaš kako to često bio, a kad živiš u istom gradu, sutra ću, pa utakmica, pa ovo, pa sljedeći tjedan i paf, paf i godinu dana proleti."
0:05:23,0:05:24,Ja odem u London.
0:05:28,0:05:31,"I to mi je jedna od onih malih, velikih stvari."
0:05:33,0:05:36,I sam se ja često sebe zamjerio zašto.
0:05:37,0:05:38,Kako smo onda napravili to godinu dana?
0:05:39,0:05:40,Godinu dana.
0:05:41,0:05:42,"Evo, dragi Bože, sad vidim."
0:05:44,0:05:46,Sad mi je došla prilika i nešto da ne napravim.
0:05:47,0:05:48,Je li ne iskoristiti.
0:06:00,0:06:07,"Željko, svima nama, naravno i meni osobno iznimno je zadovoljstvo ugostiti te."
0:06:08,0:06:21,"Znam za količinu obaveza, nedostatak vremena, utakmice, pripreme i što svaka od njih nosi sa sobom i stvarno svima cijele ekipe od srca zahvaljujem što si odvojio vremena biti s nama."
0:06:22,0:06:35,"Najprije kako si zadovoljan sa trenutnom situacijom u kojoj partizan ide dobro, hvala Bogu, u kojoj partizan dočekuje sad ovaj ne rasplet, ali hvatanje pozicije, jako bitan dio sezone."
0:06:37,0:06:43,"Da, pa hvala od tebi što imam i zadovoljstvo i veoma mi je drago da razgovaram s tobom."
0:06:44,0:07:00,"Pošto si ti moja struka, pošto smo mi treneri i naravno netko tko apsolutno razumije, a ovaj trenutak sad je trenutak koji je veoma bitan za nas zato što sam probao igrača objasniti da maltežana svaka utakmica nam je kao finale."
0:07:01,0:07:08,"Jedini način da nastavimo da budemo konkurentni i u Euroligi i u ABLI je upravo taj, da svaku novu utakmicu živimo kao finale."
0:07:09,0:07:16,"Na neki način presija, ali s druge strane zadovoljstvo što radiš ono što najbolje znaš i što najbolje umiješ da radiš."
0:07:17,0:07:18,"Točno, bravo."
0:07:18,0:07:18,Znaš šta?
0:07:21,0:07:28,Pripremajući se za ovaj razgovor sam primijetio da mi je to i lako istovremeno i teško.
0:07:29,0:07:47,"Lako jer si čest gost, otvoren si, spreman na razgovor, često si gost u studijima, u studijima, jel to podcast, jel to seminar, jel to filmovi seriji, ali dakle ima puno materijala o tebi sa izvanrednim temama, pitanjima, dubokim odgovorima i sve je to super."
0:07:48,0:07:56,es druge strane strane sve je već rečeno i vrlo je teško naći nešto što nije rečeno o tebi.
