Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:28,0:00:34,"Dobro vam večer, cijenjene gledateljice i gledatelji Laudato televizije i slušatelji bitno-net podcasta."
0:00:34,0:00:40,"Moje ime je Anto Mikić, a kako se ova današnja epizoda našeg podcasta emitira na blagdan sv."
0:00:40,0:00:46,"Franje Astiškog, onda sam ja u goste pozvao jednog Franjevca iako ne izgleda kao Franjevac, ne nosi habit."
0:00:47,0:01:04,"Naime, moj je večerašnji gost Zoran Milić, član je Franjevačkog svjetovnog reda, dakle one grane Franjevaštva koja živi u svijetu, ne živi u samostanu, nije zaređen u onom klasičnom smislu na kojega pomislimo kad govorimo o Franjevcima."
0:01:04,0:01:11,"Pa evo Zorane, dobrodošao u naš podcast, ne znam, možda da te Franjevačkim pozdravom pozdravim, miri dobro."
0:01:12,0:01:13,"Hvala lijepo, miri dobro."
0:01:14,0:01:18,Ja sam se Zorana sjetio upravo u kontekstu današnjega blagdana.
0:01:19,0:01:57,"Naime, kako sam bio novinar i dosta dugo pratim i ta crkvena i društvena zbivanja, onda se sjećam da sam ga još prije tamo petnaestak i ne znam točno koliko godina znao viđati u zanimljivim društvenim inicijativama, borio se i zauzimao oko nekih tema koje je smatrao važnim i koje je i franjevački svjetovni red u to vrijeme smatrao važnim jer je institucionalno ulazio u suradnju s nekim drugim aktivistima pa se borio za različite ekološke, društvene i političke ciljeve u onom širem smislu kada je o politici govorimo, kada ne govorimo o stranačkome."
0:01:58,0:02:14,Pa samo da evo odlučio sam jednostavno večerašnju emisiju posvetiti temi odnosa franjevaštva odnosno utjecaja franjevaštva na društveni angažman jednog čovjeka kojemu franjevaštvo u životu nešto ili puno znači.
0:02:14,0:02:25,"Pa za početak Zorane, kad si se ti uopće susreo s tim franjevaštvom, koji su bili uopće tvoji motivi ulaska u franjevački svjetovni red, možeš se malo prisjetiti tih početaka?"
0:02:26,0:03:10,"Da, bio sam puno mlađi, nekako je to bilo vrijeme duhovne gladi ako mogu tako reći, tražio sam nešto više i sasvim slučajno sam došao do Franjevačke crkve i nekako me to privuklo i upoznao sam se sa svetim Franjom, vidio sam da postoji jedan Franjevački svjetovni red i meni je to odgovaralo, to je nešto što sam ja tražio, dakle sam naziv Franjevački svjetovni red obuhvaća sve ono što je meni trebalo, dakle da je to Franjevačka duhovnost koja mi može dati i u kojoj ja mogu živjeti Evanđelje upravo na način svetoga Franje."
0:03:11,0:03:16,"da je red, da pripadam Crkvi i da je svjetovno."
0:03:18,0:03:23,"Sve te tri dimenzije su mi jednako važne, dakle jedna bez druge ne ide."
0:03:23,0:03:38,"I nekako kada sam ovaj nekako bio u tom mladenačkom žaru htio sam puno više, počeo sam otkrivati svo bogatstvo što Crkva nudi iz svojih riznica da tako kažem."
0:03:39,0:03:57,"Ono što je mene najviše oduševljavalo to je dakle prvenstveno pravila i konstitucije koje je naglašavalo dakle prvo tu dimenziju otvorenosti prema svijetu, radničko pitanje, okoliš, to je već sve ugrađeno i to je nekako proizašlo iz II."
0:03:57,0:03:59,Vatikanskog koncila.
0:04:00,0:04:21,"I nekako šireći te neke svoje spoznaje, upoznao sam se sa socijalnim navokom Crkve što je mene oduševilo, ja sam inače radničko dijete iz radničke obitelji, taj senzibilitet za radničko pitanje je nekako uvijek u meni prisutno i ja sam tu sve našao, sve što mi je trebalo."
0:04:22,0:04:33,"I povezano s tom franjevačkom, duhovno franjevačkom otvorenošću mislim da sam se time sve zaokružio, tu sam se našao i tu sam od samog početka nisam imao nikakve dileme."
0:04:33,0:04:42,"A o kojim to godinama govorimo, kad je to sa skupom bilo, tko su tad bili franjevci ovi samostanski s kojima si se u to vrijeme susreo na kaptolu i koji su bili?"
0:04:42,0:05:25,"Tada je bio razvijezan Linić, onda je on privukao mnoge one koji su isto bili duhovno gladni i on je na najbolji mogući način privukao, dakle on je navijestio Evanđelje onako kako je upravo na jedan franjevački način jednostavan i krenuo sam na Teološki institut za kulturu laika, tu sam isto dobio jedno znanje koje je meni bilo potrebno, ali sad taj duh zajedništva, duh bratstva, taj franjevački duh, ne mogu sad tu izdvojiti nekoga posebnog, to su članovi trećeg reda, nekad se tako zvalo, koji su starije generacije, koji su to na neki način očuvali taj duh."
0:05:26,0:05:29,I ja sam se evo tu našao i zadovoljan sam.
0:05:33,0:05:45,To je bilo devedeset sedam godine devedeset dakle ipak dobro i sad iz tog tvojeg iskustva i života i suživota i djelovanja unutar franjevačkog svjetonog reda.
0:05:46,0:05:57,"Što bi ti rekao, što je to ono specifično što franjevaštvo može iz te riznice kako si spomenuo izvući i dati današnjoj crkvi, današnjemu društvu?"
0:05:58,0:06:10,"Ima li iz tvog barem iskustva i onoga onako kako ti to razumiješ, franjevaštvo baš nešto specifično što je baš nužno i potrebno i aktualno u današnjem trenutku?"
0:06:13,0:06:20,"Ja mislim prije svega blizina franjevaca svakodnevnom životu, onom neposrednom životu."
0:06:22,0:06:44,"Dakle, Franjici su živjeli svoju duhovnost, ali oni nisu to odvajali od svijeta u kojem su živjeli, dakle njima je to bilo bitno, dakle to nije bio neki duhovni konformizam da se netko zatvori u neku svoju zajednicu nego jednostavno otvorenost prema stvarnosti koju su živjeli, to je bilo nekako kroz cijelu povijest."
