Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:28,0:00:31,"Dobar večer, poštovani gledatelji, u još jednom podcastu BitnoNeta."
0:00:32,0:00:38,"Naša večerašnja gošća je teologinja, kolumnistica BitnoNeta i majka Petra Osinova, Anja Mihanović."
0:00:39,0:00:40,"Anja, dobrodošla."
0:00:40,0:00:42,Hvala i hvala na pozivu.
0:00:42,0:00:46,"Evo, možda odmah krenemo s pitanjem vezanim za izazove majčinstva."
0:00:47,0:00:56,Mislim da je jasno da majke koje danas odgajaju djecu imaju neke drugačije izazove koje su imale možda naše majke koje su prije trideset ili dvadesettak godina nas odgajale.
0:00:56,0:00:59,"Pa evo, koji su danas specifični izazovi za jednu majku?"
0:01:01,0:01:03,"Evo, danas je drugačije vrijeme."
0:01:04,0:01:06,Ja bih rekla da je teško vrijeme.
0:01:07,0:01:11,Oni koji su starije generacije reći će i prije je bilo teško vrijeme.
0:01:12,0:01:14,"Je, vjerujem i razumijem i cijenim to."
0:01:16,0:01:56,"Prije su bile neke bile nekako drugačije vrste teškoće, možda su žene često i morale ne znam djecu robicu puno više prat, morali su raditi u poljima, morali su više gledati kako to sve uskladiti sa tim načinom života koji je više vladao prije, a danas evo recimo život u gradu ali i negdje drugdje nosi vrlo, vrlo različite teškoće i ja bih rekla da ono s čim se susrećemo danas, evo nitko nije mogao zamisliti prije, a ja se često pitam i s čime će se susretat moja djeca."
0:01:58,0:02:25,"Rekla bi da vlada jedan baš rat za duše naše djece, o tom ću nešto poslije, a ono onako prvotno kad sam ja bila mala sjećam se, ja sam mogla izaći na ulicu, mogli su nas roditelji pustiti na bicikl pa mi smo na ljetovanjima gdje smo bili od deset sati do dva ujutro se igrale lovice, skrivača, tajni plan jedna igra, to je bilo prekrasno."
0:02:25,0:02:49,"Znači to su bile igre, mi nismo tad još imali mobitela, mi smo se znali igrati, zabavljati, pričati, Danas kad bih ja svom djetetu od devet godina rekla da se igra lovice on bi gledao mene, stvarno bi me gledao čudno zato što on zna za puno nešto više, zna za puno dobrih igrica po njemu, više toga očekuje."
0:02:51,0:03:13,"Kad danas pustiš dijete na neko slobodno vrijeme, zaista se kao roditelj često pitaš pa i da on nema mobitel, vrlo lako će i da ga imaju jedan od petero recimo djece u razredu ili u parkiću, on jednim klikom može doć na bilo koje mjesto svijeta."
0:03:14,0:03:16,Jedan klik je dovoljan da bilo šta pogleda.
0:03:18,0:04:01,"Jednu prostu riječ koju je čuo kad ju klikne, evo mi roditelji stvarno na tim jako strahujemo i brinemo i rekla bi da je baš je došlo jedno vrijeme kad toliko se od nas traži i mi se trebamo tek u tome educirati ali i trebamo zaista onako zasukati rukave i ne prepustiti više spontanosti i taj odgoj i taj život s djecom nego čak onako u jednu mjeru stvarati jedne situacije, dosta ih organizirati i stvarno stvoriti situacije u kojima ćemo i razgovarati s tom djecom i pričat."
0:04:02,0:04:16,"Danas oni sadržaji koji se nude njima, bilo na ekranu, bilo na mobitelu, vrlo često znaju biti tako agresivni da mnoga djeca ne uspiju to procesuirati."
0:04:18,0:04:48,"Ono što se danas mi se čini da se stvara, da se sa svim tim medijima i sa evo i crtićima koji postaju sve na strani, želi djecu onako na jedan način šokirati i sablaznit, da im se nekako kao da im se ubije duša, da im se ubije jedna dječja nevinost i onda zapravo kad se to ubije oni su kao smrznuti i s njima se onda lako može manipulirati."
0:04:48,0:04:59,I evo tu vidim taj jedan problem kako izaći s tim na kraj i mislim da nas je tu stvarno onako dobro nasamarilo.
0:05:00,0:05:23,"Evo ja sam zaista mišljena da se sad trebamo boriti za svaku sekundu vremena provedenog s našim djecom, da je to jedna baza, čak evo i u škole kad idu, sve više se želi odmah ih institucionalizirati od malih nogu, zapravo sve više se gubi tog vremena provedenog u kući, a to je ipak jedna baza."
0:05:24,0:05:32,"I baš sam neki dan gledala naslovnu stranicu jedne škole, uopće nije bitno koja je, nego to je stvarnost u kojoj živimo."
0:05:32,0:05:38,Jednim klikom ti si mogao doći na ne znam neku lekciju o spolu i rodu.
0:05:38,0:05:45,"Ja se pitam recimo za jednog dječaka u šest sedam razredu kad on to čita, pa to njega totalno oblikuje."
0:05:46,0:05:56,"Ono, danas se podastre kao normalno, čak i u našim institucijama nešto što je evo totalno nenormalno."
0:05:56,0:06:10,"Da, evo iz ovoga što si rekla čini mi se kao da je prije bilo puno lakše izvana zaštititi djecu, dok danas je to praktički nemoguće jer kao što si rekla čak i da tvoje dijete nema neki pametni telefon, drugo dijete može imati, a na njemu mogu biti razno razni sadržaj."
0:06:10,0:06:23,"Tako da, čini mi se da je onda razvoj tog unutarnjeg osjećaja odgovornosti, slobode i vrline danas puno, a možda ne važnije, ali puno zahtjevnije, jel puno više naglaska je na tom prostoru."
0:06:24,0:06:37,"Sada, kako regulirati onda uopće s jedne strane slobodu djeteta koje želi stalno nešto novo, želi nešto što i njegovi možda vršnjaci imaju, a s druge strane opet da ga kao roditelj uspijevaš kontrolirati i oblikovati u tome što je dobro."
