Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:22,0:00:24,"Ekipa je dobar dan, dobrodošli u čuvanjak broj 8."
0:00:25,0:00:36,"Danas je s nama naša sugrađanka Kaločanka, za koju ja kažem da živi naš ovaj lijepi grad punim plućima, punom dušom i tijelom, mora na rožnjak."
0:00:37,0:00:38,Kad je dietro.
0:00:39,0:00:40,"Dobro, dobro."
0:00:40,0:00:44,"Ne trebaju posebno predstavljati, ali mora se napomenuti."
0:00:44,0:00:50,"Vlasnica paviljona Kastler, jednog od simbola nezabilaznog mjesta u gradu Karlovcu."
0:00:50,0:00:54,"Što turistički, što onaj koji budi sjećanja, uspomene."
0:00:54,0:00:57,Uspišna prodavateljica magle i to karlovačke.
0:00:57,0:01:00,"Znači, imamo živi dokaz da se i magla može prodavati."
0:01:00,0:01:01,A lijepo da bude.
0:01:03,0:01:04,I da se još i zaraditi nešto.
0:01:05,0:01:11,"Autorica ove dvije knjige, jedna se zove Riječnik karlovačkog korbenog plemena i drugo su dobri duhovi grada."
0:01:13,0:01:15,Pišeš na visit blog.
0:01:51,0:01:54,"Ali, gleda, što teče u Kačemu."
0:01:56,0:01:58,"Meni je dosta kasno da raznoljubim biti paviljon, kasno što sam ja."
0:01:59,0:02:01,Jer to ja svakako živim.
0:02:01,0:02:03,"To si rekao, i punim plućima."
0:02:03,0:02:04,"Osjećaj, neće to."
0:02:05,0:02:11,"I to mi je ono, strast u životu, i od koje se ne da živiti, samo da to rezumiramo."
0:02:13,0:02:15,"Tako da imam sve nekako posliječno, radim još."
0:02:16,0:02:16,"A, jasno."
0:02:16,0:02:17,"Raspolovim se, naravno."
0:02:18,0:02:26,"Ali, većinu vremena trošim baš na paviljon i na slišanje raznoraznih gluposti."
0:02:27,0:02:27,"Dobro, dobro."
0:02:28,0:02:29,"Mislim, tako i malo."
0:02:31,0:02:33,Karlova je naravno uvijek tema.
0:02:33,0:02:41,"Što god, bez obzira da li slažem izloge, da li pišem, da li smišljam suvenire ili nešto, Karlova je uvijek tu."
0:02:42,0:02:45,I tako je nastalo u principu i Karlovačka magla.
0:02:46,0:02:47,Kad smo legendarni Nevenius.
0:02:49,0:02:49,Pozdrav.
0:02:50,0:02:51,"Neven, boh nevene."
0:02:52,0:02:53,Ne mriže ga za obitelj.
0:02:54,0:02:55,"Ne mriže, ne mriže."
0:02:55,0:02:56,"Ono koliko se trudiš, ne mriže."
0:02:57,0:03:05,"Znači, meni se ono prije nego što su ta magla krenula, rodila se u mojoj glavi i cijelo vrijeme sam razmišljala kako bi bilo dobro."
0:03:06,0:03:07,da prodaje maglo.
0:03:08,0:03:10,Čula sam da se dobro živio od toga.
0:03:12,0:03:17,"I rekao, baš bi bilo to, to mi je ono životno željelo da prodaje maglo."
0:03:17,0:03:20,I nešto takvim pričam ja sa Nevenom to.
0:03:20,0:03:22,"I on je li, dobro, fu i ode."
0:03:24,0:03:30,"I ne dobro, sad ja ono na sajmu s ovim poslom, evo njega za ne znam, sat vremena, evo."
0:03:31,0:03:34,"I donosi etiketu, razmišljamo šta će biti unutra."
0:03:35,0:03:42,"Uglavnom, finiširali smo dizajn u roku, koliko god, vrlo, vrlo kratko i efikasno."
0:03:43,0:03:50,"Tako da je taj malac genijalac, mislio dizajn magle, a evo ja već godinama prodajem."
0:03:51,0:03:53,"Kao što se vidi, i oni smo se silno obogatili na tome."
0:03:54,0:03:56,Probabilno s jedino na svijetu.
0:03:56,0:03:57,Gotovo je maglo.
0:03:57,0:04:07,"A ima pokušaja, ima nekakvih pokušaja tipa u Londonu je bilo, kraslite će svjetske scene, oni će prodaju."
0:04:08,0:04:09,Ali London je malo ekološki.
0:04:09,0:04:12,"Pa da, to bez veze, to je ono ono što mislim."
0:04:13,0:04:14,Nič od njih.
0:04:14,0:04:14,Nič od njih.
0:04:15,0:04:26,"Oni tu imaju u konzervama nešto i tako, ali naša čista ekološka., gluten-free, sugar-free, sve što kuže."
0:04:27,0:04:40,"I na kraju magla je napravljena takva iz organizacije, kao u sklopu gerilom marketinga da se malo poveća vidljivost ispavljana Kastler i Karolca na toj turističkoj sceni svijeta."
0:04:41,0:04:44,I svi mediji su prenesli to.
0:04:45,0:04:49,"Ja sam gostovala na radiju Podgorici ili ne znam, možda u Bogorici."
0:04:49,0:04:52,"Da, ono, baš cijeli region kako je."
0:04:53,0:04:58,A i onda je došao ili i lik iz BBC-a.
