Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:31,"Ekipa, dobar dan, dobrodošli u Čušpe s broj 15, mali jubilarni."
0:00:31,0:00:34,"Današnji gost je, njega je dosta teško predstaviti."
0:00:34,0:00:37,"Oje, šta je osim što se zove Tomislav Beranić?"
0:00:38,0:00:41,"E, čovjek je matematičar, pa dobranac, jedriličar."
0:00:42,0:00:50,"U zrelim godinama postao je knjižanik, član književnog kluba Karlovac, još mnogo toga, ali o tome najbolje Tomislave ćete nam vi reć."
0:00:50,0:00:51,"Pa evo, dobro nam došli, izvolite."
0:00:51,0:00:56,"E, hvala i bolje vas našao ovdje kod nas u Karlovcu."
0:00:56,0:00:58,Sad kako sam se udeo i ja sam ovaj Karlovčan.
0:00:58,0:01:00,"Pa naravno, tamo od kud je žena?"
0:01:00,0:01:04,"Da, da, od citi, tako sam ja postao sedamičan, da došao u Krnjak."
0:01:05,0:01:09,"Zaboravili ste taj izraz, ali dobro, evo, da, evo ja sam ovaj."
0:01:09,0:01:13,"rođen u Vukovaru, sada već u prošlom stoljeću, naravno, 65."
0:01:13,0:01:14,godine.
0:01:14,0:01:33,"Tamo sam završio i gimnaziju matematičku, otišao kasnije kako to ide na vojni rok, ne, odsluženje, onda na fakultet, studirao matematiku i promet u Zagrebu, diplomirao na prometu, matematiku nisam diplomirao, ali sam već na faktu počeo programirati i to me odredilo kao životni put."
0:01:35,0:02:21,"Radio sam odmah još kao student za Švicarsku, za jednu trgovačku tvrtku u Bazelu i tako ono kako sam često putovao, onda sam na kraju prihvatio tu njihovu ponudu da tamo ostanem trajno, pa smo supruga i ja, tad još nije bila supruga Cura, otišli smo u Bazel i tamo smo živjeli četiri godine, onda s tjecajem okolnosti smo prešli u Njemačku, Freiburg, to je malo sjevernije, šezdeset km i tamo smo bili još četiri pet godina, sve skupa negdje desetak godina, nešto malo manje i onda iz obiteljskih razloga, meni je umro otac, njezin je djed i onda smo mi došli ovdje u Krnjak, tu je Bibana slijedila kuću od djeda i tako smo mi postali krnjačkovci."
0:02:22,0:02:23,Kako bi rekli moji Slavonci?
0:02:23,0:02:24,Krnjačkovci.
0:02:24,0:02:28,A kako je ku Slavonac tu na Brodovitom Kordunu?
