Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:30,"Ekipa pozdrav, dobrodošli u Čušpaj 22."
0:00:30,0:00:33,Danas je s nama ovo vruće popodne.
0:00:34,0:00:40,"Škarlovački, škarlovački dobar duh, lik kojeg ja izredno cijenim, znam ga od malih nogu, ali nismo prijateljici, smo pozdravljeni."
0:00:40,0:00:40,Prijatelji smo poznati.
0:00:40,0:00:41,Pozdravljajte se.
0:00:41,0:00:41,"Da, dobro."
0:00:42,0:00:46,"Darko Lisac, novinar, sportaš, entuzijasta."
0:00:47,0:00:49,"Prije svega, dečko koji jako, jako voli Karlovac."
0:00:49,0:00:50,Više gledatelj sporta.
0:00:50,0:00:53,Aktyveni gledatelj sporta.
0:00:53,0:00:54,"Da, aktivni gledatelj sporta."
0:00:55,0:00:58,"Dečko koji jako, jako voli Karlovac, kojim se u nekim stvarima čak i divim."
0:00:58,0:01:00,"Nije ulačen, nego jednostavno."
0:01:00,0:01:02,Ali ja ne uzimam njegovo vrijeme.
0:01:02,0:01:04,"Darko, bolje ti nešto reci samo sebi, pa idemo mi."
0:01:04,0:01:06,"Po ništa, preko si sam."
0:01:06,0:01:06,Šta nema tu sada?
0:01:07,0:01:15,"Uglavnom, novinar postao slučajno preko ljeta kad je tjednik tražio suradnike."
0:01:15,0:01:17,"Mislio se vratiti na faks, nikad se nisam vratio."
0:01:18,0:01:19,"Otišao je, nije rekao zbor."
0:01:20,0:01:21,"Jednik večernika, portal."
0:01:24,0:01:25,Cijeli život u novinarstvu.
0:01:26,0:01:37,"A sport je uvijek bio nekako, samo od uvijek, još kao klinec, radio, zapisivao si rezultate, sve žive i tako, pratio sve moguće sportove."
0:01:38,0:01:41,"Tako se nastavilo, prvo i svjetski, pa doloko."
0:01:41,0:01:45,Plus one tvoje super priče koje si znao nas razveseliti.
0:01:45,0:01:47,"Da, malo baciti u Sjetu."
0:01:48,0:01:48,Da.
0:01:48,0:01:50,Kako danas to i s tim pišeš?
0:01:50,0:01:58,"Pa zapravo manje, manje je ono, jer em, sam dosta napisao, puno radio."
0:01:58,0:02:02,"Puno radim, zapravo sad puno više novinarstvo se onako smanjuje."
0:02:03,0:02:07,"Tako da sve redakcije su sve manje i manje, puno pišem."
0:02:07,0:02:10,"Pa onda kad završim s pisanjem, ne da mi se još pisati."
0:02:10,0:02:12,"Da, malo mozak napaš."
0:02:12,0:02:13,"Da, puno treba."
0:02:14,0:02:19,"Imam nekih ideja u glavi za možda nešto dugometražno, ali nikako početi to."
0:02:19,0:02:20,Tipa Steven King.
0:02:20,0:02:21,"Da, da, da."
0:02:22,0:02:22,Stimulus.
0:02:22,0:02:36,"Biti neka ideja danas je bila da se Darko, stvari više će to Darko nego ja napravimo neki rezume Karlo Očuka, možemo i hrvatskog sporta, bliži se ovo, evo možda Evropsko prvenstvo, vidiš taman na dan otvaranja ili dan prije, pazi."
0:02:37,0:02:38,Češić.
0:02:38,0:02:39,"Aha, to je danas."
0:02:41,0:02:42,13.
0:02:42,0:02:42,počinjen.
0:02:43,0:02:44,"Pa, nekako ono."
0:02:45,0:02:48,"Darko, očimo od najboljeg."
0:02:49,0:02:51,"Pa, ne, njega ćemo na kraju, znaš, ali."
0:02:51,0:02:53,Karlošskog sporta u globalu.
0:02:53,0:02:54,"Šta mi, kakve smo se s njim svažili?"
0:02:55,0:02:56,"Aha, prošla sezona."
0:02:56,0:02:57,"Može, prošla sezona."
0:02:58,0:02:58,"Da, dobro."
0:02:59,0:03:00,Sezona je na kraju završila super.
0:03:02,0:03:12,"Od ovih, recimo, nekako tri veća kluba koji postoje, bezbolaši su prvaci hrvatske pobjednici Kupa, u komentačice su ostali u Premier ligi, odbikaši se opet izborili u Evropi."
0:03:13,0:03:15,"Da, sad s te strane to je odlično."
0:03:16,0:03:19,"Od onog što su vjerojatno ljudi očekivali, nogometnije."
0:03:20,0:03:22,"Uspio u ono, mada ja tu nisam osobno."
0:03:23,0:03:24,Jesam razočaran na kraju.
0:03:25,0:03:25,Da.
0:03:25,0:03:29,"Ali, ono prije sezone, da mi je neko rekao ne, vjerojatno."
0:03:30,0:03:31,"Znači, očistili bi svi."
0:03:31,0:03:35,"Pa, da, bilo je dosta ono i čak i iz logikih prognoza da će ispasti."
0:03:36,0:03:40,"Ja isto sam ono u biti, da mi je neko pitao prije sezone, rekao bi ono."
0:03:40,0:03:52,"Glavno je da budu mirno, stabilno, negdje u sredini, da ne bude nekakva borba za ostanak, a na kraju ispadne ono bez veze, da zapravo ispadneš na malim utakmicama, šta je ono sa 12 bodova."
0:03:52,0:03:53,"Staro pravilo, da, ono."
0:03:53,0:03:56,"Znači, tri najlošijeija kluba u liigi."
0:03:56,0:03:57,12 bodova smo skoro prošli.
0:03:57,0:03:58,6 od 18.
0:03:58,0:04:00,Prošli smo 6 od 18.
0:04:00,0:04:02,prošli smo 3 najgore kluba u liigi.
0:04:04,0:04:09,Da su ih od 12 od 18 bili drugi i išli na kvalifikacije.
0:04:09,0:04:11,Ono baš smo se i istreli prije početka.
0:04:12,0:04:14,Najviše smo se tiaji sretali na stadionu.
0:04:15,0:04:17,Nismo znali što bi od lige očekivali.
0:04:18,0:04:20,"Krenulo je nekako nas, fino, pa malo poraza."
0:04:22,0:04:24,Ali u stabilnoj sekundu je.
0:04:25,0:04:27,"Poznavali smo ligu, u liigi je poznavala nas."
0:04:29,0:04:34,"Ne, mislim da je to prva sezona, ne možeš očekivati da ćeš u prvoj."
0:04:34,0:04:35,Možeš očekivati da ćeš u prvoj sezoni proći dalje.
0:04:35,0:04:36,Sad je jedino pitanje šta će se događati dalje.
0:04:37,0:04:38,"Da, da."
0:04:38,0:04:40,Kako će ekipa disati?
0:04:40,0:04:46,"Ako će se ozbiljno raditi u klubu, ako će ostati jednako kvalitetna, odnosno još malo kvalitetnija ekipa."
0:04:46,0:04:47,Možda malo kvalitetnija.
0:04:48,0:04:51,"Da, onda nije nikakav problem."
0:04:52,0:04:53,Sunam stožerni igrači ipak.
0:04:53,0:05:03,"Sada vidite da je tu bilo raznih turbulencija u prošlosti, pa ono normalno, svi se vjerojatno pribojavaju da će sad sljedeće godine biti borba za ostanak ili da će to biti puno slabija ekipa."
