Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:32,Dobrodošli u dvadeset i peti mali jubilejan čušpjez i normalno malo je specijalan.
0:00:33,0:00:36,Danas opet imamo dva gosta za Viktora.
0:00:36,0:00:39,"je meni lako, ali danas je s nama i Harisov Jastreb, imenovan."
0:00:41,0:00:41,James.
0:00:41,0:00:42,A Bond.
0:00:42,0:00:42,"Bond, James."
0:00:43,0:00:43,Double Ew.
0:00:45,0:00:45,"Ali, evo."
0:00:46,0:00:47,"Viktor Šegar, Sokolar."
0:00:47,0:00:49,"Je, je, Viktor Šegar, Sokolar Karlović."
0:00:50,0:00:50,Karlović.
0:00:50,0:00:51,"Da, da."
0:00:52,0:00:54,"Karlović, Sokolar na godinu u 12."
0:00:54,0:00:56,mjesecu u Bilo 30 godina.
0:00:57,0:00:57,Od 12.
0:00:57,0:00:58,mjeseca 95.
0:00:59,0:01:05,"To je najveća strast, moja još kao klinac iz 80-ih."
0:01:05,0:01:06,A reći ću ti još nešto i o tome.
0:01:08,0:01:10,"Po ovom drugom, manje više sve znaš, kad ti se predstavljam."
0:01:11,0:01:22,"To je inače moja strast, čak i škola moja vezana završio, Šumarski faks, kasnije doktorirao na jednoj vrsti koja je bliska u sokolarstvo sa aspekta divljači i tako, napisao neke knjige o tome i to je to."
0:01:23,0:01:25,Ja ću ti se prvo zahvaliti što si došao.
0:01:25,0:01:29,"Dobro, dogovarali smo se polugodi, ali bilo je razloga opardanih."
0:01:29,0:01:31,I šta sam ispunio želju pa došao sa.
0:01:32,0:01:35,nije sokola ali je nervozan.
0:01:35,0:01:40,"U stvari da ovako, nije nervozan, znači njemu što se tiče ovog okruženja to nije nikakav problem."
0:01:40,0:01:49,"Prije svega da ljudi znaju to nisu nikakve divlje ptice iz prirode, to je ptica iz domestificiranog selektivnog uzgoja, ptice iz prirode se ne koriste za sokolarstvo."
0:01:52,0:01:55,"Kad smo pričali o tome, možeš liš kao dufret pticu?"
0:01:57,0:01:59,I ti veži baš harisovog jastava.
0:02:02,0:02:03,Miro Petrović.
0:02:03,0:02:06,"Da, da, da sam pročitao i to me je ono iznenadilo."
0:02:07,0:02:09,"Kako smo se čuli, hajde da ti ispunimo ovaj plan."
0:02:09,0:02:14,"E, stvarno mi je bila želja zbog Miraljuba Petrovića, nekoga zna iz podcasta."
0:02:14,0:02:19,"Da, čovjek koji kaže ništa, imam psa, imam ženu, imam harisovog jastava."
0:02:19,0:02:21,"Pa, gled, ovak, kad se tiče sokolarstva."
0:02:21,0:02:25,"Kada je riječ o sokolarstvu, harisovi jastrvoji su početničke ptice."
0:02:25,0:02:25,Zašto?
0:02:25,0:02:31,"Jedine ptice u prirodi koje uhvataju jatus, one i one čovjeka kao takvog vrlo brzo prihvate."
0:02:32,0:02:35,"Međutim, s druge strane, ima jedna negativna strana u sokolarstvu."
0:02:35,0:02:41,"Sokolarstvo je po definiciji prije svega lov sa treniranom pticom grabljivicom, ne prirodnom divljačem u prirodnom okruženju."
0:02:42,0:02:46,"Kao takav je zaštićen UNESCO-om, kao UNESCO-a nema trenutačna svjetska kulturna baština."
0:02:46,0:02:50,Harisovi su toliko dobre ptice za dresuru da često puta.
0:02:51,0:02:53,"Mislim da ide jelenko, jeste sjećališ onoga?"
0:02:53,0:02:54,"Kako ne, jelenko rumenko."
0:02:57,0:02:58,"Ajde, da je došao."
0:02:58,0:02:59,"Sada će doći, da."
0:02:59,0:03:00,Popri prsanicu.
0:03:03,0:03:04,Što je to?
0:03:05,0:03:06,"Ja ću, ja neka, neka."
0:03:08,0:03:12,"I uglavnom, jako ih se lako trenira i zato čak im onda i ne daju toliko pažnje."
0:03:12,0:03:15,"Mislim da nisu vrhunske lovačke ptice, ali faka, faka tjesu."
0:03:16,0:03:18,To smo ono oko sakolarstva.
0:03:19,0:03:29,"U stvari, kad gledaš zaista ovo što smo sve napravili, došli do UNESCO-a, evo moja lenkost je napravila kompletnu aplikaciju i prijavu za Ministarstvo kulture i medija 2019."
0:03:29,0:03:29,godine.
0:03:31,0:04:06,od četvrtog do dvanaestog četvrtog dvije tisuće devetnaest je trebalo složiti sve dokaze o neprekinutoj baštini pogotovo u vrijeme juga jer je tad bilo zabranjeno kao izrek nacionalne pripadnosti mislim ono glupo nazvožka ali zašto je najbolje ne samo hrvatski imamo ekipu frendove u srbiji u bosni sve zemlje znači čim je ono kao nešto preznak nacionalna pripadnost plemstvo bilo je kao zabranjeno i to je ono što je bilo teško tad mislim u prijavi dokazati neprekinutost tradicije koja bez obzira ako ju legali u nešto prizna kao prenos.
0:04:06,0:04:18,"Međutim, bila je ekipa i to prvenstveno moj Herak iz Istre koji je potpredsjednik Hrvatskog sokolarskog kluba koji je osnovan u Karlovcu, koji je to radio i u vrijeme Jugije u Legali, kasnije Milio Menđušić iz Šibenika koji je 1995."
0:04:18,0:04:26,"otvara centar, ja sam tamo prvi polaznik i od tada iz Karlovca kreće sve ostalo do osnutka kluba 2007."
0:04:26,0:04:29,"Hrvatskog sokolarskog kluba, uzoru na Britanski sokolarski klub."
0:04:29,0:04:31,Ja to vidim da se furate malo ovoga.
0:04:31,0:04:34,"Evo ako ne da se furamo, dobro si to rekao."
0:04:34,0:04:36,Kao prvi susret sokolarski 1997.
0:04:36,0:04:40,"u Jastrebarskom Falkoru, ja sam sudjelovao u organizaciji, imao sam nepunih 18 godina."
0:04:41,0:04:52,"Najveća pomoć je došla upravo od engleza, jedne gospođe, nažalost, pokojne, Viktorija Norman, moja imanja kiselka, koja je pomogla da forila prvu sokolarsku opremu."
0:04:52,0:04:55,"Oni su došli, podržali taj skup, pazi, 97."
0:04:56,0:04:57,"suklonarska rukavica, ovo ono."
0:04:58,0:05:02,"Brutalna podrška je bila, prve harice je dovela u Hrvatsku, poklonila nam."
0:05:02,0:05:03,"Znači, to je bilo čudno."
0:05:03,0:05:07,I oni su čitav ovaj period hrvatskom sokolarstvu dali nemjerljivu pomoć.
0:05:07,0:05:14,"I onda uz njih tu se ubacila, znači ja sam s njima stvarno, ja sam Britiškol u Falkonry, tamo je 60-70 tisuća sokolara to je."
0:05:14,0:05:17,I kod nas je tradicija od vremena i kelta.
0:05:17,0:05:20,"Znači, se razumijemo, Hrvatsko premstvo, kraljevi, kneževi itd."
0:05:21,0:05:26,"I oni su se kasnije još ubacili, odnosno ubacili, pomogli."
0:05:26,0:05:28,Velika pomoć došla iz SAD-a.
