Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:26,0:00:29,"Ekipa pozdrav, dobrodošli u Čuškovec 29."
0:00:30,0:00:34,Današnji gost je ovaj kontroverzni Hrvoje Glasnović.
0:00:34,0:00:38,"Sam dobro rekao, znao sam za jebat ime kontroverznezni, kontroverzni."
0:00:38,0:00:39,"Ma da, malo sam te pratio."
0:00:40,0:00:45,"Osnivač kanala Apokalipto i još puno toga, a to je najbolje da nam Hrvo je sam kaže."
0:00:45,0:00:47,"Hrvo je dobrodošao, hvala što si potegnuo."
0:00:47,0:00:52,"Hvala što si pozvao, evo simpatičan si kolega iz simpatičnog mjesta studija, super."
0:00:52,0:00:54,Na vrhu zgrade smo inače.
0:00:54,0:00:54,Over the top.
0:00:55,0:00:56,Koji je kat ovo?
0:00:58,0:00:58,trinaesti.
0:01:00,0:01:05,evo pozdrav pratiteljima tvog kanala i sad ćemo malo zakuhati.
0:01:05,0:01:06,"Zakuhati, da, pravit ću."
0:01:07,0:01:09,"Vidim, da, baš, evo da, čak nije loše."
0:01:09,0:01:14,"Ko što sam i rekao, osnivač i tog kanala Apokalipto, pa da možda objasniš u kratko ljudima."
0:01:14,0:01:24,"Pa vidi ipak prvo da kažem, sad mislim ja ako počnem pričat, zavisi, ja nemam plan šta ću pričat, a ako se malo zakuhamo onda znaš možda nas neki zamrznu, a možda nas neki i zavole."
0:01:24,0:01:27,Tonac ja volim u hatere jer oni su prava reklama.
0:01:27,0:01:48,"Onda možda izgubiš neke prijatelje, možda neke dobiješ nove ali bolje itede Znaš što mi je simpatično, ja sam malo sad pogledat tvoj kanal, kao prvo Karlovac mi je, toko klinaci još znaš kad si išli na more, onda prolaziš kroz Karlovac i uvijek mi je bio simpatičan iz nekog razloga, znači iz nekog razloga, a ljudi su ga smatrali ono kad kažeš Karlovac, ma daj fuj, zašto?"
0:01:48,0:01:50,Zato što prođu krvno kolodvarodvora na toplana.
0:01:50,0:01:54,Nikad nitko nije ušao na zvijezdu i u tvoj kvart recimo na Dubovac itd.
0:01:54,0:01:56,Nitko nije vidio Koranu u Karlovcu.
0:01:57,0:01:58,"Nisam i ja, on je bio simpatičan."
0:01:59,0:02:02,"Nekakav položaj, ima nekakvu povijesnu snagu itd."
0:02:03,0:02:09,"I evo se kad smo doselili tu okolicu Karlovca, sad smo tu već znamo ulice, znamo kružne tokove itd."
0:02:09,0:02:14,I sad sam se uvjerio da sam bio u pravu da je Karlovac fantastičan grad i puno mi ideja pada na pamet.
0:02:14,0:02:20,"Kad ćemo sad pričati o ovome, onda ću ti reći što mi recimo pada što se tiče Karlovca, Karlovca na pamet."
0:02:21,0:02:24,"Nego da krenemo pitati se za kanal Apokalipto, kako je nastao?"
0:02:25,0:02:27,Sad više lagano idemo možda stvarati neprijatelje.
0:02:27,0:02:32,"Znači ono što se dogodilo prije tri godine, ono kad je bila bolest, se raširila."
0:02:32,0:02:33,Ja nisam zagrizao taj mamac.
0:02:33,0:02:35,Nisam ni tebe pitao si zagrizao ni kolegu ni ni ništa.
0:02:36,0:02:37,"Ja sam ju imao, ali nisam zagrizao."
0:02:37,0:02:38,Bilo mi nešto čudno.
0:02:38,0:02:39,"Nešto je bilo čudno, da."
0:02:39,0:02:44,"Znači to je, prvo su počeli ljudi, znaš, u skafanderima hodati po autobusima, špricati i tako dalje."
0:02:46,0:02:47,"Međutim, evo kaže se agenda, ajde."
0:02:48,0:02:51,"Ja sam se s time bavio, počeo sam se baviti od prije 20 godina."
0:02:52,0:02:54,"Znači će se, puno se njih vas zna."
0:02:54,0:02:56,"Poznat će, zašto je mikrofon da preselim?"
0:02:57,0:02:59,"Znači, to smo snimali kamerom, nikad poznato."
