Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:30,"Dobar dan, ekipa, dobrodošli u Novi Čušpjes."
0:00:30,0:00:32,Danas je neko malo specijalan dan za nas.
0:00:33,0:00:46,"Prvo što je to prvi gost koji čak i iz Zagreba potega tu kod nas u Karlovac, to je gospodin Tomislav Jonić, ugledni odvjetnik zagrebački, povjesničar, ali i kandidat za predsjednika Republike Hrvatske."
0:00:47,0:00:51,"Gospodin Jonić, hvala vam što ste došli još jednom i jeste dobro."
0:00:51,0:00:53,"Hvala vam na pozivu, pozdrav svim našim gledateljima."
0:00:54,0:00:55,"Jesam, hvala Bogu, dobro sam, ne tužim se."
0:00:56,0:00:58,"Da, tako izgleda, to nije ovo upucavanje, ali."
0:00:59,0:01:02,"Da, šta vas je nagnulo?"
0:01:02,0:01:08,"U stvari vi ste i prvi već negdje u mjesecu, u svibnju, javno rekli da kandidirate za predsjednika."
0:01:08,0:01:26,"Da, ja sam svoju kandidaturu najavio jer formalno zapravo još nitko od nas nije kandidat da biste postali formalno kandidatom za predsjednika Republike treba pričekati da vlada raspiše izbore, pa onda u roku od dvanaest dana treba prikupiti i Državno izbornom povjerenstvu predati deset tisuća pravovaljanih potpisa."
0:01:26,0:01:37,Ja sam svoju kandidaturu najavio dvadeset tri svibnja na naslovnici hrvatskoga tjednika dakle dvadeset tri svibnja je nije datum slučajan nego je rođendan oca domovine dr.
0:01:37,0:02:05,"ante starčevića s obzirom na to da sam ja pravaš hrvatska stranka prava je prva stranka u koju sam ja u kojoj sam pristupio i to je bilo šest travnja jedna tisuća devetsto devedeset godine dakle datum koji se lako pamti jer je to datum njemačkoga napada na beograd jedna tisuća devetsto četrdeset jedan godine dakle svjesno je izabran taj datum, a zašto je do te kandidature došlo, čini mi se da je zapravo jasno svakome tko prati hrvatska politička kretanja."
0:02:05,0:02:27,"Naime, čini mi se da se može kazati bez velika krzmanja, okljevanja da velika većina hrvatskog naroda osjeća da već dugi niz godina zapravo od zadnje faze života predsjednika Tuđmana kao narod i kao država klizimo nizbrdo da gubimo suverenitet, da se čitavo hrvatsko društvo rashravačuje."
0:02:28,0:03:23,"I to je ono što svakoga od nas zapravo sili na nameće nam obvezu djelovanja, dakle djelovanja u suprotnom smjeru, pokušaja da se taj smjer promijeni, da se Hrvatska vrati svojim izvornim postavkama, da to kažemo onako kako bi se mladi izrazili, a neposredni otporac je bilo dakle ono proljetošnje pačanje predsjednika Republike aktualnog Zorana Milanovića u izborni proces, dakle u saborske izbore, kad je, kao što znademo, dakle Milanović pokušao zloupotrijebiti svoj položaj, odnosno izravno prekršiti Ustav kako bi na vlast doveo SDP i možemo., dakle koaliciju ljevih stranaka čemu su nažalost ako se vratimo, dakle bile spremne asistirati i neke desne stranke, dakle koje su pokazivale spremno sudjelovati u tome, u tome aranžmanu koji se sretno nije ostvario."
0:03:24,0:04:41,"To je ono što je dakle kod mene ovaj bila kap u punu čašu zbog čega sam ja odlučio se, zbog čega sam se odlučio kandidirati i ustrajem dakle u tome do sada i sad sam uz gospođu Selah Raspudić jedini kandidat koji nema, koji nije stranački kandidat, dakle koji je, koji je neovisni kandidat, koji, kojim ni jedna jedina stranka do sada nije platila niti će platiti ni jednog jedinog centa troškova predizborne kampanje jer ja smatram da predsjednik Republike Hrvatske koji je prema Ustavu nestranačka osoba, dakle stupanjem na predsjedničku dužnost mora napustiti članstvo u stranci, čini mi se da je to zapravo licemjerna jedna pozicija i jedna licemjerna ustavna odredba jer kako očekivati od čovjeka koji je bio predsjednik jedne stranke kao što je evo recimo predsjednik Milanović bio predsjednik esdepea očekivati da on on onog trenutka kad stupi na čelo države da prestane biti ne bit zadrti esdepeova, dakle da u svome predsjedničkom djelovanju ne bude vezan obvezama prema stranci koja ga je kandidirala, stranci koja ga je financirala."
