Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:30,"Ekipa, pozdrav, dobrodošli u Novi Tušpic."
0:00:30,0:00:37,"Danas je s nama naša sugrađanka koju znate sa lokalnih portala, lokalnih, lokalne TV kuće Dora Gornjeg."
0:00:38,0:00:38,Malo od svuda.
0:00:38,0:00:42,"Pomalo od svuda, Dora i ja smo to nekako zamislili, Dora."
0:00:43,0:00:48,"Kad smo se dogovarali, danas će stara generacija ispitivati mlađu i obratno."
0:00:48,0:00:51,Mlađa će ispitivati nešto starije u šta je ono kao.
0:00:51,0:00:53,I baš me zanima kako će to ispasti.
0:00:53,0:00:54,"Dora, hvala ti i dobro nam došla."
0:00:55,0:00:56,Hvala što ste me pozvali.
0:00:56,0:00:58,"Možemo i na ti, to ti je podcast."
0:00:59,0:01:01,"Prvo pitanje je, jesi bila kad u podcastu?"
0:01:01,0:01:03,Moram reći da nisam u podcastu podcastu.
0:01:03,0:01:06,"Pravom, ako ćemo to tako reći."
0:01:07,0:01:09,Na ovu foru da se baš razgovaram s nekim ne.
0:01:09,0:01:11,Mada snimate neku vrstu kao podcastla?
0:01:12,0:01:12,Tako je.
0:01:12,0:01:28,"Za tren snimamo svoj podcastić, snimamo svoju šprehu, upoznavanje grada Karlovca na zabavniji način, kako bi to približili mladim ljudima, kako mladim ljudima pokazati šta sve ima u Karlovcu, šta se događa, šta ima zapravo, koliko se toga krije u našem gradu."
0:01:29,0:01:37,"Da, i ja bi to kao možda mali podcast rekao, nije klasični podcast, više mi je neki lokalni putopis, šta ja znam tipa Gorana Milića."
0:01:38,0:01:40,"Da, ali ne da šta on govori."
0:01:40,0:01:48,"Idemo pokazat šta ima, pa ja ću se malo raspričati o tome, malo na svoj zabavni neki način, dat ljudima do znanja šta ima, šta se događa."
0:01:48,0:01:49,Jer Karlovac skriva puno toga.
0:01:50,0:01:56,"Ne samo ružnog što vidimo svaki dan, nažalost u medijima, ali ja kažem da se to namjerno radi, ali ima puno lijepi stvari."
0:01:57,0:02:08,"Ali već kad smo se dotakli podcasta, možemo reći da je taj podcast, forma tih nekih emisija kao radijski, sad su to već i nekakve ajmo reći video emisije spojila i staru i mladu generaciju."
0:02:09,0:02:12,"Apsolutno, ja mislim da su svi zapravo zainteresirani za podcaste na ovaj ili onaj način."
0:02:13,0:02:22,"Sad bilo to podcasti da se ono samo pusti sa strane da nešto svira, ono dok se nešto drugo radi ili ono, baš se sad koncentrirati, slušati, pratiti, gledaš šta se događa."
0:02:22,0:02:26,"Na tome, zna biti ono dosta zanimljivo, ovisi o temama koje su."
0:02:26,0:02:30,"Da, imaš sportskih, glazbenih, političkih, a znaš zašto je do toga došlo?"
0:02:33,0:02:41,"Moja pretpostavka je zato, evo i sama radiš u medijima i znaš da ste ono ograničičeni i priloge je dvije minute, dvije minute dvadeset, ovako reži."
0:02:41,0:02:47,Podcast je na neki način po meni vratio kulturu tog razgovora i malo je usporio sve to.
0:02:47,0:02:52,"Jer imaš podcast od 50 minuta, ako naš, imaš podcast od po tri sata."
0:02:53,0:02:55,Hajmo sad sjesti i razgovarati o tome.
0:02:56,0:02:58,Vratio je neku kulturu razgovora i imaš 15 tema.
0:03:00,0:03:05,"Uvijek imaš neku temu u vodilju, ali evo sad nama mi ćemo shakati sa teme na teme, ali to je."
0:03:05,0:03:06,Absolutno.
0:03:06,0:03:09,I mislim da je to dobra stvar i da tek uzimaju zamah.
0:03:10,0:03:18,"Mi jako puno podcast-a zapravo krene kao idemo sjesti, idemo snimati, idemo pričati o glupospostima, pa onda razvija se to i ono."
0:03:19,0:03:23,"Ok, ajmo sad malo kupiti opremu, ajmo sad malo to dovesti na neku razinu."
0:03:24,0:03:33,"A opet, većina njih zapravo uspije iz toga ono što dođu, idemo u sobi, upaliti mikrofon na mobitelu i to je to sam se snimio kako pričamo."
0:03:33,0:03:37,Mene je recimo osobno privuklo ta neka sponzornost i upuštenost.
0:03:38,0:03:44,"Možeš popiti kavu, možeš popiti čaj, možeš i zapaliti što ću ja sad za malo učiniti i to je ta forma koja trpi."
0:03:44,0:03:44,Da.
0:03:45,0:03:50,"Ali moram priznati, naši samapartiši sve su jači i jači i sve imaju relevantne i relevantne informacije."
0:03:51,0:03:51,"Da, da."
0:03:55,0:04:11,"na neki način zato što ljudima je nekad zanimljivije možda slušati kako će neko koji je neprofesionalan razgovarati o tome, nego slušati sad bubnuću nekog doktora, nekog psihologa, nekog ne znam tamo ovog onoga koji priča o toj svojoj nekoj temi."
0:04:11,0:04:26,"I sad on će to jako stručno objašnjavati, on će jako ići u detalje ovo ono, dok će ljudi koji snimaju podcast izvući neke najbitnije crte i sad ući u taj neki razgovor o tome, sad ovisno o temi, ali da se raspričat, pa gosti, pa ovo, pa ono."
0:04:27,0:04:31,"Jer evo, podcast i ovo trpi, kožiš, ovo je sad anti-reklama, ali to je to."
0:04:32,0:04:44,"Ali sad kad si f spomenula i doktora bilo koga, evo iz mog malog iskustva, kad čovjeku daš 50, 60, 70 minuta, potpuno da obiš drugu priču."
0:04:44,0:04:51,"I taj doktor i dalje ostaje stručan, ali to sve nekako pošto ima vremena, sve nekako bolje ono objasniti."
0:04:51,0:04:53,"Tako da, moramo reći, ne mislim da."
0:04:53,0:04:58,"Imaš danas Đoroga iz Amerike, on ima milijarde, on utječe na izbore."
0:04:59,0:05:00,"Da, da."
0:05:00,0:05:05,"Tako da je podkast je sve jedna stvar koja je spojila mladu i staru generaciju, eto mi."
0:05:05,0:05:06,Apsolutno.
0:05:06,0:05:10,"Kad smo se dogovarali, to nam je bila prva tema."
0:05:10,0:05:12,"A recimo, vidiš, šta misliš ti?"
0:05:13,0:05:14,Podcaster ili influencer?
0:05:15,0:05:16,Influencer je nastao prije.
0:05:16,0:05:20,Podcast je nekakav nusproizvod influencera.
0:05:20,0:05:22,I šta mislite uopće o influencerima?
0:05:22,0:05:24,A sad ovisi kako o kojima.
0:05:24,0:05:25,"Jasno, jasno."
0:05:25,0:05:26,Ima ih ona vrsta.
0:05:26,0:05:28,"Naravno, ima onih super influencera koji su meni predobri."
0:05:30,0:05:35,"Ima ono ljudi koji su stvarno genijalni, koji snimaju TikTokove, YouTube videe, sve što god ono."
0:05:36,0:05:40,"Ima ljudi koji rade smiješne videe, koji rade ono zanimljive stvari."
0:05:41,0:05:51,"Opet ima onih influencera koji su tu ono samo da ja sam došao promovirati to i to i ja ću sad samo pričati o tome i meni je to ono, ajme, majko, ne mogu te slušati."
0:05:53,0:06:02,"Sada opet, ono fakat ovisi od influencera do influencera, ali influenceri kao takvi isto ovisi od platforme na kojoj se nalaze."
0:06:03,0:06:03,Da.
0:06:03,0:06:12,"Ako gledamo TikTok, što mlađe generacije puno više koriste, to je sad postalo zbunjola."
0:06:13,0:06:18,"Ja recimo uopće više ne znam šta se događa sa TikTokom, šta su nove stvari, stare stvari."
0:06:19,0:06:19,Znaš zašto?
0:06:20,0:06:22,Jer su sad i ovi stariji došli na TikTok.
0:06:22,0:06:22,Da.
0:06:23,0:06:27,"TikTok je prvo kao bio platforma sama za mlade, za klince."
0:06:28,0:06:30,"Međutim, ja sam na TikToku."
0:06:30,0:06:32,Ja se osjećam staro kad sam na TikToku.
0:06:33,0:06:45,"Ja sa svojih 24 godina vidim TikTok i vidim vide od djece, oni rade nešto, ja se osjećam staro, ono zna biti kao, a ljudi koji su ono 2000."
0:06:46,0:06:51,"pa nadalje šta radite sa svojim životom, jel imate žene, djece, ovo, ono, muževe."
0:06:51,0:06:56,"Ja gledam i ono što nije mi jasno kao, oni sad smatraju ja sam njima već stara."
0:06:57,0:07:06,"To je ono, cijela nova kultura izrođena iz toga, recimo djeca ono, vidiš ih, čuješ ih na cesti, oni imaju svoje neke forabe, ja više pola riječi ne znam šta znači."
0:07:06,0:07:07,Tonac i zadovoljam čajem.
0:07:08,0:07:09,Sam si ga je skuho je.
0:07:12,0:07:15,"Da, nova kultura, novi stil, novi način života."
0:07:16,0:07:17,Maksimalno ubrzan.
0:07:17,0:07:18,"Da, apsolutno."
0:07:18,0:07:22,"Maksimalno ubrzan, ali to su klipići 15-20 sekundi, to je samo skrolaš."
0:07:22,0:07:22,Da.
0:07:23,0:07:26,"I pazi, dolazi onda taj podcast i to fulumiri."
0:07:26,0:07:27,Tako bi trebalo biti.
0:07:27,0:07:29,"Ali, među ostalim TikTokom meni je okej."
0:07:30,0:07:30,Ako možeš.
0:07:31,0:07:33,"Što radiš na TikToku, to me sad zanima."
0:07:33,0:07:39,Radiš samo ono ovo što dolazi sa podcasta ili kao ono za frekvencije?
0:07:41,0:07:41,Snimam se.
0:07:43,0:07:44,Znaš zašto?
0:07:45,0:07:51,"Znao sam i kod vas gustavati sve, uvijek si ti je da pazi, ali ja to poštujem, te treba poštivati."
0:07:52,0:07:55,"On se sjedne na misli, ako bače, da je poštivati."
0:07:55,0:07:56,Znaš ne doba.
0:07:56,0:07:58,"Pa ja ću reći, kaj hoću i za to ću odgovarati."
0:07:59,0:08:08,"Ne radi mi neke gluposti, ali evo, onu forus za gospodine Cricane kave, pa više ne piše možda na Facebooku, nego sam počeo snimiti klipiće."
0:08:08,0:08:13,"Znam možda neki dobar reci ili nešto, znam psa svog, ako tako stavlja taj de, to pada."
0:08:14,0:08:17,"Nisu oni videi, kao oni trendovi, ajmo plesati."
0:08:19,0:08:21,Mi atlantski građani redko plešemo.
0:08:23,0:08:27,"Mi piše ono, na školi šahigram, onda se sjećamo šahigra."
0:08:27,0:08:30,"Šah, i tako se baci."
0:08:30,0:08:33,"S tim šahom, i tako se baci."
0:08:34,0:08:36,"U glavu, ignoriramo ga, ne možeš."
0:08:37,0:08:38,"Prehvatili ga, i ja sam i dobro."
0:08:39,0:08:46,"Ajde, jedan, prije dva godine, pa mogu i puno stvari razlučiti, ali ovo što si rekla, da je bilo na vremenu, pomalo za klijenti."
0:08:46,0:08:50,"Da tebe pitam, ti si u njihovim očima, stara, ja sam rodno mrtva."
0:08:50,0:08:51,"Ne, kako je."
0:08:54,0:08:56,Misliš li to u principu dobro za klijenti?
0:08:57,0:09:01,"Mislim, iskreno mislim da nije."
0:09:01,0:09:06,"Jako puno gubim na koncentraciji, jato vidim svakodnevno."
0:09:07,0:09:10,ja sam voditelj mlađih izviđača.
