Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:27,0:00:30,"Ekipa, dobar dan i dobrodošli novi Čušmajs."
0:00:30,0:00:35,"Eto, nakon nekih šest mjeseci, kako smo obećali prošli put, Hrvo je glasno i sjeo pred nama."
0:00:36,0:00:36,Šest mjeseci.
0:00:36,0:00:38,A je negdje šest ili više?
0:00:39,0:00:39,Strašno.
0:00:39,0:00:40,Pa ja sam iznio manje.
0:00:41,0:00:41,Manje?
0:00:42,0:00:42,Pedeset.
0:00:43,0:00:44,"Ma uglavnom, Hroje, dobrodošao."
0:00:45,0:00:46,Hvala što si me pozvao.
0:00:47,0:00:50,Pozdrav svim tvojim gledateljima i tim mojima iz Svetog domu.
0:00:50,0:00:51,A sve na vama.
0:00:51,0:00:52,Cijelo čušpe.
0:00:53,0:00:55,Kako si to mislio za početak od prošlog tvojeg ostovanja?
0:00:57,0:00:59,Se dogodilo svašta ili ništa.
0:00:59,0:01:02,"Odnosno, ta je ništa neočekivano."
0:01:03,0:01:03,Da.
0:01:04,0:01:08,"Ali, eto, jedna od možda novina je da si ponovo malo aktualizirao svoj kanal Apokalipso."
0:01:09,0:01:10,Šta jesi?
0:01:10,0:01:11,Pa jesi.
0:01:12,0:01:24,"Pa dobro, da, moguće da u zadnjih par tjedana je to bilo malo aktivnosti, bilo je malo simpatično, neke teme su bile zgodne, zapravo ih možemo i tu proći."
0:01:24,0:01:25,Evo ih priča me na teista.
0:01:25,0:01:25,"Apsolutno, da."
0:01:26,0:01:27,Igor da jesam priča me na teista.
0:01:27,0:01:29,"Mislim, danas sam nešto ovoga, znaš, nisam uopće..."
0:01:30,0:01:32,Nisam budio sam ga danas.
0:01:32,0:01:33,"Ne, ja sam radio vani, znaš."
0:01:33,0:01:36,"I vjetar mi stalno puše, kad izađem i onda sam rekao idem leći."
0:01:36,0:01:38,I onda si me nazvoda.
0:01:38,0:01:40,"Ja sam izgledao dva sata i da ćemo u šest, ne znam i tako."
0:01:40,0:01:43,"Jer trebali smo u prvom mjesecu, ali onda je tehnika na mariklama, sjećate se."
0:01:43,0:01:45,"Da, to mi je poznato."
0:01:46,0:01:47,Ja sam ti rekao da se meni kvari tehnika.
0:01:48,0:01:50,"Evo, sad smo bili u liftutu i treperi svjetlo."
