Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:30,"Dobar večer, veliki pozdrav vašim gledateljima, veliki pozdrav."
0:00:30,0:00:32,A mušte i glasnije pričekajte.
0:00:34,0:00:38,"Dobro večer ponovo, veliki pozdrav vašim gledateljima i."
0:00:38,0:00:41,"i tebi, ali ne i hvala ti što si na gostiju."
0:00:42,0:00:43,Hvala vama što ste došli.
0:00:43,0:00:52,"Tu je naravno i menadžerica Ira, ona je iza kamera, behind the scenes, ali hvala što ste došli i po ovoj vrućini i et plus beskonačno."
0:00:52,0:00:54,Hvala vama ili hvala tebi kako ćemo dalje.
0:00:54,0:00:56,"Oboje, hvala vama."
0:00:57,0:00:59,"Gledam tebe, mislim na Iru i na tebe."
0:01:00,0:01:01,"Smanta, hvala tebi."
0:01:01,0:01:02,"Ira, hvala ti puno."
0:01:04,0:01:06,"Vruće je, baš ti hvala, pazimo na klimu."
0:01:07,0:01:11,"Ništa, eto možda i sama, pjevačica si neki sami tvoji početci."
0:01:14,0:01:16,Pa nekako ozbiljno da sam se počela baviti.
0:01:17,0:01:19,Negdje je moralo kliknuti.
0:01:19,0:01:55,Pa ako ja bih to rekla na dvije tisuće dvadeset dva bila ta godina počela sam više raditi mislim ja bih to rekla kao da su to bili nastupi gaže naravno i ono ali evo onda nekako snimanjem svoje prve pjesme idealni idi koji sam pisala i tekst a muziku je pisao i muziku je aranžman radio saško nikolić ovaj je nekako to krenulo ozbiljnije u smislu da je to ulaganjem u karijeru i ja sam se nekako baš toga primila dalje sad krećemo Sad kreće.
0:01:55,0:01:56,Sad kreće tako je da.
0:01:58,0:01:59,"Što, što, pitajte me."
0:02:00,0:02:01,"Pitate ću, pitajte ću."
0:02:02,0:02:04,"Ok, izvodiš većinom narodnu muziku."
0:02:04,0:02:07,Je li to baš onako neko bilo ciljano ili ono?
0:02:10,0:02:16,Pa ja bih rekla da je došlo prirodno nekako kao mala.
0:02:17,0:02:20,"Ja sam uvijek nekako pjevala, uvijek je bila prisutna muzika."
0:02:21,0:02:32,"U mom životu, pa je to i moj djed koji je svirao harmoniku, ali oni pjevaju su taj sevdah i narodna muzika nekako uvijek je bila u mojoj kući i meni to nije bilo strano."
0:02:33,0:02:52,"Nikako, ali nekako kad odrastanjem i taj neki period kasnije više sam se, zapravo sam pjevala zabavnu glazbu, ne znam, pjevala sam u zboru crkvenom i tako te neke duhovne pjesme."
0:02:54,0:02:55,"Gospel mi je bio, ako."
0:02:55,0:02:55,Uvijek.
0:02:56,0:03:06,"Da i RB pop, mislim ja sam ta neka generacija, bio on se, Vitni Houston, mislim to sam voljela slušati."
0:03:06,0:03:10,"Pa dobro, svi znamo u Narodnjaku je najveća para, mislim, ok."
0:03:11,0:03:26,"i meni logički, ono i kad smo se pripremali za razgovor, ja sam rekao meni to licemjerstvo malo smeta, znaš, ta narodna glazba, ono kad čitaš portale, ovo, ono, to se pljuje, to se u biti, ta ista ekipa se razvaljuje, na vašim konceptima i to je ono."
0:03:27,0:03:35,"I ja baš zato radim, evo podcast ovo i s tobom i još s nekim pjevačicama, pjevačima, da kažem da, mislim to je normalan posao koji svaki drugi."
0:03:35,0:03:36,Tako je.
0:03:36,0:03:54,"Vi prodajete tu uslugu, niste licemjerni, vi ga pošteno zarađujete i ono, mene, pričate dole, ja slušam Metal, slušam ga dan danas, ali mi smetajte ono, tome licemjerstvo jako smetajte kritike, ali koliko znam ti se jako dobro nosiš s kritikama, to, ma mislim, boli, ali gled."
0:03:55,0:04:16,"Pa zapravo nije da me dira, ja ne vidim tu prostor za kritiku, svatko ima pravo da sluša ono što želi i isto tako da se veseli na koji god to bio način, ja sam tu da nekako uesel te ljude i da dam najbolje od sebe u tom trenutku."
0:04:16,0:04:17,Da.
0:04:18,0:04:31,"I sad si sama spomenula i gospel i neku zabavnu muziku, u Hrvatskoj nestala ta pop glazba u principu, ajde recimo da je dio mog djetinjstva bilo ono tipa novih fosili, srebrna krila, taj dio je nestao."
0:04:32,0:04:50,"Pa mislim ja slažem se, slažem se, ja sam isto bila netko tko je to slušao i ne znam, voljela sam, ja volim zapravo slušati sve, ja nisam samo koncentrirana na jednu vrstu, jedan žar muzike, glazbe, nego ono što mi se sviđa, što me dotakne, to slušam."
0:04:51,0:04:57,"Ali da, nažalost sada u neko zadnje vrijeme kao da je sve splasnulo."
0:05:00,0:05:01,"Pa nek se probude, šta?"
0:05:02,0:05:03,"Probudit će se, ja mislim da to dolazi."
0:05:03,0:05:06,"Ljeto će biti radno, to znam., to si rekla."
0:05:06,0:05:06,Tako je.
0:05:07,0:05:08,"Neka, neka, neka."
0:05:10,0:05:11,I dosta po svadbama nastupaš.
0:05:12,0:05:15,"To smo i dole pričali, šali smo se i sa kameramanom."
0:05:15,0:05:17,"To više nisu svadbe kao neka, to je već ono mali koncert."
0:05:19,0:05:19,"Pa, danas."
0:05:19,0:05:22,"Kad sam se ja ženio, bolje da ne znam kako je to bilo."
0:05:22,0:05:24,"Da, danas je to malo drugačije."
0:05:26,0:05:36,"Na kraju krajeva, vaša kamera nas je opozvala od svadbi i on je sam tu nekako vidio i svjedok je kako to funkcionira."
0:05:36,0:05:41,"Da, i eto, ne znam šta smo onda pričali."
0:05:41,0:05:48,"Pa ono najviše po svadbama nastupaš, anegdote, nezgode, ima čega?"
0:05:49,0:06:02,"Svega, svega ima, mislim, meni je zanimljivo gledati ovaj samo kako, samo ono kako je proces ne znam od ulazaka mladenaca do kraja, Fajrunta kako bi rekli."
0:06:02,0:06:14,"Zašto, minuli smo da to više nisu svadbe, to je mali koncert i čuo sam da ima čak i, kakva je tema bila, ulaze mladenci na temu iz Jim Vaughn, pa i."
0:06:14,0:06:17,"Ostaje Ben Puff ili šta recimo sad kužiš na jednoj, znaš."
0:06:18,0:06:25,"U principu, velim, tome smo To me smeta licemjerstvo, ali gledajte pošto ne radiš."
0:06:26,0:06:31,"A i ovo moram izvlačiti da priča jako je samozadovoljna menadžerice, evo ćete popraviti taj scenski nastup."
0:06:32,0:06:40,"Pa kako bi rekla licemjerstvo, mislim da ima svugdje u svakom poslu, u svim sferama nekog života."
0:06:40,0:07:00,"Ovo što se tiče moga posla je da taj recimo, evo sad kad ste spomenuli ne znam ulazak na Jamesa Bonda, onda ne znam tri minute poslije ide narodnja ako ono vaš jaki pa onda se završava na opet nekom trećem i eto spomenula sam, čuo si poeziju."
0:07:03,0:07:09,"I bilo je situacija gdje se govori striktno nema narodnjaka, a onda se opet traži narodnjak."
0:07:11,0:07:16,"Sada mi tu tabu temu razbijemo, zato je naravno na lvačima."
0:07:16,0:07:19,"Ok, dobro, bila je kritika, vjerojatno to si htjela kada odustati."
0:07:20,0:07:24,"Ali, pročitao sam jednu izjavu, rekla si da ima milijuna i dalje bih pjevala."
0:07:25,0:07:26,"Da, to je ljubav, da."
0:07:26,0:07:27,"Znači, to je ljubav, da."
0:07:28,0:07:40,"Pa to zaista mora biti ljubav prema muzici zato što ima dosta prepreka u ovom poslu, dosta unutarnjih borbi i da, pomislila sam o dostatku."
0:07:41,0:07:51,"Mislim da je to ono, ali opet sama pjesma i emocija u toj pjesmi, kada se daš onda nekako to te opet vrati."
0:07:52,0:07:53,Tako da nema odustajanja.
0:07:53,0:07:54,Nema odustajanja.
0:07:56,0:07:59,"To su i nama svi rekli, nema odustajanja."
0:08:01,0:08:13,"Evo, pročitao sam koliko imaš svojih vlastitih pjesama, tri ili četiri i to se obično ljudi rugaju, ali promijenila se ta glazbena mašinerija se promijenila, ti danas uopće ne možeš više album snimiti."
0:08:13,0:08:24,"Nekada je ono, znam, bili su neki gosti i Tonij Janković iz Divljeg Agoda i tako stare generacije, to je prije bilo umjetno snimiti album, minimalno ono deset pjesama pa da je bar četrdeset pet par nasipa."
0:08:24,0:09:00,"A to danas mislim ono ljudi ne prihvaćaju, ne moraš danas dođeš, snimiš, skupiš nešto pare, plasiraš jednu pjesmu pa onda za pamet misliš drugu ali oka ja bih se složila i ne bih se složila da kad bi ti samanta radila da je tko nekad onog cijeli album deset pjesama pa ili ili negdje moraš početi negdje svakako moraš početi, prije su ljudi, prije su izvođači snimali albume ali nije bilo ovih društvenih mreža kao što ima danas i bilo je teže danas dosti, danas je lakše plasirati."
0:09:00,0:09:12,"Danas je lakše plasirati nego što je to bilo nekada, ali kada si došao do nekakvog svog, ajmo reći uspjeha ili kada se čulo za tebe ti si onda trajao, ako je bilo naravno kvalitetno, a danas je to malo drugačije."
0:09:13,0:09:32,"Danas ima more izvođača, imamo priliku, danas opet dobro to što imamo priliku gdje da se i pokažemo i naravno da pustimo to sve što stvaramo, ali baš zato što nas ima puno i previše."
0:09:33,0:09:35,Najjači će opstati zapamti.
0:09:35,0:09:36,Najjači će opstati.
0:09:37,0:09:38,I najuporniji.
0:09:38,0:09:39,Najjuporniji da.
0:09:40,0:09:48,"Da, lakše je pasirati, ali lakše, da, brzo uspješ i još brže može se, to bi možda danas vrijedilo."
0:09:48,0:09:57,"Ne znam, evo meni recimo stvara jedan halaganin stres to što stvarno moraš biti aktivna društvena."
0:09:57,0:10:08,"E sad se možeš ovdje dopustiti, sad ti mi možemo biti psihoterapija i Iri će to jako dobro doći da malo, da ja ću malo primiti negativne energije jer takvi šefice, evo možeš slobodno se sada ovdje."
0:10:46,0:10:50,"Da izgubiš jednostavno smisao, što sad?"
0:10:51,0:10:51,Da.
0:10:52,0:10:56,"Moraš biti dosljedan, moraš stalno nešto izmišljati, inovativan biti."
0:10:57,0:10:58,Kako se nosiš s time?
0:10:58,0:10:58,"Teško, ne?"
0:10:59,0:11:02,"Mislim, meni je prilično samo, onako samo zakon, ne znam."
0:11:04,0:11:11,"Ja te prvi put vidim, ne, kužiš, ali ja možda da imaš tu neku kočnicu malo, mislim to moraš, to je sad dio posla."
0:11:12,0:11:12,Razumijem.
0:11:12,0:11:15,Bolje deset memova neki put nego jedna pjesma.
0:11:17,0:11:40,"Kužiš kako je došlo vrijeme, ne znam, mislim nije teško nositi se sa time, nosim se kao i svi drugi i to je to jednostavno imam te svoje nekakve načine na koje punim svoje materije, to su nekakvi moji ljudi, stvaranje muzike, znate tekstopisati, da."
0:11:41,0:11:41,Eto.
0:11:42,0:11:47,"Između ostaloga, ne volim baš nešto previše isticati, ali da, volim nešto."
0:11:47,0:11:50,"Šefice mi više nećemo zvati, ona ništa ne voli istići."
0:11:52,0:11:58,"Pa hvali se, hvali te na ustanova, pa da je danas rijetko ono, znaš, da neki sa chatgbtiom pjesmu napišu."
0:11:59,0:12:00,Pa velim ti to.
0:12:00,0:12:00,Pa velim ti to.
0:12:00,0:12:03,To mi nikako mi to nije sjelo.
0:12:03,0:12:06,"Pa nije mnogima, ali to kužiš."
0:12:09,0:12:14,"Naimjerno sam spomenuo tekstopisac i tvoje pjesma bolje je da ne znaš, sama si izjavila da je malo feminin."
