Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,"Ekipa, dobrodani, dobrodošli Novi Čušpić."
0:00:17,0:00:32,"Današnji gost je legendarni Karlovački, radio voditelj, senjanin dušom, tijelom, ali ipak naš Kalovčan, mogu usuditi se reći, pa i prijatelj, bio je poznanik pa je prijatelj, Tomica Jabrčić sa Trend Radia."
0:00:33,0:00:35,"Tomica, hvala ti puno što si došao."
0:00:35,0:00:38,"Lijep ti pozdrav., što reći nego bolje."
0:00:38,0:00:40,Evo da ja tebe jednom ugostim nakon svega.
0:00:41,0:00:44,"E, tako je, ovo su uzvrati kako bi se rekli."
0:00:45,0:00:48,I mislim jedan od sukrivaca zna za to što sam se ja odlučio snimati porku.
0:00:49,0:00:50,Stvarno.
0:00:50,0:00:52,"Pa stalno si me znao da nešto brbljam, pričam."
0:00:53,0:00:55,A to je najlakše priznati u životu.
0:00:58,0:00:59,Tomice kako si?
0:01:00,0:01:32,"Jako dobro, osvježen, evo listopad mjesec oko nas, studeniće, ovo ono, svi nešto pričaju, nekakve depreprođe ljeto, trideset šalim se u svakom slučaju ovo je famozno i ono što sam evo baš ovih dana što se da primijetiti i što će se nadam se i nastaviti ta jedna puno manje vlage a puno više tih nekih dana koji me upravo vežu kad si spomenuo senj nekako me vežu kao da sam u primorju a ne na četiri rijeke naše."
0:01:32,0:01:34,"Tolic, kako si došao kod nas u Karlo?"
0:01:36,0:01:41,"Kratka jednostavna priča, mama je senkinja, dakle ne senjanka nego senkinja."
0:01:42,0:01:59,"Bravo, to je ono kako kažu da odmah neke stvari razriješimo, onda kad kažu Tomic iz Senja, nisi ti iz Senja, kad kažu da si iz Senja, ako si iz Senja onda može biti samo iz Senja, to su te Senkinja i Senja, ovo ono, izrazi koje ja u biti nikad nisam koristio i dok sam živio u Senju."
0:01:59,0:02:29,"Ja sam ti u Senju u stvari bio prvih deset godina do trećeg razreda osnovne škole, dakle mama Senkinja, a tata je iz Karlovca, konkretno rođen u Brihovu, tako da ne bi bilo da su to samo gradske nekakve zidine ovo, ono, tata je rođen u Brihovu i bio karlovački fotograf, fotosesar se zvala radnja, imali su jako puno posla, svadbi, JNA, koliko su se oni slikali."
