Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Ekipa dobro večer i dobrodošli Nović Šuškajs.
0:00:02,0:00:14,"Današnji gost je mladi političar i povjesničar, odnedugo i potpredsjednik, član predsjedništva stranke MOST, povjesničar gospodin Krešo Mirotić."
0:00:18,0:00:21,"Krešo, dobro došao i hvala što si došao."
0:00:21,0:00:22,Hvala na pozivu.
0:00:22,0:00:24,"Inače, putovanje gužve."
0:00:25,0:00:32,"Nije, evo nije začudo, petak je popodne, ali evo sve je glatko prošlo i evo, lijepo je biti u Karlovcu, nemam puno prigode biti ovdje, ali evo."
0:00:33,0:00:34,"A trudimo se, trudimo se."
0:00:35,0:00:44,"Evo, nije bilo u pripremi, ali evo, ne možemo da ne spomenemo ovo posljednje uhićenja šefova državnih firmi i glavnog državnog inspektora."
0:00:44,0:00:51,"Je li to još možda neka šarada, je li to čišćenje redova, je li to neki spin kako to biva kod nas?"
0:00:52,0:00:58,"Pa svega pomalo, a možda najviše spin ako poznajemo nekako sad već desetljeće političkog rada Andreja Plenkovića."
0:00:59,0:01:21,"On je ovo pokušao naravno predstaviti kao neku najobičniju kadrovsku križaljku, ali kad da tako kažem posmicate toliki broj ljudi i kad se u istom trenutku dogodi uhićenje gospodina Mikulića kojeg je on postavio on postavi na poziciju koju je Andrej Plenković izmislio onda to nije samo obično kadrovsko rješenje, već imamo ozbiljan problem."
0:01:22,0:01:42,"Ja bih rekao korupcija i kriminal već dugo, stoljeće i pol sigurno od ulaska u prvu Jugoslaviju, izlaska iz jednog civilizacijsko, političko, kulturnog kruga kojem smo pripadali je naš problem, ali rekao bih da danas ako ga spojimo sa demografijom je ozbiljan unutarnji neprijatelj."
0:01:42,0:02:50,"I sve ovo što se događa na ovakav način može samo odgovor na Nadam se iduća politička većina riješiti jer u ovoj trenutno vladajućoj desetljeće vladanja pokazali su se, ne ide, a ne samo da ne ide nego evo umjesto da se ljudi pospru pepelom i priznaju svoje greške, a ovo su njihovi kadrovski odabiri, oni nastavljaju dalje igrati određene PR-ovske igrice itede A gospodin Mikulić ima svoj pedigre iz prošlog sustava, nije on slučajno ovdje, on je pripreman kao i niz njih u smislu ulaska u državnu upravu i oni recimo imaju, a pričat ćemo o tome vjerujem kroz podcast i o mojoj struci, o povijesnoj struci, kako zapravo ljudi koji niti imaju čestitosti, niti moralnosti, konačno niti stručnosti, niti ikakve vizije za ovu državu koja se tek treba izgradivati jer Hrvatska je krvlju obranjena u ratu i mi smo još u fazi, neki će reći lutanja, ali sigurno i u tom lutanju mi se moramo na neki način snaći u svijetu, vidjeti koje je naše mjesto i izgraditi se."
0:02:50,0:03:09,"Tako da u ovom trenutku ovo su ozbiljne vijesti i evo ljudi se moraju zaista zapitati oko različitih koruptivnih kriminalnih aktivnosti koje se događaju u Hrvatskoj na koje MOST upozorava i pokušavamo posvijestiti ljudima da uz sve vanjske neprijatelje koji postoje, postoje unutarnji neprijatelji."
0:03:09,0:03:10,"Da, i to opasno je."
0:03:11,0:03:22,"Da, spomenuo si naravno MOST, ono što sam ja primijetio, MOST-u je neki novi vjetrovi, podmlađuje se malo ekipa, kako bi se to reklo sportski, pet vas je u predsjedništvu, sve."
0:03:22,0:03:23,"Da, novih pet vas je."
0:03:23,0:03:28,"Možemo reći relativno nepoznati ili relativno poznati, ali to sam primijetio."
0:03:28,0:03:47,"Smjena generacija neka dolazi, pa evo malo o tome, a ja imam odmah pitanje, bio je i gospodin Jolništu, gospodin je par emisija i čitalo se u medijima o ideji o okrepljanja, ujedinjenja desnice u gradu Zagrebu pa vjerojatno i u Hrvatskoj."
0:03:48,0:03:50,Pa gdje je MOST tu?
0:03:50,0:03:54,Evo prvo ću pogledati stranačke aktualnosti kao vojnih stranke.
0:03:56,0:04:26,"Je, nisu to nepoznati ljudi, ajmo reći MOST-ovoj biračkoj bazi, a mnogi nisu već bili kandidati, već su aktivni u stranačkoj politici, ali sigurno jesmo krenuli sa jednim smjerom osvježavanja snaga, jednim nešto drugačijim pristupom, po pitanju toga što će MOST nuditi kroz sve ove godine do izbora, jer ovo su sada zapravo ključne godine, a izbori su jedan šlagwort gdje vi zapravo žanjete sve ono što ste sjali kroz sve ove godine."
0:04:26,0:04:49,"Tako da evo, dobili smo novog predsjednika Nikola Grmoja, će sigurno donijeti energiju koju je donosio i kao saborski zastupnik i još će biti eksponiraniji što njemu nije strano, ali će dobiti zapravo priliku da sve one svoje kvalitete koje je pokazivao u osobnom saborskom životu, sada to napravi kao predsjednik stranke."
0:04:50,0:05:19,"Što se tiče MOST-a mi smo vrlo jasno se identitetski pozicionirali, mi smo desna konzervativna stranka i zapravo nastavljamo u tom smjeru i sve ono što dolazi, problemi koji dolaze iz EU, a koji su trenutno prisutni u Hrvatskoj i ekonomske, a pogotovo vrijednosne prirode, mi ćemo znati odgovoriti na to i ponudit ćemo hrvatskom narodu ono za što sam ja siguran što njemu treba, to je odgovorna, stručna i čestita politička opcija."
0:05:20,0:05:33,"Što se tiče ujedinjavanja desnice u Zagrebu, i u Hrvatskoj pušu sada neki vjetrovi, ja bih rekao vjetrovi koji pušu na vrijeme po pitanju toga da se o tome priča."
