Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,"Ekipa dobro večer, dobrodošli i novi Čučpajs."
0:00:03,0:00:13,"Današnji gost je bivši član esdepea, bivši zastupnik u Gradskom skupštini grada Zagreba, ne znam šta još bivši, reći ću ja sam, ali budući podkastar definitivno."
0:00:13,0:00:15,Gospodine Renato Petek.
0:00:19,0:00:22,"Renato, hvala ti što si došao i dobrodošao."
0:00:22,0:00:24,"Hvala tebi na pozivu, hvala i tebi na pozivu."
0:00:24,0:00:28,"Da, podkast će biti neka budućnost, novi put uskoro."
0:00:30,0:00:44,"A proveo sam osam godina u suradnji sa esdepeom i ponešto u nekakvim, u dijelu kad sam bio nezavisni, osam godina u Gradskoj skupštini Grada Zagreba, to je bilo prekrasno i važno iskustvo meni."
0:00:45,0:01:14,"No, probao sam uvijek nekako ostati svoj i ostati neovisan u smislu da nikad nisam prihvatio plaću ili nekakve naknade da sjedim po nadzornim odborima, upravnim vijećima i slično, baš zato što sam želio doprinijeti onoliko koliko mogu sa kvalitetnom pripremom i timom ljudi koje sam i neke stekao s vremenom, a neke od prije imao kao ljude s kojima sam se mogao savjetovati, stručnjake, savjetnike i tako."
0:01:14,0:01:25,Tako da mislim da je to bilo divno i probao sam ono dati sve od sebe kad sam već imao tu priliku zapravo biti u drugom Parlamentu Hrvatskoj.
0:01:25,0:01:39,"Bio si vrlo aktivan dok si djelovao, politički vrlo aktivan, ali evo puno puta je već rečeno, napisano napustio si esdepe u onom trenutku kad je esdepe sklopio koaliciju sa Mašom."
0:01:40,0:01:40,Pa zašto?
0:01:41,0:02:54,"Da, ja sam se prije sad tripet godine odlučio ući u esdepe jer sam bio nezavisni kad sam ušao u prošlome mandatu jer sam razmišljao da je vrlo teško u gradu Zagrebu koji ima sedamnaestčetiri i dvjesto osamnaest mjestih odbora graditi neku nezavisnu priču što sam ja izvorno i bio na listama da, Kregar je bio moj prvi nekako suradnik odnosno ja njegov dvije tisuće devet godine kad je on i išao naspram esdepea tada i milana bandića koji ga je predvodio mi smo ušli u drugi krug osvojili smo mjesta u gradskoj skupštini i to je bio moj angažman u organizacijskom smislu ok bio sam prisutan na listama ali sam se do sedamnaest godine podupirao kroz angažmane neke uglavnom nezavisne zastupnike i tražio te puteve i tako sam ušao u Skupštinu isto i onda neko vrijeme nezavisan i nešto u klubu esdepeom dok je išlo, kad nije išlo jer tu je bilo i raznih turbulencija, tražio sam uvijek mogućnost djelovanja, a na način da kad je nešto dobro je dobro, kad nije da mogu reći da nije bez obzira da li je gradonačelnik Bandić ili Tomašević."
0:02:54,0:03:05,"Dakle, meni je uvijek isti sustav vrijednosti i nekako zdrav razum i neke ono normalno nešto je što bi svaki čovjek rekao ovo je dobro ili ovo nije dobro."
0:03:06,0:03:14,"I da li imam ove argumente da mogu nešto braniti, ako nemam argumente, ako gradonačelnik ne želi dati podatke, ja za to onda nisam glasao."
0:03:14,0:03:28,"A Tomašić je sakrio čuda toga u prvom mandatu, sve kad što nije želio dati sa zastupnicima, ne samo meni nego zastupnicima, ja mu nisam podržao, nisam želio ići u nešto iza čega ne mogu stajati."
0:03:28,0:03:39,"I izborio sam se i u esdepeu za nekakvu slobodu da mogu djelovati prema onom što stvarno smatram da je tako, neovisno."
0:03:40,0:04:16,"I onda je to funkcioniralo neko vrijeme, ja sam istovremeno poštivao odluke stranke, do trenutka kad su oni rekli iako je bilo drugih obećanja, Hajdaša Dončića ići ćemo sami, imat ćemo svoje ljude, borit ćemo se ponovno za jaki esdepe kad je on odustao u masu gradova da ide samostalno već da ide i za možemo ili s možemo, kao i u Karlovcu, gdje je napravljena suradnja, tako i u Zagrebu, ali gdje je esdepe odustao od bilo čega, da surađuje na način da bude dodana vrijednost i korektiv."
0:04:17,0:04:33,"Kad sam vidio da to ne ide tako, čime je donesena ta odluka, ja sam rekao hvala lijepa, bez nekakvih loših da tako kažem riječi ili nešto, sam maknuo se i vratio sam mandat stranci koja mi ga je dala."
0:04:33,0:04:41,"To je bilo pod kraj mandata, sad to nije neka veličanstvena stvar da tako kažem, ali mislim da je to nekako čisto, da je to politika čistih ruku."
0:04:42,0:04:51,"I vratio sam taj mandat i rekao sam, evo vi sad vozite dalje skupa sa njima, jer da sam ja htio, ja bih otišao tamo da sam to htio a nisam."
0:04:52,0:05:36,"Neka sam očekivao da će esdepe probat se izgraditi u neku modernu ljevicu, nešto što će nadomjestiti potrebe brojnih ljudi u Hrvatskoj, kojih smo vidjeli da ih je prije bilo puno više, koji su u ljevici našli neko utočište kako da kažem, koja je ispunjavala njihove potrebe socijalne države itede Ali recimo Plenković je u ovoj covid krizi i poslije u financijskoj krizi također strahovito puno uzeo tih tema socijalne osjetljivosti, što je država intervenirala prema poduzetnicima, obrtnicima i što je uveo inkluzivni dodatak za osobe s invaliditetom naprimjer."
0:05:36,0:06:00,"I neke stvari koje esdepe nije napravio, on im je uzeo, time što je ušao u politički centar i izgradio dosta socijalnu i snažnu državu i kao da se izgubio identitet esdepea, rijetki će danas u kafiću ili negdje se sjetiti koja je to bila neka inicijativa koja je bila jako važna nacionalno za cijelu Hrvatsku ili za barem dio ljudi koji oni ciljaju."
0:06:01,0:06:17,"Da, pa šta se dogodilo sa esdepeom mislim, glupo pitanje objasnio si jel esdepe dopustio da se stalo za to, to je bilo jedan od najstarijih parlamentarnih stranaka u Hrvatskoj, druga po veličini, u nekoliko dvadesettak godina lagano klize, klize, klize."
