Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,ekipa dobro večer i dobrodošli u Novi Čučpaj.
0:00:02,0:00:06,"Današnji gost je, moram uznao čaroliju, moram pročitati ima puno ovih zvanja."
0:00:07,0:00:22,"Doktor političkih znanosti u području međunarodnih odnosa, znanstveni savjetnik u trajnom zvanju, redoviti profesor na Filozofskom fakultetu, na Odsjeku sociologiju, autor nekoliko knjiga, pa ja bi rekao i stručnjak malo za terorizam, sigurnost, gospodin Mirko Bilandžić."
0:00:23,0:00:25,Poštovanje i hvala vam što ste došli.
0:00:25,0:00:28,Poštovanje i vama i vašim gledateljima i hvala na pozivu.
0:00:29,0:00:29,Uvijek.
0:00:30,0:00:36,"Eto možemo odmah dritati u glavu, najveći žarište u svijetu je ratno Ukrajina, ukrajinsko-ruski sukob."
0:00:36,0:00:44,"Gledamo ovih dana, slušamo stalno o tom mirnom procesu, meni se osobno čini da je tu puno manje mira, pa evo ako može jedna analiza situacije."
0:00:48,0:01:12,"Dakle, taj događaj odnosno ta protupravna, ničim opravdana ruska agresija na Ukrajinu je jedan rat za koji su neke stručne procjene bile da će trajati od četiri do sedam dana maksimalno, a on traje evo pune četiri godine pri čemu se tom ratu nažalost ne nažive kraj."
0:01:14,0:01:30,"Naravno, taj rat, ja bih rekao ima radište ne samo uzroke, ne samo neke neposredne povode, već se meni čini i posljedice ovo što imamo posljednjih mjeseci i što se događa."
0:01:31,0:01:49,Ono što znamo empirijski nepobitno da je taj rat negdje već od rujna dvadeset dva u ja bih rekao jednoj mat ili jednoj pad poziciji više nego dakle pad poziciji što se tiče stanja na terenu.
