Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Kip je dobrodošao i dobrodošli u Nović Ušpes.
0:00:02,0:00:22,"Današnja gospođa je žena Britka Jasna Direktna, žena za koju ne znate da li se više boje mediji ili političari, gospođa Karlina Vidović-Krišto, predsjednica stranke odlučnost i pravednost, bivša saborska zastupnica, novinarka, kratko to je to jel ako sam što zaboravio, eto slobodno."
0:00:24,0:00:37,"Hvala vam na pozivu i hvala na prilici da možemo malo razgovarati o vrućim temama koje se u mainstream medijima u Hrvatskoj prešućuju jer mi znamo što mediji rade, štite lokalne strukture, tako da hvala na pozivu."
0:00:38,0:00:38,I drugi put.
0:00:39,0:00:48,"Evo da, Karolina Vidurić-Krišto, nije vas bilo u zadnje vrijeme po medijima pa ja sam onako gdje, što, kako, zašto, gdje ste, čime se sad bavite."
0:00:49,0:00:53,Od kad ste jasno rekli ono nekako od kad ste otišli iz Sabora kao da vas nema.
0:00:53,0:00:56,"U toliku javnosti, u vije cenzura."
0:00:57,0:01:05,Oblik djelovanja stranke odlučnosti i pravednost ali i mog osobnog se nastavio isto ako ne većim intenzitetom i nakon mog izlaska iz Sabora.
0:01:05,0:01:21,"Jedino što me nema na saborskoj govornici hrvatskim građanima je jasno, to mogu vidjeti po mjerljivim podacima da su izbori pokradeni od parlamentarnih zadnjih izbora preko europarlamentarnih predsjedničkih do danas."
0:01:21,0:01:27,"Tako da, da, više nisam u Saboru, ali mi i dalje jednakim tempom radimo."
0:01:28,0:01:40,"Gledajte, u našoj stranci u odlučnosti i pravednosti ljudi se javljaju zato što se nemaju više kome obratiti jer su institucije u potpunosti blokirane i korumpirane i ne služe hrvatskim građanima i onda se nama ljudi najčešće obraćaju."
0:01:40,0:02:00,"I kada nas pitaju od kud nam toliki podaci jer mi redovito na našim društvenim mrežama najmanje jednom tjedno radimo objave u kojima sažimamo ono što mislimo da je najvažnije i što se naravno među ostalim prešućuje u medijima u Hrvatskoj, pitaju nas od kuda nam ti si podaci."
0:02:00,0:02:14,"Znači nama ljudi s terena daju podatke, ali i velik broj naših sugrađana koji rade u tim korumpiranim i blokiranim institucijama jer nisu ljudi ti koji to rade nego oni koji upravljaju, znate."
0:02:15,0:02:33,"A kad ste rekli medije nemamo ih u medijima, pa nije to u zadnje vrijeme, znači ja sam kroz svoj cijeli saborski mandat bila u potpunoj medijskoj izolaciji, u zabrani, od javnih medija preko tih nacionalno pokrivenih medija, od katoličkih, desnih, ljevih, svih."
0:02:33,0:02:37,"Dakle, potpuna zabrana što uključuje razno razne podkaste."
0:02:38,0:02:44,"Dakle, to svjedoči tome da je istina ta koja njih plaši, ne ja."
0:02:44,0:02:52,"Znate, istina je u jednoj stvari fantastična, ona je istina i ona pobjeđuje."
0:02:52,0:02:52,"Da, uvijek."
0:02:53,0:03:36,"Ovo kad ste spomenuli ljudi vam se javljaju da informacije su razočarane, evo nažalost i zadnji primjer zločin u Drnišu, isto je ovaj, strukture su zakazale i evo pričali smo sad malo prije emisije, baš jučer me je nešto baš ono razvijestilo, slušam, nešto radim za kompjuterom i slušam tamo nečiji vijesti su bile, nečiji dnevnik i kaže struka je procijenila da ne bi pomoglo na ove zahtjeve građana da se uvode doživotna kazna pa čak i smrtna, da je struka, struka procijenila da to ne bi riješilo te probleme i da je društvo ponovno u cijelosti zakazalo."
0:03:39,0:04:05,"Dakle ovo što se dogodilo ovaj tjedan, taj ogromni šok ubojstvo mladoga Luka, dostavljača pice, perspektivnog, vrlo dobrog učenika, dobrog prijatelja, košarkaša, to je mladi Anđeo koji je tek stupio u život, tek je počeo živjeti, život mu je okončan i on je žrtva hrvatskog pravosuđa."
0:04:06,0:04:10,A hrvatsko pravosuđe kontrolira hrvatska politika.
0:04:12,0:04:15,"Dakle, mladi Luka je žrtva hrvatske politike."
0:04:16,0:04:24,Mi smo svi u mislima sa obitelji Lukinom i u mislima i u molitvama i to ništa ne može nadomjestiti taj gubitak.
0:04:24,0:04:27,Ali mi moramo jasno progovoriti što se ovdje dogodilo.
0:04:29,0:04:32,Dakle čovjek koji ga je ubio već je osuđen i ubojica.
0:04:33,0:04:36,Dvije i pol godine optužnica leži na sudu.
0:04:36,0:04:50,"Znači dvije tisuće dvadeset tri godine podignuta optužnica protiv aleksića pravosuđe nije pokrenulo sudski postupak kada je netko toliko opasan a on to jest jer je osuđen i ubojica što je on radio na slobodi, zašto nije bio u pritvoru?"
0:04:52,0:04:56,Ministar Habijan daje nekakve sulude izjave umjesto da da ostavku.
0:04:57,0:05:05,"Dakle vi kada korumpirate sustav, kada korumpirate i blokirate pravosuđe onda dolazi i do ljudskih žrtava."
0:05:06,0:05:10,Ja sam o tome prvi put govorila kada se dogodila željeznička nesreća u Novskoj.
0:05:11,0:05:18,"Sjećate se mladoga Filipa Pezic, sedamnaestg napisao je mama snižem doma na večeru, par minuta kasnije je bio mrtav."
0:05:18,0:05:18,Zašto?
0:05:19,0:05:21,Zbog korupcije u hrvatskim željeznicama.
0:05:22,0:05:34,"Jer taj sigurnosni sustav koji nije funkcionirao pokojni Mario Gusak koji je također žrtva te nesreće, koji je poginuo zajedno sa Filipom Pezićem i ja mislim da se zove Tadija treća žrtva."
0:05:34,0:05:37,Znači on je upozoravao da sustav ne funkcionira.
0:05:38,0:05:48,"Milijuni su nestali u Hrvatskim željeznicama, a najbanalnija stvar, nukleus željezničkog prometa, signal o sigurnosti sustav nije funkcionirao."
0:05:48,0:05:56,"Što je radio Oleg Butković, skrivao se od medija, što je radio Plenković, štitio ga i dalje se nastavlja kriminal u Hrvatskim željeznicama."
0:05:56,0:05:57,Idemo dalje.
0:05:58,0:06:04,"Uz ove tri nevine žrtve hrvatske politike, njihove korupcije i blokiranog i korumpiranog pravosuđa."
0:06:04,0:06:10,Jer da je pravosuđe radilo ne bi mogle HŽ biti tako očarupane i taj sustav bi funkcionirao.
0:06:11,0:06:13,Luka i Filip bi danas bili na životu.
0:06:15,0:06:17,Ne bi poginule žrtve Jadrolinije.
0:06:17,0:06:19,Sjetite se pomoraca Jadrolinije.
0:06:20,0:06:20,Da.
0:06:21,0:06:27,"Tri života su nestala u sekundi, a sjetite se skandaloznog sopte tog direktora Jadrolinije."
0:06:27,0:06:44,"Pazite, ne da nije dao ostavku, ne da nije smijenjen, ne da nije palo pola Vlade kao što je trebalo pasti u sva tri slučaja, nego je on još išao sebe opravdavat plaćaju nekakvim suspektnim, kreshim i ramacanima s našim novcima da mu pegleju imidž."
0:06:46,0:06:53,Dakle svakom građaninu mora biti jasno da je naša obveza suprotstaviti se ovom sustavu.
