Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Tipa dobro večer i dobrodošli Novi Čušpić.
0:00:03,0:00:11,"Današnji gost je živopisni lik kako sam ga nazvao, Domogović Delač, zadnje vrijeme najpoznatiji kao gostu ambasada, to mi je najlakše da ga tako predstavim."
0:00:12,0:00:14,"Domogović, hvala ti što si došao, pozdrav."
0:00:14,0:00:16,"Hvala lijepa, evo baš mi je drago da sam došao tu."
0:00:16,0:00:34,"Evo dogovaramo ovo već neko vrijeme i malo sad zbog hrpu obaveza, zbog ovog svog što radim nisam stigao doći i evo kolega, ja smo se baš razveselili, imali smo oba dva slobodan dan, našli smo vrijeme i zgušio sam došao ovdje da te upoznam, da malo popričamo o svemu i da napokon to snimimo."
0:00:34,0:00:42,"Domogović ima toliko zanimanja, zanimanja, zanimacija, ali najviše voliš da te zove gastro ambasador, pa da nam objasniš."
0:00:42,0:00:59,"Ma našta nije uopće stvar tog imena gastro ambasador, ja želim da me zovu, nisam ja onaj maestro iz Sanfila ako si gledao koji želi da ga se zove maestro nego u principu gradimo brand, moja ekipa ja na stranici bez food coracija gradimo brand i jedan od brandova te stranice je gastro ambasador."
0:00:59,0:01:36,"Pa parove moramo gurati jednu i drugu priču i zbog toga sam rekao da malo bi volio fokus da bude više na tom gastro ambasadoru jer ja sam zapravo prvi brand te naše stranice, naše recimo gastro platforme i zbog toga mi je to bitno da mi ljudi kao takvo prepoznaju jer gastro ambasador u ovoj varijanti je osoba koja ima ovu emisiju i obilazi najbolje restorane, isto ima nešto slično, podcast, nekakav gastro podcast, ne ovako kao ti, nego mi smo nekakav spoj hrane i spoj gosti u jednom, čisto da bude malo ljudima zanimljiviji i da se držimo više te priče oko hrane."
0:01:36,0:01:38,Mislim takva nam je i tematika.
0:01:38,0:01:45,"Najčešće se vidi baš na spomenutoj toj brendu platformi, kako bi rekli Best Food Croatian, pa možda malo više o njoj."
0:01:45,0:01:46,Znači Best Food.
0:01:47,0:01:48,Pa zašto si počeo?
0:01:48,0:01:53,"Pa bit će ekipi koja gleda jasno zašto je ovo pitanje, zašto si počeo, kako si počeo jer."
0:01:53,0:01:55,Kad im ispričamo cijelu priču života onda će shvatiti.
0:01:56,0:02:08,"Znači nakon svega što sam prošao svih tih turbulencija što život nosi, nisam ja ništa posebno, znači ću reći, svi mi prolazimo kroz neke faze života koje su usponi, padovi, tražimo se bez obzira na godine."
0:02:08,0:02:13,"Čovjek traži sreću, ja mislim da je sreća ključna riječ, znači dok ne nađeš sreću nećeš imati mira."
0:02:14,0:02:24,"Sad šta je sreća, možemo o tom filozofski razglabati, ali nema potrebe, svatko će je naći na neki način, nekom je to novac, nekom je to dobra žena, nekom je to, ne znam, putovanje i tako."
0:02:24,0:02:30,"Tako ja sam uvijek volio posao, znači volio sam biznis i evo od svoje osamnaest godine nešto radim."
0:02:31,0:02:57,"Ono što smo razgovarali i stvarno mogu reći prošao sam sve i svašta, razno raznih projekata od marketinga, od prodaje, od putovanja, bio sam svugdje, vidio sam svašta, imam dosta, kako ste rekli životopisan lik je, imam dosta životopisan život i ja se često sam sa sobom začudim pa kad sam stigao sve to proći, kad sam stigao tu sve bit i ono iako sam osoba koja voli u deset sati biti na večer doma, moja dinamika života je strašna."
