Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,"Ekipa dobrodošli, dobrodošli Novi Čušković."
0:00:02,0:00:24,"Današnji gost je, neki će reći kontroverzni, neki će reći nije novinar, netko će reći novinar je, uglavnom ja ću ga predstaviti kao novinara, publikistu, književnika Fatmina Ali Spahića iz Bosne i Hercegovine, iz Tuzle, zadnjih dana popunio medijski prostor i u Hrvatskoj kada je rekao bježim iz Bosne jer se bojim za svoj život."
0:00:25,0:00:28,"Prvo Fatmini da vam zaželim dobrodošlicu, hvala što ste došli."
0:00:29,0:00:36,Hvala vama što ste me našli i što ste našli za sobom da ovo tematizirate.
0:00:37,0:01:02,Budući da mislim da to što se događa u Bosni i što se događa sa mnom je priča koja se tiče i drugih i nosi sa sobom jednu paradigmatsku formu koja može zahvatiti kao negativna posljedica i šire društvene prostore pa i ono što su hrvatski nacionalni interesi.
0:01:02,0:01:04,"Fatmir, kakvi to je počeli?"
0:01:04,0:01:14,"Mi se dopisujemo već nekih dva tri mjeseca, ja žicam kako bi se reklo tu zagostovanje, online i sve i dogovaramo se sve i odjedanput vidim naslove."
0:01:14,0:01:21,"Fatmir Aleksandar Mahrić pobjegao iz Bosne, prijeti mu se ubojstvom, pa možda neku kronologiju da da upoznate gledatelje."
0:01:22,0:01:23,"To nije od jučer, to nije."
0:01:24,0:01:28,Trebalo bi mnogo epizoda snimiti.
0:01:29,0:01:44,To je mnogo gore nego ono što je proživljavao Jozef Kao u Kafkinu procesu jer je Jozef Kao se trudio da kod makar tih paralelnih sistema duboke države upita šta je sa mojim slučajem.
0:01:45,0:02:45,"Ovo što se događa meni je gore u toliko što mi je oduzeta sloboda kretanja u svome gradu, gradu o kome sam bude rečeno napisao sedam knjiga od ukupno dvadeset šest knjiga koliko sam napisao jer su uspostavljene islamističke falange koje su spremne kao ono kod hitlera što je bivalo da batinaju u ime partije i problem je što to oduzimanje slobode se manifestira tako da nisam to mogao zamisliti čak ni kad su granate padale i potuzle da ne mogu ili ne smijem otići u šumuoping ili da moram da mjerkam da li me netko prati itede netko će kazati paranoja, ali kad uzmete šta se sve meni događalo ta paranoja nije bez osnova jel."
