Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:02,Ekipa dobro večer i dobrodošli Novi Čušpović.
0:00:02,0:00:09,"Večerašnji gosti gospodin Marc Holjevat, kolumnist sedmodnevnog i možemo reći portala dnevno.hr."
0:00:10,0:00:12,"Dakle, gospodine Marcu hvala vam još jednom što ste došli i lijepi pozdrav."
0:00:13,0:00:14,Hvala vama na pozivu.
0:00:14,0:00:22,"Eto, ovo ljeto je bilo ne samo ovo je vruće po temperaturama nego je bilo je svega od požara, od afera pa evo kako ste u posljednjem."
0:00:23,0:00:32,"Požari za razliku od nekih afera nisu polučili prosvjede ali eto nije baš ovaj, doduše možda tu i nema političke odgovornosti ali svejedno."
0:00:32,0:00:40,"Da, evo, dovoljno je vremena sa prošlog ovog prosvjeda u Zagrebu, od otkrivanja afere sa otpadom da možemo neke zaključke možda izvesti."
0:00:41,0:00:43,Je li to ovaj premijer malo uzdrman bio?
0:00:43,0:01:20,"Ja sam napisao da, ja sam napisao da, da, jest uzdrman i možda više nego ićem do sada što je naoko paradoksalno jer hadeze imao stvarno korupcijske afere koje su nekako su se, nekako je ono Plenković tu bio teflon premijer, nije mu se ništa primilo osobno, a ovo mu se primilo iako tu ono što oporba kaže to je istina, postoji politička odgovornost ali ne izravna krivična ili bilo kakva odgovornost ni Plenkovića ni bilo koga iz hadezea postoji krivica Andrije Mikulića za mito, ali ne za ovaj slučaj, za neke druge slučajeve."
0:01:22,0:01:32,"A i on nije tu izravno bio u cijeloj toj priči, mislim on je bio u ovoj priči, ali on je čak i prijavio tu cijelu priču jer je tražio mito, a nije ga dobio."
0:01:34,0:01:39,"Dakle, on je trebao odorobijati svojih što je više moguće godina, ali."
0:01:41,0:01:47,"Zapravo je ovo se dogodilo čisto zato jer je ekologija nešto na što su ljudi jako osjetljivi, pogotovo u Lici."
0:01:48,0:02:00,"Kod nas postoji jedan mit da je Hrvatska voda, da su Hrvatska voda, hrvatski zrak najčišći na planeti i da je hrvatsko povrće najzdravije na svijetu."
0:02:00,0:02:02,"Da se razumijemo, to je mit, to je glupost."
0:02:02,0:02:15,"Mi smo imali socijalističku industriju koja je bila ekstremno zagađivačka, znači imali smo industrijalizaciju šezdesetih godina sedamdesetih kada se uopće nije gledalo na ekologiju tako da smo imali."
0:02:16,0:02:17,To možemo dugi rat spomenuti tamo.
0:02:18,0:02:20,Imali smo tvornice četine ovdje.
0:02:21,0:02:33,"I tu u Karlovcu i u Turbinu, u Karlovcu isto bili svojevrsna zajednica u Hrvatskoj, ali pogotovo Sisak sa rafinerijom, sa željezarom, sa svim mogućim samradama Slavonski Brod."
0:02:35,0:03:06,"Imali ste u Split, imali ste jugoplastiku, jugovinil koji je ispuštao ekstremne količine žive i polvinil klorida u more izravno, znači ribe su bile kompletno potrole, imali ste, imali ste obrovac legendarni koji je proizvodio glinicu iz boksitne rude koja je uvožena, mislim iz obližnje Uganda ili Gvajane ili tako nečeg."
0:03:06,0:03:08,"Samo je to bilo nekakve nesvrstane, ne znam."
0:03:08,0:03:14,Ali ja se sjećam da se čak i tada po novinama pisalo da je to promašena investicija i naravno ekstremno zagađivačka.
0:03:14,0:03:22,"Danas to svoj ta crvena blato stoji tamo kraj obroca i svaki put kad padne kiša prijeti da se prelije i zagadi cijeli taj krš, je li?"
