Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:04,"Ovo kad se rekla tijelo vrišti, to zavisi opet na koji način vrišti."
0:00:04,0:00:14,"Ja sam jednom imala situaciju na terapijskom razgovoru, imala sam jednu kočnicu u sebi, nisam mogla prihvatiti autoritet u jednom određenom području života i došla sam s tom temom na psihologinji."
0:00:14,0:00:16,"Kažem, pa ti vjeruješ da ti to možeš?"
0:00:16,0:00:18,"Ja kažem, ali stvarno vjerujem."
0:00:18,0:00:19,Od 1 do 10 koliko vjeruješ?
0:00:19,0:00:20,Desetka.
0:00:21,0:00:23,"I stvarno da, kaže ona meni."
0:00:23,0:00:24,A šta kaže tijelo?
0:00:25,0:00:26,Ja stanem.
0:00:26,0:00:27,"Ja kažem, da."
0:00:28,0:00:29,Uždi to.
0:00:29,0:00:32,"Ja vjerujem, ja hoću, a iz mene izađe."
0:00:41,0:00:42,Hvaljen nisu si Marija.
0:00:42,0:00:45,Gledate podcast poduzetništvo s povjerenjem.
0:00:45,0:00:47,Moje ime je Ljubica i moja današnja gošća.
0:00:48,0:00:52,Reći će nam nešto više o programu Preiz Teologija tijela za žene.
0:00:52,0:00:56,"Ona je Vesna Maglov, osnivačica i voditeljica ovog programa."
0:00:56,0:00:57,"Vesna, dobrodošla."
0:00:58,0:00:59,Hvala na pozivu Ljubice.
0:00:59,0:01:00,Dobro vas našla.
0:01:00,0:01:05,"I hvala nisu si Marija, evo svim slušateljicama, gledateljicama, gledateljima."
0:01:06,0:01:09,"Vesna, ti si supruga i majka tri djevojčice."
0:01:10,0:01:12,Malo ću sad tvoj životni put prepričati.
0:01:13,0:01:20,"završila si ekonomski fakultet smjer financije, radila si poslove vezane uz EU fondove i ljudske potencijale."
0:01:21,0:01:30,"Potku ti u Preiz programu, kakav put formacije si prošla, je li to bilo pravocrtno planirano, ispričaj nam malo o tome."
0:01:30,0:01:30,Dobro pitanje.
0:01:32,0:01:46,"Evo, prvo put nije nikako bio pravocrtan, znači ja sam došla isto kao i ti iz malog grada Šibenika, ekonomiju sam u biti upisala kao i mnogi drugi, zašto?"
0:01:46,0:01:48,Zato što jednostavno nisam znala što da upišem.
0:01:49,0:01:49,Ista.
0:01:49,0:01:56,"piše, a u toj nekoj fazi mog života nisam baš bila zainteresirana za razvoj karijere, talente kao što sam sada."
0:01:56,0:01:59,"Jesi htjela raditi u banci, imati siguran posao?"
0:01:59,0:02:01,"Ne, ne, to mi nikada nije bio cilj."
